corpus_source_id,existing_source_id,place,title,url,source_type,speaker_or_owner,date_or_period,locator,excerpt_short,paraphrase_zh,frame_candidates,evidence_level,coding_status,human_review_note
R4S001,,Miyako,宮古島市新市施策：水源保护条例,https://www.city.miyakojima.lg.jp/gyosei/kihonkeikaku/kensetsu/shisaku2.html,local_official,Miyakojima City,undated,页面“水道水源地域”段落,飲料水を守るために,市政府把地下水源保护表述为岛民守护饮用水的共同意志,groundwater_life_safety;environment_deployment,E4,ai_seeded_candidate,这是一般水政策背景；不得自动归因于自卫队部署
R4S002,,Miyako,沖縄県議会土木環境委員会记录,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/016/966/doboku310319.pdf,official_legislative_record,Okinawa Prefecture,2019,p.6／“陸自ミサイル部隊”陈情处理段落,地下水の環境保全について注視,县政府把宫古驻屯地陈情与地下水监测及环境关注放在同一行政回应中,groundwater_life_safety;environment_deployment;procedural_fairness,E4,ai_seeded_candidate,需人工区分政府回应与陈情者原始框架
R4S003,S020,Miyako,陸自配備阻止訴え 宮古で集会,https://ryukyushimpo.jp/news/entry-296563.html,local_news,civic participants,2016,标题及集会诉求段,地下水保全求め,新闻记录参与者把反部署与地下水保护并置,groundwater_life_safety;environment_deployment,E3,ai_seeded_candidate,需回查正文确认具名actor及原话
R4S004,S114,Miyako,宮古島環境クラブ,https://www.npo-mec.net/,organization_site,Miyakojima Environment Club,current,首页组织介绍,水辺の自然と環境の保護,组织自述持续从事水边环境保护与环境教育,groundwater_life_safety;environment_deployment,E4,ai_seeded_candidate,只能证明环境功能；不能推断反部署立场
R4S005,S115,Miyako,宮古島海の環境ネットワーク,https://econet.jpn.org/,organization_site,Miyakojima Marine Environment Network,current,首页三项事业介绍,海岸清掃・海洋調査・環境教育,组织以海岸清扫、海洋调查和环境教育界定其持续活动,environment_deployment,E4,ai_seeded_candidate,作为地方环境生态背景；未证明军事争议参与
R4S006,,Miyako,宮古島市国民保護計画,https://www.city.miyakojima.lg.jp/kurashi/bousai/bousaijyouhou/2019-0613-1126-269.html,local_official,Miyakojima City,2019,页面开头计划说明,武力攻撃や大規模テロ,市政府以武力攻击和大规模恐怖事件为国民保护计划的法定情境,frontline_taiwan_evacuation;life_safety,E4,ai_seeded_candidate,法定规划不等于冲突将发生
R4S007,,Miyako,宮古島市避難実施要領のパターン,https://www.city.miyakojima.lg.jp/kurashi/bousai/bousaijyouhou/files/hinanjissi.pdf,local_official,Miyakojima City,2019,表“パターン1”,市全域の住民及び観光客,方案以全市居民及游客撤离作为一种武力攻击情境,frontline_taiwan_evacuation;life_safety,E4,ai_seeded_candidate,属于预案情景而非现实事件
R4S008,,Miyako,令和7年宮古島市議会会議録,https://www.city.miyakojima.lg.jp/gyosei/gikai/files/kaigiroku0706.pdf,official_legislative_record,Miyakojima City Council,2025,p.139／“先島有事避難計画”,住民の不安とならないよう,议会问答把全岛撤离与居民意见、财产和返回后的生活不确定性联系起来,frontline_taiwan_evacuation;life_safety;local_autonomy_referendum,E4,ai_seeded_candidate,需区分议员提问与行政答复
R4S009,,Miyako,国民保護共同訓練住民意見と回答,https://www.city.miyakojima.lg.jp/soshiki/shityo/soumubu/bousaikikikannri/oshirase/2026-0513-1044-269.html,local_official,Miyakojima City and residents,2026,问答中“武力攻撃予測事態”,空港や港湾などのインフラ,公开问答说明撤离推演以港口机场仍可使用为前提,frontline_taiwan_evacuation;life_safety;procedural_fairness,E4,ai_seeded_candidate,应人工编码居民疑问与政府回答的不同立场
R4S010,S137,Ishigaki,石垣市住民投票实施义务请求事件判决,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-89731.pdf,court_record,Naha District Court,2022,p.4／事实关系,１万４２６３名の有効署名,法院认定请求代表收集14263份有效签名并提出自卫队部署住民投票条例请求,local_autonomy_referendum;procedural_fairness,E4,ai_seeded_candidate,判决驳回诉求；事实认定与法律结论须分开
R4S011,S138,Ishigaki,住民投票条例议会审议结果,https://www.city.ishigaki.okinawa.jp/jieiteikannrenn/news/3615.html,local_official,Ishigaki City,current,页面议会审议结果,条例案を２度にわたり否決,市政府记录议会两次否决住民投票条例案,local_autonomy_referendum;procedural_fairness,E4,ai_seeded_candidate,需核页面更新日期与具体表决时间
R4S012,S051,Ishigaki,石垣市住民投票を求める会,https://ishigaki-tohyo.com/,organization_site,A011,current,组织诉求页／沿革,島の未来は島の住民が決める,组织把自卫队部署争议框定为岛民决定岛屿未来的自治问题,local_autonomy_referendum;environment_deployment,E4,ai_seeded_candidate,短句属组织自述；需人工检查页面具体位置
R4S013,,Ishigaki,石垣市避難実施要領概要,https://www.city.ishigaki.okinawa.jp/soshiki/1/kokuminhogokankei/10812.html,local_official,Ishigaki City,2022-2026,年度避难实施要领链接区,避難実施要領（案）,石垣市连续公开年度撤离实施要领概要,frontline_taiwan_evacuation;life_safety,E4,ai_seeded_candidate,需下载各年度PDF比较变化
