"candidate_id","candidate_type","proposed_value","source_proposal_refs","machine_confidence","interpretation_limit","human_decision"
"C010","canonical_name","公益財団法人沖縄県女師・一高女ひめゆり平和祈念財団","GSP001;GSP002","E4","Full legal name; use only after HR-013 decision.",""
"C010","alias","公益財団法人ひめゆり平和祈念財団","GSP001","E4","Official abbreviation, not a separate actor.",""
"C010","issue","peace","GSP001;GSP002","E4","Peace education/memory only; no anti-base inference.",""
"C010","issue","women","GSP001;GSP002","E3_pending","Historical female-student/donor lineage may be descriptor rather than issue edge.",""
"C010","place","Itoman","GSP001","E4","Museum/foundation location.",""
"C010","event_or_program","2024 Himeyuri/Kumejima traveling exhibition and education program","GSP002","E4","Program observation, not a stable relation.",""
"C011","alias","女団協","GSP005","E3","Common abbreviation; verify exact self-use in HR-013.",""
"C011","origin_type","okinawa_local","GSP003;GSP004","E4","Prefecture-wide Okinawa network.",""
"C011","issue","women","GSP003;GSP005","E4","Direct organizational field.",""
"C011","issue","peace","GSP005;GSP006","E4","Security-documents/SOFA education supports peace-security framing.",""
"C011","issue","human_rights","GSP005","E3_pending","Women-support-law course is relevant but human scope decision is required.",""
"C011","place","Okinawa; Naha","GSP003;GSP004;GSP005","E4","Prefecture-wide network with Naha program venue/administrative visibility.",""
"C011","event_or_program","2023 consecutive courses: security documents and women-support law","GSP005","E4","Course record only; no alliance inference.",""
"C015","canonical_name","宮古島・命の水・自衛隊配備を考える会","GSP008;GSP009;GSP010","E3_pending","Most repeated unquoted form; HR-011 must decide.",""
"C015","alias","宮古島・命の水・自衛隊配備について考える会","GSP008","E3","Name variant, not a separate actor.",""
"C015","alias","「宮古島・命の水・自衛隊基地配備」について考える会","GSP007","E3","Quoted event-era variant, not a separate actor.",""
"C015","issue","groundwater","GSP007;GSP009","E3","Directly articulated water-source concern.",""
"C015","issue","life_safety","GSP008;GSP009","E3","Attributed disadvantage/contamination/health framing; keep conservative.",""
"C015","issue","anti_military","GSP007;GSP008;GSP010","E3","JSDF/missile deployment opposition.",""
"C015","issue","local_autonomy","GSP008","E3_pending","Council-resolution/citizen-disregard framing; human scope check needed.",""
"C015","place","Miyako","GSP007;GSP008;GSP009;GSP010","E3","Local organization and action field.",""
"C015","event_or_program","2015 water/history/JSDF-deployment meeting","GSP007","E3","Self-hosted public meeting; not a coalition edge.",""
"C015","event_or_program","2019 missile-deployment protest","GSP010","E3","Representative speech/participation only.",""
"C029","canonical_name","NPO法人ピースメーカーズネットワーク","GSP011","E4","Official portal form.",""
"C029","alias","特定非営利活動法人ピースメーカーズネットワーク","GSP012","E4","Formal filing form, same actor.",""
"C029","issue","peace","GSP011","E4","Charter-level organizational positioning.",""
"C029","place","Naha","GSP011","E4","Main office; Tokyo is a secondary office.",""
"C029","event_or_program","2014 Henoko landfill-approval symposium","GSP013","E3","Historical organizer role; not proof of current activity.",""
"C029","current_status","dormant_or_no_principal_activity_2021_2024","GSP012","E4","Mandatory caveat if human approves actor entry.",""
"C030","current_status","dissolved_2025_12_07_after_authorization_revocation","GSP014","E4","Do not count as current actor.",""
"C030","issue","environment","GSP014","E4_charter_only","Generic charter purpose; no substantive action edge proposed.",""
"C031","alias","NPO法人宮古島自然緑化協会","GSP017","E3","Short legal-status form, same actor.",""
"C031","issue","environment","GSP016;GSP017","E4","General coastal/environment function only.",""
"C031","place","Miyako; Miyako_south_coast","GSP016","E4","Charter-defined field.",""
"C031","event_or_program","regular beach cleanup and coastal greening","GSP017","E3","Sustained program; no deployment stance.",""
"C032","canonical_name","特定非営利活動法人美ぎ島宮古島","GSP018;GSP019","E4","Legal name.",""
"C032","alias","NPO法人美ぎ島MIYAKO","GSP019","E4","Organization-site brand, same actor.",""
"C032","issue","environment","GSP019","E4","Direct organizational mission and repeated activity.",""
"C032","issue","biodiversity","GSP019","E4","Coral conservation supports biodiversity.",""
"C032","issue","groundwater","GSP020","E3_pending","Verify prefectural table row/year before edge creation.",""
"C032","place","Miyako","GSP018;GSP019","E4","Legal/operational field.",""
"C032","event_or_program","coral conservation, planting and beach cleanup programs","GSP019","E4","Program family, not a single alliance event.",""
"C033","alias","OEC","GSP021","E4","Official abbreviation.",""
"C033","issue","environment","GSP021;GSP022","E4","Long-term restoration and education.",""
"C033","issue","biodiversity","GSP022","E4","Wetland biological survey/restoration.",""
"C033","issue","international_cooperation","GSP021","E3_pending","Repeated JICA training is functional participation, not funding inference.",""
"C033","place","Naha; Manko_wetland; Okinawa","GSP021;GSP022","E4","Head office and main field.",""
"C033","event_or_program","Manko wetland restoration and citizen environmental education","GSP021;GSP022","E4","Sustained program.",""
"C034","origin_type","mixed_or_network","GSP023;GSP024","E4","Cross-sector council with government/NPO/business/research participants.",""
"C034","actor_class","citizen_network","GSP023;GSP024","E3_pending","Closest controlled value; human may prefer a new cross-sector council class.",""
"C034","issue","biodiversity","GSP023;GSP025","E4","Coral-reef conservation mission.",""
"C034","issue","environment","GSP023;GSP025","E4","General environment framing.",""
"C034","issue","administrative_collaboration","GSP023;GSP024","E4","Prefectural formation and cross-sector governance; not a funding claim.",""
"C034","place","Okinawa_prefecture_wide","GSP023;GSP025","E4","Council scope.",""
"C034","event_or_program","Coral Reef Week 2024","GSP026","E4","Council-led coordination; participant names do not create alliance edges.",""
