record_id,existing_actor_id,canonical_name,alias,universe_role,current_scope,status_at_observation,organization_type,legal_or_institutional_status,location_or_service_area,observed_function,existing_database_status,inclusion_priority,official_roster_status,roster_scope_caveat,url,locator,excerpt,source_date,evidence_level,claim_status,observed_at,review_status,package_scope,frontend_eligibility,interpretation_limit
SA001,X001,USO Okinawa,USO Indo-Pacific Okinawa,existing_service_core,Okinawa service presence,current official office and sponsor page located,military community service nonprofit,private nonprofit; not part of the Department of Defense,six Okinawa centers / multiple installations,"rest, communications, unit support, family and community programming",existing actor,retain,not assessed through MCIPAC PO roster,"USO is a national nonprofit with an Okinawa operating presence, not an Okinawa-local association.",https://okinawa.uso.org/oao,Okinawa Area Office; staff and sponsor sections,"The page identifies six-center operations, local staff and current mission/community partners.",current page; accessed 2026-08-19,E4,candidate_official_organization_record,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
SA002,X004,American Welfare & Works Association,AWWA / 米国福祉事業協会,existing_service_core,Okinawa spouse-club umbrella and welfare intermediary,latest public filing FY ending 2024; current member narrative located,welfare intermediary / spouse-club umbrella,"501(c)(3), EIN 98-0227149",Okinawa,coordinates contributions from spouse clubs for U.S.-affiliated and Okinawan welfare recipients,existing actor,retain_and_deepen,listed active on MCIPAC roster,"MCIPAC roster authorization establishes private-organization status, not political alignment or public support.",https://projects.propublica.org/nonprofits/organizations/980227149,Organization summary; tax period ending May 2024,The IRS-derived record identifies AWWA as a 501(c)(3) welfare organization.,FY ending 2024-05,E4,candidate_primary_record,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
SA003,X005,Naval Officers' Spouses' Club of Okinawa,NOSCO,existing_service_core,Okinawa spouse club and gift-shop charity,current FY2025 Form 990 located,spouse club / charity,"501(c)(4), EIN 98-0210979",Okinawa naval community,"Fleet Gift Shop, scholarships, military-family and Japanese/American charitable support",existing actor,retain_and_deepen,listed active on MCIPAC roster,Roster and filing show existence and function; neither establishes a political position.,https://projects.propublica.org/nonprofits/organizations/980210979,FY ending June 2025 Form 990 summary and officers,The filing describes charitable support financed through the Fleet Gift Shop.,FY ending 2025-06,E4,candidate_primary_record,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
SA004,X006,Kadena Officers' Spouses' Club,KOSC,existing_service_core,"Kadena spouse club, Gift Corner and welfare grants",current FY2025 Form 990 and Schedule I located,spouse club / community service organization,"501(c)(4), EIN 98-0214323",Kadena Air Base and Okinawa,"scholarships, charitable grants, Gift Corner and community events",existing actor,retain_and_deepen,Kadena-authorized private organization context located,"Kadena's order describes oversight and resale authorization, not endorsement of every club activity.",https://projects.propublica.org/nonprofits/organizations/980214323,FY ending May 2025 Form 990 and Schedule I,"The filing reports scholarships and named grant categories, including AWWA.",FY ending 2025-05,E4,candidate_primary_record,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
SA005,X007,Okinawa Enlisted Spouses' Club,OESC,existing_service_core,Kadena enlisted-spouse club and thrift-store charity,current FY2025 Form 990 and Schedule I located,spouse club / charity,"501(c)(3), EIN 98-0346507",Kadena Air Base and Okinawa,"thrift store, scholarships, charitable giving and spouse employment",existing actor,retain_and_deepen,Kadena-authorized private organization context located,Program descriptions document observed services; they do not establish beneficiaries' political views.,https://projects.propublica.org/nonprofits/organizations/980346507,FY ending June 2025 Form 990 and Schedule I,"The filing links thrift-store proceeds to charity, scholarships and military-spouse employment.",FY ending 2025-06,E4,candidate_primary_record,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
SA006,X008,American Red Cross Okinawa,American Red Cross Overseas Military Community Support,existing_service_core,overseas military community service presence,current official overseas service page and Okinawa installation listing located,national humanitarian nonprofit with installation presence,congressionally chartered nonprofit; overseas military support program,Kadena / Okinawa installations,"emergency communication, disaster assistance and wellness services",existing actor,retain_and_deepen,not a local MCIPAC private-organization roster inference,"This is an Okinawa service presence of a national organization, not evidence of a separate local legal entity.",https://www.redcross.org/get-help/military-families/overseas-military-community-support.html,Overseas military community support; Okinawa typhoon example,The page documents overseas installation services and assistance after Typhoon Khanun in Okinawa.,current page; event described for 2023,E4,candidate_official_organization_record,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
SA007,X009,Navy-Marine Corps Relief Society Okinawa,NMCRS Okinawa,existing_service_core,Okinawa military financial-assistance office,current official Okinawa location page located,national military relief nonprofit with local office,private nonprofit; official charity serving Navy and Marine Corps members,"Camp Foster, Camp Hansen and Okinawa","interest-free loans, grants, emergency travel, disaster relief and family education",existing actor,retain_and_deepen,not derived from MCIPAC PO roster,"The page confirms service access and location, not a local autonomous organization.",https://www.nmcrs.org/locations/okinawa-japan,"Okinawa location, services and nearby locations","The office offers loans, grants, emergency travel and family-support programs.",current page; accessed 2026-08-19,E4,candidate_official_organization_record,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
SA008,X016,Marine Officers' Spouses' Club Okinawa,MOSCO / MOSC,existing_service_core,Marine spouse club and charitable grants,current FY2025 Form 990 located,spouse club / charity,"501(c)(3), EIN 46-0598583",Okinawa Marine community,"membership, events, grants and spouse-community support",existing actor,retain_and_deepen,listed active on MCIPAC roster,"The filing is evidence of organizational activity, not evidence of political alignment.",https://projects.propublica.org/nonprofits/organizations/460598583,FY ending May 2025 Form 990 summary and officer section,"The IRS-derived record shows current revenue, expenses and an officer entry.",FY ending 2025-05,E4,candidate_primary_record,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
SA009,X017,Army Community Group of Okinawa,ACGO,existing_service_core,historical Army spouse/community club,current continuity unresolved; last public filing FY2018,spouse/community club,"historical 501(c)(3), EIN 26-1170858; latest IRS exempt-list status flagged unresolved",Okinawa Army community,historical welfare fundraising and AWWA participation,existing actor with needs_second_source,retain_as_historical_pending_continuity,not found on current MCIPAC roster,Absence from the roster and later filings does not prove dissolution or a precise end date.,https://projects.propublica.org/nonprofits/organizations/261170858,Organization summary; filing history ending May 2018,The public filing series ends in 2018 and current exempt-list status is flagged.,latest filing FY ending 2018-05,E4,unresolved_current_status,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
SA010,,Marine Thrift Shop Okinawa,Marine Thrift Shop,high_priority_missing_candidate,Camp Butler thrift shop and grant maker,"current official site, board and MCIPAC active roster entry located",thrift-shop charity,"501(c)(3), EIN 38-3924106; MCIPAC-authorized private organization",Camp Butler / Okinawa,"resale, grants, outreach, scholarships and Neighborhood Pantry support",not in current nine-actor service core,principal_review_for_addition,active; calendar reporting,"MCIPAC's current roster spans Okinawa, Fuji and Iwakuni; separate Okinawa website and address corroborate this case.",https://marinethriftshopokinawa.org/,Mission statement and program navigation,The shop converts donated goods into grants for military families and local Okinawan organizations.,current page; accessed 2026-08-19,E4,candidate_organization_identity,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
