gap_id,theme,question,current_evidence,missing_evidence,online_status,next_source,local_or_online,priority,url,locator,excerpt,source_date,evidence_level,claim_status,observed_at,review_status,package_scope,frontend_eligibility,interpretation_limit
CG001,organization universe,Which MCIPAC roster entries are Okinawa service/charity organizations?,81 displayed entries in a combined Okinawa/Fuji/Iwakuni roster; four high-priority omissions corroborated separately.,row-level location and function classification for remaining ambiguous entries,partly_online,individual organization sites and MCIPAC authorization files,online_then_records_request,high,https://www.okinawa.usmc-mccs.org/more/private-organizations,Current active/suspended/inactive lists,Combined roster lacks row-level geography for many entries.,2026-08-01,E4,bounded_universe_gap,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
CG002,Kadena universe,What is the current Kadena private-organization roster?,governance page and 2024 instruction,full current roster with organization names/status,online_exhausted_for_public_roster,18 FSS private-organization office roster,records_request,high,https://kadenafss.com/private-organizations,Registration guidance,Rules are public; a complete roster is not.,accessed 2026-08-19,E4,records_gap,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
CG003,AWWA annual flows,Who received AWWA resources each year from 2012–2026?,scattered annual examples and member-club transfers,"Form 990/Schedule I, annual reports and recipient lists by year",incomplete,AWWA annual reports and complete IRS return images,online_plus_internal_records,high,https://projects.propublica.org/nonprofits/organizations/980227149,Public filing history,Latest return does not expose a complete recipient schedule.,FY ending 2024-05,E4,recipient_universe_gap,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
CG004,people network,Do service-side and accountability-side organizations share people?,29 candidate service-side roles; accountability people table remains incomplete,time-bounded cross-organization person-role table and identity disambiguation,researchable_but_not_complete,"Form 990 officers, board pages, event biographies and archived pages",online,high,https://projects.propublica.org/nonprofits/states/AP,IRS-derived organization universe,Public filings offer officer names but not a complete Okinawa network.,updated 2026-07-24,E4,unmeasured_cross_ecology_people,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
CG005,Marine Gift Shop status,Is Marine Gift Shop a current exempt organization and how does it relate to MOSCO/AWWA?,active MCIPAC roster plus FY2025 filing; exempt-list warning,IRS determination/current status and current governing documents,conflicting,IRS TEOS/determination letter and MCIPAC authorization file,online_records,high,https://projects.propublica.org/nonprofits/organizations/980016061,Status warning and FY2025 filing,Current activity and exempt-list status point in different directions.,FY ending 2025-06,E4,identity_status_conflict,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
CG006,ACGO lifecycle,"Did ACGO end, leave AWWA or continue under another name?",filings through FY2018; no current roster entry,dated dissolution/withdrawal/successor record,online_exhausted_primary,"AWWA minutes, ACGO records or MCIPAC files",local_or_internal,medium,https://projects.propublica.org/nonprofits/organizations/261170858,Filing history,Public filings stop after FY2018.,latest FY2018,E4,lifecycle_gap,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
CG007,recipient identity,What are the official Japanese identities of English-labelled welfare recipients?,Marine Thrift Shop and military stories list translated/transliterated names,"Japanese legal names, websites and registry crosswalks",partly_online,"Japanese NPO registry, recipient sites and local reports",online_then_local,high,https://marinethriftshopokinawa.org/grants/,Japanese-community recipient list,Several recipients are only represented by English labels.,2023 list,E4,identity_crosswalk_gap,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
CG008,L2 legitimacy effect,Do services change recipient attitudes toward bases or the U.S. presence?,multiple L1 friendship/goodwill narratives; no reception measures,"recipient interviews, surveys, local commentary, program evaluations or counter-evidence",not_evidenced,recipient-side Japanese materials and field interviews,local_primary_research,high,https://okinawa.uso.org/stories/41,Organizer bridge narrative,Organizer language is observable; audience effects are not.,2017-08-18,E4,L2_not_evidenced,2026-08-19,ai_seeded,research_only,excluded_research_only,No report should state that these services legitimize bases as an observed effect until recipient-side evidence is collected.
CG009,service outcomes,"What happened after vehicles, equipment and grants reached local institutions?",transfer announcements and recipient labels,"use, duration, beneficiary reach and recipient assessment",sparse,recipient annual reports and local press follow-up,online_plus_local,medium,https://www.dvidshub.net/news/printable/465683,Donation announcement,"The transfer is described, but downstream outcomes are not evaluated.",2024-02-22,E4,outcome_gap,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
CG010,service-side boundaries,Should AER and AFAS be modeled as actors or service-presence nodes?,official Okinawa service listings,project-wide scope decision for national NGOs operating through installation offices,evidence_available_decision_needed,principal scope decision after national/local node comparison,human_decision,medium,https://installations.militaryonesource.mil/military-installation/kadena-ab/base-essentials/emergency-assistance,AFAS and Red Cross service listings,National organizations operate through installation service points.,accessed 2026-08-19,E4,scope_decision_gap,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
