review_item_id,audit_row_id,source_id,integration_status,proposal_refs,url,archive_status,archive_note,metadata_issue_codes,web_archive_issue_codes,actual_archive_failure,current_title,current_source_type,current_year,current_locator,current_support_scope,current_evidence_level,caveat_and_boundary,decision,revised_title,revised_source_type,revised_year,revised_locator,revised_support_scope,revised_evidence_level,archive_resolution,reviewer,review_date,review_note,revised_year_or_period,source_report
HR030-S253-NW2FS006,NW2FS006,S253,provisional_source_log_new,NW2-B_R09:R9EC_S006,https://www.magazine9.jp/article/yuntacrew/18975,archived,,source_type_human_choice,,no,『ゆんたく』から始まった、沖縄・若者の抵抗,community_site,2015,Participant describes formation after 2014-08-12 and a pre-gubernatorial-election field-learning bus tour,2014 youth observation/dialogue intervention,E3,Retrospective first-person account; does not establish turnout or vote effects. | election_causality_not_inferred;person_or_masked_actor_not_transferred,accept_with_revision,第1回「ゆんたく」から始まった、沖縄・若者の抵抗（元山 仁士郎）,community_site,2015,2015-04-29；「知られていない基地」小节的2014-08-12 cross-talk、知事选前讨论及边野古/高江bus tour第一人称记述,2014 youth observation/dialogue intervention；retrospective first-person participant account。,E3,archived_verified,项目负责人,2026-07-20,自报人数、首次到访比例和媒体扩散不作独立效果事实。,,docs/human_review_return_HR030_metadata_batch26_v1.md
HR030-S254-NW2FS007,NW2FS007,S254,provisional_source_log_new,NW2-B_R09:R9EC_S007;NW2-C_registry_gate:RV2SP015,https://www.shinfujin.gr.jp/2943,archived,,cross_batch_title_variant;cross_batch_publisher_label_variant,,no,談話：沖縄県知事選で圧勝の民意に応え、ただちに新基地建設中止を,organization_statement,2014,Official post-result statement; self-reports Okinawa members' campaign activity | paragraph explicitly describing Okinawa-headquarters member action,2014 organization public interpretation and bounded self-report | Official national-body attribution of dated Okinawa-headquarters anti-new-base activity,E4,Organizational self-report is not independent evidence of electoral effect. | Supports the branch's attributed activity; election commentary must not become a causal claim. | election_causality_not_inferred;self_report_reach_or_effect_not_inferred;branch_parent_action_not_automatically_transferred;party_affiliation_not_inferred,accept_with_revision,談話：沖縄県知事選で圧勝の民意に応え、ただちに新基地建設中止を,organization_statement,2014,2014-11-21网页；正文落款2014-11-19；第二段明确归因沖縄県本部の会員行动,中央本部公开选后解释及其对县本部会员行动的具名自报；不证明规模或选票作用。,E4,archived_verified,项目负责人,2026-07-20,publisher为新日本妇人会中央本部，不把来源改成A115文件。,,docs/human_review_return_HR030_metadata_batch26_v1.md
HR030-S258-NW2FS011,NW2FS011,S258,provisional_source_log_new,NW2-B_R09:R9EC_S011,https://ryukyushimpo.jp/news/entry-789039.html,failed,TimeoutError,,actual_archive_failed,yes,沖縄県知事選 出遅れ危機感『結束優先』 玉城氏、出馬要請受諾,local_news,2018,"Reports 8/23 request by the adjustment council composed of assembly caucuses, parties, unions and firms",2018 candidate-selection request by a temporary mixed coalition,E3,"The temporary council is an event node, not an NGO or stable alliance. | election_causality_not_inferred;temporary_coalition_not_stable_alliance",accept_with_revision,沖縄県知事選 出遅れ危機感「結束優先」 玉城氏、出馬要請受諾,local_news,2018,2018-08-24发布；首段及8月23日调整会议段，区分正式请求与8月26日预计受诺,2018 candidate-selection request by a temporary mixed coalition；临时事件节点不是NGO或稳定联盟。,E3,retry_transient_failure,项目负责人,2026-07-20,旧Timeout不否定页面内容。,,docs/human_review_return_HR030_metadata_batch26_v1.md
HR030-S259-NW2FS012,NW2FS012,S259,provisional_source_log_new,NW2-B_R09:R9EC_S012,https://www.jstage.jst.go.jp/article/isvsjapan/19/0/19_45/_pdf/-char/en,archived,,,verify_pdf_content_type_for_extensionless_jstage_endpoint,no,主体的な主権者教育を育むための一考察―#みんなごと実践記録,academic_article,2019,"pp.4-5 activity table: 9/5 debate, 9/13 workshop, 9/19 publication; p.7 identifies an informal eight-student group","2018 nonpartisan civic-learning, public-meeting, policy-proposal and observation windows",E4,First-party academic record; candidates are kept as generic event nodes as the paper masks names. | election_causality_not_inferred;person_or_masked_actor_not_transferred,accept_with_revision,主体的な主権者教育を育むための一考察―#みんなごと実践記録,academic_article,2019,PDF pp.5–6/印刷pp.49–50活动表；PDF p.8/印刷p.52八名学生非正式小组,2018 civic-learning、公共讨论、政策比较和提言公开窗口；不制造未列名actor或选举效果。,E4,archived_pdf_verified,项目负责人,2026-07-20,修正PDF/印刷页码与活动日期。,,docs/human_review_return_HR030_metadata_batch26_v1.md
HR030-S261-NW2FS014,NW2FS014,S261,provisional_source_log_new,NW2-B_R09:R9EC_S014,https://www.pref.okinawa.jp/kensei/senkyo/1005009/1023802/1025046/index.html,failed,URLError: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000),,actual_archive_failed,yes,令和4年沖縄県知事選挙 特設ページ,official_data,2022,"Official election administration, final records and 9/11 vote date",2022 election-window date and institutional context only,E4,Does not support any civic-actor role or causal effect. | election_causality_not_inferred,accept_with_revision,【特設ページ】令和4年沖縄県知事選挙及び沖縄県議会議員補欠選挙,official_data,2022,选举日程第1节及选举数据第5节,2022选举窗口日期和制度背景；不支持市民actor角色或因果效果。,E4,retry_transient_failure,项目负责人,2026-07-20,页面更新2024-02-22另记，不能替代选举年。,,docs/human_review_return_HR030_metadata_batch26_v1.md
HR030-S263-NW2FS016,NW2FS016,S263,provisional_source_log_new,NW2-B_R09:R9EC_S016,https://www.min-iren.gr.jp/news-press/shinbun/20220816_46093.html,failed,URLError: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000),,actual_archive_failed,yes,全国の連帯で平和な沖縄―沖縄県知事選集会ひらく,organization_action_record,2022,"Reports 7/29 online support gathering, 436 access points, and explicit re-election call",2022 mainland/medical-network endorsement meeting,E4,Self-reported attendance/access; does not prove voter reach or effect. | election_causality_not_inferred;self_report_reach_or_effect_not_inferred,accept_with_revision,全国の連帯で平和な沖縄 沖縄県知事選集会ひらく,organization_action_record,2022,2022-08-16报道；首段与后续发言段确认2022-07-29集会、436个接入点及连任号召,2022 mainland/medical-network endorsement meeting；436是接入点，不是人数、组织数或效果。,E4,retry_transient_failure,项目负责人,2026-07-20,标题按页面原题。,,docs/human_review_return_HR030_metadata_batch26_v1.md
HR030-S265-NW2FS018,NW2FS018,S265,provisional_source_log_new,NW2-B_R09:R9EC_S018,https://www.okinawatimes.co.jp/articles/-/1000372,archived,,,verify_accessible_text_and_paywall_boundary,no,『知事選を前にいい発信』与野党の受け止め,local_news,2022,Contrasting political interpretations of the 7/30 online event,Classification dispute for 2022 All Okinawa issue event,E3,"Quoted partisan interpretations are observations, not adjudicated event purpose. | election_causality_not_inferred;issue_event_not_automatic_endorsement",accept_with_revision,「知事選を前にいい発信ができた」と玉城デニー氏の与党 野党は一蹴「県民大会ではなく決起集会」,local_news,2022,archived HTML title/description/datePublished；付费正文未核验,classification dispute for 2022 All Okinawa issue event；两方评价是竞争性政治解释。,E3,archived_paywall_limited,项目负责人,2026-07-20,支持范围仅到可见标题/摘要。,,docs/human_review_return_HR030_metadata_batch26_v1.md
HR030-S158-NW2FS022,NW2FS022,S158,provisional_source_log_reuse_existing,NW2-C_registry_gate:RV2SP001,https://miyakojima-tikasui.com/about_us.html,archived,,existing_source_metadata_diff;existing_title_diff_preserve_current;existing_type_diff_preserve_current,,no,宮古島地下水研究会 団体概要,organization_profile,2026,"設立趣旨; lines/paragraphs naming 2018 co-representatives, rules and secretariat",HR-011 C015 defer: comparison organization has a distinct confirmed name and named co-representatives,E4,"The profile's 2018 representatives are a dated leadership observation, not a permanent roster. | stated_environmental_risk_not_proven_contamination;administrative_contact_not_agreement",accept,宮古島地下水研究会 団体概要,organization_profile,2026,設立趣旨；2018-03-31共同代表；規約；事務局,HR-011 C015对照组织的独立名称、2018具日期代表、规则和事务局；不解决C015。,E4,reuse_existing_preserve_human_checked,项目负责人,2026-07-20,accept；既有human_checked元数据全部保留。,,docs/human_review_return_HR030_metadata_batch26_v1.md
HR030-S204-NW2FS023,NW2FS023,S204,provisional_source_log_reuse_existing,NW2-C_registry_gate:RV2SP002,https://miyakojima-tikasui.com/,archived,,existing_source_metadata_diff;activity_range_vs_access_year;locator_is_broad_index;existing_type_diff_preserve_current,,no,宮古島地下水研究会 公式サイト,organization_site,2026,"top page activity, report and news indexes",HR-013 follow-up lead: distinct Miyako groundwater organization for later direct phase-one assessment,E4,Self-published continuity evidence; individual scientific claims require claim-level review. | stated_environmental_risk_not_proven_contamination;administrative_contact_not_agreement,accept_with_revision,宮古島地下水研究会 公式サイト,organization_site,2026,首页活动报告/研究报告/媒体报道/通知索引及可见2024–2025日期条目,网站连续可见性和进一步检索入口；具体主张须相应页面及claim review。,E4,reuse_existing_preserve_human_checked,项目负责人,2026-07-20,2026为访问/快照年；保持human_checked。,,docs/human_review_return_HR030_metadata_batch26_v1.md
HR030-S269-NW2FS024,NW2FS024,S269,provisional_source_log_new,NW2-C_registry_gate:RV2SP003,https://miyakojima-tikasui.com/crisis.html,archived,,publication_date_unavailable_access_date_only,snapshot_current_page_and_record_access_date,no,地下水の危機とは？,organization_site,2026,自衛隊施設の排水 section,The group's explicit framing of SDF-facility water use/wastewater as a groundwater-risk category,E3,"Supports the group's public position, not a finding that contamination or a health effect occurred. | stated_environmental_risk_not_proven_contamination;administrative_contact_not_agreement",accept_with_revision,地下水の危機とは？,organization_site,2026,「2017年以降、消費量が一気に増加」及「自衛隊施設の排水」两节；2026访问快照,研究会公开把自卫队设施用水、生活排水及设施排水表述为地下水风险类别；不证明污染或健康因果。,E3,archived_snapshot_verified,项目负责人,2026-07-20,页面无发布日期，2026仅为快照年。,,docs/human_review_return_HR030_metadata_batch26_v1.md
HR030-S271-NW2FS026,NW2FS026,S271,provisional_source_log_new,NW2-C_registry_gate:RV2SP005,https://www.city.miyakojima.lg.jp/kurashi/seikatsu/kankyohozen/files/tikasui.pdf,archived,,pdf_locator_needs_page_pinpoint,,no,宮古島地下水研究会の見解に対する回答書,local_official,2023,title and response sections,Independent municipal recognition of the group as a repeated administrative interlocutor,E4,"Supports identity and recipient-side procedure, not agreement with the group's scientific interpretation. | stated_environmental_risk_not_proven_contamination;administrative_contact_not_agreement",accept_with_revision,宮古島地下水研究会の見解に対する回答書,local_official,2023,PDF p.1完整标题、宫古岛市署名、2023年2月末日及提案1–5回应结构；pp.2–20附件,该文件呈现研究会提案—市长回答—研究会意见—市政府再回答的行政往返；不推断正式合作或污染事实。,E4,archived_scanned_pdf_verified,项目负责人,2026-07-20,repeated仅指本文件内往返程序。,,docs/human_review_return_HR030_metadata_batch26_v1.md
HR030-S273-NW2FS028,NW2FS028,S273,provisional_source_log_new,NW2-C_registry_gate:RV2SP007,https://www.city.ginowan.lg.jp/material/files/group/61/hukusi_202212.pdf,archived,,hearing_date_vs_report_date_choose_source_log_year,,no,宜野湾市議会 福祉教育常任委員会審査記録（請願第1号）,official_legislative_record,2023,"pp.5-8, especially testimony naming 町田直美・仲松典子 and activity history","Exact identity, named co-representatives, PFAS work history and health-investigation request",E4,The testimony says work began with the 2016 PFOS disclosure; it does not give a precise legal formation date. | PFAS_health_or_source_causality_not_inferred;request_or_coparticipation_not_partnership,accept_with_revision,宜野湾市議会 福祉教育常任委員会審査記録（請願第1号）,official_legislative_record,2023,PDF p.1（2023-08-31报告）；pp.5–7（2022-12-09听证），尤其p.7共同代表与活动史证言,组织身份、当时共同代表、PFAS活动自述和健康调查请求；2016不是精确成立日。,E4,archived_pdf_verified,项目负责人,2026-07-20,2023为报告年，听证日另记。,,docs/human_review_return_HR030_metadata_batch27_v1.md
HR030-S275-NW2FS030,NW2FS030,S275,provisional_source_log_new,NW2-C_registry_gate:RV2SP009,https://www.asahi.com/articles/ASQ9S5J0LQ96TPOB004.html,archived,,,preserve_visible_locator_under_paywall_boundary,no,学校敷地から化学物質PFOS 沖縄米軍基地に隣接,news,2022,"paragraphs describing fundraising, commissioned sampling and published results",Independent direct-role evidence for resident-funded field sampling,E3,Paywalled after the visible evidence; preserve the visible locator and do not infer beyond it. | PFAS_health_or_source_causality_not_inferred;request_or_coparticipation_not_partnership,accept_with_revision,学校敷地から化学物質PFOS 沖縄米軍基地に隣接 米基準の29倍,news,2022,2022-09-25付费墙前可见第2–3段：募捐、委托专业机构、8月15日三点采样、9月5日公布,resident-funded commissioned sampling直接角色；来源归责和健康因果不得升级。,E3,archived_paywall_visible_lead,项目负责人,2026-07-20,补全标题，支持限于可见段落。,,docs/human_review_return_HR030_metadata_batch27_v1.md
HR030-S278-NW2FS033,NW2FS033,S278,provisional_source_log_new,NW2-C_registry_gate:RV2SP012,https://newsdig.tbs.co.jp/articles/-/2642471?display=1,archived,,,verify_dynamic_query_page_and_final_url,no,泡が消えた後に残った白い粉からPFAS検出,news,2026,paragraph naming 照屋正史事務局長 and commissioned expert analysis,Current 2026 identity/continuity and a bounded sampling role,E3,The expert explicitly says the sample cannot be converted to foam volume or sewer concentration. | PFAS_health_or_source_causality_not_inferred;request_or_coparticipation_not_partnership,accept_with_revision,泡が消えた後に残った白い粉からPFAS検出 宜野湾市のマンホール,news,2026,第3–6段采样/委托/专家检测/不可换算限制；第8段照屋正史事务局长,2026组织连续可见性、照屋职位和一次有界采样角色；不换算污染规模或健康影响。,E3,archived_dynamic_url_verified,项目负责人,2026-07-20,补完整标题并保留专家限制语。,,docs/human_review_return_HR030_metadata_batch27_v1.md
HR030-S279-NW2FS034,NW2FS034,S279,provisional_source_log_new,NW2-C_registry_gate:RV2SP013,https://www.jcp.or.jp/akahata/aik25/2026-02-16/2026021611_01_0.php,failed,URLError: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000),,actual_archive_failed,yes,沖縄の米軍基地PFAS汚染 全国交流集会,party_news,2026,paragraph separately naming A099 and 宜野湾ちゅら水会,Name-level evidence that the two PFAS groups were treated as separate organizations in one event,E3,Use only for identity separation and attributed participation; co-participation is not an alliance. | PFAS_health_or_source_causality_not_inferred;request_or_coparticipation_not_partnership,accept_with_revision,沖縄の米軍基地PFAS汚染／周辺住民の健康放置 地位協定などを議論／全国交流集会,party_news,2026,2026-02-16正文第2段，分别列名两个团体,同场活动中两个PFAS团体被分别列名；不证明稳定联盟或污染因果。,E3,archive_status_stale_now_archived,项目负责人,2026-07-20,队列失败状态已过时，当前manifest为archived。,,docs/human_review_return_HR030_metadata_batch27_v1.md
