change_note_id,work_package,case_id,topic,changed_on,original_assumption,failure_reason,revised_approach,affected_anchor_ids,source_receipt_ids,effect_on_numbers,effect_on_claims,principal_decision_requirement,status,review_status,package_scope
W2A-CN001,W2-A,AWWA_five_selected_organizations,source_admission,,Cached renders could provisionally stand in for filing receipts.,tmp/service_recon_990 contains ProPublica-hosted visual renders rather than official IRS artifacts,Cache remains a lead/indexing aid; 14 official IRS bulk XML members now provide monetary anchors.,,W2A-SR001;W2A-SR002;W2A-SR003;W2A-SR004;W2A-SR005;W2A-SR006;W2A-SR007;W2A-SR008;W2A-SR009;W2A-SR010;W2A-SR011;W2A-SR012;W2A-SR013;W2A-SR014,,,no,applied_research_only,ai_seeded,research_only
W2A-CN002,W2-A,AWWA,adjacent_period_gap,,Three consecutive official XML periods would be immediately available for all five organizations.,"IRS 2022 index lists object 202202899349200300, but that member is absent from the current official 2022 bulk ZIP central directory",Freeze two AWWA XML periods and one index-only adjacent filing; do not import its monetary values from the third-party cache.,,W2A-SR001;W2A-SR002;W2A-SR015,,,no,gap_logged_and_scoped,ai_seeded,research_only
W2A-CN003,W2-A,KOSC;NOSCO;OESC,official_archive_transport,,All official members could be extracted with archive-key casing and Python standard-library Deflate.,Some IRS index archive keys use lowercase 'a' while live URLs are case-sensitive; NOSCO 2025 XML uses ZIP method 9 (Deflate64),"Use the canonical uppercase URLs shown on the IRS download page; use optional inflate64 only for the one Deflate64 member, then verify CRC-32 and SHA-256.",,W2A-SR003;W2A-SR009;W2A-SR011;W2A-SR012,,,no,applied_research_only,ai_seeded,research_only
W2A-CN004,W2-A,AWWA_five_selected_organizations,mixed_period_scale,,The rough sums might be described as a single-year ecology scale.,The five latest filings span 2023-06-01 through 2025-06-30 and include possible internal transfers.,Retain only explicitly labeled mixed-period gross diagnostics; no population denominator and no consolidated budget.,,W2A-SR002;W2A-SR005;W2A-SR008;W2A-SR011;W2A-SR014,,,yes_if_used_in_report,derived_diagnostic_pending_principal_use_decision,ai_seeded,research_only
W2A-CN005,W2-A,AWWA_five_selected_organizations,asset_metric_correction,,A single 'ending assets' sum was comparable across forms.,The earlier approximately USD 668k figure combines TotalAssetsEOYAmt for Form 990 filers with NetAssetsOrFundBalancesEOYAmt for Form 990-EZ filers.,Keep total assets and net assets as separate filing metrics; use only the common net-assets/fund-balances field for the five-filing diagnostic.,,W2A-SR002;W2A-SR005;W2A-SR008;W2A-SR011;W2A-SR014,,,no,correction_applied_research_only,ai_seeded,research_only
W2A-CN006,W2-A,MOSCO,xml_blank_semantics,,The FY2025 grants line was confirmed at USD 0.,MOSCO FY2025 official 990-EZ XML omits GrantsAndSimilarAmountsPaidAmt although the reconnaissance summary treated the line as zero.,Record an absent XML element and do not force numeric zero without a filing-semantics decision.,,W2A-SR008,,,yes_if_zero_is_needed,gap_logged,ai_seeded,research_only
W2A-CN007,W2-A,KOSC_to_AWWA,relation_gate_preserved,,Name and amount might be promoted to a KOSC-to-AWWA funding flow.,"KOSC FY2025 Schedule I contains 'American Womens Welfare Association' USD 2,580 inside an individual-assistance group rather than a clean organization RecipientTable.",Do not create an anchor-level flow or central relation; preserve the prior defer pending filing/crosswalk semantics.,,W2A-SR005,,,yes,defer_preserved,ai_seeded,research_only
W2A-CN008,W2-A,OESC_to_AWWA,adjacent_period_extension,,"Only the latest USD 8,479 period had a frozen, clean candidate flow.","Official OESC Schedule I rows report AWWA cash grants in three consecutive periods: USD 16,308; USD 14,371; USD 8,479.",Keep all three as human_checked research-only anchors after principal confirmation on 2026-08-22; all three official XML rows report recipient EIN 980227149.,,W2A-SR012;W2A-SR013;W2A-SR014,,,completed_2026-08-22,principal_confirmed_research_only,ai_seeded,research_only
W2B-CN001,W2-B,USO,financial_reporting_perimeter,,Use one 2024 USO revenue/program-expense total.,"The audited consolidated statement covers USO Inc., the USO Foundation and domestic/overseas centers, while the IRS Form 990 reports the legal entity and produces materially different totals.",Keep consolidated anchors W2B-A001-A005 and Form 990 anchors W2B-A006-A008 side by side; never substitute or add them.,W2B-A001;W2B-A002;W2B-A003;W2B-A004;W2B-A005;W2B-A006;W2B-A007;W2B-A008;W2B-A009,W2B-SR002;W2B-SR003,,Allows national-scale description but prevents a false single budget.,,applied_in_research_ledger,ai_seeded,research_only
W2B-CN002,W2-B,USO,impact_metric_semantics,,"Treat uses, visits and people reached as interchangeable service volume.","The official materials distinguish 11.3m+ uses, 7.2m+ visits and 950k+ people; the 950k population label differs slightly between two USO documents.","Store three separate metrics, preserve lower-bound signs and report the population-label wording variation.",W2B-A011;W2B-A012;W2B-A013,W2B-SR003;W2B-SR004,,Prevents double counting and prevents a use count from becoming a beneficiary count.,,applied_in_research_ledger,ai_seeded,research_only
