usage_scope,usage_object_id,place,reference_id,existing_main_source_id,reference_kind,title,url,source_type,evidence_level,review_status,archive_status,supports_or_relation_basis,interpretation_limit
actor_place_edge,AP001,Henoko,S006,S006,main_source_id,OEJP 71 organizations MMC request,https://okinawaejp.blogspot.com/2020/07/,international_advocacy,E4,ai_seeded,archived,OEJP/MMC Henoko advocacy,Source/ref inclusion preserves provenance only; it does not approve the edge or semantic candidate.
actor_place_edge,AP001,Henoko,S007,S007,main_source_id,The Plight of the Okinawa Dugong,https://apjjf.org/2020/16/yoshikawaoejp,academic_article,E3,ai_seeded,manual_archived,OEJP/MMC Henoko advocacy,Source/ref inclusion preserves provenance only; it does not approve the edge or semantic candidate.
actor_place_edge,AP001,Henoko,S008,S008,main_source_id,ジュゴン保護 県内外71団体が米海洋哺乳類委員会に要請,https://ryukyushimpo.jp/news/entry-1154960.html,local_news,E3,ai_seeded,archived,OEJP/MMC Henoko advocacy,Source/ref inclusion preserves provenance only; it does not approve the edge or semantic candidate.
actor_place_edge,AP002,Oura Bay,S006,S006,main_source_id,OEJP 71 organizations MMC request,https://okinawaejp.blogspot.com/2020/07/,international_advocacy,E4,ai_seeded,archived,OEJP/MMC dugong/Oura Bay advocacy,Source/ref inclusion preserves provenance only; it does not approve the edge or semantic candidate.
actor_place_edge,AP002,Oura Bay,S007,S007,main_source_id,The Plight of the Okinawa Dugong,https://apjjf.org/2020/16/yoshikawaoejp,academic_article,E3,ai_seeded,manual_archived,OEJP/MMC dugong/Oura Bay advocacy,Source/ref inclusion preserves provenance only; it does not approve the edge or semantic candidate.
actor_place_edge,AP002,Oura Bay,S008,S008,main_source_id,ジュゴン保護 県内外71団体が米海洋哺乳類委員会に要請,https://ryukyushimpo.jp/news/entry-1154960.html,local_news,E3,ai_seeded,archived,OEJP/MMC dugong/Oura Bay advocacy,Source/ref inclusion preserves provenance only; it does not approve the edge or semantic candidate.
actor_place_edge,AP003,Henoko,S007,S007,main_source_id,The Plight of the Okinawa Dugong,https://apjjf.org/2020/16/yoshikawaoejp,academic_article,E3,ai_seeded,manual_archived,Dugong protection campaign and Henoko/Oura Bay advocacy context,Source/ref inclusion preserves provenance only; it does not approve the edge or semantic candidate.
actor_place_edge,AP003,Henoko,S057,S057,main_source_id,ジュゴン保護キャンペーンセンター公式サイト,http://www.sdcc.jp/,organization_site,E4,ai_seeded,archived,Dugong protection campaign and Henoko/Oura Bay advocacy context,Source/ref inclusion preserves provenance only; it does not approve the edge or semantic candidate.
actor_place_edge,AP003,Henoko,S058,S058,main_source_id,IUCN member page: Save the Dugong Campaign Center,https://iucn.org/our-union/members/iucn-members/save-dugong-campaign-center,ngo_directory,E4,ai_seeded,archived,Dugong protection campaign and Henoko/Oura Bay advocacy context,Source/ref inclusion preserves provenance only; it does not approve the edge or semantic candidate.
actor_place_edge,AP003,Henoko,S059,S059,main_source_id,GEOC団体情報: ジュゴン保護キャンペーンセンター,https://www.geoc.jp/rashinban/dantai_detail_591.html,ngo_directory,E4,ai_seeded,archived,Dugong protection campaign and Henoko/Oura Bay advocacy context,Source/ref inclusion preserves provenance only; it does not approve the edge or semantic candidate.
actor_place_edge,AP004,Oura Bay,S007,S007,main_source_id,The Plight of the Okinawa Dugong,https://apjjf.org/2020/16/yoshikawaoejp,academic_article,E3,ai_seeded,manual_archived,Dugong habitat and advocacy context,Source/ref inclusion preserves provenance only; it does not approve the edge or semantic candidate.
actor_place_edge,AP004,Oura Bay,S057,S057,main_source_id,ジュゴン保護キャンペーンセンター公式サイト,http://www.sdcc.jp/,organization_site,E4,ai_seeded,archived,Dugong habitat and advocacy context,Source/ref inclusion preserves provenance only; it does not approve the edge or semantic candidate.
actor_place_edge,AP004,Oura Bay,S058,S058,main_source_id,IUCN member page: Save the Dugong Campaign Center,https://iucn.org/our-union/members/iucn-members/save-dugong-campaign-center,ngo_directory,E4,ai_seeded,archived,Dugong habitat and advocacy context,Source/ref inclusion preserves provenance only; it does not approve the edge or semantic candidate.
actor_place_edge,AP004,Oura Bay,S059,S059,main_source_id,GEOC団体情報: ジュゴン保護キャンペーンセンター,https://www.geoc.jp/rashinban/dantai_detail_591.html,ngo_directory,E4,ai_seeded,archived,Dugong habitat and advocacy context,Source/ref inclusion preserves provenance only; it does not approve the edge or semantic candidate.
actor_place_edge,AP005,Okinawa Prefecture,S003,S003,main_source_id,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,https://www.wwf.or.jp/activities/statement/3436.html,ngo_statement,E4,ai_seeded,archived,2010 WWF signatory context,Source/ref inclusion preserves provenance only; it does not approve the edge or semantic candidate.
actor_place_edge,AP006,Henoko,S003,S003,main_source_id,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,https://www.wwf.or.jp/activities/statement/3436.html,ngo_statement,E4,ai_seeded,archived,2010 WWF Henoko statement,Source/ref inclusion preserves provenance only; it does not approve the edge or semantic candidate.
actor_place_edge,AP007,Henoko,S004,S004,main_source_id,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,ngo_statement,E4,ai_seeded,archived,2015 NACSJ statement,Source/ref inclusion preserves provenance only; it does not approve the edge or semantic candidate.
actor_place_edge,AP008,Oura Bay,S004,S004,main_source_id,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,ngo_statement,E4,ai_seeded,archived,2015 NACSJ statement,Source/ref inclusion preserves provenance only; it does not approve the edge or semantic candidate.
actor_place_edge,AP009,Henoko,S003,S003,main_source_id,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,https://www.wwf.or.jp/activities/statement/3436.html,ngo_statement,E4,ai_seeded,archived,2010 WWF statement,Source/ref inclusion preserves provenance only; it does not approve the edge or semantic candidate.
actor_place_edge,AP010,Henoko,S003,S003,main_source_id,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,https://www.wwf.or.jp/activities/statement/3436.html,ngo_statement,E4,ai_seeded,archived,2010 WWF statement,Source/ref inclusion preserves provenance only; it does not approve the edge or semantic candidate.
