log_id,row_kind,case_id,local_source_id,source_type,publisher,title,source_date,url,locator,supports,search_or_exclusion_note,evidence_type,included_in_case,candidate_status,review_status,package_status,frontend_status,central_writeback,central_source_id
TNL001,included_source,TN01,TNS001,official_municipal_council_result_pdf,宮古島市議会,平成28年第7回定例会上程案件处理结果,2016-09-29,https://www.city.miyakojima.lg.jp/gyosei/gikai/files/28.dai7kaijyouteiannkennsyorikekka.pdf,PDF p.4 陳情書第26号,提出者、诉求、提出日、处理日与不採択,,source_or_search_log_only,yes,candidate,ai_seeded,research_only,not_frontend_ready,no,
TNL002,included_source,TN01,TNS002,official_municipal_council_minutes_pdf,宮古島市議会,平成28年第7回宮古島市議会定例会会議録,2016-09,https://www.city.miyakojima.lg.jp/gyosei/gikai/files/h28.9.dai7kai.kaigiroku.pdf,PDF案件处理表及陳情書第26号审议记录,正式议程、委员会／全会处理轨迹,,source_or_search_log_only,yes,candidate,ai_seeded,research_only,not_frontend_ready,no,
TNL003,included_source,TN01,TNS003,local_news,琉球新報,「陸自配備 住民投票を」宮古島市 市民、条例制定求め陳情,2016-09-07,https://ryukyushimpo.jp/news/entry-352086.html,正文第65–69行,组织正式名称、共同代表与原始诉求,,source_or_search_log_only,yes,candidate,ai_seeded,research_only,not_frontend_ready,no,
TNL004,included_source,TN01,TNS004,local_news,宮古毎日新聞,住民投票実施など審査／総務財政委,2016-09-14,https://www.miyakomainichi.com/news/post-92682/,正文第131–150行,委员会实质审查及多种不支持理由,,source_or_search_log_only,yes,candidate,ai_seeded,research_only,not_frontend_ready,no,
TNL005,included_source,TN02,TNS005,local_broadcast_news,RBC琉球放送,PFAS汚染源の特定へ「公害認定を第一歩に」市民団体が県に調停申請,2025-10-27,https://newsdig.tbs.co.jp/articles/rbc/2252071?display=1,正文第171–194行,申请日期、主要诉求、程序对象适格争点,,source_or_search_log_only,yes,candidate,ai_seeded,research_only,not_frontend_ready,no,
TNL006,included_source,TN02,TNS006,local_news,琉球新報,PFAS公害調停の申請を却下 県審査会が市民団体に通知,2026-02-21,https://ryukyushimpo.jp/news/entry-5057453.html,正文第68–69行,三申请团体、却下与防卫设施适用除外,,source_or_search_log_only,yes,candidate,ai_seeded,research_only,not_frontend_ready,no,
TNL007,included_source,TN02,TNS007,wire_report_republished_local,共同通信／沖縄タイムス,PFAS公害調停の申請を却下 沖縄、米軍基地は対象外,2026-02-21,https://www.okinawatimes.co.jp/articles/-/1779988,正文第166–184行,决定书理由、程序性却下及非拘束性意见,,source_or_search_log_only,yes,candidate,ai_seeded,research_only,not_frontend_ready,no,
TNL008,included_source,TN02,TNS008,official_prefectural_procedure_page,沖縄県,調停とは（手続きの流れ）,2024-01-11,https://www.pref.okinawa.lg.jp/kensei/shingikai/1014397/1014517/1004600/1004614.html,正文第193–223行,申请接收、受理／却下门槛、调停的非强制与非命令性质,,source_or_search_log_only,yes,candidate,ai_seeded,research_only,not_frontend_ready,no,
TNL009,included_source,TN03,TNS009,official_appellate_judgment_pdf,福岡高等裁判所那覇支部,令和2年(ネ)第61号 安保法制違憲国家賠償請求控訴事件判決,2021-02-18,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-90088.pdf,"PDF pp.1,4–7",诉求、80名控诉人、恐惧认定、权利侵害否定与控诉棄却,法院现行assets迁移地址于2026-07-20直连返回200。旧地址https://www.courts.go.jp/app/files/hanrei_jp/088/090088_hanrei.pdf 同日直连返回404，仅保留为legacy locator，不再用于复现。,source_or_search_log_only,yes,candidate,ai_seeded,research_only,not_frontend_ready,no,
TNL010,included_source,TN03,TNS010,local_news,琉球新報,安保法訴訟、控訴を棄却 住民側は上告方針 高裁那覇支部,2021-02-19,https://ryukyushimpo.jp/news/entry-1274492.html,正文第67–74行,原告构成、法院承认切实恐惧但未作违宪判断,,source_or_search_log_only,yes,candidate,ai_seeded,research_only,not_frontend_ready,no,
TNL011,included_source,TN03,TNS011,local_news,沖縄タイムス,安保違憲訴訟 原告側が控訴／那覇地裁判決に不服,2020-07-11,https://www.okinawatimes.co.jp/articles/-/599308,搜索可见正文摘要,地裁82人原告、每人1万日元国家赔偿与地裁未作违宪判断,,source_or_search_log_only,yes,candidate,ai_seeded,research_only,not_frontend_ready,no,
TNL012,included_source,TN03,TNS012,official_court_preservation_list_pdf,福岡高等裁判所,特別保存に付した事件（令和3年終局分）,2025-06-24,https://www.courts.go.jp/fukuoka-h/vc-files/fukuoka-h/tokubetuhozon/20250624/syuukyoku/r3syuukyokubun.pdf,PDF案件表第13项,那覇支部令和2年(ネ)61号、案件名与终局日2021-02-18,,source_or_search_log_only,yes,candidate,ai_seeded,research_only,not_frontend_ready,no,
TNL013,included_source,TN04,TNS013,party_press,しんぶん赤旗,ミサイル配備 説明を／沖縄 与那国町民、防衛省に質問書,2023-05-12,https://www.jcp.or.jp/akahata/aik23/2023-05-12/2023051201_03_0.html,正文第30–39行,10项问题、说明会答复请求与问题内容,,source_or_search_log_only,yes,candidate,ai_seeded,research_only,not_frontend_ready,no,
TNL014,included_source,TN04,TNS014,local_broadcast_news,QAB,自衛隊ミサイル配備計画で 与那国住民が国に質問書,2023-05-10,https://www.qab.co.jp/news/20230510174085.html,正文第25–38行,提出人、问题主旨与要求在说明会回答,,source_or_search_log_only,yes,candidate,ai_seeded,research_only,not_frontend_ready,no,
TNL015,included_source,TN04,TNS015,local_news,琉球新報,与那国ミサイル配備計画 住民の質問状に沖縄防衛局「文書による回答できない」,2023-05-13,https://ryukyushimpo.jp/news/entry-1709292.html,正文第65–70行,15人联名、书面答复请求与住民转述的电话拒绝,,source_or_search_log_only,yes,candidate,ai_seeded,research_only,not_frontend_ready,no,
TNL016,included_source,TN04,TNS016,official_municipal_QA_pdf,与那国町,与那国住民説明会における質問回答,2023-06-05,https://www.town.yonaguni.okinawa.jp/docs/2023060500011/file_contents/shitumon.pdf,PDF全文,说明会中住民问题的官方公开答复,,source_or_search_log_only,yes,candidate,ai_seeded,research_only,not_frontend_ready,no,
TNL017,included_source,TN04,TNS017,official_municipal_followup_page,与那国町,駐屯地への地対空誘導弾部隊の配備に関する追加質問への回答,2023-07-25,https://www.town.yonaguni.okinawa.jp/docs/2023072500016/,页面及附件,防卫省对町所收追加问题提供答复,,source_or_search_log_only,yes,candidate,ai_seeded,research_only,not_frontend_ready,no,
TNL018,included_source,TN05,TNS018,official_archived_petition_page,U.S. National Archives / Trump White House archive,Stop the landfill of Henoko / Oura Bay until a referendum can be held in Okinawa,2018-12-08,https://petitions.trumpwhitehouse.archives.gov/petition/stop-landfill-henoko-oura-bay-until-referendum-can-be-held-okinawa,页面标题、创建日、212945签名、诉求与类别,正式入场、诉求文本与超过阈值的签名数,,source_or_search_log_only,yes,candidate,ai_seeded,research_only,not_frontend_ready,no,
TNL019,included_source,TN05,TNS019,official_platform_rules,Trump White House archive,About We the People,archived,https://petitions.trumpwhitehouse.archives.gov/about,正文第28–52行及FAQ,10万／30日门槛、审查队列与官方回应规则及例外,,source_or_search_log_only,yes,candidate,ai_seeded,research_only,not_frontend_ready,no,
TNL020,included_source,TN05,TNS020,party_press,しんぶん赤旗,辺野古請願署名 ホワイトハウス「慎重に検討」,2019-01-23,https://www.jcp.or.jp/akahata/aik18/2019-01-23/2019012301_04_1.html,全文,发起者身份、达标日、通信部门确认函与致谢内容,,source_or_search_log_only,yes,candidate,ai_seeded,research_only,not_frontend_ready,no,
TNL021,included_source,TN05,TNS021,local_news,琉球新報,目標の10万筆突破 ホワイトハウス請願サイト署名,2018-12-19,https://ryukyushimpo.jp/news/entry-850681.html,正文,Robert Kajiwara发起者身份与2018-12-18超过10万,,source_or_search_log_only,yes,candidate,ai_seeded,research_only,not_frontend_ready,no,
