actor_id,canonical_name,candidate_ref,source_id,source_type,source_title,source_url,archive_status,provenance_method,candidate_url,candidate_url_kind,ownership_assessment,selected,exclusion_reason,last_checked
A001,Okinawa Environmental Justice Project,S006,S006,international_advocacy,OEJP 71 organizations MMC request,https://okinawaejp.blogspot.com/2020/07/,archived,normalized_from_actor_source_domain,https://okinawaejp.blogspot.com/,official_site,qualifying_candidate,yes,,2026-07-11
A001,Okinawa Environmental Justice Project,S007,S007,academic_article,The Plight of the Okinawa Dugong,https://apjjf.org/2020/16/yoshikawaoejp,manual_archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-01
A001,Okinawa Environmental Justice Project,S008,S008,local_news,ジュゴン保護 県内外71団体が米海洋哺乳類委員会に要請,https://ryukyushimpo.jp/news/entry-1154960.html,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,S007,S007,academic_article,The Plight of the Okinawa Dugong,https://apjjf.org/2020/16/yoshikawaoejp,manual_archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-01
A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,S009,S009,legal_international,Earthjustice dugong litigation explainer,https://earthjustice.org/article/fighting-to-protect-the-dugongs-of-japan-s-henoko-bay,archived,exact_actor_id_support_elsewhere_in_log,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,S057,S057,organization_site,ジュゴン保護キャンペーンセンター公式サイト,http://www.sdcc.jp/,archived,actor_source_ref,http://www.sdcc.jp/,official_site,qualifying_candidate,yes,,2026-07-11
A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,S058,S058,ngo_directory,IUCN member page: Save the Dugong Campaign Center,https://iucn.org/our-union/members/iucn-members/save-dugong-campaign-center,archived,actor_source_ref,https://iucn.org/our-union/members/iucn-members/save-dugong-campaign-center,official_registry,qualifying_candidate,no,,2026-07-11
A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,S059,S059,ngo_directory,GEOC団体情報: ジュゴン保護キャンペーンセンター,https://www.geoc.jp/rashinban/dantai_detail_591.html,archived,actor_source_ref,https://www.geoc.jp/rashinban/dantai_detail_591.html,official_registry,qualifying_candidate,no,,2026-07-11
A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,S062,S062,legal_international,Earthjustice Okinawa Dugong case page,https://earthjustice.org/case/okinawa-dugong-proposed-airbase,archived,exact_actor_id_support_elsewhere_in_log,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A003,ジュゴンネットワーク沖縄,S003,S003,ngo_statement,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,https://www.wwf.or.jp/activities/statement/3436.html,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A004,日本自然保護協会,S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,normalized_from_actor_owned_statement_domain,https://www.nacsj.or.jp/,official_site,qualifying_candidate,yes,,2026-07-11
A005,WWFジャパン,S003,S003,ngo_statement,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,https://www.wwf.or.jp/activities/statement/3436.html,archived,normalized_from_actor_owned_statement_domain,https://www.wwf.or.jp/,official_site,qualifying_candidate,yes,,2026-07-11
A006,グリーンピース・ジャパン,S003,S003,ngo_statement,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,https://www.wwf.or.jp/activities/statement/3436.html,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
