receipt_id,publisher,title,source_family,url,retrieved_at,artifact_path,sha256,mime_type,exact_locator,archive_status,supports_outputs,notes
W2A-SR001,Internal Revenue Service (IRS),"AWWA Form 990EZ XML, tax period 2022-06-01 to 2023-05-31",official_irs_bulk_xml,https://apps.irs.gov/pub/epostcard/990/xml/2024/2024_TEOS_XML_03A.zip,2026-08-22T01:48:41+08:00,outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/awwa_fy2023_202410619349200461.xml,c74f70a03c76d94e6d7ec88145c27dd7d23df5f3c0f1b11cbeed6d148434bf3e,application/xml,bulk ZIP member 202410619349200461_public.xml; EIN 980227149; IRS object 202410619349200461,archived_official_member_sha256_and_zip_crc_verified,filing_period_register;filing_metric_long;person_actor_role_time;resource_flow_ledger,Inherited byte-for-byte receipt metadata from the principal-confirmed W2-00 package.
W2A-SR002,Internal Revenue Service (IRS),"AWWA Form 990EZ XML, tax period 2023-06-01 to 2024-05-31",official_irs_bulk_xml,https://apps.irs.gov/pub/epostcard/990/xml/2024/2024_TEOS_XML_11A.zip,2026-08-22T01:48:41+08:00,outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/awwa_fy2024_202443189349200514.xml,9bf6113a1419862ff2228f527d955f4e0ed6391d3f5c3ad54f872a33362f9433,application/xml,bulk ZIP member 202443189349200514_public.xml; EIN 980227149; IRS object 202443189349200514,archived_official_member_sha256_and_zip_crc_verified,filing_period_register;filing_metric_long;person_actor_role_time;resource_flow_ledger,Inherited byte-for-byte receipt metadata from the principal-confirmed W2-00 package.
W2A-SR003,Internal Revenue Service (IRS),"KOSC Form 990 XML, tax period 2022-06-01 to 2023-05-31",official_irs_bulk_xml,https://apps.irs.gov/pub/epostcard/990/xml/2024/2024_TEOS_XML_04A.zip,2026-08-22T01:48:41+08:00,outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/kosc_fy2023_202430969349301028.xml,2ea525c52c090af0eb500adecac05b8c5933f9baee7bd996e773ee3b0b613eea,application/xml,bulk ZIP member 202430969349301028_public.xml; EIN 980214323; IRS object 202430969349301028,archived_official_member_sha256_and_zip_crc_verified,filing_period_register;filing_metric_long;person_actor_role_time;resource_flow_ledger,Inherited byte-for-byte receipt metadata from the principal-confirmed W2-00 package.
W2A-SR004,Internal Revenue Service (IRS),"KOSC Form 990 XML, tax period 2023-06-01 to 2024-05-31",official_irs_bulk_xml,https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_03A.zip,2026-08-22T01:48:41+08:00,outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/kosc_fy2024_202500669349300300.xml,547ecf8947ac63d9409cb3c85364ea1b4514009acd3015a135de1a24abe60d39,application/xml,bulk ZIP member 202500669349300300_public.xml; EIN 980214323; IRS object 202500669349300300,archived_official_member_sha256_and_zip_crc_verified,filing_period_register;filing_metric_long;person_actor_role_time;resource_flow_ledger,Inherited byte-for-byte receipt metadata from the principal-confirmed W2-00 package.
W2A-SR005,Internal Revenue Service (IRS),"KOSC Form 990 XML, tax period 2024-06-01 to 2025-05-31",official_irs_bulk_xml,https://apps.irs.gov/pub/epostcard/990/xml/2026/2026_TEOS_XML_01A.zip,2026-08-22T01:48:41+08:00,outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/irs_202630129349300153_public.xml,9b236ca03e122c0dbbd84f40241feca120db5eb484525c5627498135ffdad367,application/xml,bulk ZIP member 202630129349300153_public.xml; EIN 980214323; IRS object 202630129349300153,archived_official_member_sha256_and_zip_crc_verified,filing_period_register;filing_metric_long;person_actor_role_time;resource_flow_ledger,Inherited byte-for-byte receipt metadata from the principal-confirmed W2-00 package.
W2A-SR006,Internal Revenue Service (IRS),"MOSCO Form 990EZ XML, tax period 2022-06-01 to 2023-05-31",official_irs_bulk_xml,https://apps.irs.gov/pub/epostcard/990/xml/2024/2024_TEOS_XML_03A.zip,2026-08-22T01:48:41+08:00,outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/mosco_fy2023_202410719349201281.xml,d8b431a8ddf4c24e401f75b3fd4a19cb58b6bc9ae7d8d416467cd43893a21d95,application/xml,bulk ZIP member 202410719349201281_public.xml; EIN 460598583; IRS object 202410719349201281,archived_official_member_sha256_and_zip_crc_verified,filing_period_register;filing_metric_long;person_actor_role_time;resource_flow_ledger,Inherited byte-for-byte receipt metadata from the principal-confirmed W2-00 package.
W2A-SR007,Internal Revenue Service (IRS),"MOSCO Form 990EZ XML, tax period 2023-06-01 to 2024-05-31",official_irs_bulk_xml,https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_04A.zip,2026-08-22T01:48:41+08:00,outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/mosco_fy2024_202501019349201215.xml,bcfb472a8000d57650bb9640c14a49c9150a9710e3e21c0881a8b0f64ade2035,application/xml,bulk ZIP member 202501019349201215_public.xml; EIN 460598583; IRS object 202501019349201215,archived_official_member_sha256_and_zip_crc_verified,filing_period_register;filing_metric_long;person_actor_role_time;resource_flow_ledger,Inherited byte-for-byte receipt metadata from the principal-confirmed W2-00 package.
W2A-SR008,Internal Revenue Service (IRS),"MOSCO Form 990EZ XML, tax period 2024-06-01 to 2025-05-31",official_irs_bulk_xml,https://apps.irs.gov/pub/epostcard/990/xml/2026/2026_TEOS_XML_06A.zip,2026-08-22T01:48:41+08:00,outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/mosco_fy2025_202621539349200807.xml,57fcafd2a6307f304e687420b11559812d4da5c6f240ae45bc8de24f2fb2f4b3,application/xml,bulk ZIP member 202621539349200807_public.xml; EIN 460598583; IRS object 202621539349200807,archived_official_member_sha256_and_zip_crc_verified,filing_period_register;filing_metric_long;person_actor_role_time;resource_flow_ledger,Inherited byte-for-byte receipt metadata from the principal-confirmed W2-00 package.
W2A-SR009,Internal Revenue Service (IRS),"NOSCO Form 990 XML, tax period 2022-07-01 to 2023-06-30",official_irs_bulk_xml,https://apps.irs.gov/pub/epostcard/990/xml/2024/2024_TEOS_XML_05A.zip,2026-08-22T01:48:41+08:00,outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/nosco_fy2023_202411349349304281.xml,a1eebf87d557d3e9877551ec20bdf4eec2186f9aa58f5b100a02fae95b32721a,application/xml,bulk ZIP member 202411349349304281_public.xml; EIN 980210979; IRS object 202411349349304281,archived_official_member_sha256_and_zip_crc_verified,filing_period_register;filing_metric_long;person_actor_role_time;resource_flow_ledger,Inherited byte-for-byte receipt metadata from the principal-confirmed W2-00 package.
W2A-SR010,Internal Revenue Service (IRS),"NOSCO Form 990 XML, tax period 2023-07-01 to 2024-06-30",official_irs_bulk_xml,https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_01A.zip,2026-08-22T01:48:41+08:00,outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/nosco_fy2024_202530159349302288.xml,d4584a84ff53be952a9bee4e4e53796e49f7eecb9ab0519bae3a99db8518c440,application/xml,bulk ZIP member 202530159349302288_public.xml; EIN 980210979; IRS object 202530159349302288,archived_official_member_sha256_and_zip_crc_verified,filing_period_register;filing_metric_long;person_actor_role_time;resource_flow_ledger,Inherited byte-for-byte receipt metadata from the principal-confirmed W2-00 package.
