place,frame_code,frame_label,online_evidence_density,key_actor_or_speaker_candidates,key_events_or_documents,corpus_source_ids,current_explanatory_value,major_bias_or_gap,online_next_step,local_retrieval_trigger,coding_status
Miyako,F_GW,groundwater_life_safety,high,"A012;A013;C015;C016;GOV_MIYAKO_CITY",地下水保护条例;部署陈情;2016集会;持续环境活动,R4S001;R4S002;R4S003;R4S004,饮用水是部署争议进入生命安全语言的核心地方资源,组织原始陈情/声明仍少且一般水政策可能被误当部署立场,获取2017陈情原文和A012/A013自有声明,线上找不到原始陈情及组织沿革时派当地报刊/议会档案,ai_seeded_candidate
Miyako,F_AUT,local_autonomy_referendum,medium,"A013;C015;LEG_MIYAKO_COUNCIL",部署陈情;避难计划居民参与质询,R4S002;R4S008;R4S009,自治主要体现为说明/参与和地方意见是否进入决策而非单一公投,缺类似石垣的制度化住民投票事件,检索市议会陈情与居民说明会全部记录,代表和组织持续性只能靠地方资料时派单,ai_seeded_candidate
Miyako,F_FTE,frontline_taiwan_evacuation,high,"GOV_MIYAKO_CITY;LEG_MIYAKO_COUNCIL",国民保护计划;全岛撤离预案;2025议会质询;2026意见回答,R4S006;R4S007;R4S008;R4S009,框架已从抽象安全风险进入运输前提/居民财产/返回生活等实施问题,政府预案远多于民间组织文本,补市民组织对撤离可行性的公开声明,只有地方报刊/会议录像保存市民意见时派单,ai_seeded_candidate
Miyako,F_ENV,environment_deployment,high,"A012;A013;C015;C016;C017",地下水监测;海洋调查;部署陈情,R4S002;R4S003;R4S004;R4S005,环境框架不是泛生态而是水源脆弱性与基地施工/排水风险的连接,持续环保NPO未必参与反部署,对每actor区分一般环境使命与部署事件文本,需要纸本会报确认跨议题参与时派单,ai_seeded_candidate
Ishigaki,F_GW,groundwater_life_safety,medium,"LEG_ISHIGAKI_COUNCIL;RESIDENTS_ISHIGAKI",国民保护改正决议;居民意见交换,R4S014;R4S015,生命安全在石垣主要表现为医疗/运输/补偿和撤离而非地下水,当前标签名可能误导为水议题；石垣水源证据薄,另检索部署地水源/生活基础设施材料,若地方环境资料未数字化再派单,ai_seeded_candidate
Ishigaki,F_AUT,local_autonomy_referendum,very_high,"A011;GOV_ISHIGAKI_CITY;LEG_ISHIGAKI_COUNCIL",14263份有效签名;条例两次否决;诉讼;撤离意见确认,R4S010;R4S011;R4S012;R4S014,三地中自治/公投制度化程度最强且有法院事实链,诉讼失败容易被误读为公投诉求不存在,抽取判决争点/结论并对齐组织时间线,地方报刊用于补组织内部过程而非基本事实,ai_seeded_candidate
Ishigaki,F_FTE,frontline_taiwan_evacuation,high,"GOV_ISHIGAKI_CITY;LEG_ISHIGAKI_COUNCIL;RESIDENTS_ISHIGAKI",年度避难要领;改正决议;意见交换,R4S013;R4S014;R4S015,公开讨论进入残留人员/医护/补偿/居民意愿等具体执行层,官方材料强但参与者样本小且组织角色弱,逐年比较R4-R7避难要领并提取变化,需报刊数据库补公众争论范围时派单,ai_seeded_candidate
Ishigaki,F_ENV,environment_deployment,medium,"A010;Okinawa Prefectural Assembly",平得大俣施工与冠鹫营巢/说明争议,R4S016,环境与部署通过特定物种和施工程序发生连接,缺组织一手请求书和连续生态监测资料,检索A010请求书/防卫局环境说明/冠鹫调查,原始传单或地方报刊不可在线取得时派单,ai_seeded_candidate
Yonaguni,F_GW,groundwater_life_safety,low,"A016;GOV_YONAGUNI_TOWN",岛民生活安全行动;国民保护计划,R4S020;R4S022;R4S023,现有线上证据支持生活安全但不支持地下水为主要部署框架,将与那国环境化或照搬宫古水框架是主要风险,检索医疗/港口/弹药库/生活保障而非强搜环保,只有具名生活安全行动缺原件时派单,ai_seeded_candidate
Yonaguni,F_AUT,local_autonomy_referendum,high,"A014;A015;GOV_YONAGUNI_TOWN",2012意见广告;2015住民投票,R4S017,自治框架集中在是否配备的地方意见表达和投票,投票对后续新部队/扩编不具自动授权效力且A014/A015身份仍弱,检索町议会条例/投票公告/选管资料,组织正式名代表持续性需八重山报刊/实物时派单,ai_seeded_candidate
Yonaguni,F_FTE,frontline_taiwan_evacuation,very_high,"A016;GOV_YONAGUNI_TOWN;MOD_JAPAN;GOV_OKINAWA_PREF;GOV_CABINET_SAGA",沿岸监视队;防卫白书与台湾;联合训练;新导弹说明会,R4S018;R4S019;R4S020;R4S021;R4S023;R4S024;R4S025,三地中前线/台湾邻近/岛外撤离的制度化和公开可见度最高,官方安全叙事压倒民间材料且训练不等于可执行能力,补居民说明会问题/町议会记录/生活恢复问题,地方报刊和会议实录不可在线时派单,ai_seeded_candidate
Yonaguni,F_ENV,environment_deployment,very_low,"none confirmed",无足够候选事件,,当前最重要结论是环境不是可证实的主导反部署框架,不可因岛屿生态丰富就推断环境动员,停止机械补环境标签；只接受具名组织原始文本,若当地材料出现明确环境主张再开启补查,ai_seeded_candidate
