observation_id,source_layer,source_row_id,provider_id,provider_name,recipient_label,canonical_endpoint_id,endpoint_display_name,recipient_domain,period_or_date,flow_structure,directness,amount,currency,identity_status,evidence_status,source_receipt_ids,overlap_candidate_group,dedup_class,eligibility_for_independent_provider_count,boundary_note,fact_status
ROI001,W2-A resource_flow_ledger,RF005,X004,American Welfare & Works Association (AWWA),Children Kana-san Okinawa,EP_KANA,かなさん沖縄,child/family medical care,2022-06-01/2023-05-31,provider_to_recipient_descriptor,provider_filing_only,15287,USD,descriptor_crosswalk_pending_principal,ai_seeded,W2A-SR001,EP_KANA,single_provider_observation,yes_direct_candidate,The English descriptor is not yet an approved Japanese legal entity crosswalk; no recipient-side amount/period closure is implied.,lead_only
ROI002,W2-A resource_flow_ledger,RF006,X004,American Welfare & Works Association (AWWA),Okinawa Nanbu Rehabilitation and Medical Center,EP_NANBU_REHAB,沖縄南部療育医療センター,medical/welfare,2022-06-01/2023-05-31,provider_to_recipient_descriptor,provider_filing_only,14870,USD,descriptor_crosswalk_pending_principal,ai_seeded,W2A-SR001,EP_NANBU_REHAB,single_provider_observation,yes_direct_candidate,The English descriptor is not yet an approved Japanese legal entity crosswalk; no recipient-side amount/period closure is implied.,lead_only
ROI003,W2-A resource_flow_ledger,RF007,X004,American Welfare & Works Association (AWWA),NPO ARU,EP_ARU,一般社団法人ある（候选）,youth/welfare,2022-06-01/2023-05-31,provider_to_recipient_descriptor,provider_filing_only,13986,USD,descriptor_crosswalk_pending_principal,ai_seeded,W2A-SR001,EP_ARU,single_provider_observation,yes_direct_candidate,The English descriptor is not yet an approved Japanese legal entity crosswalk; no recipient-side amount/period closure is implied.,lead_only
ROI004,W2-A resource_flow_ledger,RF008,X004,American Welfare & Works Association (AWWA),Ambitious,EP_AMBITIOUS,認定NPO法人アンビシャス,medical/welfare,2023-06-01/2024-05-31,provider_to_recipient_descriptor,provider_filing_only,13423,USD,descriptor_crosswalk_pending_principal,ai_seeded,W2A-SR002,EP_AMBITIOUS,single_provider_observation,yes_direct_candidate,The English descriptor is not yet an approved Japanese legal entity crosswalk; no recipient-side amount/period closure is implied.,lead_only
ROI005,W2-A resource_flow_ledger,RF009,X004,American Welfare & Works Association (AWWA),Himawari Day Care on Ishigaki Island,EP_HIMAWARI,石垣市障がい児通所支援事業所ひまわり,child/welfare,2023-06-01/2024-05-31,provider_to_recipient_descriptor,provider_filing_only,13378,USD,descriptor_crosswalk_pending_principal,ai_seeded,W2A-SR002,EP_HIMAWARI,single_provider_observation,yes_direct_candidate,The English descriptor is not yet an approved Japanese legal entity crosswalk; no recipient-side amount/period closure is implied.,lead_only
ROI006,W2-A resource_flow_ledger,RF010,X004,American Welfare & Works Association (AWWA),Okinawa Southern Medical Center,EP_SOUTHERN_MEDICAL,沖縄県立南部医療センター・こども医療センター,medical/child,2023-06-01/2024-05-31,provider_to_recipient_descriptor,provider_filing_only,13072,USD,descriptor_crosswalk_pending_principal,ai_seeded,W2A-SR002,EP_SOUTHERN_MEDICAL,single_provider_observation,yes_direct_candidate,The English descriptor is not yet an approved Japanese legal entity crosswalk; no recipient-side amount/period closure is implied.,lead_only
ROI007,LEG2 endpoint_action_crosswalk,EA001,X004,American Welfare and Works Association (AWWA),かなさん沖縄,EP_KANA,かなさん沖縄,child/family medical care,2023-04-20,cash_donation_and_recipient_exchange,recipient_side_action_same_provider,,amount_not_stated,recipient_side_identity_candidate,needs_principal_review,L2-SR001;L2-SR002,EP_KANA,same_provider_recurrence,yes_direct_candidate_same_provider,"Do not assign USD 15,287 to this event; do not infer political acceptance or LEG3 legitimacy effect.",lead_only
ROI008,LEG2 endpoint_action_crosswalk,EA002,X004,American Welfare and Works Association (AWWA),認定NPO法人アンビシャス,EP_AMBITIOUS,認定NPO法人アンビシャス,medical/welfare,2012 assessment; 2023 narrative; 2024 JPY 2m action,repeated_support_and_local_welfare_mediation,recipient_side_action_same_provider,2000000,JPY_for_2024_action_only,recipient_side_identity_candidate,needs_principal_review,L2-SR003;L2-SR004;L2-SR005;L2-SR006;L2-SR007;L2-SR009,EP_AMBITIOUS,same_provider_recurrence,yes_direct_candidate_same_provider,Do not collapse the three periods; do not treat recipient bridge wording or a downstream thank-you as acceptance of U.S. military presence.,lead_only
ROI009,LEG2 endpoint_action_crosswalk,EA003,X004,American Welfare and Works Association (AWWA),石垣市障がい児通所支援事業所ひまわり,EP_HIMAWARI,石垣市障がい児通所支援事業所ひまわり,child/welfare,2024-08-09,cash_donation_and_recipient_exchange,recipient_side_action_same_provider,2000000,JPY,recipient_side_identity_candidate,needs_principal_review,L2-SR008,EP_HIMAWARI,same_provider_recurrence,yes_direct_candidate_same_provider,"Do not call the 2024 event the USD 13,378 filing row; no use of the JPY 2m is stated in the selected original.",lead_only
ROI010,central relation sample,F028,X004,American Welfare & Works Association (AWWA),よみたん救護園,EP_YOMITAN_QUEGOEN,よみたん救護園,welfare,2015-12-02,in_kind_donation,direct_named_recipient,2000000,JPY,facility_identity_confirmed,human_revised,S094,EP_YOMITAN_QUEGOEN,single_provider_observation,yes_direct_reviewed,"2,000,000 円是实物价值，不是现金、付款或长期资助。",lead_only
