module_id,module_name,primary_page,visual_engine,question_answered,main_data_assets,demo_layer_content,research_layer_content,blocking_gates,notes
BASE-COV,覆盖偏差审计,P4 证据,V4 证据覆盖与偏差图,当前线上样本能看见什么、哪些时期/地域/对象更薄,outputs/coverage_audit_v1/,六维覆盖统计与显式缺口,无,无（不设 HR-023）,覆盖是主图而非方法附录；来源稀疏不等于活动稀少
BASE-EVID,来源与证据层,G2 全局证据抽屉,命题—事实—来源下钻,这条可见事实凭什么,data/interim/05_source_log_initial_v0.csv;data/interim/06_evidence_notes_v0.csv;source_docs/source_archive/source_archive_manifest.csv,正式 evidence notes 与已归档来源元数据,HR-022/HR-030 待审 metadata 项,HR-022（49项）;HR-030（22项）,来源入表不批准关系；S051 为 E0；failed≠证据不存在
R1,组织分类与组织生态,P2 组织,V2 生态状态,有哪些组织、如何按功能分类,data/interim/01_actor_registry_initial_v0.csv;data/interim/02_actor_aliases_initial_v0.csv;outputs/R01_R02_actor_issue_v1/,122 个 registry actor 身份与正式分类,受控词未冻结分类,HR-019 规则 9 项;HR-029 schema 36 项,不设独立分类页；event-only 与制度节点不计入组织数
R2,组织—议题网络,P2 组织,V2 议题连接状态,哪些议题由同一组织承载、谁以何种机制桥接,data/interim/07_actor_issue_edges_initial_v0.csv;outputs/R01_R02_actor_issue_v1/;outputs/R02_actor_issue_robustness_v1/,59 条人审议题边及有界桥接信息,182 条候选边与 bridge/scope 待决,HR-019（9+30+76）,默认按当前选择过滤；度数≠影响力；共现≠联盟
R3,地点与空间分布,P1 总览,V1 严格证据状态,组织与地点是什么关系、地点议题如何同源连接,data/interim/08_actor_place_edges_initial_v0.csv;outputs/R03_spatial_dossier_v1/;outputs/R03_strict_place_issue_v1/,16 条键名一致的人审地点边与 67 条双人审同源三元,118 条候选地点边＋AP123 冲突隔离项＋候选三元,HR-025（47项）,AP123 的 P006/Camp Foster 键名冲突不进 demo；旧笛卡尔宽投影禁止复活；材料可见性≠活动强度
R4,环保/生活安全框架与军事设施争议,P1 总览,V1 先岛聚焦状态,同一部署问题为何在不同地方形成不同框架,outputs/R04_sakishima_frame_corpus_v0/,11 条正式安全事实与 19 条安全来源摘录,HR-016 待审语义/locator,HR-016（12项）,与那国使用前线化/自治/公投/台湾邻近/生命安全框架
R5,联盟/共同行动网络,P3 路径,V3 行动类型状态,哪些组织跨名单重复出现、重复说明什么,outputs/R05_coaction_v1/;outputs/R05_R07_heterogeneous_repertoire_v1/,169 条有界事件参与观察与 15 个严格重复 actor,身份/切分待审,HR-020（14项）,名称沿用模块历史；界面只写共同行动/重复参与；共同出现≠稳定联盟
R6,跨国/国际倡议网络,P3 路径,V3 国际路径状态,议题如何进入国际法律/机构/声援目标,outputs/R06_R07_R11_pathways_v1/,正式 actor-event-venue-target 国际路径层,4 条 pathway analytical_seed,HR-021（8项、前7依赖HR-018）,请求≠机构回应；声明≠联盟
R7,场域与对象转移,P3 路径,V3 场域序列状态,不同案例呈现何种场域与行动对象序列,outputs/R05_R07_heterogeneous_repertoire_v1/;data/interim/09_actor_event_venue_edges_v0.csv,正式案例阶段序列与 human_checked AEV,analytical_seed,HR-029 中 R10_VENUE 引用 9 项,箭头只表示记录顺序或正式关系，不默认表示因果
R8,法律/政策/环境程序渠道,P3 路径,V3 法律程序状态,六案的程序入口、角色与结果差异,data/interim/17_legal_policy_procedure_cases_v0.csv;data/interim/18_legal_policy_actor_roles_v0.csv;outputs/R08_legal_procedure_v1/,6 案 27 角色全人审,无,无,registry actor 与 provisional 程序节点分列；不做胜败排名
R9A,县民投票制度门槛,P3 路径,V3 公投门槛状态,自治诉求经历哪些制度门槛、何处被转换或阻断,outputs/R09_referendum_process_v0/,24 个 accepted 阶段与 25 个 accepted 角色,HR-017 reviewed-all 扩展层,HR-017（18项、仅扩展层）,程序顺序非因果；requester≠plaintiff
R9B,选举/市民组织接口,P3 路径,V3 选举接口研究状态,组织如何进入选举公开窗口,outputs/R09_election_civic_interface_v1/,无,19 条候选 actor-event 观察,HR-026（19项）,整层默认隐藏；不得写票数/胜负/政策因果
R10,公开资源/行政协作渠道,P3 路径,V3 行政协作状态,官方记录呈现何种部门、机制和协作路径,outputs/R10_official_collaboration_universe_v1/;outputs/R10_administrative_collaboration_v0/,S002 来源总体结构与 9 条已人审关系,26 条敏感关系与金额边界层,HR-018（26项）;HR-032（8项、仅crosswalk）,不得称资金网络；project cost≠付款；币种不相加
R11,跨国/外来 NGO 与国际倡议生态,P2 组织＋P3 路径,V2 外来 actor 分面＋V3 entry-mode,外来 actor 以何种功能和路径进入冲绳议题,outputs/R06_R07_R11_pathways_v1/,44 条由人审事实派生的 entry 观察,行政与公共外交扩展候选,HR-021（第8项）,服务≠立场；NOFO≠award；不建独立外来 actor 页面
R14,组织谱系与长期演变,G1 全局时间层,四页共用时间过滤与历史锚点,组织何时形成/改名/重组/延续、我们能看到多少,现有 registry 成立信息;outputs/history_1972_1997_online_v1/（NR-04未来）;outputs/history_1998_2012_online_v1/（NR-05未来）,已核成立事实、覆盖条和显式缺口,NR-04/05 历史锚点候选,检查点 C;HD 历史连续性决定,不设第五主页面；同名≠同一实体；完整谱系属扩展模块
