"slice_id","title","research_question","bounded_scope","source_inputs","deliverables","mandatory_tables","principal_gate","acceptance_tests","small_exhibit","dependencies","stop_condition","central_writeback","frontend_status","priority"
"US-VS00","NGO directory and official-site crosswalk","Which organizations are in the current U.S.-presence research subset and where can a reader verify their identity?","Current active registry; freeze a clearly stated U.S.-related subset and checked-date website scope; no actor expansion","actor registry; source log; archived pages; existing frontend actor metadata","selection frame; official-site crosswalk; unresolved-site queue; English/Japanese/Chinese directory export; validation report","USN00;USN07;USN09","Approve subset rule; approve official-site versus parent/directory/secondary labels","Every listed actor has an official-site status and evidence entry; 0 news/directory pages mislabeled official; row counts reconcile to frozen frame; URLs and checked dates validate","Sortable NGO list with official-site/status/source columns","none","Stop if the subset rule cannot be reproduced from registry fields; return a decision brief rather than hand-picking actors","no","not_frontend_ready until separate publication adapter approval","P0"
"US-VS01","Retype existing relation observations","What relation families are already supported and what remains only administrative aggregate event case-role or lead?","Only existing 43 central relation observations plus linked R8/R10/AEV records; add no new facts","15_funding_or_support_edges; typed relation projection; R8 roles; AEV; R10 relations; human review logs","provenance crosswalk; proposed typed rows; rejected/ambiguous mapping queue; count reconciliation; validation report","USN00;USN02;USN04;USN05;USN06;USN08;USN09","Approve semantic mapping only; no status upgrade","All inputs accounted for exactly once as mapped/aggregate/lead/excluded; no co-event dyads; no opportunity-as-award; existing reviewed_fields preserved","Relation-family inventory and missing-field matrix","none","Stop when a row needs a new factual judgment; create HR item instead of guessing","no","not_frontend_ready","P0"
"US-VS02","Garrison-reproduction tracer case","How do money affiliation and services combine to sustain military-family/base-community life in one place and period?","One named installation/locality; one bounded recent period; a small predeclared set of existing service-side actors and recipient types","official organization reports; financial filings; official base/community records; existing reviewed relations","selection frame; money/service/affiliation facts; function overlay; endpoint and source crosswalk; HR packet; validation; one case brief","USN00;USN01;USN02;USN04;USN05;USN08;USN09","Approve actor set; money semantics; recipient identity; garrison_reproduction wording","Every arrow has typed endpoints/time/source; in-kind and cash separate; unknown recipients visible; no stance/legitimation inference; reviewed and candidate counts separated","Provider-intermediary-recipient layered case diagram","US-VS01 recommended but not required","Stop at online_exhausted if annual recipient/filing is unavailable; issue exact local/new-primary task","no","not_frontend_ready","P1"
"US-VS03","U.S.-accountability tracer case","What can a procedural accountability action make the institution record or remedy and what does it fail to change?","One case with a directly resolved U.S. military/government target; fixed procedural phases and outcome date","official caption/judgment/filing; formal submissions; existing R8/AEV facts; project/operation outcome record","selection frame; action-institution rows; function overlay; outcome ladder; HR packet; validation; case brief","USN00;USN01;USN06;USN08;USN09","Approve roles; constraint/accountability distinction; intermediate output; substantive change status","Person and organization roles stay separate; non-party creates no edge; every phase has date/source; project change is independently evidenced; no success-rate claim","Demand-entry-output-substantive-change pathway","none","Stop if target/outcome cannot be independently resolved; publish a bounded procedural record only","no","not_frontend_ready","P1"
"US-VS04","Person-actor-time tracer","Who publicly occupies governance or coordination roles across selected organizations during overlapping periods?","Two to four high-value existing organizations; one bounded period; public officers/representatives only","official filings; annual rosters; organization reports; court/government records; H2 research-only role seeds","selection frame; person-role rows; identity crosswalk queue; overlap audit; HR packet; validation; short brief","USN00;USN03;USN08;USN09","Approve every same-person merge and each role/period boundary","No automatic fuzzy merge; annual sightings not continuous tenure; all projected interfaces have reviewed identity and overlapping period; unresolved candidates counted separately","Time-filtered person-organization bipartite diagram","none","Stop person search at privacy/inaccessibility boundary; do not expand to private family/member data","no","not_frontend_ready","P1"
"US-VS05","Recipient and community-mediation interface tracer","Through which intermediaries do resources reach Okinawan welfare education or community recipients and which observed transfers cross the base-local-society boundary?","One resource intermediary; two to four disclosed cycles; all disclosed recipient labels in those cycles; predeclared boundary-side rules","original financial filings; annual reports; recipient rosters; recipient organization pages; H2 candidate rosters","selection frame; money steps; service-recipient rows; community_mediation function overlay; endpoint crosswalk; disclosure/missingness audit; HR packet; validation; brief","USN00;USN01;USN02;USN04;USN08;USN09","Approve original-filing support; recipient resolution; boundary sides and direction; recurring relation wording; community_mediation wording","Named/unitemized rows separated; original labels retained; provider-intermediary-recipient steps not collapsed; only reviewed cross-boundary facts receive community_mediation; no recipient stance acceptance legitimation dependency or continuity; cycle denominator and undisclosed share reported","Small-multiple recipient flow by cycle with separately marked reviewed cross-boundary interfaces","US-VS01 recommended but not required","Stop if only aggregate totals are public; keep aggregate observation and create exact retrieval task","no","not_frontend_ready","P1"
"US-VS06","Legitimation evidence test","Does one charity or public-diplomacy case contain only service publicity or also explicit relationship-building and observable local reception?","One event/program; actor narrative plus a prespecified search for recipient/local/independent response; fixed publication window","actor/official statements; recipient statements; local government or institutional record; independent media; no inferred attitude","selection frame; one reviewed USN04 or USN06 underlying fact; L0-L3 function coding; negative search log; source clusters; HR interpretation packet; validation; brief","USN00;USN01;USN08;USN09","Approve L-level; source independence; wording of intent reception or effect","L0 never labeled legitimation; L1 wording says intent/frame; L2 identifies distinct reception source; L3 requires explicit method; counter-readings retained","Two-column actor narrative versus local reception evidence card","US-VS02 or another reviewed underlying fact","Stop at L1 if no independent reception appears; do not search indefinitely or upgrade official publicity to effect","no","not_frontend_ready","P1"
"US-VS07","Symmetric interface comparison","Within the same place and period what direct organization person and recipient interfaces are publicly observable between service/reproduction and accountability functions?","Matched place/time; frozen function-observation-based groups; same source families and bidirectional queries for both groups","reviewed outputs from service/accountability/person/recipient slices plus explicit negative-search protocol","matched selection frames; direct-relation comparison; person overlap; recipient crosswalk; source-family coverage; unresolved endpoint audit; HR negative-claim packet","USN00;USN01;USN02;USN03;USN04;USN05;USN06;USN08;USN09","Approve group rule; symmetry; negative wording; unresolved denominator","Organization/person/recipient zeros reported separately; query/source coverage equalized; temporal overlap enforced; source-silo sensitivity reported; no real-world absence claim","Three-panel interface matrix: organization people recipients","US-VS02;US-VS03;US-VS04;US-VS05","Stop if frames are not comparable; report measurement asymmetry rather than a zero-interface conclusion","no","not_frontend_ready","P2"
"US-VS08","Bounded multilayer social network analysis","What brokers components and resource pathways appear within each reviewed layer and which persist under visibility sensitivity?","Only layers that independently pass network_metric_eligibility; fixed time window and endpoint universe","reviewed slice outputs; selection frames; missingness and source-family audits","layer-specific edge lists; metric eligibility report; reviewed-only metrics; candidate upper bound; source/time/unresolved sensitivity; methods brief; figures","USN00;USN02;USN03;USN04;USN05;USN06;USN08;USN09","Approve metric eligibility and interpretation; approve whether multilayer comparison is meaningful","No mixed-family single graph; reviewed primary/candidate sensitivity split; all metrics reproducible; source deletion and time-window sensitivity included; centrality never labeled influence/control","Faceted layer networks plus robustness panel","At least two completed fact slices; US-VS07 for cross-ecology claims","Stop if endpoint/time/coverage gates fail; retain directory and case pathways instead of forcing metrics","no","not_frontend_ready until a dedicated reviewed publication adapter is approved","P2"
"US-VS09","1972-2011 historical relation slice","Do present-day service/accountability/interface patterns persist across an earlier post-reversion period?","One predeclared five-to-ten-year window and one locality/organizational field; local archive materials required","local newspapers; organization bulletins; annual reports; council records; archived directories; provenance scans","historical selection frame; typed facts; endpoint/alias/genealogy crosswalk; source archive; HR packet; validation; comparative brief","USN00;USN01;USN02;USN03;USN04;USN05;USN06;USN07;USN08;USN09","Approve historical identities aliases periods and comparability with current slice","No current relation projected backward; historical names not auto-merged; archive selection bias stated; digitized-source absence not treated as inactivity","Matched historical/current layer comparison","local collaborator/material access","Stop if minimum primary-material set is not obtained; keep as formal local-retrieval task rather than online-exhausted conclusion","no","not_frontend_ready","P3"
