coverage_dimension,before_count,recommended_additions,projected_after_count,candidate_ids,modules_improved,counting_rule,interpretation_limit
registry_total,103,25,128,"C001;C002;C003;C004;C005;C006;C007;C008;C009;C012;C013;C014;C015;C016;C017;C018;C019;C020;C021;C022;C023;C024;C025;C035;C036",R1-R5,主registry行数加建议首批25个,只是候选投影；实际入表须逐条人工复核
okinawa_local_origin,46,20,66,"C001;C002;C003;C004;C005;C006;C007;C008;C009;C012;C013;C014;C015;C016;C017;C018;C019;C020;C023;C024",R1;R2;R3;R4;R5,origin_type为okinawa_local,不表示全部具有反基地立场
sakishima_or_miyako_specific,8,5,13,"C013;C014;C015;C016;C017",R1;R2;R3;R4;R5,primary_places含Miyako/Ishigaki/Yonaguni/Sakishima/Yaeyama,仍未解决与那国A014/A015组织身份
labor_or_education_unions,0,5,5,"C003;C004;C005;C006;C007",R1;R2;R5,名称或类型为劳动/教职组织,只补公开组织层不等于工会总体
womens_organizations,1,3,4,"C008;C009;C025",R1;R2;R5,名称/类型明确为女性组织,女性团体联络协议会C011仍待第二来源
named_noise_legal_or_coordination_actors,4,4,8,"C021;C022;C023;C024",R2;R4;R5;R8,现有2原告团+2律师网络与新增具名法律/协调actor,诉讼代际原告团C026/C027暂不计入避免重复
local_npo_legal_status,3,3,6,"C001;C002;C017",R1;R2;R3;R4,okinawa_local且法律身份NPO法人,不是所有本地NPO都与军事争议直接相关
environmental_health_or_water_actors,4,3,7,"C015;C016;C018",R2;R3;R4,议题含groundwater/PFAS/health且有具体地方活动,现有数为保守人工筛选非全表标签计数
sustained_mainland_solidarity_bridges,4,3,7,"C025;C035;C036",R1;R2;R5;R11,日本国内来源且有独立持续组织/行动资料,不含一次性共同署名者
cross_island_frontline_prevention_actors,3,3,6,"C012;C019;C020",R2;R3;R4;R5,具有跨岛或新增部署/前线化持续行动,不能据此合并不同地点框架
