activation_id,actor_id,actor_name,issue_id,issue_label,claim,primary_source_key,corroborating_source_keys,source_url,source_title,source_date,locator,evidence_level,scope,online_conclusion,identity_source_distinct,explanation_boundary,review_status,needs_local_retrieval,prior_human_anchor
EA001,A076,ジュゴン保護基金委員会（Save the Dugong Foundation）,I004,dugong,A076以具名原告身份参加保护冲绳儒艮及其栖息地的NHPA诉讼。,EA-S002,EA-S001;EA-S003,https://www.govinfo.gov/content/pkg/USCOURTS-cand-3_03-cv-04350/pdf/USCOURTS-cand-3_03-cv-04350-16.pdf,Okinawa Dugong v. Rumsfeld federal court record,2003–2018,caption and procedural history for C-03-4350,E4,case,candidate_ready_for_human_review,same_source_but_separate_claim,仅为案件特定原告角色；不证明持续组织活动。,ai_seeded,no,HR-014 R8C01/R8R004
EA002,A076,ジュゴン保護基金委員会（Save the Dugong Foundation）,I011,legal,A076通过美国NHPA司法程序对国防部的域外文化资源审查提出挑战。,EA-S002,EA-S001,https://www.govinfo.gov/content/pkg/USCOURTS-cand-3_03-cv-04350/pdf/USCOURTS-cand-3_03-cv-04350-16.pdf,Okinawa Dugong v. Rumsfeld federal court record,2003–2018,caption and procedural history for C-03-4350,E4,case,candidate_ready_for_human_review,same_source_but_separate_claim,法律角色不得外推为其他案件角色。,ai_seeded,no,HR-014 R8C01/R8R004
EA003,A076,ジュゴン保護基金委員会（Save the Dugong Foundation）,I003,Henoko,该诉讼直接针对普天间机场迁往边野古沿岸、可能影响儒艮栖息地的计划。,EA-S001,EA-S002,https://earthjustice.org/press/2003/us-japanese-conservation-groups-join-in-legal-effort-to-save-okinawa-dugong-from-extinction,US & Japanese Conservation Groups Join in Legal Effort to Save Okinawa Dugong from Extinction,2003-09-25,"paras/lines 81–100: lawsuit object, Henoko relocation, plaintiff list and Save the Dugong Foundation quote",E4,case,candidate_ready_for_human_review,same_source_but_separate_claim,这是案件议题连接，不等于A076在所有时期都有独立边野古行动。,ai_seeded,no,HR-014 R8C01/R8R004
EA004,A086,Turtle Island Restoration Network,I004,dugong,A086以美方具名原告身份参加冲绳儒艮保护诉讼。,EA-S006,EA-S005,https://seaturtles.org/wp-content/uploads/2019/01/19-01-02-OPENING-BRIEF.pdf,"Opening Brief, Center for Biological Diversity et al. v. Esper",2019-01-02,caption and statement of the case,E4,case,candidate_ready_for_human_review,same_source_but_separate_claim,仅为案件特定角色。,ai_seeded,no,HR-014 R8C01/R8R002
EA005,A086,Turtle Island Restoration Network,I011,legal,A086通过NHPA诉讼进入法律程序。,EA-S006,EA-S005,https://seaturtles.org/wp-content/uploads/2019/01/19-01-02-OPENING-BRIEF.pdf,"Opening Brief, Center for Biological Diversity et al. v. Esper",2019-01-02,caption and statement of the case,E4,case,candidate_ready_for_human_review,same_source_but_separate_claim,不得外推为其他冲绳诉讼角色。,ai_seeded,no,HR-014 R8C01/R8R002
EA006,A086,Turtle Island Restoration Network,I012,international_advocacy,A086作为美国海洋保护NGO原告，构成跨太平洋法律倡议路径的一环。,EA-S005,EA-S006,https://earthjustice.org/press/2003/us-japanese-conservation-groups-join-in-legal-effort-to-save-okinawa-dugong-from-extinction,US & Japanese Conservation Groups Join in Legal Effort to Save Okinawa Dugong from Extinction,2003-09-25,paras/lines 81–100: TIRN listed as a U.S. plaintiff; suit concerns dugong habitat and the Henoko relocation plan,E4,case,candidate_ready_for_human_review,same_source_but_separate_claim,跨国共同诉讼不是稳定组织联盟。,ai_seeded,no,HR-014 R8C01/R8R002
EA007,A086,Turtle Island Restoration Network,I005,biodiversity,A086参与的案件以珊瑚礁、海草床和濒危海洋物种栖息地受影响为核心事实背景。,EA-S005,EA-S004,https://earthjustice.org/press/2003/us-japanese-conservation-groups-join-in-legal-effort-to-save-okinawa-dugong-from-extinction,US & Japanese Conservation Groups Join in Legal Effort to Save Okinawa Dugong from Extinction,2003-09-25,paras/lines 81–100: TIRN listed as a U.S. plaintiff; suit concerns dugong habitat and the Henoko relocation plan,E4,case,candidate_ready_for_human_review,same_source_but_separate_claim,仅编码案件中的生物多样性连接，不把其全部全球项目纳入冲绳网络。,ai_seeded,no,HR-014 R8C01/R8R002
EA008,A087,NPO法人世界版「平和の礎」を提案する会,I019,peace,法人定款和自有说明以世界恒久和平的创造为明确目的。,EA-S007,EA-S008,https://www.npo-homepage.go.jp/npoportal/gyosei-print/047006834,NPO法人世界版「平和の礎」を提案する会 行政入力情報,2025-01-29 update,"registered purpose: world peace, international cooperation/understanding, abolition of war and nuclear weapons",E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,法定目的不等于所有计划均已实施。,ai_seeded,no,
EA009,A087,NPO法人世界版「平和の礎」を提案する会,I025,anti_war,法人目的明确包含废除战争与核武器。,EA-S007,EA-S008,https://www.npo-homepage.go.jp/npoportal/gyosei-print/047006834,NPO法人世界版「平和の礎」を提案する会 行政入力情報,2025-01-29 update,"registered purpose: world peace, international cooperation/understanding, abolition of war and nuclear weapons",E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,属于组织定位，不推断具体反基地行动。,ai_seeded,no,
EA010,A087,NPO法人世界版「平和の礎」を提案する会,I015,international_cooperation,法人定款把国际合作与国际相互理解列为活动目的，并计划向世界提出网络纪念项目。,EA-S007,EA-S008,https://www.npo-homepage.go.jp/npoportal/gyosei-print/047006834,NPO法人世界版「平和の礎」を提案する会 行政入力情報,2025-01-29 update,"registered purpose: world peace, international cooperation/understanding, abolition of war and nuclear weapons",E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,国际意向不等于已形成国际合作关系。,ai_seeded,no,
