"proposal_id","candidate_id","title","url","publisher","source_type","publication_or_record_date","locator","support_scope","suggested_evidence_level","source_log_state","claim_or_relation_approved","caveat"
"GSP001","C010","ひめゆり平和祈念財団について","https://www.himeyuri.or.jp/establish/foundation/","ひめゆり平和祈念資料館／財団","organization_website","current page; accessed 2026-07-13","paragraphs beginning ひめゆり平和祈念資料館は and 1960（昭和35）年","full legal name; 1960 foundation; 2011 public-interest transition; museum/education mission","E4","proposal_only","no","Approves identity/continuity only; does not imply base-politics stance."
"GSP002","C010","資料館だより No.73","https://www.himeyuri.or.jp/wp/wp-content/uploads/dayori-new-073_20240531.pdf","ひめゆり平和祈念資料館／財団","organization_report","2024-05-31","pp.3–5, especially 2024年度の主な事業・イベント・出版","dated exhibitions, workshops, teacher training, publications and peace-memory work","E4","proposal_only","no","Use for peace/education programming; overseas exhibition is not automatically international advocacy."
"GSP003","C011","民間団体（女性団体等）のネットワーク（都道府県・政令指定都市）","https://www.gender.go.jp/research/kenkyu/suishinjokyo/2024/pdf/rep/10.pdf","内閣府男女共同参画局","government_report","2024-04-01 status","Okinawa row: 沖縄県女性団体連絡協議会, 22 member groups","current organization identity and network size","E4","proposal_only","no","Network membership does not create stable alliance edges."
"GSP004","C011","令和5年度 Womanちゅ応援宣言リーダー一覧","https://www.pref.okinawa.jp/kurashikankyo/danjo/1021609/1027355/1027407/1027458.html","沖縄県","government_webpage","updated 2024-05-28","rows 19 and 30","current chair 伊良波純子 for C011 and separate chair/entity for A094","E4","proposal_only","no","Dedup evidence: C011 and A094 are separately named current organizations."
"GSP005","C011","事業計画・事業報告","https://www.okinawajosei.org/support.php","公益財団法人おきなわ女性財団","foundation_program_record","2016–2024 entries","令和5年度 講座等企画団体助成事業; 2023年連続学習会; earlier/later 女団協 entries","repeated organization activity and 2023 security-documents course","E4","proposal_only","no","This publisher is not C011 itself; use as independent program record, not organizational self-description."
"GSP006","C011","日米地位協定の見直しに係る諸団体の主な支援行動","https://www.pref.okinawa.jp/heiwakichi/kichi/1017255/1017256/1017262.html","沖縄県","government_webpage","recorded action 2004-03-08","section 4 講演会開催, row 1","C011 lecture on Status of Forces Agreement review","E4","proposal_only","no","Documents one direct issue action; do not infer a stable coalition with the other listed organizations."
"GSP007","C015","島の水や歴史学ぶ／自衛隊配備考える集会","https://www.miyakomainichi.com/news/post-79534/","宮古毎日新聞","local_news","2015-08-21","lead and paragraph naming 岸本邦弘代表","self-hosted groundwater/history/JSDF-deployment meeting and representative","E3","proposal_only","no","Name appears in a quoted 基地配備 form; preserve as alias evidence pending human canonical decision."
"GSP008","C015","「市民、議会決議無視」と抗議／考える会・郡民の会","https://www.miyakomainichi.com/news/post-82976/","宮古毎日新聞","local_news","2015-11-24","lead paragraphs naming the two separate groups and representatives","exact organization identity, representative, request/protest and separation from A095","E3","existing:S113","no","Existing S113 can be reused; joint action is not a stable alliance and the two organizations must not be merged."
"GSP009","C015","離島で初 石垣島と宮古島に支部結成","https://www.min-iren.gr.jp/news-press/genki/20180731_35632.html","全日本民主医療機関連合会","association_report","2018-07-31","section 医師が反対運動の先頭に","same representative and explicit groundwater/base-contamination framing in 2018","E3","proposal_only","no","Independent organizational mention; publisher has an advocacy position, so use for continuity and attributed statement only."
"GSP010","C015","宮古陸自配備に抗議 60人が集会とデモ行進","https://ryukyushimpo.jp/news/entry-892189.html","琉球新報","local_news","2019-03-22","paragraph naming 岸本邦弘代表","2019 continuity and missile-deployment protest role","E3","proposal_only","no","Participation/remarks at one event do not establish alliance ties."
"GSP011","C029","NPO法人ピースメーカーズネットワーク","https://www.npo-homepage.go.jp/npoportal/detail/047024579","内閣府NPO法人ポータル","official_npo_portal","administrative record updated 2024-02-22; filings through FY2024","administrative information and viewing documents","legal identity, representative, 2007 authorization, peace mission and filing continuity","E4","proposal_only","no","Legal continuity does not prove substantive current activity."
"GSP012","C029","2024年度事業報告書等","https://www.npo-homepage.go.jp/npoportal/document/047024579/hokoku/2024700/2024%E5%B9%B4%E5%BA%A6%E4%BA%8B%E6%A5%AD%E5%A0%B1%E5%91%8A%E6%9B%B8%E7%AD%89.pdf","NPO法人ピースメーカーズネットワーク／内閣府NPO法人ポータル","organization_filing","FY2024; received 2026-02-09","p.1, 事業の成果","states no principal activity and no operational foundation in FY2024","E4","proposal_only","no","Negative continuity evidence; it must be carried into any actor note."
"GSP013","C029","辺野古埋め立て承認撤回シンポジウム","https://iwj.co.jp/wj/open/archives/177154","IWJ Independent Web Journal","event_report","2014-10-07","event metadata and 主催 line","C029 organizer role in a Henoko-specific public symposium","E3","proposal_only","no","An event organizer role is not proof of continued post-2014 activity or a stable alliance."
"GSP014","C030","環境の未来を考える会 行政入力情報","https://www.npo-homepage.go.jp/npoportal/gyosei-print/047024571","内閣府NPO法人ポータル","official_npo_portal","updated 2026-02-25","lines/fields 解散日 and 解散理由","1999 authorization; 2025-12-07 dissolution after revocation of authorization","E4","proposal_only","no","Current dissolution status blocks silent use as a current actor."
"GSP015","C030","2021年度事業報告書等","https://www.npo-homepage.go.jp/npoportal/document/047024571/hokoku/2021700/2021%E5%B9%B4%E5%BA%A6%E4%BA%8B%E6%A5%AD%E5%A0%B1%E5%91%8A%E6%9B%B8%E7%AD%89.pdf","環境の未来を考える会／内閣府NPO法人ポータル","organization_filing","FY2021; received 2022-04-20","p.1, 事業の成果","states activity was suspended and no FY2022 activity was planned","E4","proposal_only","no","Negative action evidence; generic charter purpose alone is insufficient for this expansion round."
"GSP016","C031","宮古島自然緑化協会 行政入力情報","https://www.npo-homepage.go.jp/npoportal/gyosei-print/047023569","内閣府NPO法人ポータル","official_npo_portal","record updated 2023-09-20; reports through FY2024","identity fields and 閲覧書類等","exact identity, representative, 2012 authorization, coastal/environment purpose and annual filings","E4","proposal_only","no","No deployment-politics claim is supported."
"GSP017","C031","NPO法人宮古島自然緑化協会","https://miyako-island.net/activity/npo%E6%B3%95%E4%BA%BA%E5%AE%AE%E5%8F%A4%E5%B3%B6%E8%87%AA%E7%84%B6%E7%B7%91%E5%8C%96%E5%8D%94%E4%BC%9A/","一般社団法人宮古島観光協会","association_directory","current page; accessed 2026-07-13","description at page top","regular beach cleanups and continuing nature/tourism operation","E3","proposal_only","no","Supports general environment/community function only."
"GSP018","C032","特定非営利活動法人美ぎ島宮古島","https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2360005003935","GビズINFO／経済産業省","government_corporate_record","data updated 2025-12-05","法人番号 and 本店所在地","current legal name and corporate identity","E4","proposal_only","no","Corporate identity alone does not approve issue edges."
"GSP019","C032","NPO法人美ぎ島宮古島","https://www.kagisuma.jp/","NPO法人美ぎ島宮古島","organization_website","current page; accessed 2026-07-13","home-page paragraphs on 20-year restoration and activities","sustained coral conservation, planting and environmental protection","E4","proposal_only","no","Use 美ぎ島MIYAKO as an alias; no anti-deployment stance is shown."
"GSP020","C032","沖縄県が実施するその他の事業（サンゴ礁保全再生）","https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/004/633/sangohosaisoukatsu5.pdf","沖縄県","government_report","FY2011–FY2016 summary","table row NPO法人美ぎ島宮古島","prefectural program record for planting to reduce nutrient-rich groundwater outflow and conserve groundwater","E4","proposal_only","no","Human review must verify the row/year crosswalk before creating a groundwater edge; do not infer a payment amount from this gate packet."
"GSP021","C033","団体概要","https://www.npo-oec.com/aboutUs.html","特定非営利活動法人おきなわ環境クラブ","organization_website","current page; 2024 membership figures","organization profile and chronology","1999/2002 identity, staff, repeated water-edge restoration, education and JICA programs","E4","proposal_only","no","Project participation is a functional observation, not a political stance or funding inference."
"GSP022","C033","漫湖周辺の自然再生エリアにおける調査発見型環境学習プログラム","https://www.jstage.jst.go.jp/article/pronatura/34/0/34_207/_pdf/-char/en","自然保護助成基金／おきなわ環境クラブ","funded_project_report","2025-05-30","pp.207–208, purpose/background and activity sections","current Manko wetland restoration, citizen science and environmental education","E4","proposal_only","no","Supports environment/biodiversity programming; the grant must not be generalized beyond the stated project."
"GSP023","C034","民間参加型サンゴ礁生態系保全活動推進事業","https://www.pref.okinawa.jp/kurashikankyo/kankyo/1004287/1004527.html","沖縄県","government_webpage","current page; council founded 2008","section 沖縄県サンゴ礁保全推進協議会","government-supported formation and cross-sector purpose","E4","proposal_only","no","Supports mixed cross-sector origin, not a purely grassroots classification."
"GSP024","C034","沖縄県サンゴ礁保全推進協議会設立の経緯","https://ocrcc.sakura.ne.jp/about/keii.html","沖縄県サンゴ礁保全推進協議会","organization_website","formation 2007–2008","full chronology","preparatory meetings, 2008 founding and governance structure","E4","proposal_only","no","Formation by a prefectural project does not make the council identical to Okinawa Prefecture."
"GSP025","C034","沖縄県サンゴ礁保全推進協議会","https://ocrcc.sakura.ne.jp/","沖縄県サンゴ礁保全推進協議会","organization_website","2024–2026 current notices","front-page notices and about section","current operation, election/general meeting and coral-conservation mission","E4","proposal_only","no","Member presence is not an alliance edge."
"GSP026","C034","サンゴ礁ウィーク2024 実施要領","https://ocrcc.sakura.ne.jp/doc/sango_week/sw_application2024.pdf","沖縄県サンゴ礁保全推進協議会","organization_program_document","2024-02-23 to 2024-03-17","implementation period and organizer fields","dated council-led coordination/program activity","E4","proposal_only","no","Program coordination is not evidence that every participating organization has a stable relation to the council."
