action_id,phase,target,action_kind,object_id,field_or_record,current_value,proposed_value,decision_basis,authorization,blocking_condition,non_inference,disposition,hold_code,write_eligible
USI-001,baseline,actor registry,assert_hash,FILE,sha256,c77dbc62e2a1019269a9a5ef5d64d1ac14f4cd54e4abf4b45953e33a67c22df4,must_match,architecture checkpoint,design_only,hash drift,No write on a changed base,reference_existing,,no
USI-002,baseline,actor aliases,assert_hash,FILE,sha256,e1e8160d33aa975d6374ba38f8490e182b832a96b7bbed285cd94d29b522b52d,must_match,architecture checkpoint,design_only,hash drift,No write on a changed base,reference_existing,,no
USI-003,baseline,source log,assert_hash,FILE,sha256,363f21256d074cc9577752728b1f950c5c899991fefeea633e86fb78c2aaf902,must_match,architecture checkpoint,design_only,hash drift,No write on a changed base,reference_existing,,no
USI-004,baseline,legacy relation sample,assert_hash,FILE,sha256,3b11795150e7630ccf4cdab371ac135fab019c260609ee1272df518638f3ef23,must_match_and_remain_byte_identical,USN relation return,design_only,hash drift,Retyping is an overlay only,reference_existing,,no
USI-005,actor,actor registry,conditional_insert,X018,canonical_name;actor_class;origin_type;legal_status,absent,Marine Thrift Shop Okinawa;base_community_service_actor;us_origin;us_501c3_nonprofit,SR-HR-001,principal_decision_complete_writeback_not_authorized,X018 occupied or baseline drift,Identity approval does not approve relations stance or funding,hold,SOURCE_PLAN_NOT_FROZEN,no
USI-006,actor,actor registry,conditional_insert,X019,canonical_name;actor_class;origin_type;legal_status,absent,Marine Gift Shop;base_community_service_actor;us_origin;unresolved,SR-HR-002,principal_decision_complete_writeback_not_authorized,X019 occupied or source identity mismatch,Historical charter does not prove current affiliation,hold,SOURCE_PLAN_NOT_FROZEN,no
USI-007,actor,actor registry,conditional_insert,X020,canonical_name;actor_class;origin_type;legal_status,absent,Neighborhood Pantry – Camp Butler;base_community_service_actor;us_origin;unknown,SR-HR-003,principal_decision_complete_writeback_not_authorized,X020 occupied or actor autonomy contradiction,MTS CARES and CLR-37 are not parent organizations,hold,SOURCE_PLAN_NOT_FROZEN,no
USI-008,actor,actor registry,conditional_insert,X021,canonical_name;actor_class;origin_type,absent,North Island Okinawa Spouses Club;base_spouse_club;us_origin,SR-HR-004,principal_decision_complete_writeback_not_authorized,X021 occupied,Positive contribution language is LEG1 not social effect,hold,SOURCE_PLAN_NOT_FROZEN,no
USI-009,actor,actor registry,conditional_insert,X022,canonical_name;actor_class;origin_type;scope,absent,Army Emergency Relief;military_family_relief_actor;us_origin;national_actor,SR-HR-005,principal_decision_complete_writeback_not_authorized,X022 occupied,Torii presence is not a separate Okinawa legal actor,hold,SOURCE_PLAN_NOT_FROZEN,no
USI-010,actor,actor registry,conditional_insert,X023,canonical_name;actor_class;origin_type;scope,absent,Air & Space Forces Aid Society;military_family_relief_actor;us_origin;national_actor,SR-HR-005,principal_decision_complete_writeback_not_authorized,X023 occupied,Kadena presence is not a separate Okinawa legal actor,hold,SOURCE_PLAN_NOT_FROZEN,no
USI-011,actor,actor admission overlay,preserve_defer,SA016;SA017,admission decision,defer_second_source,defer_second_source,SR-HR-006,design_only,none,Names do not establish Okinawa service relations,hold,DEFER_SECOND_SOURCE,no
USI-012,lifecycle,actor lifecycle overlay,insert_observation,X017,last_observed;current_status;end_date,FY2018 filing;needs_second_source;blank,last_observed=FY2018;current_status=unknown;end_date=blank,SR-HR-007,principal_decision_complete_writeback_not_authorized,source or actor mismatch,Roster or BMF absence does not prove dissolution,hold,SOURCE_PLAN_NOT_FROZEN,no
USI-013,selection_frame,selection frames,freeze,USF-US-ORIGIN17-2026-08-19,membership and denominator,9 service;6 accountability;2 other,immutable historical frame,USN-ARCH-03,design_only,any attempted member backfill,This is not a census or permanent universe,reference_existing,,no
USI-014,relation_overlay,relation retype overlay,expand_rules,F001-F043,mapping rows,43 proposals with blank mapping_decision,43 one-to-one approved rule mappings,USN-RT-R01-R06,principal_decision_complete_writeback_not_authorized,ID coverage not exact,Mapping approval does not upgrade facts,project,,no
USI-015,relation_overlay,relation retype overlay,revise_field,F017,proposed_record_family,organizational_affiliation,regional_branch,USN-RT-R03,principal_decision_complete_writeback_not_authorized,any other field drift,Regional branch does not imply control funding or shared stance,project,,no
USI-016,relation_overlay,relation retype overlay,revise_field,F043,proposed_record_family,organizational_affiliation,regional_branch,USN-RT-R03,principal_decision_complete_writeback_not_authorized,any other field drift,Regional branch does not imply shared legal identity or action transfer,project,,no
