episode_id,module,case_id,short_label,actor_ids,place,route_family,local_problem,translation_frame,venue,observable_output,substantive_result,public_claim,venue_entry,intermediate_output,bounded_gain,underlying_change,source_refs,evidence_level,review_status,interpretation_limit
TE01,R8,R8C01,儒艮海外诉讼,A045;A086;A020;A076;A009,Henoko;Oura Bay,international_legal,基地建设与儒艮影响,文化财程序义务／NHPA §402,美国联邦法院／APA review,Section 402 适用与可审查标准、公开记录,2020 维持 DoD 胜诉；未停止工程,yes,yes,yes,no,no,S093;S128;S129,E4,human_checked,程序标准与信息生产不等于工程被阻止；原告身份严格按案号。
TE02,R8,R8C02,边野古 EIA 意见,A004,Henoko;Oura Bay,administrative_EIA,基地建设与生态影响,调查、预测与减缓充分性,日本 EIA 方法书／补正评价书程序,NACSJ 科学批评进入正式行政记录,补正 EIA 完成；不证明意见获采纳或工程停止,yes,yes,yes,no,no,S130;S131;S132,E4,human_checked,正式提交意见不等于采纳。
TE03,R8,R8C03,嘉手纳第三次噪音诉讼,A052,Kadena;Chatan;Okinawa City,noise_civil_litigation,航空器噪音与日常负担,人格／生活损害与差止,日本民事差止／损害赔偿诉讼,法院确认部分过去期间噪音损害,获部分赔偿；差止与未来损害请求被驳回,yes,yes,yes,yes,no,S133;S134,E4,human_checked,赔偿不表示噪音停止；原告团不等于所有个体或轮次恒定。
TE04,R8,R8C04,普天间周边噪音诉讼,A053,Futenma;Ginowan,noise_civil_litigation,噪音与睡眠／健康负担,特定期间损害,日本损害赔偿诉讼,列名原告获指定期间赔偿,部分原告／期间获赔；无运营禁令,yes,yes,yes,yes,no,S135;S136,E4,human_checked,案件特定 plaintiff group；不跨轮次泛化。
TE05,R8/R9,R8C05/R9C_ISHIGAKI_2018_2024,石垣部署公投诉讼,A011,Ishigaki,referendum_litigation,陆自部署与居民决定权,公投实施义务／地方自治,条例直接请求、议会与义务付诉讼,签名门槛达成；议会两度否决；法院明确可诉性门槛,未举行投票；义务付请求被程序性驳回,yes,yes,yes,no,no,S137;S138;S139;R9S010;R9S011,E4,human_checked,A011 是 requester／运动体，不是具名组织原告。
TE06,R8,R8C06,泡濑公金诉讼,A055;A020,Awase;Okinawa City,public_funds_litigation,填海生态、经济与灾害风险,公共支出合法性／合理性,住民监查与公金支出差止诉讼,生态争议转成支出与行政裁量审查,第一波限制支出；第二波居民败诉，结果相反,yes,yes,yes,mixed,mixed,S140;S141;S142;S143,E4,human_checked,两波结果必须分列；A055/A020 是 supporter，不是组织原告。
TE07,R9,R9C_NAGO_1997,名护 1997 公投,A068,Nago,municipal_referendum,海上直升机场／基地建设,地方自治法第74条直接请求,签名、议会条例与咨询型住民投票,"17,539 有效签名；四选项条例；实际投票",反对多数；三日后市长接受基地并辞职,yes,yes,yes,yes,no,R9S001;R9S002;R9S003;R9S022,E4,accepted_process,咨询型反对多数不是法律否决；A068 规范名仍待人工决定。
TE08,R9,R9C_YONAGUNI_2015,与那国 2015 公投,A014;A015,Yonaguni,municipal_referendum,陆自部署、前线化与岛内决定,自治体个别条例与公众动员,町条例、选管投票与行政解释,投票举行；地方报道 632 赞成、445 反对,町长将结果解释为推进依据；组织级身份仍需当地材料,yes,yes,yes,yes,no,R9S005;R9S006;R9S007;R9S032;R9S034,E3,accepted_process_with_local_gap,A014/A015 为 E2 组织线索；不能写成投票发起／实施者或长期组织。
TE09,R9,R9C_PREF_2019,2019 边野古县民投票,A051,Okinawa Prefecture,prefectural_referendum,边野古填海与县民意,全县直接请求／条例化,"92,848 有效签名、县议会条例、全41市町村投票","反对 434,273（71.7%）；知事通知日美政府",民意转化为条例与通知资源；工程未因此自动停止,yes,yes,yes,yes,no,R9S009;R9S010;R9S011;R9S012;R9S013,E4,accepted_process,签名者／请求代表不自动等于 A051 成员；投票不直接停止工程。
TE10,HR027/R2-R4,HR027E002,宫古地下水行政往来,A112,Miyako,administrative_exchange,饮用地下水与设施排水风险,监测、条例与水源保护,研究会意见／宫古岛市正式书面回答,2023 市政府逐条回答形成行政记录,可证行政接口；不证明市方接受风险解释或政策改变,yes,yes,yes,unknown,unknown,S269;S270;S271,E4,analytic_candidate_event_pending,HR027 只批准 actor；事件仍待逐条 HR，且不得写实际污染／健康损害。
TE11,HR027/R2-R4,HR027E004/E005,宜野湾 PFAS 采样→议会,A113,Ginowan;Futenma,resident_sampling_petition,学校／社区 PFAS 风险,居民筹资采样与健康调查请求,采样、请愿与市议会意见书,市议会正式记录采样，并形成污染对策意见,程序和记录可证；污染源、健康因果与后续实施不确定,yes,yes,yes,mixed,unknown,S273;S274;S275;S276,E4,analytic_candidate_event_pending,HR027 只批准 actor；事件待审，不强化污染源盖然性为确定因果。
TE12,HR027/R5-R7,HR027E010,石垣港罢工,A114,Ishigaki,workplace_port_power,民用港军事使用与港湾劳动安全,职业安全／劳动行动,港口工作场域与罢工,2024-03-11–13 石垣港罢工实际执行,行动发生可证；合法性、实际效果与政治影响未判定,yes,yes,yes,unknown,unknown,S287;S288,E4,analytic_candidate_event_pending,HR027 只批准 actor；不得从行动发生推断政策效果或稳定联盟。
TE13,HR027/R9,HR027E014,新妇人县本部公投动员,A115,Okinawa Prefecture,membership_signature_mobilization,边野古与县民决定,会员制群众组织的签名动员,2018 县民投票条例签名运动,县本部有日期的签名启动行动可见,"只证参与渠道；不能把全县 92,848 份签名或条例结果归因于 A115",yes,yes,yes,unknown,no,S283,E4,analytic_candidate_event_pending,HR027 只批准 actor；不转嫁全国本部行动，不作组织贡献因果估计。
