sequence_rank,suggested_source_id_if_merged,numbering_status,machine_provisional_status,claim_approval_requirement,snapshot_state,provisional_merged_source_id,audit_row_id,proposal_refs,normalized_url,proposed_title,suggested_source_type,suggested_year,archive_prerequisite,relation_or_claim_approved
1,S248,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S248,NW2FS001,NW2-B_R09:R9EC_S001,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/004/927/h26nenpou.pdf,平成26年版 選挙管理委員会年報,official_data,2015,archive_and_metadata_review_before_formal_claim_use,no
2,S249,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S249,NW2FS002,NW2-B_R09:R9EC_S002,https://www.ywca.or.jp/pdf/2014/0716.pdf,きちきちニュースレター Vol.6（島ぐるみ会議結成）,organization_report,2014,archive_and_metadata_review_before_formal_claim_use,no
3,S250,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S250,NW2FS003,NW2-B_R09:R9EC_S003,https://www.qab.co.jp/news/2014082157456.html,翁長那覇市長に保革双方が出馬を要請,local_news,2014,archive_and_metadata_review_before_formal_claim_use,no
4,S251,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S251,NW2FS004,NW2-B_R09:R9EC_S004,https://www.jcp.or.jp/akahata/aik14/2014-08-22/2014082204_01_1.html,翁長さんで新基地阻止／女性団体が出馬要請,party_news,2014,archive_and_metadata_review_before_formal_claim_use,no
5,S252,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S252,NW2FS005,NW2-B_R09:R9EC_S005,https://www.jcp.or.jp/akahata/aik14/2014-10-11/2014101104_01_1.html,『新基地ノー』心一つ／沖縄知事選 女性29団体が集会,party_news,2014,archive_and_metadata_review_before_formal_claim_use,no
6,S253,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S253,NW2FS006,NW2-B_R09:R9EC_S006,https://www.magazine9.jp/article/yuntacrew/18975,『ゆんたく』から始まった、沖縄・若者の抵抗,community_site,2015,archive_and_metadata_review_before_formal_claim_use,no
7,S254,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S254,NW2FS007,NW2-B_R09:R9EC_S007;NW2-C_registry_gate:RV2SP015,https://www.shinfujin.gr.jp/2943,談話：沖縄県知事選で圧勝の民意に応え、ただちに新基地建設中止を,organization_statement,2014,archive_and_metadata_review_before_formal_claim_use,no
8,S255,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S255,NW2FS008,NW2-B_R09:R9EC_S008,https://www.pref.okinawa.jp/kensei/senkyo/1005009/1023802/1021246.html,平成30年沖縄県知事選挙 特設ページ,official_data,2018,archive_and_metadata_review_before_formal_claim_use,no
9,S256,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S256,NW2FS009,NW2-B_R09:R9EC_S009,https://ryukyushimpo.jp/news/entry-770040.html,『知事、頑張れ』緊急集会で撤回表明に喜びと決意,local_news,2018,archive_and_metadata_review_before_formal_claim_use,no
10,S257,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S257,NW2FS010,NW2-B_R09:R9EC_S010,https://all-okinawa.jp/492,8.11県民大会（辺野古新基地建設断念要求）,organization_event_record,2018,archive_and_metadata_review_before_formal_claim_use,no
11,S258,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S258,NW2FS011,NW2-B_R09:R9EC_S011,https://ryukyushimpo.jp/news/entry-789039.html,沖縄県知事選 出遅れ危機感『結束優先』 玉城氏、出馬要請受諾,local_news,2018,archive_and_metadata_review_before_formal_claim_use,no
12,S259,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S259,NW2FS012,NW2-B_R09:R9EC_S012,https://www.jstage.jst.go.jp/article/isvsjapan/19/0/19_45/_pdf/-char/en,主体的な主権者教育を育むための一考察―#みんなごと実践記録,academic_article,2019,archive_and_metadata_review_before_formal_claim_use,no
13,S260,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S260,NW2FS013,NW2-B_R09:R9EC_S013,https://www.shinfujin.gr.jp/wp-content/uploads/2018/11/20181003_seimei_okinawatidisen.pdf,声明：沖縄県知事選挙で歴史的勝利！新基地建設はただちに中止を,organization_statement,2018,archive_and_metadata_review_before_formal_claim_use,no
14,S261,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S261,NW2FS014,NW2-B_R09:R9EC_S014,https://www.pref.okinawa.jp/kensei/senkyo/1005009/1023802/1025046/index.html,令和4年沖縄県知事選挙 特設ページ,official_data,2022,archive_and_metadata_review_before_formal_claim_use,no
15,S262,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S262,NW2FS015,NW2-B_R09:R9EC_S015,https://ryukyushimpo.jp/news/entry-1499534.html,沖縄県知事選、女性団体有志が玉城氏に出馬要請,local_news,2022,archive_and_metadata_review_before_formal_claim_use,no
16,S263,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S263,NW2FS016,NW2-B_R09:R9EC_S016,https://www.min-iren.gr.jp/news-press/shinbun/20220816_46093.html,全国の連帯で平和な沖縄―沖縄県知事選集会ひらく,organization_action_record,2022,archive_and_metadata_review_before_formal_claim_use,no
17,S264,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S264,NW2FS017,NW2-B_R09:R9EC_S017,https://all-okinawa.jp/2005,7月30日オンライン配信『復帰50年！新たな基地負担を許さない県民大会』,organization_event_record,2022,archive_and_metadata_review_before_formal_claim_use,no
18,S265,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S265,NW2FS018,NW2-B_R09:R9EC_S018,https://www.okinawatimes.co.jp/articles/-/1000372,『知事選を前にいい発信』与野党の受け止め,local_news,2022,archive_and_metadata_review_before_formal_claim_use,no
19,S266,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S266,NW2FS019,NW2-B_R09:R9EC_S019,https://www.shinfujin.gr.jp/up/newspaper/12908,沖縄県知事選挙―二度と戦場にしない平和で誇りある豊かな沖縄を,organization_statement,2022,archive_and_metadata_review_before_formal_claim_use,no
20,S267,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S267,NW2FS020,NW2-B_R09:R9EC_S020,https://ryukyushimpo.jp/news/entry-1579341.html,候補者アンケートを基に沖縄知事選の争点考える,local_news,2022,archive_and_metadata_review_before_formal_claim_use,no
21,S268,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S268,NW2FS021,NW2-B_R09:R9EC_S021,https://www.jcp.or.jp/akahata/aik22/2022-08-14/2022081403_01_0.html,優しい県政 デニーさんと／沖縄知事選必勝へ女性集会,party_news,2022,archive_and_metadata_review_before_formal_claim_use,no
22,S269,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S269,NW2FS024,NW2-C_registry_gate:RV2SP003,https://miyakojima-tikasui.com/crisis.html,地下水の危機とは？,organization_site,2026,archive_and_metadata_review_before_formal_claim_use,no
23,S270,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S270,NW2FS025,NW2-C_registry_gate:RV2SP004,https://miyakojima-tikasui.com/report_activity/2021-10-08-04.pdf,水道水源保全区域を宮古島市全域に拡大する理由,organization_program_document,2021,archive_and_metadata_review_before_formal_claim_use,no
24,S271,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S271,NW2FS026,NW2-C_registry_gate:RV2SP005,https://www.city.miyakojima.lg.jp/kurashi/seikatsu/kankyohozen/files/tikasui.pdf,宮古島地下水研究会の見解に対する回答書,local_official,2023,archive_and_metadata_review_before_formal_claim_use,no
25,S272,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S272,NW2FS027,NW2-C_registry_gate:RV2SP006,https://ryukyushimpo.jp/news/entry-1254033.html,宮古島の地下水施策 市長選立候補予定者の回答公表,local_news,2020,archive_and_metadata_review_before_formal_claim_use,no
