task_id,priority,target,period,requested_material,affected_evidence_refs,decision_changed_if_found,online_status,assignment_type,package_scope,central_writeback
W2E-LR01,P0,AWWA genealogy and member composition,1952-1972,"Ryukyuan-American Welfare Council/AWWA charters, board minutes, member-club lists, legal/tax identity records",X004;W2E-H019,Decides predecessor/rename/reorganization semantics and whether the 1971 nine-club and 1972 five/six-member accounts are time-specific.,online_anchor_present_primary_gap_remains,local_archive_or_new_primary,research_only,no
W2E-LR02,P0,International Welfare Office 1972 handoff,1971-1973,"Board minutes, budgets, funding agreements, staff roster and incorporation documents",W2E-H020,"Separates localization, funding substitution, governance transfer and organizational rupture.",online_anchor_present_primary_gap_remains,local_archive_or_new_primary,research_only,no
W2E-LR03,P0,1979 proposal and policy-entry originals,1979-1985,"Original 沖縄からの提言, ministry-hearing submission, Diet witness materials and internal case statistics",W2E-H021-W2E-H026,Raises or lowers ATTRIBUTION for the care-to-rights case.,online_anchor_present_primary_gap_remains,local_archive_or_new_primary,research_only,no
W2E-LR04,P1,1997 base-responsibility statement,1997,"Underlying speech, newsletter or publication attributed to 平田正代",W2E-H028,Determines whether the public base-responsibility wording can be quoted and attributed to the institution.,online_anchor_present_primary_gap_remains,local_archive_or_new_primary,research_only,no
W2E-LR05,P1,1998 closure and counseling handoff,1997-1999,"Closure resolution, personnel/record transfer and てぃるる相談室 program documents",W2E-H029,Distinguishes function continuation from actor succession.,online_anchor_present_primary_gap_remains,local_archive_or_new_primary,research_only,no
W2E-LR06,P1,AWWA annual giving and club rosters,1992-1999,"Annual reports, recipient tables, contributing-club rosters and accounting definitions",W2E-H027,Converts an aggregate public-affairs series into a deduplicated historical resource-flow ledger.,online_anchor_present_primary_gap_remains,local_archive_or_new_primary,research_only,no
W2E-LR07,P1,First Kadena litigation organization,1982-1983,"Complaint, plaintiff-group charter, branch structure and roster",W2E-H001,Tests continuous organization versus recurring case label and membership turnover.,online_anchor_present_primary_gap_remains,local_archive_or_new_primary,research_only,no
W2E-LR08,P1,1995 women's organization formation,1995-1997,"Founding statement, minutes, newsletters and 1995 mobilization materials for A049/A111",W2E-H002;W2E-H003,"Separates two women-network carriers, their roles and any actual coordination.",online_anchor_present_primary_gap_remains,local_archive_or_new_primary,research_only,no
W2E-LR09,P1,Nago referendum-carrier reorganization,1997-1998,"A068 minutes, dissolution/reorganization decision and A019 founding records",W2E-H004-W2E-H006,Closes the predecessor/successor boundary without merging actors.,online_anchor_present_primary_gap_remains,local_archive_or_new_primary,research_only,no
W2E-LR10,P2,Local/event carriers after 1998,2004-2012,"Henoko tent logs, local flyers, Miyako meeting materials, Yonaguni opinion ad and Yaeyama/Miyako press",W2E-H010;W2E-H016;W2E-H018,Tests whether the observed court/procedure bias hides short-lived local carriers.,online_anchor_present_primary_gap_remains,local_archive_or_new_primary,research_only,no
