source_receipt_id,inherited_receipt_id,source_class,authority,source_title,url_or_path,object_id_or_locator,observed_or_verified_on,sha256,admission_scope,notes
"PDS-SR001","W2A-SR001","official_irs_xml","U.S. Internal Revenue Service","AWWA return; tax period ending 2023-05-31","outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/awwa_fy2023_202410619349200461.xml","IRS object 202410619349200461; source ZIP https://apps.irs.gov/pub/epostcard/990/xml/2024/2024_TEOS_XML_03A.zip","2026-08-22","c74f70a03c76d94e6d7ec88145c27dd7d23df5f3c0f1b11cbeed6d148434bf3e","five_candidate_identity_supplement","Inherited immutable XML; newly inspected header and BooksInCareOf fields do not alter the upstream receipt."
"PDS-SR002","W2A-SR002","official_irs_xml","U.S. Internal Revenue Service","AWWA return; tax period ending 2024-05-31","outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/awwa_fy2024_202443189349200514.xml","IRS object 202443189349200514; source ZIP https://apps.irs.gov/pub/epostcard/990/xml/2024/2024_TEOS_XML_11A.zip","2026-08-22","9bf6113a1419862ff2228f527d955f4e0ed6391d3f5c3ad54f872a33362f9433","five_candidate_identity_supplement","Official Part VII source."
"PDS-SR003","W2A-SR003","official_irs_xml","U.S. Internal Revenue Service","KOSC return; tax period ending 2023-05-31","outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/kosc_fy2023_202430969349301028.xml","IRS object 202430969349301028; source ZIP https://apps.irs.gov/pub/epostcard/990/xml/2024/2024_TEOS_XML_04A.zip","2026-08-22","2ea525c52c090af0eb500adecac05b8c5933f9baee7bd996e773ee3b0b613eea","five_candidate_identity_supplement","Official Part VII source."
"PDS-SR004","W2A-SR004","official_irs_xml","U.S. Internal Revenue Service","KOSC return; tax period ending 2024-05-31","outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/kosc_fy2024_202500669349300300.xml","IRS object 202500669349300300; source ZIP https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_03A.zip","2026-08-22","547ecf8947ac63d9409cb3c85364ea1b4514009acd3015a135de1a24abe60d39","five_candidate_identity_supplement","Newly inspected header/principal-officer fields remain distinct from Part VII tax-period roster."
"PDS-SR005","W2A-SR005","official_irs_xml","U.S. Internal Revenue Service","KOSC return; tax period ending 2025-05-31","outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/irs_202630129349300153_public.xml","IRS object 202630129349300153; source ZIP https://apps.irs.gov/pub/epostcard/990/xml/2026/2026_TEOS_XML_01A.zip","2026-08-22","9b236ca03e122c0dbbd84f40241feca120db5eb484525c5627498135ffdad367","five_candidate_identity_supplement","Official Part VII outgoing/incoming-president source."
"PDS-SR006","W2A-SR009","official_irs_xml","U.S. Internal Revenue Service","NOSCO return; tax period ending 2023-06-30","outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/nosco_fy2023_202411349349304281.xml","IRS object 202411349349304281; source ZIP https://apps.irs.gov/pub/epostcard/990/xml/2024/2024_TEOS_XML_05A.zip","2026-08-22","a1eebf87d557d3e9877551ec20bdf4eec2186f9aa58f5b100a02fae95b32721a","five_candidate_identity_supplement","Official Part VII source."
"PDS-SR007","W2A-SR012","official_irs_xml","U.S. Internal Revenue Service","OESC return; tax period ending 2023-06-30","outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/oesc_fy2023_202411309349303066.xml","IRS object 202411309349303066; source ZIP https://apps.irs.gov/pub/epostcard/990/xml/2024/2024_TEOS_XML_05A.zip","2026-08-22","7546ef6d29d634cbf3c61772024a50c77429bfed9be9f486f01ad6cc8d9ff29e","five_candidate_identity_supplement","Official header/principal-officer/Part VII source."
"PDS-SR008","W2A-SR013","official_irs_xml","U.S. Internal Revenue Service","OESC return; tax period ending 2024-06-30","outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/oesc_fy2024_202403029349300610.xml","IRS object 202403029349300610; source ZIP https://apps.irs.gov/pub/epostcard/990/xml/2024/2024_TEOS_XML_11A.zip","2026-08-22","b94118201eb51ceb0ec7390e8b26671e6ff14bac3e2f999c886e454abf73a371","five_candidate_identity_supplement","Official Part VII source."
"PDS-SR009","W2A-SR014","official_irs_xml","U.S. Internal Revenue Service","OESC return; tax period ending 2025-06-30","outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/oesc_fy2025_202513109349302911.xml","IRS object 202513109349302911; source ZIP https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_11D.zip","2026-08-22","364367b7d668293104e833958de315ad9a26f0612e087abf238a35292c310f57","five_candidate_identity_supplement","Official Part VII source."
"PDS-SR010","","official_government_web","18th Wing Public Affairs / Kadena Air Base","Operation Refueling Comfort: A heartfelt partnership helping families through adversity","https://www.kadena.af.mil/News/Display/Article/4127807/operation-refueling-comfort-a-heartfelt-partnership-helping-families-through-ad/","published 2025-03-19; Brooke Epp named in body and captions","2026-08-22","","supplemental_context_only","Exact-name Kadena context; does not identify AWWA or KOSC membership."
"PDS-SR011","","organization_web","Kadena Officers' Spouses' Club","Meet the Team","https://www.kadenaofficersspousesclub.com/team","current organization team page; board charts are images","2026-08-22","","bounded_search_context","Current page did not provide searchable historical text closing Brooke or Trinicia identity."
"PDS-SR012","","organization_web","Navy Officers' Spouses' Club Okinawa","NOSCO Leadership","https://nosco.wildapricot.org/elections","2025-2026 current roster","2026-08-22","","bounded_search_context","Current roster does not list the Jen/Jennifer candidate and supplies no historical alias."
"PDS-SR013","","official_government_web","509th Bomb Wing Public Affairs / Whiteman Air Force Base","Having a blast at Independence Day Celebration","https://www.whiteman.af.mil/News/Article-Display/Article/836079/having-a-blast-at-independence-day-celebration/","event 2014-07-02; published 2014-07-11; exact Trinicia Kloepper caption","2026-08-22","","supplemental_context_only","Older official military-family context; not a direct AWWA/KOSC identity bridge."
