claim_id,report_locator,formal_table_or_resource,exists_in_workspace
RCA001,L008;P004,data/interim/01_actor_registry_initial_v0.csv,yes
RCA001,L008;P004,data/interim/07_actor_issue_edges_initial_v0.csv,yes
RCA001,L008;P004,data/interim/08_actor_place_edges_initial_v0.csv,yes
RCA001,L008;P004,data/interim/15_funding_or_support_edges_sample_v0.csv,yes
RCA001,L008;P004,data/interim/06_evidence_notes_v0.csv,yes
RCA001,L008;P004,data/interim/09_actor_event_venue_edges_v0.csv,yes
RCA001,L008;P004,data/interim/25_coaction_event_participation_v0.csv,yes
RCA001,L008;P004,data/interim/17_legal_policy_procedure_cases_v0.csv,yes
RCA001,L008;P004,data/interim/18_legal_policy_actor_roles_v0.csv,yes
RCA002,L008;P004,data/interim/05_source_log_initial_v0.csv,yes
RCA003,L008;P004,data/interim/01_actor_registry_initial_v0.csv,yes
RCA003,L008;P004,outputs/hr013_online_wave_integration_v1/,yes
RCA004,L008;P004,data/interim/01_actor_registry_initial_v0.csv,yes
RCA004,L008;P004,data/interim/25_coaction_event_participation_v0.csv,yes
RCA005,L008;P004,data/interim/05_source_log_initial_v0.csv,yes
RCA005,L008;P004,source_docs/source_archive/source_archive_manifest.csv,yes
RCA006,L008;P004,docs/phase1_scheme_acceptance_audit_v1.md,yes
RCA007,L010;P005,outputs/R01_R02_actor_issue_v1/issue_cooccurrence_v1.csv,yes
RCA007,L010;P005,outputs/R06_R07_R11_pathways_v1/r06_pathway_comparison_v0.csv,yes
RCA008,L010;P005,outputs/R03_spatial_dossier_v1/actor_place_semantic_summary_v1.csv,yes
RCA008,L010;P005,outputs/R04_sakishima_frame_corpus_v0/entity_frame_safe_matrix_v0.csv,yes
RCA009,L010;P005,data/interim/09_actor_event_venue_edges_v0.csv,yes
RCA009,L010;P005,outputs/R05_R07_heterogeneous_repertoire_v1/repertoire_event_action_venue_units_v1.csv,yes
RCA010,L012;P006,outputs/R10_administrative_collaboration_v0/mechanism_matrix_v0.csv,yes
RCA010,L012;P006,outputs/R06_R07_R11_pathways_v1/r11_external_entry_matrix_v0.csv,yes
RCA011,L018;P009,data/metadata/coding_schema_v0.md,yes
RCA012,L020;P010,source_docs/current/复归后冲绳民间组织 _ NGO 分类与议题网络一期研究方案 (3).docx,yes
RCA013,L026;P013,data/interim/01_actor_registry_initial_v0.csv,yes
RCA014,L026;P013,data/interim/01_actor_registry_initial_v0.csv,yes
RCA015,L028;P014,data/metadata/coding_schema_v0.md,yes
RCA016,L030;P015,data/interim/07_actor_issue_edges_initial_v0.csv,yes
RCA016,L030;P015,data/interim/08_actor_place_edges_initial_v0.csv,yes
RCA017,L054;P019,data/interim/01_actor_registry_initial_v0.csv,yes
RCA018,L056;P020,outputs/R01_R02_actor_issue_v1/validation_metrics_v1.csv,yes
RCA018,L056;P020,outputs/R01_R02_actor_issue_v1/actor_class_controlled_mapping_v1.csv,yes
RCA018,L056;P020,outputs/R01_R02_actor_issue_v1/actor_class_audit_118_v1.csv,yes
RCA019,L060;P022,outputs/phase1_visuals_v1/functional_ecology_matrix.csv,yes
RCA020,L062;P023,data/interim/01_actor_registry_initial_v0.csv,yes
RCA020,L062;P023,data/interim/07_actor_issue_edges_initial_v0.csv,yes
RCA020,L062;P023,data/interim/09_actor_event_venue_edges_v0.csv,yes
RCA021,L066;P025,data/interim/07_actor_issue_edges_initial_v0.csv,yes
RCA022,L068;P026,outputs/R01_R02_actor_issue_v1/issue_cooccurrence_v1.csv,yes
RCA022,L068;P026,outputs/R06_R07_R11_pathways_v1/r06_pathway_comparison_v0.csv,yes
RCA023,L070;P027,outputs/R01_R02_actor_issue_v1/validation_metrics_v1.csv,yes
RCA024,L070;P027,data/interim/07_actor_issue_edges_initial_v0.csv,yes
RCA024,L070;P027,outputs/R01_R02_actor_issue_v1/cross_issue_actors_v1.csv,yes
RCA025,L072;P028,outputs/R01_R02_actor_issue_v1/cross_issue_actors_v1.csv,yes
RCA025,L072;P028,outputs/R01_R02_actor_issue_v1/validation_metrics_v1.csv,yes
RCA026,L074;P029,outputs/R01_R02_actor_issue_v1/HR019/,yes
RCA027,L080;P032,data/interim/25_coaction_event_participation_v0.csv,yes
RCA027,L080;P032,outputs/R05_coaction_v1/event_catalog_v0.csv,yes
RCA028,L082;P033,data/interim/18_legal_policy_actor_roles_v0.csv,yes
RCA029,L086;P035,data/interim/07_actor_issue_edges_initial_v0.csv,yes
RCA029,L086;P035,data/interim/18_legal_policy_actor_roles_v0.csv,yes
RCA030,L088;P036,outputs/R05_R07_heterogeneous_repertoire_v1/input_layer_audit_v1.csv,yes
RCA030,L088;P036,outputs/R05_R07_heterogeneous_repertoire_v1/repertoire_event_action_venue_units_v1.csv,yes
RCA031,L090;P037,data/interim/17_legal_policy_procedure_cases_v0.csv,yes
RCA031,L090;P037,data/interim/18_legal_policy_actor_roles_v0.csv,yes
RCA032,L094;P039,outputs/R09_referendum_process_v0/actor_process_roles_v0.csv,yes
RCA032,L094;P039,data/interim/05_source_log_initial_v0.csv,yes
RCA033,L098;P041,outputs/R04_sakishima_frame_corpus_v0/entity_frame_safe_matrix_v0.csv,yes
RCA033,L098;P041,outputs/R04_sakishima_frame_corpus_v0/hr016_review_items_v0.csv,yes
RCA034,L100;P042,outputs/R04_sakishima_frame_corpus_v0/entity_frame_safe_matrix_v0.csv,yes
RCA035,L104;P044,data/interim/01_actor_registry_initial_v0.csv,yes
RCA035,L104;P044,outputs/R04_sakishima_frame_corpus_v0/online_evidence_safe_sources_v0.csv,yes
RCA036,L108;P046,outputs/R04_sakishima_frame_corpus_v0/three_place_safe_source_matrix_v0.csv,yes
RCA036,L108;P046,outputs/R04_sakishima_frame_corpus_v0/entity_frame_safe_matrix_v0.csv,yes
RCA037,L110;P047,outputs/phase1_visuals_v1/actor_place_matrix_selected.csv,yes
RCA038,L112;P048,data/interim/32_actor_place_semantic_candidates_v1.csv,yes
RCA038,L112;P048,outputs/R03_spatial_dossier_v1/actor_place_semantic_summary_v1.csv,yes
RCA039,L116;P050,data/interim/09_actor_event_venue_edges_v0.csv,yes
RCA040,L118;P051,data/interim/25_coaction_event_participation_v0.csv,yes
RCA040,L118;P051,outputs/R05_coaction_v1/event_catalog_v0.csv,yes
RCA041,L120;P052,outputs/R05_R07_heterogeneous_repertoire_v1/input_layer_audit_v1.csv,yes
RCA041,L120;P052,outputs/R05_R07_heterogeneous_repertoire_v1/repertoire_event_action_venue_units_v1.csv,yes
RCA042,L122;P053,outputs/R05_coaction_v1/repeat_participation_bridges_v0.csv,yes
RCA042,L122;P053,outputs/R05_coaction_v1/event_overlap_v0.csv,yes
RCA043,L124;P054,data/interim/25_coaction_event_participation_v0.csv,yes
RCA043,L124;P054,data/interim/18_legal_policy_actor_roles_v0.csv,yes
RCA044,L126;P055,outputs/R06_R07_R11_pathways_v1/r06_pathway_comparison_v0.csv,yes
RCA044,L126;P055,outputs/explanatory_v0/,yes
RCA045,L128;P056,data/interim/20_referendum_process_stages_v0.csv,yes
RCA045,L128;P056,outputs/R09_referendum_process_v0/actor_process_roles_v0.csv,yes
RCA045,L128;P056,outputs/R09_referendum_process_v0/process_stages_reviewed_all_v0.csv,yes
RCA045,L128;P056,outputs/R09_referendum_process_v0/actor_process_roles_reviewed_all_v0.csv,yes
RCA046,L130;P057,data/interim/33_r09_election_civic_events_v1.csv,yes
RCA046,L130;P057,outputs/R09_election_civic_interface_v1/,yes
RCA047,L132;P058,data/interim/26_actor_event_venue_target_entry_modes_v0.csv,yes
RCA047,L132;P058,outputs/R06_R07_R11_pathways_v1/analytical_seeds_v0.csv,yes
RCA047,L132;P058,outputs/R05_R07_heterogeneous_repertoire_v1/cross_case_sequence_v1.csv,yes
RCA048,L134;P059,data/interim/17_legal_policy_procedure_cases_v0.csv,yes
RCA048,L134;P059,data/interim/18_legal_policy_actor_roles_v0.csv,yes
RCA049,L136;P060,outputs/R05_R07_heterogeneous_repertoire_v1/,yes
RCA050,L140;P062,outputs/R10_official_collaboration_universe_v1/official_collaboration_source_universe_v1.csv,yes
RCA050,L140;P062,outputs/R10_official_collaboration_universe_v1/descriptive_statistics_v1.csv,yes
RCA050,L140;P062,outputs/R10_official_collaboration_universe_v1/official_resource_type_summary_v1.csv,yes
RCA050,L140;P062,outputs/R10_official_collaboration_universe_v1/department_resource_summary_v1.csv,yes
RCA051,L142;P063,outputs/R10_official_collaboration_universe_v1/figure_registry_v1.csv,yes
RCA051,L142;P063,outputs/R10_official_collaboration_universe_v1/HR032_partner_alias_crosswalk_review_v1.csv,yes
RCA051,L142;P063,outputs/R10_administrative_collaboration_v0/HR018_relation_review_v0.csv,yes
RCA052,L144;P064,outputs/R10_administrative_collaboration_v0/figure_metrics_v1.csv,yes
RCA052,L144;P064,outputs/R10_administrative_collaboration_v0/HR018_relation_review_v0.csv,yes
RCA052,L144;P064,outputs/R10_administrative_collaboration_v0/HR018_source_prerequisites_v0.csv,yes
RCA052,L144;P064,outputs/R10_completeness_audit_v1/source_universe_coverage_v1.csv,yes
RCA052,L144;P064,outputs/R10_completeness_audit_v1/s002_universe_index_v1.csv,yes
RCA052,L144;P064,outputs/R10_completeness_audit_v1/s099_program_cost_crosswalk_v1.csv,yes
RCA053,L148;P066,data/interim/05_source_log_initial_v0.csv,yes
RCA054,L148;P066,data/interim/15_funding_or_support_edges_sample_v0.csv,yes
RCA054,L148;P066,outputs/R10_administrative_collaboration_v0/HR018_relation_review_v0.csv,yes
RCA055,L148;P066,data/interim/15_funding_or_support_edges_sample_v0.csv,yes
RCA055,L148;P066,outputs/R10_administrative_collaboration_v0/HR018_relation_review_v0.csv,yes
RCA056,L148;P066,outputs/R10_administrative_collaboration_v0/annual_relations_v0.csv,yes
RCA056,L148;P066,outputs/R10_administrative_collaboration_v0/HR018_relation_review_v0.csv,yes
RCA057,L150;P067,data/interim/15_funding_or_support_edges_sample_v0.csv,yes
RCA057,L150;P067,outputs/R10_administrative_collaboration_v0/HR018_relation_review_v0.csv,yes
RCA058,L150;P067,data/interim/15_funding_or_support_edges_sample_v0.csv,yes
RCA059,L154;P069,data/interim/15_funding_or_support_edges_sample_v0.csv,yes
RCA060,L154;P069,data/interim/15_funding_or_support_edges_sample_v0.csv,yes
RCA061,L158;P071,data/interim/15_funding_or_support_edges_sample_v0.csv,yes
RCA061,L158;P071,outputs/R10_administrative_collaboration_v0/HR018_relation_review_v0.csv,yes
RCA062,L158;P071,outputs/R10_administrative_collaboration_v0/figure_metrics_v1.csv,yes
RCA063,L162;P073,outputs/phase1_visuals_v1/support_relations_strict_e3e4.csv,yes
RCA064,L164;P074,outputs/R10_administrative_collaboration_v0/mechanism_dictionary_v1.csv,yes
RCA065,L166;P075,outputs/R06_R07_R11_pathways_v1/r11_external_entry_matrix_v0.csv,yes
RCA066,L170;P077,data/interim/05_source_log_initial_v0.csv,yes
RCA067,L172;P078,data/interim/08_actor_place_edges_initial_v0.csv,yes
RCA068,L174;P079,data/interim/05_source_log_initial_v0.csv,yes
RCA069,L174;P079,data/interim/01_actor_registry_initial_v0.csv,yes
RCA069,L174;P079,data/interim/07_actor_issue_edges_initial_v0.csv,yes
RCA070,L176;P080,data/metadata/coding_schema_v0.md,yes
RCA070,L176;P080,outputs/R10_administrative_collaboration_v0/mechanism_dictionary_v1.csv,yes
RCA071,L178;P081,source_docs/source_archive/source_archive_manifest.csv,yes
RCA071,L178;P081,data/interim/05_source_log_initial_v0.csv,yes
RCA072,L182;P083,outputs/R01_R02_actor_issue_v1/,yes
RCA072,L182;P083,outputs/R04_sakishima_frame_corpus_v0/,yes
RCA072,L182;P083,outputs/R08_legal_procedure_v1/,yes
RCA073,L184;P084,outputs/R03_spatial_dossier_v1/,yes
RCA073,L184;P084,outputs/R04_sakishima_frame_corpus_v0/,yes
RCA074,L186;P085,data/interim/09_actor_event_venue_edges_v0.csv,yes
RCA074,L186;P085,outputs/R05_R07_heterogeneous_repertoire_v1/,yes
RCA075,L188;P086,outputs/phase1_visuals_v1/functional_ecology_matrix.csv,yes
RCA075,L188;P086,outputs/R10_administrative_collaboration_v0/,yes
RCA076,L190;P087,docs/phase1_scheme_acceptance_audit_v1.md,yes
RCA076,L190;P087,docs/local_retrieval_tasks_v1.md,yes
RCA077,L212;P095,outputs/R05_R07_heterogeneous_repertoire_v1/input_layer_audit_v1.csv,yes
RCA077,L212;P095,outputs/R05_R07_heterogeneous_repertoire_v1/repertoire_event_action_venue_units_v1.csv,yes
