case_id,case_name,stage_order,date_or_period,venue_or_field,venue_group,venue_group_zh,observed_stage,source_record_ids,source_refs,sequence_basis,arrow_semantics,new_fact_status
R7C01,Dugong international litigation,1,2003,边野古／大浦湾,field_site,现场／争议地点,儒艮／基地工程争议被转译为 NHPA 第402条程序请求,OBS_R8R001;OBS_R8R003,S128;S129;S062,procedural chronology,ordered observation only; no causal inference,existing_analytical_sequence_from_formal_facts
R7C01,Dugong international litigation,2,2003,美国联邦地区法院,legal_judicial,法院／司法,具名原告与律师进入美国联邦司法场域,OBS_R8R001;OBS_R8R002;OBS_R8R003;OBS_R8R004;OBS_R8R005,S128;S129;S062,procedural chronology,ordered observation only; no causal inference,existing_analytical_sequence_from_formal_facts
R7C01,Dugong international litigation,3,2020,第九巡回上诉法院,legal_judicial,法院／司法,判决阐明第402条审查标准，并维持 DoD 胜诉,OBS_R8R001;OBS_R8R005,S128;S129;S062,procedural chronology,ordered observation only; no causal inference,existing_analytical_sequence_from_formal_facts
R7C02,2020 MMC request,1,2020,边野古／大浦湾议题,field_site,现场／争议地点,请求文本提出儒艮与施工影响议题,OBS_AEV0034,S006,within-event role order,ordered observation only; no causal inference,existing_analytical_sequence_from_formal_facts
R7C02,2020 MMC request,2,2020,市民社会请求,civic_public_communication,公民公开传播,OEJP、JELF 与事件参与者进入请求书,OBS_AEV0034;OBS_AEV0035,S006,within-event role order,ordered observation only; no causal inference,existing_analytical_sequence_from_formal_facts
R7C02,2020 MMC request,3,2020,美国海洋哺乳动物委员会,international_institution,国际／美国机构,请求提交至美国联邦机构,OBS_AEV0034;OBS_AEV0035,S006,within-event role order,ordered observation only; no causal inference,existing_analytical_sequence_from_formal_facts
R7C03,2015 transnational statement,1,2015,边野古／大浦湾,field_site,现场／争议地点,地方工程与生态对象构成声明议题锚点,OBS_AEV0006,S004,event composition order,ordered observation only; no causal inference,existing_analytical_sequence_from_formal_facts
R7C03,2015 transnational statement,2,2015,NACSJ／Peace Boat 声明场域,civic_public_communication,公民公开传播,主办方形成公开倡议场域,OBS_AEV0006,S004,event composition order,ordered observation only; no causal inference,existing_analytical_sequence_from_formal_facts
R7C03,2015 transnational statement,3,2015,日本国内与海外署名场,transnational_civic,跨国公民倡议,公开参与跨越本地、日本国内与海外组织,OBS_AEV0006;OBS_AEV0019;OBS_AEV0031,S004,event composition order,ordered observation only; no causal inference,existing_analytical_sequence_from_formal_facts
R7C04,Kadena third noise litigation,1,2011,嘉手纳受影响地区,field_site,现场／争议地点,A052／受影响居民以原告团层进入案件,R8C03,S133;S134,case chronology and human-checked outcome summary,ordered observation only; no causal inference,analytical_arrangement_of_existing_human_checked_case
R7C04,Kadena third noise litigation,2,2011–2019,那霸地裁／福冈高裁那霸支部,legal_judicial,法院／司法,噪音请求进入日本地裁／高裁程序,R8C03,S133;S134,case chronology and human-checked outcome summary,ordered observation only; no causal inference,analytical_arrangement_of_existing_human_checked_case
R7C04,Kadena third noise litigation,3,2019,司法处分,legal_judicial,法院／司法,维持既往噪音赔偿，同时驳回差止与将来损害请求,R8C03,S133;S134,case chronology and human-checked outcome summary,ordered observation only; no causal inference,analytical_arrangement_of_existing_human_checked_case
R7C05,Ishigaki referendum request and judicial turn,1,2018-10,签名／直接请求入口,electoral_referendum,公投／选举程序,"居民收集有效签名并请求实施住民投票；14,263有效签名，超过38,799选民四分之一",R9ST021,R9S015,accepted R9 process chronology,ordered observation only; no causal inference,analytical_arrangement_of_existing_formal_stages
R7C05,Ishigaki referendum request and judicial turn,2,2019-02-01,市议会条例门槛,electoral_referendum,公投／选举程序,石垣市议会否决市长提交的住民投票条例案；条例未成立、投票未实施,R9ST023,R9S014;R9S023,accepted R9 process chronology,ordered observation only; no causal inference,analytical_arrangement_of_existing_formal_stages
R7C05,Ishigaki referendum request and judicial turn,3,2020-08-27,那霸地裁程序处分,legal_judicial,法院／司法,那霸地裁审理实施义务付け等请求；令和元年（行ウ）第14号・第15号之诉全部却下,R9ST026,R9S015;R9S016,accepted R9 process chronology,ordered observation only; no causal inference,analytical_arrangement_of_existing_formal_stages
R7C06,OESC to USO charitable donation,1,2025,OESC 捐赠记录,service_charity,服务／慈善场域,既有人审记录确认一笔直接慈善捐赠,R10R022,S053,two-sided display of one human-reviewed relation,relation direction only; no causal or political inference,analytical_arrangement_of_existing_human_checked_relation
R7C06,OESC to USO charitable donation,2,2025,USO Okinawa 服务场域,service_charity,服务／慈善场域,USO Okinawa 为具名 recipient；不推定政治效果,R10R022,S053,two-sided display of one human-reviewed relation,relation direction only; no causal or political inference,analytical_arrangement_of_existing_human_checked_relation
