actor_id,actor_name,membership_change,old_anchor_selection_evidence_status,current_anchor_selection_evidence_status,old_active_issue_edge_count,current_active_issue_edge_count,old_active_anchor_issue_edge_count,current_active_anchor_issue_edge_count,research_status,claim_status,review_status,frontend_eligibility,central_writeback,interpretation_limit
A001,Okinawa Environmental Justice Project,retained,candidate_anchor_only,candidate_anchor_only,3,3,2,2,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,retained,at_least_one_human_reviewed_anchor,at_least_one_human_reviewed_anchor,2,2,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A003,ジュゴンネットワーク沖縄,retained,candidate_anchor_only,candidate_anchor_only,2,2,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A004,日本自然保護協会,retained,candidate_anchor_only,candidate_anchor_only,2,2,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A005,WWFジャパン,retained,candidate_anchor_only,candidate_anchor_only,2,2,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A006,グリーンピース・ジャパン,retained,candidate_anchor_only,candidate_anchor_only,2,2,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A007,ピースボート,retained,candidate_anchor_only,candidate_anchor_only,3,3,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A008,NGO非戦ネット,retained,at_least_one_human_reviewed_anchor,at_least_one_human_reviewed_anchor,2,2,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A009,Earthjustice,retained,candidate_anchor_only,candidate_anchor_only,3,3,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A010,石垣島に軍事基地をつくらせない市民連絡会,retained,candidate_anchor_only,candidate_anchor_only,3,3,2,2,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A011,石垣市住民投票を求める会,retained,candidate_anchor_only,at_least_one_human_reviewed_anchor,3,3,2,2,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A012,宮古島いのちの水を守ろう！,retained,candidate_anchor_only,candidate_anchor_only,3,3,3,3,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A013,ミサイル基地いらない宮古島住民連絡会,retained,candidate_anchor_only,candidate_anchor_only,3,3,3,3,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A014,住民投票を成功させるための実行委員会,retained,candidate_anchor_only,candidate_anchor_only,2,2,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A015,与那国自衛隊配備反対意見広告実行委員会,retained,candidate_anchor_only,candidate_anchor_only,2,2,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A016,与那国島の明るい未来を願うイソバの会,retained,at_least_one_human_reviewed_anchor,at_least_one_human_reviewed_anchor,1,1,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A017,沖縄対話プロジェクト,retained,candidate_anchor_only,candidate_anchor_only,3,3,2,2,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A018,ノーモア沖縄戦 命どぅ宝の会,retained,candidate_anchor_only,candidate_anchor_only,3,3,2,2,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A019,ヘリ基地反対協議会（海上ヘリ基地建設反対・平和と名護市政民主化を求める協議会）,retained,at_least_one_human_reviewed_anchor,at_least_one_human_reviewed_anchor,2,2,2,2,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A020,日本環境法律家連盟（JELF）,retained,candidate_anchor_only,at_least_one_human_reviewed_anchor,3,3,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A021,国際環境NGO FoE Japan,retained,candidate_anchor_only,candidate_anchor_only,2,2,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A022,NPO法人 ラムサール・ネットワーク日本,retained,candidate_anchor_only,candidate_anchor_only,2,2,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A023,美ら海にもやんばるにも基地はいらない市民の会,retained,candidate_anchor_only,candidate_anchor_only,2,2,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A024,辺野古リレー,retained,candidate_anchor_only,candidate_anchor_only,2,2,2,2,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A025,辺野古への基地建設を許さない実行委員会,retained,candidate_anchor_only,candidate_anchor_only,2,2,2,2,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A027,公共事業改革市民会議,retained,candidate_anchor_only,candidate_anchor_only,2,2,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A028,沖縄のための日米市民ネットワーク（JUCON）,retained,candidate_anchor_only,candidate_anchor_only,2,2,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A029,沖縄・生物多様性市民ネットワーク,retained,candidate_anchor_only,candidate_anchor_only,2,2,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A047,沖縄平和運動センター,retained,candidate_anchor_only,candidate_anchor_only,4,4,3,3,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A048,沖縄一坪反戦地主会,retained,candidate_anchor_only,candidate_anchor_only,2,2,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A049,基地・軍隊を許さない行動する女たちの会,retained,candidate_anchor_only,candidate_anchor_only,3,3,3,3,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A050,沖縄弁護士会,retained,candidate_anchor_only,candidate_anchor_only,3,3,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A051,「辺野古」県民投票の会,retained,candidate_anchor_only,at_least_one_human_reviewed_anchor,3,3,2,2,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A052,嘉手納基地爆音差止訴訟原告団,retained,at_least_one_human_reviewed_anchor,at_least_one_human_reviewed_anchor,4,4,3,3,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A053,普天間基地爆音訴訟団,retained,at_least_one_human_reviewed_anchor,at_least_one_human_reviewed_anchor,4,4,3,3,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A056,沖縄環境ネットワーク,retained,candidate_anchor_only,candidate_anchor_only,2,2,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A057,沖縄意見広告運動,retained,candidate_anchor_only,candidate_anchor_only,2,2,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A058,安保廃棄・くらしと民主主義を守る沖縄県統一行動連絡会議,retained,candidate_anchor_only,candidate_anchor_only,2,2,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A059,沖縄「建白書」を実現し未来を拓く島ぐるみ会議,retained,candidate_anchor_only,candidate_anchor_only,3,3,2,2,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A060,高江のヘリパッドいらない住民の会,retained,candidate_anchor_only,candidate_anchor_only,2,2,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A063,一坪反戦地主会関東ブロック,retained,candidate_anchor_only,candidate_anchor_only,2,2,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A064,外国軍事基地撤去国際ネットワーク（No Bases Network）,retained,candidate_anchor_only,candidate_anchor_only,2,2,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A065,南西諸島ピースネット,retained,candidate_anchor_only,candidate_anchor_only,3,3,3,3,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A066,新外交イニシアティブ（ND）,retained,candidate_anchor_only,candidate_anchor_only,3,3,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A067,辺野古土砂搬出反対全国連絡協議会,retained,candidate_anchor_only,candidate_anchor_only,3,3,2,2,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A068,ヘリポート基地建設の是非を問う名護市民投票推進協議会,retained,candidate_anchor_only,at_least_one_human_reviewed_anchor,3,3,3,3,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A069,沖縄ジュゴン環境アセスメント監視団,retained,candidate_anchor_only,candidate_anchor_only,3,3,2,2,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A070,Veterans For Peace Ryukyu/Okinawa Chapter Kokusai (VFP-ROCK),retained,candidate_anchor_only,candidate_anchor_only,3,3,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A071,沖縄から基地をなくし世界の平和を求める市民連絡会,retained,candidate_anchor_only,candidate_anchor_only,2,2,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A076,ジュゴン保護基金委員会（Save the Dugong Foundation）,retained,at_least_one_human_reviewed_anchor,at_least_one_human_reviewed_anchor,3,3,2,2,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A086,Turtle Island Restoration Network,retained,at_least_one_human_reviewed_anchor,at_least_one_human_reviewed_anchor,4,4,1,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A087,NPO法人世界版「平和の礎」を提案する会,added_postfreeze,,at_least_one_human_reviewed_anchor,,3,,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A089,沖縄県教職員組合,added_postfreeze,,at_least_one_human_reviewed_anchor,,2,,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A090,沖縄県高等学校障害児学校教職員組合,added_postfreeze,,at_least_one_human_reviewed_anchor,,2,,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A091,日本労働組合総連合会沖縄県連合会（連合沖縄）,added_postfreeze,,at_least_one_human_reviewed_anchor,,5,,3,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A092,沖縄県労働組合総連合,added_postfreeze,,at_least_one_human_reviewed_anchor,,3,,2,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A093,全日本自治団体労働組合沖縄県本部,added_postfreeze,,at_least_one_human_reviewed_anchor,,2,,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A095,止めよう「自衛隊配備」宮古郡民の会,added_postfreeze,,at_least_one_human_reviewed_anchor,,4,,3,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A096,宮古平和運動連絡協議会,added_postfreeze,,at_least_one_human_reviewed_anchor,,2,,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A097,宮古島環境クラブ,added_postfreeze,,at_least_one_human_reviewed_anchor,,3,,1,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A099,有機フッ素化合物（PFAS）汚染から市民の生命を守る連絡会,added_postfreeze,,at_least_one_human_reviewed_anchor,,4,,3,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A100,ミサイル配備から命を守るうるま市民の会,added_postfreeze,,at_least_one_human_reviewed_anchor,,5,,4,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
A101,沖縄・琉球弧の声を届ける会,added_postfreeze,,at_least_one_human_reviewed_anchor,,7,,4,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Mechanical membership in a research comparison selected by anchor issue edges; not a political identity, alliance, or census."
