row_id,name,status,reporting_cycle,okinawa_scope,preliminary_function_family,relevance_screen,source_url,observed_date,review_status,claim_status,package_scope,frontend_eligibility
H2PO001,3D Dental Battalion First Class Petty Officers Association,ACTIVE,Fiscal,not_determined_directory_mixes_regions,rank_or_unit_association,exclude_from_h2_core_unless_new_evidence,https://www.okinawa.usmc-mccs.org/more/private-organizations,2026-07-20,ai_seeded,candidate_directory_classification,research_only,excluded_research_only
H2PO002,3D Marine Logistics Group Chief Petty Officer Association (DBA 3D Marine Logistic Group Chief Petty Officer Association),ACTIVE,Fiscal,okinawa_name_or_installation_signal_only,rank_or_unit_association,exclude_from_h2_core_unless_new_evidence,https://www.okinawa.usmc-mccs.org/more/private-organizations,2026-07-20,ai_seeded,candidate_directory_classification,research_only,excluded_research_only
H2PO003,3D Medical Battalion Chief Petty Officer's Association,ACTIVE,Fiscal,okinawa_name_or_installation_signal_only,rank_or_unit_association,exclude_from_h2_core_unless_new_evidence,https://www.okinawa.usmc-mccs.org/more/private-organizations,2026-07-20,ai_seeded,candidate_directory_classification,research_only,excluded_research_only
H2PO004,3D Medical Battalion First Class Petty Officers Association,ACTIVE,Fiscal,okinawa_name_or_installation_signal_only,rank_or_unit_association,exclude_from_h2_core_unless_new_evidence,https://www.okinawa.usmc-mccs.org/more/private-organizations,2026-07-20,ai_seeded,candidate_directory_classification,research_only,excluded_research_only
H2PO005,3D Medical Battalion Junior Enlisted Association,ACTIVE,Fiscal,okinawa_name_or_installation_signal_only,rank_or_unit_association,exclude_from_h2_core_unless_new_evidence,https://www.okinawa.usmc-mccs.org/more/private-organizations,2026-07-20,ai_seeded,candidate_directory_classification,research_only,excluded_research_only
H2PO006,3D Medical Battalion Officer's Wardroom,ACTIVE,Fiscal,okinawa_name_or_installation_signal_only,rank_or_unit_association,exclude_from_h2_core_unless_new_evidence,https://www.okinawa.usmc-mccs.org/more/private-organizations,2026-07-20,ai_seeded,candidate_directory_classification,research_only,excluded_research_only
H2PO007,3D Medical Battalion SCPOA,ACTIVE,Fiscal,okinawa_name_or_installation_signal_only,rank_or_unit_association,exclude_from_h2_core_unless_new_evidence,https://www.okinawa.usmc-mccs.org/more/private-organizations,2026-07-20,ai_seeded,candidate_directory_classification,research_only,excluded_research_only
H2PO008,3D MLG FCPOA (formerly known as Camp Kinser FCPOA),ACTIVE,Calendar,okinawa_name_or_installation_signal_only,rank_or_unit_association,exclude_from_h2_core_unless_new_evidence,https://www.okinawa.usmc-mccs.org/more/private-organizations,2026-07-20,ai_seeded,candidate_directory_classification,research_only,excluded_research_only
H2PO009,ABBRA KDABR,ACTIVE,Calendar,not_determined_directory_mixes_regions,identity_or_function_unresolved,exclude_from_h2_core_unless_new_evidence,https://www.okinawa.usmc-mccs.org/more/private-organizations,2026-07-20,ai_seeded,candidate_directory_classification,research_only,excluded_research_only
H2PO010,"Alpha Kappa Alpha Sorority, Inc. Phi Omicron Omega",ACTIVE,Calendar,not_determined_directory_mixes_regions,fraternal_or_service_society,background_or_peripheral,https://www.okinawa.usmc-mccs.org/more/private-organizations,2026-07-20,ai_seeded,candidate_directory_classification,research_only,excluded_research_only
H2PO011,American Welfare & Works Association,ACTIVE,IRS,not_determined_directory_mixes_regions,spouse_charity_umbrella,existing_registry,https://www.okinawa.usmc-mccs.org/more/private-organizations,2026-07-20,ai_seeded,candidate_directory_classification,research_only,excluded_research_only
H2PO012,ASBBC MWR,ACTIVE,Fiscal,not_determined_directory_mixes_regions,morale_and_recreation,exclude_from_h2_core_unless_new_evidence,https://www.okinawa.usmc-mccs.org/more/private-organizations,2026-07-20,ai_seeded,candidate_directory_classification,research_only,excluded_research_only
H2PO013,Battle of Okinawa Historical Society,ACTIVE,Calendar,okinawa_name_or_installation_signal_only,historical_memory_society,exclude_from_h2_core_unless_new_evidence,https://www.okinawa.usmc-mccs.org/more/private-organizations,2026-07-20,ai_seeded,candidate_directory_classification,research_only,excluded_research_only
H2PO014,Bechtel Elementary School Parent Teacher Organization,ACTIVE,School,okinawa_name_or_installation_signal_only,school_parent_governance,background_or_peripheral,https://www.okinawa.usmc-mccs.org/more/private-organizations,2026-07-20,ai_seeded,candidate_directory_classification,research_only,excluded_research_only
H2PO015,Coalition of Sailors Against Destructive Decisions (CSADD),ACTIVE,School,not_determined_directory_mixes_regions,peer_risk_prevention,background_or_peripheral,https://www.okinawa.usmc-mccs.org/more/private-organizations,2026-07-20,ai_seeded,candidate_directory_classification,research_only,excluded_research_only
H2PO016,"Delta Sigma Theta Sorority, Inc.",ACTIVE,Calendar,not_determined_directory_mixes_regions,fraternal_or_service_society,background_or_peripheral,https://www.okinawa.usmc-mccs.org/more/private-organizations,2026-07-20,ai_seeded,candidate_directory_classification,research_only,excluded_research_only
H2PO017,Dragon Football Sports Club,ACTIVE,Calendar,not_determined_directory_mixes_regions,sports_and_recreation,exclude_from_h2_core_unless_new_evidence,https://www.okinawa.usmc-mccs.org/more/private-organizations,2026-07-20,ai_seeded,candidate_directory_classification,research_only,excluded_research_only
H2PO018,E.C. Killin Parent Teacher Organization,ACTIVE,School,okinawa_name_or_installation_signal_only,school_parent_governance,background_or_peripheral,https://www.okinawa.usmc-mccs.org/more/private-organizations,2026-07-20,ai_seeded,candidate_directory_classification,research_only,excluded_research_only
H2PO019,Electa Chapter No. 25,ACTIVE,Calendar,not_determined_directory_mixes_regions,fraternal_or_service_society,background_or_peripheral,https://www.okinawa.usmc-mccs.org/more/private-organizations,2026-07-20,ai_seeded,candidate_directory_classification,research_only,excluded_research_only
H2PO020,Elite Okinawa FC,ACTIVE,School,okinawa_name_or_installation_signal_only,identity_or_function_unresolved,exclude_from_h2_core_unless_new_evidence,https://www.okinawa.usmc-mccs.org/more/private-organizations,2026-07-20,ai_seeded,candidate_directory_classification,research_only,excluded_research_only
H2PO021,En Pointe Booster Club,ACTIVE,School,not_determined_directory_mixes_regions,identity_or_function_unresolved,exclude_from_h2_core_unless_new_evidence,https://www.okinawa.usmc-mccs.org/more/private-organizations,2026-07-20,ai_seeded,candidate_directory_classification,research_only,excluded_research_only
