review_item_id,item_type,edge_id,actor_id,source_id,source_title,source_url,source_type,source_year,source_evidence_level,source_review_status,what_it_supports,support_scope,locator,archive_status,local_path
HR035-B02-AI016,edge_fact,AI016,A007,S005,Peace Boat statement on Henoko emergency NGO declaration,https://peaceboat.org/3620.html,ngo_statement,2015,E4,human_revised,peace/environment/base issue bridge,,,archived,source_docs\source_archive\S005\raw.html
HR035-B02-AI040,edge_fact,AI040,A017,S022,沖縄対話プロジェクト 公式ページ,https://okinawataiwa.net/,organization_site,2023,E4,ai_seeded,Okinawa Dialogue Project frontline/Taiwan context,,,archived,source_docs\source_archive\S022\raw.html
HR035-B02-AI042,edge_fact,AI042,A017,S022,沖縄対話プロジェクト 公式ページ,https://okinawataiwa.net/,organization_site,2023,E4,ai_seeded,Okinawa Dialogue Project frontline/Taiwan context,,,archived,source_docs\source_archive\S022\raw.html
HR035-B02-AI044,edge_fact,AI044,A018,S023,ノーモア沖縄戦 命どぅ宝の会 結成,https://www.qab.co.jp/news/20220321148994.html,local_news,2022,E4,ai_seeded,No More Okinawa War organization formation,,,archived,source_docs\source_archive\S023\raw.html
HR035-B02-AI119,edge_fact,AI119,A049,S039,基地・軍隊を許さない行動する女たちの会 結成（Akibayashi）,https://www2.kobe-u.ac.jp/~alexroni/TR%202013%20readings/2013_3/05_73-85%20Akibayashi.pdf,academic_article,1995,E3,ai_seeded,Women Against Military Bases formation after 1995 incident,,,archived,source_docs\source_archive\S039\raw.pdf
HR035-B02-AI121,edge_fact,AI121,A049,S039,基地・軍隊を許さない行動する女たちの会 結成（Akibayashi）,https://www2.kobe-u.ac.jp/~alexroni/TR%202013%20readings/2013_3/05_73-85%20Akibayashi.pdf,academic_article,1995,E3,ai_seeded,Women Against Military Bases formation after 1995 incident,,,archived,source_docs\source_archive\S039\raw.pdf
HR035-B02-AI157,edge_fact,AI157,A066,S032,新外交イニシアティブ（ND）公式サイト,https://www.nd-initiative.org/,organization_site,2026,E4,ai_seeded,ND think tank / policy advocacy,,,archived,source_docs\source_archive\S032\raw.html
HR035-B02-AI158,edge_fact,AI158,A066,S032,新外交イニシアティブ（ND）公式サイト,https://www.nd-initiative.org/,organization_site,2026,E4,ai_seeded,ND think tank / policy advocacy,,,archived,source_docs\source_archive\S032\raw.html
HR035-B02-AI159,edge_fact,AI159,A066,S032,新外交イニシアティブ（ND）公式サイト,https://www.nd-initiative.org/,organization_site,2026,E4,ai_seeded,ND think tank / policy advocacy,,,archived,source_docs\source_archive\S032\raw.html
HR035-B02-AI223,edge_fact,AI223,A112,S269,地下水の危機とは？,https://miyakojima-tikasui.com/crisis.html,organization_site,2026,E3,human_revised,研究会公开把自卫队设施用水、生活排水及设施排水表述为地下水风险类别；不证明污染或健康因果。,研究会公开把自卫队设施用水、生活排水及设施排水表述为地下水风险类别；不证明污染或健康因果。,「2017年以降、消費量が一気に増加」及「自衛隊施設の排水」两节；2026访问快照,archived,source_docs\source_archive\S269\raw.html
HR035-B02-AI223,edge_fact,AI223,A112,S270,水道水源保全区域を宮古島市全域に拡大する理由,https://miyakojima-tikasui.com/report_activity/2021-10-08-04.pdf,organization_program_document,2021,E3,ai_seeded,A dated ordinance/monitoring proposal explicitly covering SDF-facility wastewater risks,,,archived,source_docs\source_archive\S270\raw.pdf
