crosswalk_id,lead_id,formal_target,formal_scope_promoted,lead_scope_remaining,lead_status_after_promotion,principal_scope_basis,central_writeback,publication_eligibility
BGR-P001,UF-BPG-001,"BGR-F001;BGR-F002;BGR-F015;BGR-F016","public-rule private status and written authorization clauses","actor-specific authorization and broad theoretical implications",lead_only_provenance_only,"2026-08-22 approval of formal MCIPAC/Kadena public-rule layer",no,no
BGR-P002,UF-BPG-002,"BGR-F003;BGR-F014;BGR-F017;BGR-F020;BGR-F025","public-rule administration, sanction and internal non-control clauses","actor-specific monitoring/sanction history",lead_only_provenance_only,"2026-08-22 approval of formal MCIPAC/Kadena public-rule layer",no,no
BGR-P003,UF-BPG-003,"BGR-F004;BGR-F005;BGR-F018;BGR-CL005","rule-defined submission/file obligations only","retrieval of constitutions, quarterly accounts, bank records, receipts, rosters and audits",lead_only,"Records-office retrieval explicitly remains lead_only and is not a package expectation",no,no
BGR-P004,UF-BPG-004,"BGR-G01;BGR-G02;BGR-G03;BGR-G04;BGR-G05;BGR-G06;BGR-G07;BGR-G08;BGR-G09","formal relation grammar for the approved rule layer","information-disclosure/request design and central schema integration",lead_only,"Only the public-rule grammar was approved",no,no
BGR-P005,UF-BPG-005,"BGR-F008;BGR-F009;BGR-F023;BGR-CL003","generic public rules for license, approval and cost recovery","named license, room, rent and reimbursement records",lead_only,"Actor-specific facility records remain outside scope",no,no
BGR-P006,UF-BPG-006,"BGR-F009;BGR-F010;BGR-F011;BGR-F012;BGR-F024","public-rule equipment/support/fee conditions","actual support transactions, value, waiver and payment",lead_only,"No actor-specific money or service edge was approved",no,no
BGR-P007,UF-BPG-007,"BGR-F013;BGR-F021;BGR-F022;BGR-CL004","category and named-operation resale clauses in the public orders","licenses, facilities, revenue, exclusivity and political effects",lead_only,"Only the rule-defined exception was approved",no,no
BGR-P008,UF-BPG-008,,"none; current roster/cross-installation actor mapping was not required for the formal rule layer","MCIPAC roster and full actor-to-installation crosswalk",lead_only,"Formal frame is rule clauses, not a complete actor roster",no,no
BGR-P009,UF-BPG-009,,"none; AWWA cross-command network interpretation relies on external membership facts","AWWA umbrella network × command-regime cross-layer hypothesis",lead_only,"No organizational-network conclusion was approved in this package",no,no
BGR-P010,UF-BPG-010,,"none; unresolved names and Navy/Army regimes remain excluded","NOSCO/ACGO authorization, OESC name identity and 2025 Kadena category",lead_only,"Approved frame is limited to MCIPAC/Kadena rules already public",no,no
