module,module_source_id,proposal_row_id,main_source_id,merge_status,normalized_url,source_review_status,archive_status,relation_or_claim_approved,review_boundary
R10,R10S05,SMC021,S173,proposed_new,https://www.city.okinawa.okinawa.jp/documents/1858/1kanryou.pdf,ai_seeded,archived,no,archive and add to source log before main-table merge | source metadata inferred from crosswalk; no archive performed
R10,R10S06,SMC022,S174,proposed_new,https://www.city.okinawa.okinawa.jp/documents/1858/2kannryou.pdf,ai_seeded,archived,no,archive and add to source log before main-table merge | source metadata inferred from crosswalk; no archive performed
R10,R10S07,SMC023,S175,proposed_new,https://www.city.okinawa.okinawa.jp/documents/1858/r0607okinawashi.pdf,ai_seeded,archived,no,archive and add to source log before main-table merge | source metadata inferred from crosswalk; no archive performed
R10,R10S08,SMC040,S186,proposed_new,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/034/046/3gaiyo.pdf,ai_seeded,archived,no,archive and add to source log before main-table merge | source metadata inferred from crosswalk; no archive performed
R10,R10S09,SMC034,S181,proposed_new,https://www.oki-ngo.org/project,ai_seeded,archived,no,distinct subpage; do not collapse into S095 without a page-level policy | source metadata inferred from crosswalk; no archive performed
R10,R10S10,SMC024,S176,proposed_new,https://www.city.okinawa.okinawa.jp/k034/sportsbunka/bunkarekishi/bunkageijutsu/3938939394.html,ai_seeded,archived,no,function evidence only | source metadata inferred from crosswalk; no archive performed
R10,R10S11,SMC038,S184,proposed_new,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/015/127/koushitsu1.pdf,ai_seeded,archived,no,key official contract source; archive and add before merge | source metadata inferred from crosswalk; no archive performed
R10,R10S12,SMC037,S183,proposed_new,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/004/917/2r6kekka.pdf,ai_seeded,archived,no,code-definition source; archive and add before merge | source metadata inferred from crosswalk; no archive performed
R4,R4S001,SMC015,S168,proposed_new,https://www.city.miyakojima.lg.jp/gyosei/kihonkeikaku/kensetsu/shisaku2.html,ai_seeded,archived,no,这是一般水政策背景；不得自动归因于自卫队部署 | 一般地下水政策可作宫古背景；没有部署连接，删除 environment_deployment
R4,R4S003,SMC004,S020,current_main_match,https://ryukyushimpo.jp/news/entry-296563.html,preserve_existing_main_status,archived,no,需回查正文确认具名actor及原话 | 正文明确具名 6・11 市民集会実行委員会及地下水诉求；与 A012 的稳定 actor 身份仍需 crosswalk
R4,R4S004,SMC033,S114,current_main_match,https://www.npo-mec.net/,preserve_existing_main_status,archived,no,只能证明环境功能；不能推断反部署立场 | 官网只支持水边自然保护和环境教育；既非地下水证据也非部署争议证据
R4,R4S005,SMC001,S115,current_main_match,https://econet.jpn.org/,preserve_existing_main_status,archived,no,作为地方环境生态背景；未证明军事争议参与 | 官网只支持海岸清扫、海洋调查与环境教育；不得编码 environment_deployment
R4,R4S006,SMC016,S169,proposed_new,https://www.city.miyakojima.lg.jp/kurashi/bousai/bousaijyouhou/2019-0613-1126-269.html,ai_seeded,archived,no,法定规划不等于冲突将发生 | 法定国民保护计划情境定位准确
R4,R4S009,SMC017,S170,proposed_new,https://www.city.miyakojima.lg.jp/soshiki/shityo/soumubu/bousaikikikannri/oshirase/2026-0513-1044-269.html,ai_seeded,archived,no,应人工编码居民疑问与政府回答的不同立场 | 原摘录“空港や港湾などのインフラ”在页面及两份附件中未找到；原“基础设施仍可用”释义也不受该问答支持
R4,R4S010,SMC025,S137,current_main_match,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-89731.pdf,preserve_existing_main_status,failed,no,判决驳回诉求；事实认定与法律结论须分开 | 判决日期为 2020-08-27；事实链和签名数成立，但判决不具名 A011；本行工作 URL 可用而 S137 source-log 旧 URL 为 404，合并前须统一回指 | 使用法院迁移后URL；主source log旧URL尚未在本脚本中修改。
R4,R4S011,SMC008,S138,current_main_match,https://www.city.ishigaki.okinawa.jp/jieiteikannrenn/news/3615.html,preserve_existing_main_status,archived,no,"需核页面更新日期与具体表决时间 | 不能写 current；页面给出事件日期和更新日期 | Process/source fact only; do not infer organization continuity, alliance, or later authorization."
R4,R4S013,SMC012,S165,proposed_new,https://www.city.ishigaki.okinawa.jp/soshiki/1/kokuminhogokankei/10812.html,ai_seeded,archived,no,需下载各年度PDF比较变化 | 年度链接与页面更新时间 2026-02-27 可复核
R4,R4S014,SMC009,S162,proposed_new,https://www.city.ishigaki.okinawa.jp/material/files/group/33/iinkai2024-1.pdf,ai_seeded,archived,no,决议是政策要求不是已落实措施 | 市议会决议文字和制度角色清楚；不得写成已落实
R4,R4S016,SMC054,S198,proposed_new,https://www2.pref.okinawa.jp/oki/Gikairep1.nsf/bf76642d1ed57158492581ed00348311/6cc4b1801bbb16124925861e00087c7a?Click=&OpenDocument=,ai_seeded,failed,no,需区分提问者陈述和环境部长回答 | 原文日期为 2019-07-02；摘录是议员转述“石垣市民”声音，不是环境部长答复，也没有具名 A010
R4,R4S017,SMC048,S010,current_main_match,https://www.qab.co.jp/news/2015022363334.html,preserve_existing_main_status,archived,no,投票结果不能代表后续所有扩编项目的授权 | QAB 第35行明确具名 A014 及上地国生委员长；原“未独立确认委员会身份”提示错误 | 只支持事件期公开身份，不支持成立、法人性和持续性。
R4,R4S018,SMC032,S013,current_main_match,https://www.mod.go.jp/j/press/wp/wp2022/html/nc014000.html,preserve_existing_main_status,archived,no,这是防卫省制度框架；不能当居民共识 | 防卫省的前线／台湾邻近自我框架明确；不得外推居民共识
R4,R4S019,SMC031,S012,current_main_match,https://www.mod.go.jp/gsdf/station/wa/yonaguni,preserve_existing_main_status,archived,no,只证实部署事实不证实社会反应 | 驻屯地页面只证实设施和部队存在；删除 environment_deployment
R4,R4S020,SMC051,S196,proposed_new,https://www.town.yonaguni.okinawa.jp/docs/2018041100144/hogokeikaku.html,ai_seeded,archived,no,法定计划与当前扩军争议需分开 | 计划制定于 2017-05、网页发布于 2018-04-11；两日期宜并列
R4,R4S021,SMC047,S193,proposed_new,https://www.pref.okinawa.lg.jp/bosaianzen/kokuminhogo/1023175/1026163/1032696/1032939.html,ai_seeded,archived,no,覆盖先岛整体；不可全部归为与那国特有 | 来源覆盖先岛五市町村；只能作为先岛区域背景，不能计作与那国独有密度
R4,R4S022,SMC003,S052,current_main_match,https://isobanokai.ti-da.net/,preserve_existing_main_status,archived,no,需定位具体博文；首页名称不足以支持全部框架 | 原“明るい未来を願う”只是组织名片段，不支持三项 frame；改用可定位的组织博文，仍不支持 life_safety
R4,R4S023,SMC035,S068,current_main_match,https://www.okinawatimes.co.jp/articles/-/1448767,preserve_existing_main_status,archived,no,需核付费正文和请求书原件 | 可确认 A016 提交停止训练请求；可见正文不支持 life_safety，删除该标签
R4,R4S025,SMC030,S180,proposed_new,https://www.kokuminhogo.go.jp/kunren/kyodo/post-103.html,ai_seeded,archived,no,训练计划不是实际撤离能力验证 | 与那国到佐贺的避难、接收与救护节点均可复核；训练不等于能力验证
R9,R9S001,SMC046,S192,proposed_new,https://www.pref.okinawa.jp/kititaisaku/DP-08-13.pdf,ai_seeded,archived,no,"Process/source fact only; do not infer organization continuity, alliance, or later authorization."
R9,R9S002,SMC018,S042,current_main_match,https://www.city.nago.okinawa.jp/kurashi/2018071900226,preserve_existing_main_status,archived,no,"Process/source fact only; do not infer organization continuity, alliance, or later authorization."
R9,R9S003,SMC019,S171,proposed_new,https://www.city.nago.okinawa.jp/kurashi/2018071901216,ai_seeded,archived,no,"Process/source fact only; do not infer organization continuity, alliance, or later authorization."
R9,R9S005,SMC002,S071,current_main_match,https://greenaccess.law.osaka-u.ac.jp/archives/7214,preserve_existing_main_status,archived,no,不是町公报或议会原件；需当地交叉。
R9,R9S006,SMC050,S195,proposed_new,https://www.town.yonaguni.okinawa.jp/docs/2018041100076/file_contents/H27siseihousin.pdf,ai_seeded,archived,no,官方立场不替代完整结果表。
R9,R9S007,SMC005,S011,current_main_match,https://ryukyushimpo.jp/news/prentry-239307.html,preserve_existing_main_status,archived,no,需町选管原表升级为E4。
R9,R9S009,SMC045,S191,proposed_new,https://www.pref.okinawa.jp/kensei/kencho/1001519/1001591/1018974/1018988.html,ai_seeded,archived,no,"Process/source fact only; do not infer organization continuity, alliance, or later authorization."
