review_item_id,decision_domain,question,source_ids,hard_boundary,priority,human_decision,human_note,data_layer,claim_status,review_status,frontend_eligibility,central_writeback
H3HR01,network identity,Decide whether 戦争止めよう！沖縄・西日本ネットワーク is a new actor and assign scope/class.,H3V2S008;H3V2S009;H3V2S010,No central actor before decision.,high,,,research_only,needs_human_decision,needs_human_review,not_frontend_ready,no
H3HR02,formal membership,Review all 35 dated membership claims and five Okinawa registry crosswalks.,H3V2S011,Membership does not create dyadic alliances.,high,,,research_only,needs_human_decision,needs_human_review,not_frontend_ready,no
H3HR03,four-island event,Review 35 signatories and distinguish publisher/organizer/local-request subject/endorser.,H3V2S023;H3V2S024,Event hyperedge only; no stable alliance.,high,,,research_only,needs_human_decision,needs_human_review,not_frontend_ready,no
H3HR04,A010 lifecycle correction,"Resolve exact name-change date, new canonical/alias validity period and relation to HR-012.",H3V2S015;H3V2S016,Do not overwrite central A010 automatically.,high,,,research_only,needs_human_decision,needs_human_review,not_frontend_ready,no
H3HR05,A010 interpretation,Accept/revise/reject the scale-shift-after-installation hypothesis after matched pre/post reading.,H3V2S004;H3V2S005;H3V2S017;H3V2S018;H3V2S023,Rename and sequence alone are not causality.,high,,,research_only,needs_human_decision,needs_human_review,not_frontend_ready,no
H3HR06,Miyako boundary,Confirm A013 absence from the 2025 roster and timing/status of any later network membership.,H3V2S011;H3V2S019;H3V2S023,Absence is as-of one dated roster only.,medium,,,research_only,needs_human_decision,needs_human_review,not_frontend_ready,no
H3HR07,roster overlap,Review 2023/2025/2026 normalized names and role-specific overlap.,S246;H3V2S011;H3V2S023,Host/member/signatory roles must remain distinct.,medium,,,research_only,needs_human_decision,needs_human_review,not_frontend_ready,no
H3HR08,formation sequence,Decide how to phrase the 2023 rally as a claimed trigger.,H3V2S011;H3V2S012,"Use organizer self-attribution, not causal diffusion.",medium,,,research_only,needs_human_decision,needs_human_review,not_frontend_ready,no
H3HR09,repeat action/counts,Review 2025 and 2026 government actions and whether 35/38 counts are comparable.,H3V2S013;H3V2S014,Do not call 35→38 growth without rosters.,medium,,,research_only,needs_human_decision,needs_human_review,not_frontend_ready,no
H3HR10,academic novelty,Read the direct Higa 2023 article plus Ono 2016 and Kumamoto 2024 before novelty decision.,AL01;AL03;AL07,Metadata/abstract scan is not a literature review.,high,,,research_only,needs_human_decision,needs_human_review,not_frontend_ready,no
H3HR11,source governance carryover,Resolve S022/S036 metadata and S119 archive/date gates inherited from H3 v1.,S022;S036;S119,Do not silently normalize in this package.,medium,,,research_only,needs_human_decision,needs_human_review,not_frontend_ready,no
