candidate_source_id,case_id,title,source_owner,source_type,url,primary_or_secondary,evidence_level,used_for,review_status,notes
R8S01,R8C01,Okinawa Dugong v Rumsfeld docket PDF USCOURTS-cand-3_03-cv-04350,U.S. federal judiciary via GovInfo,court_record,https://www.govinfo.gov/content/pkg/USCOURTS-cand-3_03-cv-04350/pdf/USCOURTS-cand-3_03-cv-04350-16.pdf,primary,E4,complaint history parties and district procedure,existing_main_source_S093,"Official docket compilation; already in main source log."
R8S02,R8C01,Center for Biological Diversity v. Mattis No. 15-15695 opinion,U.S. Court of Appeals for the Ninth Circuit,court_opinion,https://cdn.ca9.uscourts.gov/datastore/opinions/2017/08/21/15-15695.pdf,primary,E4,party list NHPA posture and 2017 remand,new_candidate,"Official published appellate opinion."
R8S03,R8C01,Center for Biological Diversity v. Esper No. 18-16836 opinion,U.S. Court of Appeals for the Ninth Circuit,court_opinion,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/05/06/18-16836.pdf,primary,E4,final appellate outcome and Section 402 standard,new_candidate,"Official published appellate opinion filed 2020-05-06."
R8S04,R8C01,Okinawa Dugong proposed airbase case page,Earthjustice,formal_litigation_material,https://earthjustice.org/case/okinawa-dugong-proposed-airbase,primary_organization,E4,counsel role and case chronology,existing_main_source_S062,"Organization formal litigation page; use for counsel role not as neutral court outcome."
R8S05,R8C02,普天間飛行場代替施設建設事業に係る環境影響評価書（補正後） publication hub,Okinawa Defense Bureau,official_EIA,https://www.mod.go.jp/rdb/okinawa/effort/base/evaluation/hyoukayouyaku.html,primary,E4,EIA proponent procedure and corrected assessment,new_candidate_related_to_S047,"Official publication hub; S047 in main log points to a closely related Defense Bureau EIA page."
R8S06,R8C02,「普天間飛行場代替施設建設事業に係る環境影響評価書（補正後）」への意見,日本自然保護協会,formal_comment,https://www.nacsj.or.jp/statement/50946/,primary_organization,E4,commenter role targets claims and date,new_candidate,"Dated 2013-02-12 formal submission to national and prefectural officials."
R8S07,R8C02,普天間飛行場代替施設建設事業に係る環境影響評価方法書に対する意見,日本自然保護協会,formal_comment,https://www.nacsj.or.jp/statement/51098/,primary_organization,E4,method-statement commenter role and early procedure,new_candidate,"Dated 2004-06-10 formal comment."
R8S08,R8C03,Third Kadena Air Base noise injunction appeal judgment,日本裁判所,court_opinion,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-88988.pdf,primary,E4,claims parties legal reasoning and outcome,new_candidate,"Official judgment PDF; title metadata should be rechecked before main source-log merge."
R8S09,R8C03,爆音響く 第三次嘉手納基地爆音差止訴訟の記録 2011.4-2022.3 総集編,National Diet Library,catalog_of_formal_case_record,https://ndlsearch.ndl.go.jp/books/R100000002-I032624657,primary_official_catalog,E3,plaintiff-group and counsel-group identity,new_candidate,"Official library catalog identifies author/publisher; content itself not yet retrieved."
R8S10,R8C04,令和4年3月10日 普天間飛行場周辺損害賠償請求事件判決,日本裁判所,court_opinion,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-91354.pdf,primary,E4,case numbers resident plaintiffs claims and partial damages outcome,new_candidate,"Official judgment: Heisei 30 (wa) 201 and Reiwa 2 (wa) 33."
