edge_id,actor_id,actor_name,issue_id,issue_label,relation_basis_original,evidence_level,review_status,review_question,review_decision,human_reviewer,review_date,review_notes,approved_formulation,scope_boundary,decision_source_report
AI016,A007,ピースボート,I012,international_advocacy,International peace NGO role,E4,ai_seeded,该 edge 应归为长期定位、制度／案件角色，还是事件性标签？,organizational_positioning,项目负责人,2026-07-20,由长期 Okinawa project 的对美／跨国传播支持；S005 单次声明不足，须补官网项目页 | 边界：A007 ピースボート—international_advocacy；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,由长期 Okinawa project 的对美／跨国传播支持；S005 单次声明不足，须补官网项目页,A007 ピースボート—international_advocacy；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md
AI021,A009,Earthjustice,I012,international_advocacy,U.S. legal NGO involvement,E4,ai_seeded,该 edge 应归为长期定位、制度／案件角色，还是事件性标签？,institutional_or_case_role,项目负责人,2026-07-20,严格限于冲绳儒艮案的美国法律渠道；Earthjustice 是律师，不是原告 | 边界：A009 Earthjustice—international_advocacy；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,严格限于冲绳儒艮案的美国法律渠道；Earthjustice 是律师，不是原告,A009 Earthjustice—international_advocacy；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md
AI025,A011,石垣市住民投票を求める会,I010,referendum,Ishigaki referendum campaign,E4,ai_seeded,该 edge 应归为长期定位、制度／案件角色，还是事件性标签？,institutional_or_case_role,项目负责人,2026-07-20,住民投票直接请求及后续程序的核心角色，不是无限期组织定位 | 边界：A011 石垣市住民投票を求める会—referendum；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,住民投票直接请求及后续程序的核心角色，不是无限期组织定位,A011 石垣市住民投票を求める会—referendum；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md
AI027,A011,石垣市住民投票を求める会,I002,anti_military,Referendum on JSDF deployment,E4,ai_seeded,该 edge 应归为长期定位、制度／案件角色，还是事件性标签？,institutional_or_case_role,项目负责人,2026-07-20,仅限该公投程序所针对的石垣陆自部署，不泛化为所有反军事议题 | 边界：A011—anti_military；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,仅限该公投程序所针对的石垣陆自部署，不泛化为所有反军事议题,A011—anti_military；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md
AI040,A017,沖縄対話プロジェクト,I018,Taiwan_contingency,Okinawa dialogue project frontline/Taiwan context,E4,ai_seeded,该 edge 应归为长期定位、制度／案件角色，还是事件性标签？,organizational_positioning,项目负责人,2026-07-20,台湾有事是其持续对话／前线化预防框架的一部分 | 边界：A017 沖縄対話プロジェクト—Taiwan_contingency；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,台湾有事是其持续对话／前线化预防框架的一部分,A017 沖縄対話プロジェクト—Taiwan_contingency；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md
AI042,A017,沖縄対話プロジェクト,I019,peace,Dialogue/anti-war project,E4,ai_seeded,该 edge 应归为长期定位、制度／案件角色，还是事件性标签？,organizational_positioning,项目负责人,2026-07-20,和平／冲突预防是组织目的；不表示活动已产生和平政策效果 | 边界：A017—peace；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,和平／冲突预防是组织目的；不表示活动已产生和平政策效果,A017—peace；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md
AI044,A018,ノーモア沖縄戦 命どぅ宝の会,I018,Taiwan_contingency,Recent civil society coalition after Taiwan contingency remarks,E4,ai_seeded,该 edge 应归为长期定位、制度／案件角色，还是事件性标签？,organizational_positioning,项目负责人,2026-07-20,组织成立以来的持续框架；S024 错位，须改用 S023＋组织官网 | 边界：A018 ノーモア沖縄戦 命どぅ宝の会—Taiwan_contingency；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,组织成立以来的持续框架；S024 错位，须改用 S023＋组织官网,A018 ノーモア沖縄戦 命どぅ宝の会—Taiwan_contingency；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md
AI048,A020,日本環境法律家連盟（JELF）,I011,legal,JELF legal/environmental channel,E4,ai_seeded,该 edge 应归为长期定位、制度／案件角色，还是事件性标签？,institutional_or_case_role,项目负责人,2026-07-20,冲绳议题中的法律角色须逐案确定，不由律师组织身份无限外推 | 边界：A020 JELF—legal；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,冲绳议题中的法律角色须逐案确定，不由律师组织身份无限外推,A020 JELF—legal；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md
AI049,A020,日本環境法律家連盟（JELF）,I005,biodiversity,Environmental law/dugong report context,E4,ai_seeded,该 edge 应归为长期定位、制度／案件角色，还是事件性标签？,event_specific,项目负责人,2026-07-20,当前 S006/S007 只闭合 2020 MMC 儒艮请求／报告语境，不能支撑一般长期 biodiversity 定位 | 边界：A020—biodiversity；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,当前 S006/S007 只闭合 2020 MMC 儒艮请求／报告语境，不能支撑一般长期 biodiversity 定位,A020—biodiversity；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md
AI050,A020,日本環境法律家連盟（JELF）,I004,dugong,JELF/OEJP dugong report context,E4,ai_seeded,该 edge 应归为长期定位、制度／案件角色，还是事件性标签？,institutional_or_case_role,项目负责人,2026-07-20,以冲绳儒艮案具名原告角色为主；2020 MMC 共同请求是另一个事件，不是联盟 | 边界：A020—dugong；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,以冲绳儒艮案具名原告角色为主；2020 MMC 共同请求是另一个事件，不是联盟,A020—dugong；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md
AI057,X005,Naval Officers' Spouses' Club of Okinawa NOSCO,I014,military_family_service,NOSCO spouse club / AWWA member relation,E4,human_checked,该 edge 应归为长期定位、制度／案件角色，还是事件性标签？,organizational_positioning,项目负责人,2026-07-20,军属配偶俱乐部的持续服务／慈善功能；AWWA membership 是组织 affiliation，不是政治立场 | 边界：X005 NOSCO—military_family_service；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,军属配偶俱乐部的持续服务／慈善功能；AWWA membership 是组织 affiliation，不是政治立场,X005 NOSCO—military_family_service；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch12_v1.md
AI068,X015,Peace Winds Japan,I015,international_cooperation,Peace Winds Japan USAID method sample,E4,watchlist_only,该 edge 应归为长期定位、制度／案件角色，还是事件性标签？,event_specific,项目负责人,2026-07-20,当前 edge 只由 2018 年西日本／北海道 USAID 灾害救援样本支持；与先岛活动和冲绳资金无关 | 边界：X015 Peace Winds Japan—international_cooperation；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,当前 edge 只由 2018 年西日本／北海道 USAID 灾害救援样本支持；与先岛活动和冲绳资金无关,X015 Peace Winds Japan—international_cooperation；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch12_v1.md
