observation_id,provider_id_or_candidate,provider_name,recipient_id_or_candidate,recipient_name,recipient_place,service_or_resource,event_or_fiscal_date,amount,currency,recipient_identity_status,url,locator,excerpt,source_date,evidence_level,claim_status,interpretation_limit,observed_at,review_status,package_scope,frontend_eligibility
SR001,X004,AWWA,LOCAL_URUMA_WELFARE,Uruma welfare organization / accessible-van recipient,Uruma,wheelchair-accessible van,2012,,,organization name requires source-level recovery,https://www.dvidshub.net/news/87854/awwa-celebrates-40-years-giving,2012 donation example,The anniversary story describes an accessible van presented to an Uruma welfare recipient.,2012-04-23,E4,candidate_military_public_affairs_record,Recover the exact Japanese recipient name before creating a recipient actor or a central relation edge.,2026-08-19,ai_seeded,research_only,excluded_research_only
SR002,CAND_MTS,Marine Thrift Shop Okinawa,X004,AWWA – American grants channel,Okinawa,grant-channel participation,2025 page,,,known organization; exact amount not shown,https://marinethriftshopokinawa.org/outreach/,2025 American initiatives,The outreach page lists AWWA American Grants among current initiatives.,2025 initiatives; accessed 2026-08-19,E4,candidate_organization_self_report,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",2026-08-19,ai_seeded,research_only,excluded_research_only
SR003,CAND_MTS,Marine Thrift Shop Okinawa,X004,AWWA – Japanese grants channel,Okinawa,grant-channel participation,2025 page,,,known organization; exact amount not shown,https://marinethriftshopokinawa.org/outreach/,2025 Okinawan initiatives,The outreach page lists AWWA Japanese Grants among current initiatives.,2025 initiatives; accessed 2026-08-19,E4,candidate_organization_self_report,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",2026-08-19,ai_seeded,research_only,excluded_research_only
SR004,CAND_MTS,Marine Thrift Shop Okinawa,X001,Kadena USO,Kadena,grant listed on recipient page,2023 list,,,known organization; amount not shown,https://marinethriftshopokinawa.org/grants/,2023 grant recipients: Kadena USO,Kadena USO appears in the shop's 2023 recipient list.,2023 recipient list; accessed 2026-08-19,E4,candidate_organization_self_report,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",2026-08-19,ai_seeded,research_only,excluded_research_only
SR005,CAND_MTS,Marine Thrift Shop Okinawa,CAND_NPC,Neighborhood Pantry – Camp Butler,Camp Butler,outreach and supplies,2025 page,,,candidate program node,https://marinethriftshopokinawa.org/outreach/,2025 American initiatives: Neighborhood Pantry,The pantry is listed among the shop's current American-community initiatives.,2025 initiatives; accessed 2026-08-19,E4,candidate_organization_self_report,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",2026-08-19,ai_seeded,research_only,excluded_research_only
SR006,CAND_MTS,Marine Thrift Shop Okinawa,NPO_ARU,NPO/ARU halfway house for teenage girls,Okinawa,grant,2023 list,,,name requires Japanese identity crosswalk,https://marinethriftshopokinawa.org/grants/,2023 Japanese-community recipients,The list includes support for a halfway house serving teenage girls.,2023 recipient list; accessed 2026-08-19,E4,candidate_organization_self_report,The English label needs crosswalk to the recipient's official Japanese name before actorization.,2026-08-19,ai_seeded,research_only,excluded_research_only
SR007,CAND_MTS,Marine Thrift Shop Okinawa,TINSAKU_NO_KAI,Tinsaku no Kai,Okinawa,medical equipment,2023 list,,,transliterated name requires identity source,https://marinethriftshopokinawa.org/grants/,2023 Japanese-community recipients,The list associates Tinsaku no Kai with medical equipment support.,2023 recipient list; accessed 2026-08-19,E4,candidate_organization_self_report,Confirm the official name and legal identity before adding a recipient node.,2026-08-19,ai_seeded,research_only,excluded_research_only
SR008,CAND_MTS,Marine Thrift Shop Okinawa,ZUKERAN_PTO,Zukeran Elementary School PTO,Camp Foster area,PTO grant,2023 list,,,school PTO; amount not shown,https://marinethriftshopokinawa.org/grants/,2023 American-community recipients,Zukeran PTO appears in the 2023 recipient list.,2023 recipient list; accessed 2026-08-19,E4,candidate_organization_self_report,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",2026-08-19,ai_seeded,research_only,excluded_research_only
SR009,CAND_MTS,Marine Thrift Shop Okinawa,FAR_EAST_COUNCIL,Far East Council,Okinawa / regional,equipment support,2023 list,,,council identity requires crosswalk,https://marinethriftshopokinawa.org/grants/,2023 grant recipients,The list records equipment support for the Far East Council.,2023 recipient list; accessed 2026-08-19,E4,candidate_organization_self_report,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",2026-08-19,ai_seeded,research_only,excluded_research_only
SR010,CAND_MTS,Marine Thrift Shop Okinawa,OKI_HANDS_OKI_HEARTS,Oki Hands Oki Hearts,Okinawa,outreach partnership,2025 page,,,identity source required,https://marinethriftshopokinawa.org/outreach/,2025 Okinawan initiatives,Oki Hands Oki Hearts is listed as an Okinawan-community initiative.,2025 initiatives; accessed 2026-08-19,E4,candidate_organization_self_report,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",2026-08-19,ai_seeded,research_only,excluded_research_only
