upstream_id,source_endpoint,target_endpoint,amount,currency,amount_semantics,period_start,period_end,filing_date,human_decision,source_resolution,disposition,non_inference
RF001,X006,X004,2580,USD,exact_reported,,,,defer_underlying_filing_or_crosswalk,deferred,hold_no_flow,Confirm the recipient crosswalk and filing-period semantics before adding this as a new dated flow. F025 remains a separate historical bounded relation.
RF002,X007,X004,8479,USD,exact_reported,2024-07-01,2025-06-30,2025-10-27,accept_new_dated_flow,hold_source_freeze,hold,"The filing supports a candidate grant, not a claim about political influence or how the recipient used every dollar."
RF003,X006,AGG_KOSC_SCHOLARSHIP,33750,USD,aggregate_reported,,,,not_reviewed_in_this_return,hold_fact_review,hold,This is an aggregate scholarship line and must not be converted into organization-to-organization edges.
RF004,X006,AGG_KADENA_MEMBERS,6700,USD,aggregate_reported,,,,not_reviewed_in_this_return,hold_fact_review,hold,The label is not a named organization and cannot be drawn as a dyadic organization relation.
RF005,X005,AGG_NOSCO_SCHOLARSHIP,20000,USD,pledge_commitment,,,,not_reviewed_in_this_return,hold_fact_review,hold,Scholarship recipients are not organization nodes and the aggregate does not show a political relationship.
RF006,CAND_MTS,CAND_LIONS,10000,USD,exact_reported,,,,not_reviewed_in_this_return,hold_fact_review,hold,"A military public-affairs story is evidence of the reported transfer, not independent evidence of social acceptance or downstream outcomes."
RF007,CAND_MTS,AGG_2023_RECIPIENTS,126000,USD,minimum_reported,,,,not_reviewed_in_this_return,hold_fact_review,hold,The aggregate cannot be added to named grants without checking overlap; it is not a dyadic edge.
RF008,CAND_MTS,AGG_JAPANESE_COMMUNITY,32606,USD,aggregate_reported,,,,not_reviewed_in_this_return,hold_fact_review,hold,The subtotal may overlap AWWA-mediated distributions and cannot be decomposed without recipient records.
RF009,CAND_MTS,AGG_DODEA_PTO,13000,USD,aggregate_reported,,,,not_reviewed_in_this_return,hold_fact_review,hold,Do not generate separate PTO edges until names and amounts are checked against the shop's grant records.
RF010,CAND_MTS,SMP,3000,USD,aggregate_reported,,,,not_reviewed_in_this_return,hold_fact_review,hold,This is support to a program and should remain separate from organization-to-organization funding.
RF011,CAND_MTS,ASHIBINA_CDC,350,USD,equivalent_valuation,,,,not_reviewed_in_this_return,hold_fact_review,hold,"The amount is reported value for goods, not necessarily a cash payment."
RF012,X003,X001,16000,USD,exact_reported,,,,not_reviewed_in_this_return,hold_fact_review,hold,"The sponsorship is documented by the recipient organization; contract value, tax treatment and wider corporate influence are outside this record."
RF013,X008,AGG_OKINAWA_MIL_COMMUNITY,82000,USD,minimum_reported,,,,not_reviewed_in_this_return,hold_fact_review,hold,"This is disaster assistance to eligible people, not a grant to an Okinawan NGO or evidence of base approval."
RF014,CAND_MTS,AGG_MTS_SCHOLARSHIP,12000,USD,aggregate_reported,,,,not_reviewed_in_this_return,hold_fact_review,hold,This is an aggregate scholarship amount and must not be drawn as an organization relation.
