election_year,action_type,candidate_row_count,confirmed_observed_action_count,announced_not_occurrence_verified_count,status_boundary
2014,endorsement,1,1,0,"human_checked actor-event role; row count is not reach, votes, effect or stable alliance"
2014,issue_campaign,1,1,0,"human_checked actor-event role; row count is not reach, votes, effect or stable alliance"
2014,public_meeting,0,0,0,"human_checked actor-event role; row count is not reach, votes, effect or stable alliance"
2014,request,1,1,0,"human_checked actor-event role; row count is not reach, votes, effect or stable alliance"
2014,observation,2,2,0,"human_checked actor-event role; row count is not reach, votes, effect or stable alliance"
2018,endorsement,0,0,0,"human_checked actor-event role; row count is not reach, votes, effect or stable alliance"
2018,issue_campaign,2,2,0,"human_checked actor-event role; row count is not reach, votes, effect or stable alliance"
2018,public_meeting,1,1,0,"human_checked actor-event role; row count is not reach, votes, effect or stable alliance"
2018,request,2,2,0,"human_checked actor-event role; row count is not reach, votes, effect or stable alliance"
2018,observation,2,2,0,"human_checked actor-event role; row count is not reach, votes, effect or stable alliance"
2022,endorsement,3,3,0,"human_checked actor-event role; row count is not reach, votes, effect or stable alliance"
2022,issue_campaign,1,1,0,"human_checked actor-event role; row count is not reach, votes, effect or stable alliance"
2022,public_meeting,1,0,1,"human_checked actor-event role; row count is not reach, votes, effect or stable alliance"
2022,request,1,1,0,"human_checked actor-event role; row count is not reach, votes, effect or stable alliance"
2022,observation,1,1,0,"human_checked actor-event role; row count is not reach, votes, effect or stable alliance"
