module_id,module_name,core_question,sample_sources,source_access,extraction_stability,actor_extractable,issue_extractable,place_extractable,action_extractable,evidence_quality,visualization_value,research_value,difficulty,main_bias,recommended_package,decision,reason,next_step
B0,基础数据底座,能否建立可复核的actor/source/taxonomy/evidence底座,NPO portal; Okinawa NPO Plaza; statements; news; OEJP,open_web,high,yes,yes,yes,yes,high,medium,high,medium,NPO法人偏差;异名问题,must_do,up,没有底座后续网络不可复核,先扩actor seed到50个并统一字段
R14,资料覆盖与偏差审计,能否控制资料偏差并说明不能推论的事项,all source types,open_web,high,yes,yes,yes,yes,high,medium,high,low_medium,公开资料偏差;时间偏差;地点偏差,must_do,up,应作为质控机制而非选作模块,建立coverage_audit和source_type_distribution
R1,组织分类与组织生态,能否分类冲绳相关民间组织与NGO,NPO data; statements; Sakishima news; org sites,open_web,high,yes,yes,yes,partial,high,medium,high,medium,不能只看NPO法人,standard_core,keep,多标签分类可稳定执行,扩展到150-200个actor
R2,组织—议题网络,能否展示组织如何连接反基地/环保/自治/国际倡议,2010/2015/2020 statements; local news,open_web,high,yes,yes,yes,yes,high,high,high,medium,共同声明不等于稳定联盟,standard_core,keep,最适合网络图和核心问题,建立actor_issue_edges
R3,地点与空间分布,重点地点的组织和议题框架是否不同,Yonaguni official; MOD; Ishigaki/Miyako/Henoko news,open_web,medium_high,yes,yes,yes,partial,medium_high,high,high,medium,离岛资料较少;与那国环保框架较弱,standard_core,keep,与那国/先岛价值高但不做完整离岛网络,建立place_registry和专题备忘录
R4,环保/生活安全框架,环保/生活安全是否连接军事设施争议,Henoko dugong; Ishigaki groundwater; Miyako water; Yonaguni health,open_web,high,yes,yes,yes,yes,high,high,high,medium,不能把所有反对都环保化,standard_core,keep,直接回应甲方“环保拒止”问题,制作地点×风险框架矩阵
R5,联盟/共同行动网络,哪些组织通过共同声明/请求书形成行动网络,2010 67 groups; 2015 31 NGOs; 2020 71 groups; 2025 16 groups,open_web,medium_high,yes,yes,yes,yes,medium_high,high,high,medium_high,一次性署名被误读为稳定联盟,standard_core,keep,适合做样本联盟网络,选3-5个事件建coalition_edges
R11,跨国/国际倡议网络,地方基地议题如何国际化,OEJP; Earthjustice; WWF; NACSJ; Peace Boat,open_web,medium_high,yes,yes,yes,yes,high,high,high,medium,英文资料偏向环保/法律框架,standard_core,up,价值高且支撑NGO作用机制,上调到标准一期核心
R7,场域与对象转移,组织如何把议题带到县政/中央/法院/美国机构/国际NGO,Earthjustice; OEJP/MMC; referendum news,open_web,medium_high,yes,yes,yes,yes,medium_high,high,high,medium,不同场域资料格式不一,standard_core,keep,能解释行动路径,制作action_target_edges
R10,法律/政策/环境程序渠道,组织如何进入法律/环境/行政程序,Earthjustice; MMC; EIA statements; Ishigaki lawsuit news,open_web,medium,yes,yes,yes,yes,medium,medium,high,high,法院文件不一定公开,standard_sample,up,比原排序更重要但只能做样本,制作法律/程序样本表
R9,选举/县民投票连接,市民组织如何参与县民投票/住民投票/选举议题化,2019 referendum; Ishigaki/Yonaguni referendum; governor data,open_web,medium,yes,yes,yes,yes,medium,medium,medium_high,medium_high,不能做因果推断,background,keep,可作为前一项目桥梁但不做因果,建立referendum_actor_events
R8,公开资源/行政协作渠道,行政协作资料能否说明NGO生态,NPO collaboration reports; NPO Plaza,open_web,high,yes,partial,partial,yes,high,medium,medium,medium,与反基地组织重合度低,background,down,应作为背景而非主轴,做协作型NPO对照表
R6,媒体可见度与谁在发声,哪些组织/人物在媒体中最可见,library DB descriptions; public news samples,database_needed,medium,yes,yes,yes,yes,medium,medium,medium,high,公开网页非全量且偏近期,extension,down,没有数据库权限不宜承诺完整媒体可见度,只做重点事件样本
R12,人物—组织互锁,公开人物如何连接组织和议题,Yoshikawa; Ashitomi; Motoyama; local representatives,open_web,medium,yes,yes,yes,partial,medium,medium,high,high,隐私风险;媒体可见人物偏差,extension,down,一期只做公开角色线索,建立public_person_role_log
R13,组织谱系与长期演变,1972年以来组织谱系能否追踪,archives; library DB; helibase chronology; one-tsubo landlords,archive_needed,low_medium,partial,partial,partial,partial,medium,medium,high,high,早期资料不在线;名称变化复杂,long_term,down,一期只做历史锚点和谱系线索,建立lineage_clues
