observation_id,source_module,source_record_id,reference_id,reference_kind,existing_main_source_id,title,url,evidence_level,metadata_review_status,relation_or_claim_approved,approval_provenance_scope,interpretation_limit
HET_AEV0001,AEV_HR015,AEV0001,S003,main_source,S003,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,https://www.wwf.or.jp/activities/statement/3436.html,E4,ai_seeded,no,reused_existing_formal_observation__no_new_approval,"Provenance crosswalk only; source presence does not create a new event, alliance, causal claim, funding relation, or political stance."
HET_AEV0002,AEV_HR015,AEV0002,S003,main_source,S003,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,https://www.wwf.or.jp/activities/statement/3436.html,E4,ai_seeded,no,reused_existing_formal_observation__no_new_approval,"Provenance crosswalk only; source presence does not create a new event, alliance, causal claim, funding relation, or political stance."
HET_AEV0003,AEV_HR015,AEV0003,S003,main_source,S003,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,https://www.wwf.or.jp/activities/statement/3436.html,E4,ai_seeded,no,reused_existing_formal_observation__no_new_approval,"Provenance crosswalk only; source presence does not create a new event, alliance, causal claim, funding relation, or political stance."
HET_AEV0004,AEV_HR015,AEV0004,S003,main_source,S003,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,https://www.wwf.or.jp/activities/statement/3436.html,E4,ai_seeded,no,reused_existing_formal_observation__no_new_approval,"Provenance crosswalk only; source presence does not create a new event, alliance, causal claim, funding relation, or political stance."
HET_AEV0005,AEV_HR015,AEV0005,S003,main_source,S003,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,https://www.wwf.or.jp/activities/statement/3436.html,E4,ai_seeded,no,reused_existing_formal_observation__no_new_approval,"Provenance crosswalk only; source presence does not create a new event, alliance, causal claim, funding relation, or political stance."
HET_AEV0006,AEV_HR015,AEV0006,S004,main_source,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,E4,ai_seeded,no,reused_existing_formal_observation__no_new_approval,"Provenance crosswalk only; source presence does not create a new event, alliance, causal claim, funding relation, or political stance."
HET_AEV0007,AEV_HR015,AEV0007,S004,main_source,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,E4,ai_seeded,no,reused_existing_formal_observation__no_new_approval,"Provenance crosswalk only; source presence does not create a new event, alliance, causal claim, funding relation, or political stance."
HET_AEV0008,AEV_HR015,AEV0008,S004,main_source,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,E4,ai_seeded,no,reused_existing_formal_observation__no_new_approval,"Provenance crosswalk only; source presence does not create a new event, alliance, causal claim, funding relation, or political stance."
HET_AEV0009,AEV_HR015,AEV0009,S004,main_source,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,E4,ai_seeded,no,reused_existing_formal_observation__no_new_approval,"Provenance crosswalk only; source presence does not create a new event, alliance, causal claim, funding relation, or political stance."
HET_AEV0010,AEV_HR015,AEV0010,S004,main_source,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,E4,ai_seeded,no,reused_existing_formal_observation__no_new_approval,"Provenance crosswalk only; source presence does not create a new event, alliance, causal claim, funding relation, or political stance."
HET_AEV0011,AEV_HR015,AEV0011,S004,main_source,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,E4,ai_seeded,no,reused_existing_formal_observation__no_new_approval,"Provenance crosswalk only; source presence does not create a new event, alliance, causal claim, funding relation, or political stance."
HET_AEV0012,AEV_HR015,AEV0012,S004,main_source,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,E4,ai_seeded,no,reused_existing_formal_observation__no_new_approval,"Provenance crosswalk only; source presence does not create a new event, alliance, causal claim, funding relation, or political stance."
HET_AEV0013,AEV_HR015,AEV0013,S004,main_source,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,E4,ai_seeded,no,reused_existing_formal_observation__no_new_approval,"Provenance crosswalk only; source presence does not create a new event, alliance, causal claim, funding relation, or political stance."
HET_AEV0014,AEV_HR015,AEV0014,S004,main_source,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,E4,ai_seeded,no,reused_existing_formal_observation__no_new_approval,"Provenance crosswalk only; source presence does not create a new event, alliance, causal claim, funding relation, or political stance."
HET_AEV0015,AEV_HR015,AEV0015,S004,main_source,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,E4,ai_seeded,no,reused_existing_formal_observation__no_new_approval,"Provenance crosswalk only; source presence does not create a new event, alliance, causal claim, funding relation, or political stance."
HET_AEV0016,AEV_HR015,AEV0016,S004,main_source,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,E4,ai_seeded,no,reused_existing_formal_observation__no_new_approval,"Provenance crosswalk only; source presence does not create a new event, alliance, causal claim, funding relation, or political stance."
HET_AEV0017,AEV_HR015,AEV0017,S004,main_source,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,E4,ai_seeded,no,reused_existing_formal_observation__no_new_approval,"Provenance crosswalk only; source presence does not create a new event, alliance, causal claim, funding relation, or political stance."
HET_AEV0018,AEV_HR015,AEV0018,S004,main_source,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,E4,ai_seeded,no,reused_existing_formal_observation__no_new_approval,"Provenance crosswalk only; source presence does not create a new event, alliance, causal claim, funding relation, or political stance."
HET_AEV0019,AEV_HR015,AEV0019,S004,main_source,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,E4,ai_seeded,no,reused_existing_formal_observation__no_new_approval,"Provenance crosswalk only; source presence does not create a new event, alliance, causal claim, funding relation, or political stance."
HET_AEV0020,AEV_HR015,AEV0020,S004,main_source,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,E4,ai_seeded,no,reused_existing_formal_observation__no_new_approval,"Provenance crosswalk only; source presence does not create a new event, alliance, causal claim, funding relation, or political stance."
HET_AEV0021,AEV_HR015,AEV0021,S004,main_source,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,E4,ai_seeded,no,reused_existing_formal_observation__no_new_approval,"Provenance crosswalk only; source presence does not create a new event, alliance, causal claim, funding relation, or political stance."
