observation_id,hypothesis_id,observation_kind,source_id,source_ids,source_path,document_date,event_date,context_actor_id,context_actor_name,claim_subject_entity_id,claim_subject_label,claim_subject_kind,target_actor_or_event_id,event_id,event_label,frame_codes,original_excerpt,locator,archive_gate_status,evidence_level,data_layer,claim_status,review_status,frontend_eligibility,central_writeback,interpretation_limit
H3O001,H3b,attributed_public_frame,S036,S036,source_docs/source_archive/S036/raw.html,2017-02-28,2017-02-28,A065,南西諸島ピースネット,H3EV2017_CROSS_ISLAND_GOV_NEGOTIATION::CIVIC_GROUPS,南西诸岛部署反对市民团体（报道集合主语）,reported_collective,H3EV2017_CROSS_ISLAND_GOV_NEGOTIATION,H3EV2017_CROSS_ISLAND_GOV_NEGOTIATION,南西诸岛四团体政府交涉,evacuation;life_safety;frontline_prevention,避難計画策定の必要性を訴えた。,raw.html:L488,candidate_source_metadata_correction_needed,source_backed_candidate,research_only,candidate,ai_seeded,not_frontend_ready,no,记录的是团体向政府提出避难计划必要性；不证明风险已经发生或政府接受主张。
H3O002,H3c,event_participant_roster,S036,S036,source_docs/source_archive/S036/raw.html,2017-02-28,2017-02-28,A065,南西諸島ピースネット,H3EV2017_CROSS_ISLAND_GOV_NEGOTIATION::ROSTER,四团体政府交涉名册,event_roster,H3EV2017_CROSS_ISLAND_GOV_NEGOTIATION,H3EV2017_CROSS_ISLAND_GOV_NEGOTIATION,南西诸岛四团体政府交涉,cross_island_coordination;anti_military,政府交渉を開いたのは、宮古島市民会議、南西諸島ピースネット、八重山大地会、てぃだぬふぁ島の子の平和な未来をつくる会。,raw.html:L491,candidate_source_metadata_correction_needed,source_backed_candidate,research_only,candidate,ai_seeded,not_frontend_ready,no,共同交涉只证明该事件的共同参与；不建立稳定联盟、成员关系或持续组织。
H3O003,H3b,organizational_positioning,S023,S023,source_docs/source_archive/S023/raw.html,2022-03-21,2021-01–2022-03,A018,ノーモア沖縄戦 命どぅ宝の会,A018,ノーモア沖縄戦 命どぅ宝の会,registry_actor,A018,H3EV2022_A018_FORMATION_RALLY,ノーモア沖縄戦发足集会,okinawa_war_memory;frontline_prevention;peace,沖縄を二度と戦場にさせてはいけないという思い,raw.html:L717,candidate_archived_input,source_backed_candidate,research_only,candidate,ai_seeded,not_frontend_ready,no,组织定位可见；不据此推定参加者一致、行动效果或全县代表性。
H3O004,H3b,organizational_positioning,S023,S023,source_docs/source_archive/S023/raw.html,2022-03-21,2021-01–2022-03,A018,ノーモア沖縄戦 命どぅ宝の会,A018,ノーモア沖縄戦 命どぅ宝の会,registry_actor,A018,H3EV2022_A018_FORMATION_RALLY,ノーモア沖縄戦发足集会,Taiwan_contingency;frontline_prevention,「台湾有事」を想定した日米共同軍事作戦で、南西諸島が攻撃拠点となっていることに反対,raw.html:L717,candidate_archived_input,source_backed_candidate,research_only,candidate,ai_seeded,not_frontend_ready,no,这是组织公开风险框架，不是对冲突概率、攻击结果或军事事实的独立判定。
H3O005,H3b,programmatic_memory_link,S022,S022,source_docs/source_archive/S022/raw.html,2022-12-07,2022-10–2023-09,A017,沖縄対話プロジェクト,A017,沖縄対話プロジェクト,registry_actor,A017,H3EV2022_2023_OKINAWA_DIALOGUE,沖縄对话项目,okinawa_war_memory;sacrificial_island;Taiwan_contingency,沖縄は第二次世界大戦の末期、本土（日本）の「捨て石」とされ,raw.html:L351,candidate_source_metadata_correction_needed,source_backed_candidate,research_only,candidate,ai_seeded,not_frontend_ready,no,证明组织以冲绳战记忆解释当前风险；不证明所有对话参与者采用该解释。
H3O006,H3b,programmatic_invitation,S022,S022,source_docs/source_archive/S022/raw.html,2022-12-07,2022-10–2023-09,A017,沖縄対話プロジェクト,A017,沖縄対話プロジェクト,registry_actor,A017,H3EV2022_2023_OKINAWA_DIALOGUE,沖縄对话项目,cross_position_dialogue;war_prevention,政治的な立場や意見・思想の違いを超えて対話していこう,raw.html:L347,candidate_source_metadata_correction_needed,source_backed_candidate,research_only,candidate,ai_seeded,not_frontend_ready,no,跨立场对话是项目目标；不能据目标反推参与构成、共识形成或扩散效果。
H3O007,H3b,speaker_carrier,S119,S119,source_docs/source_archive/S119/raw.html,2022-11-29,2022-11-28,A100,ミサイル配備から命を守るうるま市民の会,PROV_ARAKAKI_KUNIO,新垣邦雄（A018 关联讲演者）,provisional_person,A100,H3EV2022_A100_FORMATION,宇流麻反导弹部署市民会成立集会,carrier_event;anti_war;frontline_prevention,ノーモア沖縄戦命どぅ宝の会の新垣邦雄さんが講演,raw.html:L488,candidate_local_residual_archive_reconciliation_required,local_file_candidate_archive_reconciliation_required,research_only,candidate,ai_seeded,not_frontend_ready,no,讲演和到场支持是事件级载体证据；不证明两个组织合并、隶属或稳定联盟。
H3O008,H3b,formation_purpose,S119,S119,source_docs/source_archive/S119/raw.html,2022-11-29,2022-11-28,A100,ミサイル配備から命を守るうるま市民の会,A100,ミサイル配備から命を守るうるま市民の会,registry_actor,A100,H3EV2022_A100_FORMATION,宇流麻反导弹部署市民会成立集会,Taiwan_contingency;frontline_prevention;life_safety,日米両政府の台湾有事を想定した南西諸島の軍事要塞化に反対し、沖縄を再び戦場にさせないことを目的とする。,raw.html:L489,candidate_local_residual_archive_reconciliation_required,local_file_candidate_archive_reconciliation_required,research_only,candidate,ai_seeded,not_frontend_ready,no,组织目的可见；风险因果与政策效果仍须归属于组织主张。
H3O009,H3b,organizing_center,S148,S148,source_docs/source_archive/S148/raw.html,2023-07-26,2023-07-25,A108,沖縄を再び戦場にさせない県民の会,A018,ノーモア沖縄戦 命どぅ宝の会,registry_actor,A108,H3EV2023_A108_FORMATION,不让冲绳再次成为战场县民会成立,organizational_carrier;frontline_prevention;anti_war,「ノーモア沖縄戦命どぅ宝の会」を中心とした呼び掛け,raw.html:L492,candidate_archived_input,source_backed_candidate,research_only,candidate,ai_seeded,not_frontend_ready,no,证明 A018 在该成立过程中的中心呼吁角色；不把赞同者自动编码为成员或联盟边。
H3O010,H3b,memory_carrier_statement,S148,S148,source_docs/source_archive/S148/raw.html,2023-07-26,2023-07-25,A108,沖縄を再び戦場にさせない県民の会,PROV_GUSHIKEN_TAKAMATSU,具志堅隆松／ガマフヤー,provisional_person,A108,H3EV2023_A108_FORMATION,不让冲绳再次成为战场县民会成立,war_remains;okinawa_war_memory;future_victimhood,沖縄に戦没者の遺骨があるのは、沖縄が戦場になったからだ。,raw.html:L490,candidate_archived_input,source_backed_candidate,research_only,candidate,ai_seeded,not_frontend_ready,no,具志堅隆松的具名论述可见；不能转写成所有赞同组织的统一立场。
