source_id,source_title,source_type,declared_e3plus_edge_count,exclusively_supported_removed_edge_count,lost_observed_actor_count,removed_edge_rank_desc,comparison_unit,research_status,display_tier,claim_status,review_status,frontend_eligibility,interpretation_limit
S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,45,41,25,1,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S003,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,ngo_statement,8,7,4,2,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S031,沖縄平和運動センター 公式,organization_site,6,6,2,3,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S033,Tanji Miyume: Myth Protest and Struggle in Okinawa,academic_article,4,4,2,4,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S038,一坪反戦地主会 軍用地契約拒否運動,organization_site,4,4,2,5,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S047,沖縄防衛局 辺野古新基地建設事業 環境影響評価書,official_data,4,4,2,6,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S121,全国公害弁護団連絡会議,organization_site,4,4,1,7,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S124,普天間基地爆音訴訟报告,legal_network_report,4,4,1,8,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S125,日本YWCA辺野古新基地建設声明,organization_statement,4,4,1,9,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S005,Peace Boat statement on Henoko emergency NGO declaration,ngo_statement,3,3,1,10,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S009,Earthjustice dugong litigation explainer,legal_international,3,3,1,11,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S020,陸自配備阻止訴え 宮古で集会 市民 地下水保全求め,local_news,3,3,1,12,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S021,ミサイル基地いらない 宮古島住民連絡会 結成集会,party_news,3,3,1,13,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S022,沖縄対話プロジェクト 公式ページ,organization_site,3,3,1,14,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S025,辺野古米軍基地建設のための埋立ての賛否を問う県民投票 結果,official_referendum,3,3,1,15,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S029,島ぐるみ会議 辺野古新基地反対で連帯,party_news,3,3,1,16,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S032,新外交イニシアティブ（ND）公式サイト,organization_site,3,3,1,17,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S036,南西諸島ピースネット 結成,local_news,3,3,1,18,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S037,沖縄弁護士会 辺野古新基地建設に関する会長声明・決議,ngo_statement,3,3,1,19,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S039,基地・軍隊を許さない行動する女たちの会 結成（Akibayashi）,academic_article,3,3,1,20,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S040,辺野古土砂搬入反対全国連絡協議会 結成,magazine_news,3,3,1,21,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S042,名護市民投票 基地建設反対が多数,local_official,3,3,1,22,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S048,Veterans for Peace Ryukyu/Okinawa Chapter Kokusai,organization_site,3,3,1,23,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S026,嘉手納爆音訴訟 第三次 那覇地裁沖縄支部判決,local_news,4,3,0,24,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S027,普天間爆音訴訟 第二次 那覇地裁判決,local_news,4,3,0,25,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S028,高江ヘリパッド建設 住民らが抗議,local_news,2,2,1,26,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S030,第2次泡瀬干潟埋め立て訴訟 那覇地裁判決,local_news,2,2,1,27,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S034,沖縄意見広告運動 全国紙に一面広告,organization_site,2,2,1,28,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S043,沖縄県 米軍基地の概要,official_data,1,1,1,29,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S055,NOSCO AWWA page,organization_site,4,1,1,30,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S016,石垣自衛隊配備 初の市民討論会,local_news,2,1,0,31,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S017,石垣陸自配備 市民が工事中止要請,local_news,2,1,0,32,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S023,ノーモア沖縄戦 命どぅ宝の会 結成,local_news,2,1,0,33,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S024,台湾有事に備え 南西諸島の軍事化に懸念,organization_site,2,1,0,34,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S064,NGO非戦ネット 辺野古県民投票結果の尊重を求める声明,ngo_statement,1,1,0,35,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S201,琉球新報―女団協、米軍性暴力を巡る県民大会を呼び掛け,local_news,4,1,0,36,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S283,沖縄県民投票条例へ 新婦人が署名開始,party_news,3,1,0,37,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S001,沖縄県NPOプラザ,official_portal,0,0,0,38,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S002,令和６年度 NPO等との協働実績調査,official_data,0,0,0,39,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S006,OEJP 71 organizations MMC request,international_advocacy,6,0,0,40,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S007,The Plight of the Okinawa Dugong,academic_article,8,0,0,41,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
S008,ジュゴン保護 県内外71団体が米海洋哺乳類委員会に要請,local_news,5,0,0,42,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation."
