scenario_id,scenario_family,graph_object,scenario_label,deletion_unit,dropped_ids,edge_count,observed_actor_count,registry_isolated_actor_count,issue_count,cross_frame_actor_count,ecology_international_bridge_count,component_count,largest_component_actor_count,largest_component_total_node_count,edge_retention_share,observed_actor_retention_share,baseline_edge_count,baseline_observed_actor_count,selection_rule,research_status,display_tier,claim_status,review_status,frontend_eligibility,interpretation_limit
SRC_BASE,source_support_deletion,actor_issue_e3plus_bipartite,E3/E4 baseline,baseline,,271,114,7,26,74,10,3,101,124,1.0,1.0,271,114,remove an edge only if all stated S-source support is in the dropped set; rows without S refs survive,research_only,research,candidate,ai_seeded,not_frontend_ready,Source-support deletion and actor-node deletion are different intervention units and are shown separately.
SRC_NO_S004,source_support_deletion,actor_issue_e3plus_bipartite,remove S004 support,single source,S004,231,90,31,26,61,6,3,77,100,0.852,0.789,271,114,remove an edge only if all stated S-source support is in the dropped set; rows without S refs survive,research_only,research,candidate,ai_seeded,not_frontend_ready,Source-support deletion and actor-node deletion are different intervention units and are shown separately.
SRC_NO_BIG3,source_support_deletion,actor_issue_e3plus_bipartite,remove S003/S004/S006 support,three sources,S003;S004;S006,223,85,36,26,60,6,3,72,95,0.823,0.746,271,114,remove an edge only if all stated S-source support is in the dropped set; rows without S refs survive,research_only,research,candidate,ai_seeded,not_frontend_ready,Source-support deletion and actor-node deletion are different intervention units and are shown separately.
SRC_NO_ORG_HOSTED,source_support_deletion,actor_issue_e3plus_bipartite,remove organization-hosted support,source channel,S003;S004;S005;S022;S024;S031;S032;S034;S037;S038;S041;S046;S048;S049;S051;S052;S055;S057;S058;S059;S064;S065;S067;S073;S075;S077;S079;S087;S088;S089;S090;S091;S092;S095;S097;S105;S106;S107;S108;S109;S110;S111;S114;S115;S116;S120;S121;S123;S125;S126;S127;S131;S132;S144;S145;S146;S151;S153;S155;S156;S157;S158;S179;S181;S199;S202;S203;S204;S205;S208;S211;S214;S217;S219;S221;S223;S226;S227;S228;S230;S233;S234;S235;S236;S241;S242;S243;S245;S246;S247;S249;S254;S257;S260;S263;S264;S266;S269;S270;S280;S281;S289,146,60,61,26,38,4,3,48,71,0.539,0.526,271,114,remove an edge only if all stated S-source support is in the dropped set; rows without S refs survive,research_only,research,candidate,ai_seeded,not_frontend_ready,Source-support deletion and actor-node deletion are different intervention units and are shown separately.
SRC_NO_LEGAL,source_support_deletion,actor_issue_e3plus_bipartite,remove legal/procedural support,source channel,S009;S060;S061;S062;S071;S093;S124;S128;S129;S133;S135;S136;S137;S139;S140;S141;S142;S152;S160;S161;S177;S178;S229;S284,256,111,10,26,69,8,3,98,121,0.945,0.974,271,114,remove an edge only if all stated S-source support is in the dropped set; rows without S refs survive,research_only,research,candidate,ai_seeded,not_frontend_ready,Source-support deletion and actor-node deletion are different intervention units and are shown separately.
SRC_NO_OFFICIAL,source_support_deletion,actor_issue_e3plus_bipartite,remove official/administrative support,source channel,S001;S002;S012;S013;S014;S025;S035;S042;S043;S047;S072;S094;S096;S099;S100;S101;S102;S103;S104;S112;S117;S118;S130;S134;S138;S143;S162;S163;S164;S165;S166;S167;S168;S169;S170;S171;S172;S173;S174;S175;S176;S180;S183;S184;S185;S186;S187;S188;S189;S190;S191;S192;S193;S195;S196;S197;S198;S206;S207;S209;S213;S216;S218;S220;S222;S225;S231;S232;S239;S248;S255;S261;S271;S273;S274;S282;S285;S287;S288,256,109,12,26,70,10,3,96,119,0.945,0.956,271,114,remove an edge only if all stated S-source support is in the dropped set; rows without S refs survive,research_only,research,candidate,ai_seeded,not_frontend_ready,Source-support deletion and actor-node deletion are different intervention units and are shown separately.
SRC_NO_MEDIA,source_support_deletion,actor_issue_e3plus_bipartite,remove media support,source channel,S008;S010;S011;S015;S016;S017;S018;S019;S020;S021;S023;S026;S027;S028;S029;S030;S036;S040;S045;S050;S053;S063;S068;S069;S070;S078;S081;S098;S113;S119;S147;S148;S149;S150;S154;S159;S182;S194;S200;S201;S210;S212;S215;S237;S238;S240;S244;S250;S251;S252;S253;S256;S258;S262;S265;S267;S268;S272;S275;S276;S277;S278;S279;S283;S286;S290;S291;S292;S293;S295,234,104,17,26,61,10,3,91,114,0.863,0.912,271,114,remove an edge only if all stated S-source support is in the dropped set; rows without S refs survive,research_only,research,candidate,ai_seeded,not_frontend_ready,Source-support deletion and actor-node deletion are different intervention units and are shown separately.
ACT_BASE,actor_node_deletion,actor_issue_active_bipartite,active-edge baseline,baseline,,283,116,5,26,79,10,3,103,126,1.0,1.0,283,116,remove named actor nodes and all incident actor–issue edges,research_only,research,candidate,ai_seeded,not_frontend_ready,Actor-node deletion changes the social/evidence node set; it is not a matched counterfactual to source deletion.
ACT_TOP10_DOC,actor_node_deletion,actor_issue_active_bipartite,remove 10 actors with most registry S-sources,10 actor nodes,A002;A008;A010;A011;A111;A112;A113;A114;A115;X004,248,106,5,26,70,9,3,94,117,0.876,0.914,283,116,remove named actor nodes and all incident actor–issue edges,research_only,research,candidate,ai_seeded,not_frontend_ready,Actor-node deletion changes the social/evidence node set; it is not a matched counterfactual to source deletion.
ACT_TOP10_DEGREE,actor_node_deletion,actor_issue_active_bipartite,remove 10 actors with highest actor–issue degree,10 actor nodes,A047;A052;A053;A086;A091;A100;A101;A113;A114;A115,235,106,5,26,69,8,3,93,116,0.83,0.914,283,116,remove named actor nodes and all incident actor–issue edges,research_only,research,candidate,ai_seeded,not_frontend_ready,Actor-node deletion changes the social/evidence node set; it is not a matched counterfactual to source deletion.
