"row_id","page_order","route_or_source_label","ultimate_recipient_or_unit_label","project_or_item_label","path_semantics","duplicate_group","identity_status","source_key","claim_limit","review_status","package_scope","frontend_eligibility"
"H2MTSR001","1","A3 FAST Company","A3 FAST Company","Battlesites tour","self_page_recipient_or_project_label","","unresolved_unit_or_group","H2P-S01","The page does not state row date or amount.","ai_seeded","research_only","excluded_research_only"
"H2MTSR002","2","Ryukyu MS","Ryukyu MS","PTO Equipment","self_page_recipient_or_project_label","","school_or_pto_boundary_unresolved","H2P-S01","Do not equate a school project label with a registry actor.","ai_seeded","research_only","excluded_research_only"
"H2MTSR003","3","AWWA-US","Cub Scout Pack 109","","AWWA_labeled_route_to_ultimate_project","","multi_hop_endpoint_unresolved","H2P-S01","Do not code MTS-to-Cub-Scout as a direct grant without AWWA allocation records.","ai_seeded","research_only","excluded_research_only"
"H2MTSR004","4","Bob Hope ES","Bob Hope ES","Community Garden","self_page_recipient_or_project_label","","school_project","H2P-S01","No row date or amount.","ai_seeded","research_only","excluded_research_only"
"H2MTSR005","5","AWWA-JP","Japanese Charity","","AWWA_labeled_route_to_unknown_recipient","","unknown_ultimate_recipient","H2P-S01","Generic label is an aggregate/unknown-recipient lead, not an organization edge.","ai_seeded","research_only","excluded_research_only"
"H2MTSR006","6","AWWA-JP","Miyako Facilities","","AWWA_labeled_route_to_aggregate_facilities","MTS_DUP_MiyakoFacilities","aggregate_unknown_recipients","H2P-S01","Do not infer facility count, identity or direct MTS recipients.","ai_seeded","research_only","excluded_research_only"
"H2MTSR007","7","AWWA-US","Zukeran PTO","","AWWA_labeled_route_to_ultimate_project","","school_pto_unresolved","H2P-S01","Do not code as direct MTS grant without allocation records.","ai_seeded","research_only","excluded_research_only"
"H2MTSR008","8","AWWA-US","Kadena USO","","AWWA_labeled_route_to_ultimate_project","","candidate_existing_X001_site_boundary","H2P-S01","USO organization versus Kadena center endpoint requires review.","ai_seeded","research_only","excluded_research_only"
"H2MTSR009","9","AWWA-US","Kadena HS Volleyball","","AWWA_labeled_route_to_ultimate_project","","school_team","H2P-S01","Do not code as direct MTS grant without allocation records.","ai_seeded","research_only","excluded_research_only"
"H2MTSR010","10","BSA Troop 109-G","BSA Troop 109-G","Troop Fund","self_page_recipient_or_project_label","","youth_unit","H2P-S01","No durable organization relation inferred.","ai_seeded","research_only","excluded_research_only"
"H2MTSR011","11","Twisted Typhoon","Twisted Typhoon","Team Fund","self_page_recipient_or_project_label","","team_identity_unresolved","H2P-S01","No row date or amount.","ai_seeded","research_only","excluded_research_only"
"H2MTSR012","12","AWWA-JP","Miyako Facilities","","AWWA_labeled_route_to_aggregate_facilities","MTS_DUP_MiyakoFacilities","duplicate_visible_label","H2P-S01","Visible duplicate is preserved and must not be counted as a second award.","ai_seeded","research_only","excluded_research_only"
"H2MTSR013","13","3D HQBn Chaplain-US","3D HQBn Chaplain","CREDO Marriage Workshop","self_page_recipient_or_project_label","","military_unit_program","H2P-S01","Program support is not a civic-organization relation.","ai_seeded","research_only","excluded_research_only"
"H2MTSR014","14","AWWA-US","Okinawa Diplomats Futbol","","AWWA_labeled_route_to_ultimate_project","","team_identity_unresolved","H2P-S01","Do not code as direct MTS grant without allocation records.","ai_seeded","research_only","excluded_research_only"
"H2MTSR015","15","Far East Council-US","Far East Council","Equipment Replacement","self_page_recipient_or_project_label","","umbrella_or_unit_boundary_unresolved","H2P-S01","Do not merge with combined scouting directory labels.","ai_seeded","research_only","excluded_research_only"
"H2MTSR016","16","AWWA-US","Camp Courtney Cub Scouts","","AWWA_labeled_route_to_ultimate_project","MTS_DUP_CourtneyScouts","youth_unit","H2P-S01","Do not code as direct MTS grant without allocation records.","ai_seeded","research_only","excluded_research_only"
"H2MTSR017","17","Kubasaki High School-US","NPO/ARU/Halfway House for Teenage Girls","Month of the Military Child Benefit","school_labeled_multi_hop_benefit_path","MTS_DUP_ARUHalfway","endpoint_alias_unresolved","H2P-S01","Do not crosswalk to S002 一般社団法人ある without identity evidence; no direct MTS edge inferred.","ai_seeded","research_only","excluded_research_only"
"H2MTSR018","18","Kubasaki High School-US","Kubasaki High School","Hydroponic Garden 2022","self_page_recipient_or_project_label","MTS_DUP_Hydroponic","school_project","H2P-S01","The year belongs to the project label; it does not date all page rows.","ai_seeded","research_only","excluded_research_only"
"H2MTSR019","19","AWWA-US","Camp Courtney Cub Scouts","","AWWA_labeled_route_to_ultimate_project","MTS_DUP_CourtneyScouts","duplicate_visible_label","H2P-S01","Visible duplicate is preserved and must not be counted as a second award.","ai_seeded","research_only","excluded_research_only"
"H2MTSR020","20","Kubasaki High School-US","NPO/ARU/Halfway House for Teenage Girls","Month of the Military Child Benefit","school_labeled_multi_hop_benefit_path","MTS_DUP_ARUHalfway","duplicate_visible_label","H2P-S01","Visible duplicate is preserved; identity and routing remain unresolved.","ai_seeded","research_only","excluded_research_only"
"H2MTSR021","21","Kubasaki High School-US","Kubasaki High School","Hydroponic Garden 2022","self_page_recipient_or_project_label","MTS_DUP_Hydroponic","duplicate_visible_label","H2P-S01","Visible duplicate is preserved and must not be counted as a second award.","ai_seeded","research_only","excluded_research_only"
"H2MTSR022","22","Kubasaki High School-US","Kubasaki High School","Graduate Stoles 2022","self_page_recipient_or_project_label","","school_project","H2P-S01","No row amount; school and PTSO boundaries remain unresolved.","ai_seeded","research_only","excluded_research_only"
"H2MTSR023","23","Single Marines Program-US","Single Marines Program","SMP Battlesites Funding","self_page_recipient_or_project_label","","military_service_program","H2P-S01","Program endpoint is not a registry organization.","ai_seeded","research_only","excluded_research_only"
"H2MTSR024","24","III MEF","III MEF","Battlesite tour","self_page_recipient_or_project_label","","military_unit","H2P-S01","Military unit program is not a civic-organization relation.","ai_seeded","research_only","excluded_research_only"
"H2MTSR025","25","Omega Psi Phi Fraternity","Omega Psi Phi Fraternity","Leadership Seminar for youth","self_page_recipient_or_project_label","","local_chapter_unresolved","H2P-S01","The relevant chapter or legal entity is not identified.","ai_seeded","research_only","excluded_research_only"
"H2MTSR026","26","Dancers of Okinawa School of PA","Dancers of Okinawa School of PA","Dance Competition","self_page_recipient_or_project_label","","identity_unresolved","H2P-S01","No row date or amount.","ai_seeded","research_only","excluded_research_only"
"H2MTSR027","27","Okinawa Leadership Seminar","Okinawa Leadership Seminar","Seminar Supplies","self_page_recipient_or_project_label","","candidate_private_organization","H2P-S01","Recipient label does not establish continuity or a political role.","ai_seeded","research_only","excluded_research_only"
"H2MTSR028","28","Typhoon Twisters","Typhoon Twisters","Gymnastics Competition","self_page_recipient_or_project_label","","team_identity_unresolved","H2P-S01","No row date or amount.","ai_seeded","research_only","excluded_research_only"
