"search_id","actor_id","canonical_name","anchor_basis","anchor_selection","search_date","query_family","exact_query_string","search_interface","service_name_variants","language_scope","query_execution_status","returned_result_count","returned_result_urls","direct_org_interface_result","person_overlap_status","recipient_overlap_status","interpretation_boundary","review_status","package_scope","frontend_eligibility"
"H2PS001","A002","ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）","human_reviewed_anchor_issue_edge","nonrandom_accountability_anchor","2026-07-20","limited_exact_actor_x_service_name_web_co_mention_v1","""ジュゴン保護キャンペーンセンター"" (""Marine Thrift Shop"" OR ""Okinawa International Women's Club"" OR ""American Welfare and Works Association"" OR ""American Women's Welfare Association"" OR ""米国福祉事業協会"" OR ""米国婦人福祉協会"")","web.search_query","Marine Thrift Shop;Okinawa International Women's Club;American Welfare and Works Association;American Women's Welfare Association;米国福祉事業協会;米国婦人福祉協会","Japanese_actor_name_x_English_and_Japanese_service_names","completed_no_results_returned","0","","limited_ai_log_no_attributable_direct_organization_relation_recorded","not_symmetrically_measured_person_rosters_incomplete","not_symmetrically_measured_recipient_rosters_incomplete","A single OR-combined exact-name probe over a nonrandom anchor returned no indexed result. This does not estimate absence, symmetry, closure, shared people, support, or unindexed relations.","ai_research_search_log","research_only","excluded_research_only"
"H2PS002","A008","NGO非戦ネット","human_reviewed_anchor_issue_edge","nonrandom_accountability_anchor","2026-07-20","limited_exact_actor_x_service_name_web_co_mention_v1","""NGO非戦ネット"" (""Marine Thrift Shop"" OR ""Okinawa International Women's Club"" OR ""American Welfare and Works Association"" OR ""American Women's Welfare Association"" OR ""米国福祉事業協会"" OR ""米国婦人福祉協会"")","web.search_query","Marine Thrift Shop;Okinawa International Women's Club;American Welfare and Works Association;American Women's Welfare Association;米国福祉事業協会;米国婦人福祉協会","Japanese_actor_name_x_English_and_Japanese_service_names","completed_no_results_returned","0","","limited_ai_log_no_attributable_direct_organization_relation_recorded","not_symmetrically_measured_person_rosters_incomplete","not_symmetrically_measured_recipient_rosters_incomplete","A single OR-combined exact-name probe over a nonrandom anchor returned no indexed result. This does not estimate absence, symmetry, closure, shared people, support, or unindexed relations.","ai_research_search_log","research_only","excluded_research_only"
"H2PS003","A016","与那国島の明るい未来を願うイソバの会","human_reviewed_anchor_issue_edge","nonrandom_accountability_anchor","2026-07-20","limited_exact_actor_x_service_name_web_co_mention_v1","""与那国島の明るい未来を願うイソバの会"" (""Marine Thrift Shop"" OR ""Okinawa International Women's Club"" OR ""American Welfare and Works Association"" OR ""American Women's Welfare Association"" OR ""米国福祉事業協会"" OR ""米国婦人福祉協会"")","web.search_query","Marine Thrift Shop;Okinawa International Women's Club;American Welfare and Works Association;American Women's Welfare Association;米国福祉事業協会;米国婦人福祉協会","Japanese_actor_name_x_English_and_Japanese_service_names","completed_no_results_returned","0","","limited_ai_log_no_attributable_direct_organization_relation_recorded","not_symmetrically_measured_person_rosters_incomplete","not_symmetrically_measured_recipient_rosters_incomplete","A single OR-combined exact-name probe over a nonrandom anchor returned no indexed result. This does not estimate absence, symmetry, closure, shared people, support, or unindexed relations.","ai_research_search_log","research_only","excluded_research_only"
"H2PS004","A019","ヘリ基地反対協議会（海上ヘリ基地建設反対・平和と名護市政民主化を求める協議会）","human_reviewed_anchor_issue_edge","nonrandom_accountability_anchor","2026-07-20","limited_exact_actor_x_service_name_web_co_mention_v1","""ヘリ基地反対協議会"" (""Marine Thrift Shop"" OR ""Okinawa International Women's Club"" OR ""American Welfare and Works Association"" OR ""American Women's Welfare Association"" OR ""米国福祉事業協会"" OR ""米国婦人福祉協会"")","web.search_query","Marine Thrift Shop;Okinawa International Women's Club;American Welfare and Works Association;American Women's Welfare Association;米国福祉事業協会;米国婦人福祉協会","Japanese_short_name_x_English_and_Japanese_service_names","completed_no_results_returned","0","","limited_ai_log_no_attributable_direct_organization_relation_recorded","not_symmetrically_measured_person_rosters_incomplete","not_symmetrically_measured_recipient_rosters_incomplete","The short-name probe returned no indexed result; the long canonical form was not separately exhausted. This does not estimate absence, symmetry, closure, shared people, support, or unindexed relations.","ai_research_search_log","research_only","excluded_research_only"
"H2PS005","A052","嘉手納基地爆音差止訴訟原告団","human_reviewed_anchor_issue_edge","nonrandom_accountability_anchor","2026-07-20","limited_exact_actor_x_service_name_web_co_mention_v1","""嘉手納基地爆音差止訴訟原告団"" (""Marine Thrift Shop"" OR ""Okinawa International Women's Club"" OR ""American Welfare and Works Association"" OR ""American Women's Welfare Association"" OR ""米国福祉事業協会"" OR ""米国婦人福祉協会"")","web.search_query","Marine Thrift Shop;Okinawa International Women's Club;American Welfare and Works Association;American Women's Welfare Association;米国福祉事業協会;米国婦人福祉協会","Japanese_actor_name_x_English_and_Japanese_service_names","completed_no_results_returned","0","","limited_ai_log_no_attributable_direct_organization_relation_recorded","not_symmetrically_measured_person_rosters_incomplete","not_symmetrically_measured_recipient_rosters_incomplete","A single OR-combined exact-name probe over a nonrandom anchor returned no indexed result. Shared geography and private contacts remain outside the design.","ai_research_search_log","research_only","excluded_research_only"
"H2PS006","A053","普天間基地爆音訴訟団","human_reviewed_anchor_issue_edge","nonrandom_accountability_anchor","2026-07-20","limited_exact_actor_x_service_name_web_co_mention_v1","""普天間基地爆音訴訟団"" (""Marine Thrift Shop"" OR ""Okinawa International Women's Club"" OR ""American Welfare and Works Association"" OR ""American Women's Welfare Association"" OR ""米国福祉事業協会"" OR ""米国婦人福祉協会"")","web.search_query","Marine Thrift Shop;Okinawa International Women's Club;American Welfare and Works Association;American Women's Welfare Association;米国福祉事業協会;米国婦人福祉協会","Japanese_actor_name_x_English_and_Japanese_service_names","completed_no_results_returned","0","","limited_ai_log_no_attributable_direct_organization_relation_recorded","not_symmetrically_measured_person_rosters_incomplete","not_symmetrically_measured_recipient_rosters_incomplete","A single OR-combined exact-name probe over a nonrandom anchor returned no indexed result. Shared geography and private contacts remain outside the design.","ai_research_search_log","research_only","excluded_research_only"
"H2PS007","A076","ジュゴン保護基金委員会（Save the Dugong Foundation）","human_reviewed_anchor_issue_edge","nonrandom_accountability_anchor","2026-07-20","limited_exact_actor_x_service_name_web_co_mention_v1","""ジュゴン保護基金委員会"" (""Marine Thrift Shop"" OR ""Okinawa International Women's Club"" OR ""American Welfare and Works Association"" OR ""American Women's Welfare Association"" OR ""米国福祉事業協会"" OR ""米国婦人福祉協会"")","web.search_query","Marine Thrift Shop;Okinawa International Women's Club;American Welfare and Works Association;American Women's Welfare Association;米国福祉事業協会;米国婦人福祉協会","Japanese_actor_name_x_English_and_Japanese_service_names","completed_no_results_returned","0","","limited_ai_log_no_attributable_direct_organization_relation_recorded","not_symmetrically_measured_person_rosters_incomplete","not_symmetrically_measured_recipient_rosters_incomplete","The Japanese exact-name probe returned no indexed result; the English alias was not separately exhausted. This does not estimate absence or closure.","ai_research_search_log","research_only","excluded_research_only"
"H2PS008","A086","Turtle Island Restoration Network","human_reviewed_anchor_issue_edge","nonrandom_accountability_anchor","2026-07-20","limited_exact_actor_x_service_name_web_co_mention_v1","""Turtle Island Restoration Network"" (""Marine Thrift Shop"" OR ""Okinawa International Women's Club"" OR ""American Welfare and Works Association"" OR ""American Women's Welfare Association"" OR ""米国福祉事業協会"" OR ""米国婦人福祉協会"")","web.search_query","Marine Thrift Shop;Okinawa International Women's Club;American Welfare and Works Association;American Women's Welfare Association;米国福祉事業協会;米国婦人福祉協会","English_actor_name_x_English_and_Japanese_service_names","completed_no_results_returned","0","","limited_ai_log_no_attributable_direct_organization_relation_recorded","not_symmetrically_measured_person_rosters_incomplete","not_symmetrically_measured_recipient_rosters_incomplete","A single OR-combined exact-name probe over a nonrandom anchor returned no indexed result. Broad U.S. visibility does not measure Okinawa private contact.","ai_research_search_log","research_only","excluded_research_only"
"H2PS009","A102","全国公害弁護団連絡会議","human_reviewed_anchor_issue_edge","nonrandom_accountability_anchor","2026-07-20","limited_exact_actor_x_service_name_web_co_mention_v1","""全国公害弁護団連絡会議"" (""Marine Thrift Shop"" OR ""Okinawa International Women's Club"" OR ""American Welfare and Works Association"" OR ""American Women's Welfare Association"" OR ""米国福祉事業協会"" OR ""米国婦人福祉協会"")","web.search_query","Marine Thrift Shop;Okinawa International Women's Club;American Welfare and Works Association;American Women's Welfare Association;米国福祉事業協会;米国婦人福祉協会","Japanese_actor_name_x_English_and_Japanese_service_names","completed_no_results_returned","0","","limited_ai_log_no_attributable_direct_organization_relation_recorded","not_symmetrically_measured_person_rosters_incomplete","not_symmetrically_measured_recipient_rosters_incomplete","A single exact organization-name probe cannot measure individual-lawyer affiliations or private welfare contacts.","ai_research_search_log","research_only","excluded_research_only"
"H2PS010","A103","全国基地爆音訴訟原告団連絡会議","human_reviewed_anchor_issue_edge","nonrandom_accountability_anchor","2026-07-20","limited_exact_actor_x_service_name_web_co_mention_v1","""全国基地爆音訴訟原告団連絡会議"" (""Marine Thrift Shop"" OR ""Okinawa International Women's Club"" OR ""American Welfare and Works Association"" OR ""American Women's Welfare Association"" OR ""米国福祉事業協会"" OR ""米国婦人福祉協会"")","web.search_query","Marine Thrift Shop;Okinawa International Women's Club;American Welfare and Works Association;American Women's Welfare Association;米国福祉事業協会;米国婦人福祉協会","Japanese_actor_name_x_English_and_Japanese_service_names","completed_no_results_returned","0","","limited_ai_log_no_attributable_direct_organization_relation_recorded","not_symmetrically_measured_person_rosters_incomplete","not_symmetrically_measured_recipient_rosters_incomplete","A single exact organization-name probe has low power for ordinary welfare contacts and cannot establish organizational separation.","ai_research_search_log","research_only","excluded_research_only"
