stage_order,stage_id,lane,stage_label,organizational_level,known_amount,value_text,currency,period,measurement_type,visibility_status,source_receipt_ids,reason_not_additive,next_gap,allowed_claim,review_status,package_scope,frontend_status,central_writeback
1,W2B2-WF001,same_award_parallel_reporting_views,View A: award-level record,national_prime_award_view,72000000,USD 72.000m award-level cumulative obligation,USD,2023-09-30/2028-09-29,award_obligation,known_same_award_view,W2B2-SR006,"One reporting view of the same award; not cash expenditure, a sequential upstream stage or local allocation.",regional_allocation_not_disclosed,The award-level view reports a USD 72.000m cumulative obligation to the national prime recipient.,ai_seeded,research_only,not_frontend_ready,no
2,W2B2-WF002,same_award_parallel_reporting_views,View B: federal-account reporting,national_account_reporting_view,41212463.29,USD 41.21246329m account-linked rollup,USD,retrieved reporting records through FY2024,account_linked_transaction_obligation,known_same_award_parallel_view,W2B2-SR025;W2B2-SR026;W2B2-SR027,A parallel reporting view of the same award; its perimeter includes a -USD 6.78753671m adjustment and does not include the visible 2025 continuation in the inspected account records.,regional_allocation_not_disclosed,The same award's account-reporting view reports USD 41.21246329m; it is not a second award or the next step of a cash-flow chain.,ai_seeded,research_only,not_frontend_ready,no
3,W2B2-WF003,federal_award_chain,"USO, Inc. -> Indo-Pacific",regional_internal_allocation,,not publicly disclosed,,award period,internal_region_allocation,allocation_gap,W2B2-SR001;W2B2-SR006;W2B2-SR007;W2B2-SR025,No official region-allocation field located.,Japan/Okinawa share unavailable.,The public monetary chain stops before the Indo-Pacific operating layer.,ai_seeded,research_only,not_frontend_ready,no
4,W2B2-WF004,federal_award_chain,Indo-Pacific -> Japan/Okinawa,area_internal_allocation,,not publicly disclosed,,award/current reporting period,area_allocation,allocation_gap,W2B2-SR001;W2B2-SR002;W2B2-SR004;W2B2-SR005,Hierarchy is visible but money is not allocated by area.,No Okinawa budget or service-use denominator.,The operating hierarchy does not close the monetary allocation chain.,ai_seeded,research_only,not_frontend_ready,no
5,W2B2-WF005,federal_award_chain,USO Okinawa annual operating budget,okinawa_area,,not publicly disclosed,,current,local_budget,allocation_gap,W2B2-SR002;W2B2-SR003,"Local staff, volunteers, sites and service-population scale are non-money facts.",Regional finance or center-level annual report required.,USO Okinawa's service presence is visible while its annual budget is not.,ai_seeded,research_only,not_frontend_ready,no
6,W2B2-WF006,local_visible_inputs,Dated local cash observations,local_area_and_center,,USD 18k (AEC 2024); JPY 1m (AK 2025); USD 16k (AEC 2025); USD 3.25k (OESC 2025),mixed,2024-2025 examples,dated_named_flows_not_total,known_bounded_examples,W2B2-SR013;W2B2-SR014;W2B2-SR015;W2B2-SR032,Mixed dates/currencies and non-exhaustive source set; not the local budget.,Complete local income ledger and recipient-side records unavailable.,Several exact local sponsor/donor flows are visible independently of the national award.,ai_seeded,research_only,not_frontend_ready,no
7,W2B2-WF007,local_visible_inputs,Local in-kind support,local_area_and_center,,AEC facility refresh; MBC WiFi/cable/technical support; values unstated,,2025-2026,in_kind_support,known_nonmoney_fact_value_unknown,W2B2-SR013;W2B2-SR016,No valuation; some support accompanies cash sponsorship but is not priced.,Contracts/invoices or donor valuation required.,Official stories identify in-kind operational support without a defensible monetary value.,ai_seeded,research_only,not_frontend_ready,no
8,W2B2-WF008,local_service_capacity,USO Okinawa operating scale,okinawa_area,,current 8 directory entries = 6 centers + 1 terminal entry + 1 area office; 21 employees; 780+ volunteers; approx. 47k supported population,,2025/current,nonmoney_capacity,known_nonmoney_facts,W2B2-SR002;W2B2-SR003,"Different units, dates and definitions; none is a financial denominator or lifecycle series.",Same-definition local uses/visits/people and annual expenses missing.,The current directory composition and local organizational capacity are visible despite missing finances.,ai_seeded,research_only,not_frontend_ready,no
9,W2B2-WF009,national_financial_context,USO 2024 gross program services / functional expenses,national_consolidated,204912000,USD 204.912m gross,USD,year ended 2024-12-31,consolidated_gross_program_services_functional_expenses,known_separate_financial_perimeter,W2B2-SR034,Organization-wide gross program-services functional expenses; includes USD 105.538m in-kind and is neither an award allocation nor an Okinawa budget.,No regional expense schedule.,"The audited 2024 functional-expense statement reports USD 204.912m gross program services, including USD 105.538m in-kind expenses.",ai_seeded,research_only,not_frontend_ready,no
10,W2B2-WF010,national_financial_context,In-kind program services included in gross,national_consolidated,105538000,USD 105.538m included in gross,USD,year ended 2024-12-31,in_kind_program_services_included_in_gross,known_component_of_gross_not_additive,W2B2-SR034,This is already included in the USD 204.912m gross figure; do not add it again.,No regional expense schedule.,The audited statement identifies USD 105.538m of in-kind expenses inside gross program services.,ai_seeded,research_only,not_frontend_ready,no
11,W2B2-WF011,national_financial_context,USO 2024 net program services,national_consolidated,99374000,USD 99.374m net,USD,year ended 2024-12-31,consolidated_net_program_services_after_in_kind,known_separate_financial_perimeter,W2B2-SR034,Net program services equal gross USD 204.912m less included in-kind USD 105.538m; this remains a national consolidated perimeter.,No regional expense schedule.,The audited 2024 functional-expense statement reports USD 99.374m net program services.,ai_seeded,research_only,not_frontend_ready,no
