"observation_id","interface_family","from_node_label","to_node_label","observed_semantics","time_scope","evidence_support","status_strength","mechanism_value","not_equivalent_to","source_keys","review_status","package_scope","frontend_eligibility"
"H2HIO001","material_support","military officers' wives club and veterans association","Halfway Home","support and operation described in secondary reconstruction","pre_1958","academic_secondary_reconstruction","candidate_fact_needs_original_record","Shows military-community resources entering a local child-welfare setting before the later formal office.","No proof of a single funder, amount, legal predecessor or political alignment.","H2P-S10","ai_seeded_historical_observation","research_only","excluded_research_only"
"H2HIO002","care_casework","International Social Service Okinawa / later consultation office","international families and children","casework on marriage, divorce, adoption, nationality and child welfare","1958_to_1998","official_archive_guide_plus_secondary_literature","strong_historical_existence_bounded_process","Creates the empirical substrate from which repeated cases could be aggregated and named.","Not proof that every client case was caused by the base or that all staff shared one interpretation.","H2P-S09;H2P-S11","ai_seeded_historical_observation","research_only","excluded_research_only"
"H2HIO003","mixed_membership","Okinawan and American women in OIWC","selected welfare events","named mixed participation and bazaar activity","1963_to_1967_selected","official_archive_event_captions","event_level_observation","Demonstrates a contact form distinct from grant screening and advocacy coalition.","Not a complete membership census, stable alliance or uninterrupted legal continuity.","H2P-S07","ai_seeded_historical_observation","research_only","excluded_research_only"
"H2HIO004","umbrella_coordination","Ryukyuan-American Welfare Council","nine affiliated women's clubs","captioned affiliation and welfare gift activity","1971_snapshot","official_archive_event_caption","event_structure_observation","Shows that multi-club coordination existed before reversion.","Not proof that AWWA is the same organization or that every club continued after 1972.","H2P-S07","ai_seeded_historical_observation","research_only","excluded_research_only"
"H2HIO005","institutional_handoff","American supporters and spouse-club resource base","Okinawan welfare professionals and public support","secondary account of operational localization and post-reversion support substitution","around_1972_and_after","official_archive_name_history_plus_academic_secondary","candidate_mechanism","Suggests differentiation through transfer of operation and finance rather than simple organizational succession.","Not a verified one-step handoff or complete funding ledger.","H2P-S09;H2P-S10","ai_seeded_historical_observation","research_only","excluded_research_only"
"H2HIO006","rights_translation","accumulated international-welfare cases","沖縄からの提言","formal proposal including nationality-law reform demands","1979","official_archive_guide_plus_secondary","strong_entry_output_bounded_causality","Identifies a concrete care-to-rights translation episode.","Not proof that the proposal alone caused the 1985 law change.","H2P-S09;H2P-S11","ai_seeded_historical_observation","research_only","excluded_research_only"
"H2HIO007","base_accountability_translation","welfare practice and case accumulation","explicit public base-responsibility claim","reported leadership statement that base conditions damaged life and generated most cases","1997","scholarly_public_history_reconstruction","candidate_interpretive_fact_needs_primary_locator","Provides a historical counterexample to a permanently nonpolitical service ecology.","Not evidence that current MTS, AWWA or OIWC adopted the same claim.","H2P-S11","ai_seeded_historical_observation","research_only","excluded_research_only"
"H2HIO008","screened_resource_transfer","MTS","AWWA","four consecutive named Schedule I grant rows totaling 151672 USD","FY2021_to_FY2024","irs_derived_filing_display","filing_fact_pending_original_pdf_review","Shows repeated intermediary funding rather than event-only contact.","Not an ultimate-recipient allocation, unrestricted-use finding or political relation.","H2P-S02","ai_seeded_historical_observation","research_only","excluded_research_only"
"H2HIO009","exceptional_bypass","MTS via G-7 and Lions","local children's hospital and cancer-family beneficiary setting","one reported direct 10000 USD donation outside the normal AWWA route","2024-02-22","official_military_public_affairs","dated_official_account_bounded","Makes gatekeeping observable by contrasting a normal route with an exception.","Not proof that all prior local giving used AWWA or that the bypass permanently changed policy.","H2P-S03","ai_seeded_historical_observation","research_only","excluded_research_only"
"H2HIO010","administrative_cross_visibility","selected AWWA/OIWC/MTS public recipient labels","FY2024 S002 partner-name universe","sparse name-family overlap under direct, composite-member and identity-scope classes","cross_period_cross_source","organization_recipient_pages_plus_official_source_universe","mechanical_crosswalk_candidate","Shows that some welfare recipients are also administratively visible without making a triadic relation.","Not a payment, alliance, causal pathway or complete recipient census.","H2P-S01;H2P-S04;H2P-S15;H2P-S17","ai_seeded_historical_observation","research_only","excluded_research_only"
"H2HIO011","post_closure_material_contact","3D FSSG units","Amer-Asian School","visits and school-material donation recorded in a 2000 compilation","late_1999","official_archival_government_compilation","historical_lead","Shows a later military-side support/contact path in a related social-problem field after the consultation office's closure.","Not organizational continuity, genealogy, a verified monetary grant or proof of institutional substitution.","H2P-S16","ai_seeded_historical_lead","research_only","excluded_research_only"
