source_id,title,year,current_placeholder,resolution_status,verified_or_candidate_url,evidence_basis,next_action,notes
S018,石垣市 住民投票条例案 市議会で否決,2019,inferred_url:ryukyushimpo_ishigaki_referendum_2018,archived_resolved_url,https://www.qab.co.jp/news/20190202110874.html,QAB article directly reports Ishigaki city council rejection of the referendum ordinance,done_first_pass,Year corrected from 2018 to 2019 in source_log. MT-003 archived in source_log/source_archive first pass.
S019,石垣市住民投票 署名活動で法定数超え,2018,inferred_url:okinawatimes_ishigaki_signatures_2018,archived_resolved_url,https://www.yaeyama-nippo.co.jp/archives/4232,Yaeyama Nippo reports 14263 valid signatures and direct request procedure,done_first_pass,Not Okinawa Times but a local accessible source; accepted as replacement. MT-003 archived in source_log/source_archive first pass.
S020,宮古島 陸自駐屯地予定地 地下水汚染懸念,2018,inferred_url:ryukyushimpo_miyako_water_2018,needs_local_retrieval,,Search did not yet locate an exact accessible article matching title/year,local_database_or_newspaper_search,Keep as evidence gap until local article or official material is found.
S021,ミサイル基地いらない 宮古島住民連絡会 結成集会,2016,inferred_url:okinawatimes_miyako_missile_2016,candidate_url,https://www.jcp.or.jp/akahata/aik19/2019-08-28/2019082814_01_1.html,Accessible article confirms group activity but not 2016 formation,find_formation_source,Use only for activity confirmation unless formation source is found.
S022,沖縄対話プロジェクト 公式ページ,2023,inferred_url:okinawa_dialogue_project,archived_resolved_url,https://okinawataiwa.net/,Official project site,done_first_pass,Terms page also available at https://okinawataiwa.net/index.php/about-us/about_terms/. MT-003 archived in source_log/source_archive first pass.
S023,ノーモア沖縄戦 命どぅ宝の会 結成,2022,inferred_url:ryukyushimpo_nomore_okinawa_war_2022,archived_resolved_url,https://www.qab.co.jp/news/20220321148994.html,QAB reports launch meeting and organizational context,done_first_pass,Official site can supplement: https://nomore-okinawasen.org/. MT-003 archived in source_log/source_archive first pass.
S024,台湾有事に備え 南西諸島の軍事化に懸念,2023,inferred_url:okinawatimes_taiwan_contingency_2023,candidate_url,https://okinawataiwa.net/,Official Okinawa Dialogue Project supports Taiwan contingency/dialogue frame but not this exact news title,find_exact_news_source,"Use as organization framing source only, not as local news replacement."
S026,嘉手納爆音訴訟 第三次 那覇地裁判決概要,2017,inferred_url:courts_go_jp_kadena_2017,candidate_url,https://www.qab.co.jp/news/2017022388152.html,QAB reports third Kadena noise lawsuit district court judgment,find_court_or_plaintiff_primary_source,Source_type should change if adopting QAB; plaintiff history page is also useful.
S027,普天間爆音訴訟 第二次 那覇地裁判決概要,2020,inferred_url:courts_go_jp_futenma_2020,needs_correction,https://www.qab.co.jp/news/2016111785307.html,Accessible QAB source indicates second Futenma noise lawsuit judgment was 2016 not 2020,correct_year_or_replace_source,Do not archive under current 2020 court-record wording until corrected.
S028,高江ヘリパッド建設 住民らが抗議,2016,inferred_url:ryukyushimpo_takae_2016,archived_resolved_url,https://ryukyushimpo.jp/news/entry-315940.html,Ryukyu Shimpo reports Takae residents and protest organizers calling for opposition to helipad construction,done_first_pass,MT-003 archived in source_log/source_archive first pass.
S029,島ぐるみ会議 辺野古新基地反対で連帯,2015,inferred_url:okinawatimes_shimagurumi_2015,candidate_url,https://www.jcp.or.jp/akahata/aik15/2015-06-29/2015062903_01_1.html,Accessible article confirms municipal Shimagurumi meeting and new-base opposition but not Okinawa Times,find_exact_or_primary_source,Use cautiously as party-media source if adopted.
S030,泡瀬干潟埋め立て 住民訴訟,2009,inferred_url:ryukyushimpo_awase_2009,candidate_url,https://ryukyushimpo.jp/news/prentry-239394.html,Ryukyu Shimpo accessible article covers later Awase lawsuit judgment and issues,find_2009_or_legal_primary_source,Year/title mismatch; JELF statement can supplement legal case.
S031,沖縄平和運動センター 公式,2026,inferred_url:peace_okinawa_center,archived_resolved_url,http://www.peace-okinawa.net/,Official organization site; HTTP version works while HTTPS certificate/path fails,done_first_pass,MT-003 archived in source_log/source_archive first pass.
S034,沖縄意見広告運動 全国紙に一面広告,2010,inferred_url:okinawa_opinion_ad_2010,archived_resolved_url,https://www.okinawaiken.org/,Official campaign site states 2010 start and newspaper ad placements,done_first_pass,source_type changed to organization_site in source_log. MT-003 archived in source_log/source_archive first pass.
S036,南西諸島ピースネット 結成,2015,inferred_url:ryukyushimpo_sw_islands_peace_2015,candidate_url,https://ryukyushimpo.jp/news/entry-452562.html,Ryukyu Shimpo confirms Southwest Islands Peace Network in later government negotiation,find_formation_source,Not formation proof.
S037,沖縄弁護士会 辺野古新基地建設に関する会長声明,2015,inferred_url:okinawa_bar_henoko_2015,candidate_url,https://okiben.org/column/10903/,Okinawa Bar page summarizes repeated resolutions/statements on Henoko including 2017/2018/2020,find_exact_statement,Need exact 2015 or adjust title/year.
S038,一坪反戦地主会 軍用地契約拒否運動,1996,inferred_url:anti_war_landowners_1996,candidate_url,https://www.jca.apc.org/HHK/,Organization-related site describes anti-war landowner contract refusal frame,find_historical_primary_or_academic_source,Kotobank also gives secondary background.
S039,基地・軍隊を許さない行動する女たちの会 結成,1995,inferred_url:women_against_bases_1995,candidate_url,https://www2.kobe-u.ac.jp/~alexroni/TR%202013%20readings/2013_3/05_73-85%20Akibayashi.pdf,Academic PDF states 1995 founding context and press conference,find_primary_or_book_citation,Good secondary source; may need source_type change.
S040,辺野古土砂搬入反対全国協議会 結成,2018,inferred_url:henoko_soil_national_council_2018,candidate_url,https://www.kinyobi.co.jp/kinyobinews/2016/06/24/%E8%BE%BA%E9%87%8E%E5%8F%A4%E5%9F%8B%E3%82%81%E7%AB%8B%E3%81%A6%E3%81%AB%E5%8A%A0%E6%8B%85%E3%81%97%E3%81%AA%E3%81%84%E2%80%95%E2%80%95%E5%9C%9F%E7%A0%82%E6%8E%A1%E5%8F%96%E5%9C%B0%E3%81%AE%E9%97%98/,Article says national liaison council was established in May of the previous year,correct_year_or_find_exact_source,Current year 2018 likely wrong for formation.
S042,名護市民投票 基地建設反対が多数,1997,inferred_url:nago_referendum_1997,archived_resolved_url,https://www.city.nago.okinawa.jp/kurashi/2018071900226/,Nago city official timeline records the 1997 referendum context and later relocation timeline,done_first_pass,source_type changed to local_official in source_log. MT-003 archived in source_log/source_archive first pass.
S043,沖縄県 米軍基地の概要,2024,inferred_url:pref_okinawa_base_overview_2024,archived_resolved_url,https://www.pref.okinawa.jp/heiwakichi/kichi/1017273/1017274/1025057/1029383.html,Okinawa Prefecture official 2024 statistical materials page,done_first_pass,MT-003 archived in source_log/source_archive first pass.
S045,辺野古新基地 土砂投入開始,2018,inferred_url:ryukyushimpo_henoko_soil_2018,needs_source_search,,Exact accessible source not yet captured in this pass,search_targeted_news_archive,Landmark event; likely easy but still needs exact URL.
S046,NACSJ 辺野古・大浦湾の生物多様性報告,2014,inferred_url:nacsj_oura_bay_biodiversity_2014,archived_resolved_url,https://www.nacsj.or.jp/archives/files/katsudo/henoko/pdf/20140724youbou_boueidaijin.pdf,NACSJ-linked 2014 request document states Henoko/Oura Bay biodiversity evidence and survey findings,done_first_pass,Could be classified as NGO statement/request rather than report. MT-003 archived in source_log/source_archive first pass.
S047,沖縄防衛局 辺野古新基地建設事業 環境影響評価書,2012,inferred_url:okinawa_defense_bureau_eia_2012,archived_resolved_url,https://www.mod.go.jp/rdb/okinawa/effort/base/evaluation/hyoukasyo.html,Okinawa Defense Bureau page lists the EIA document PDFs,done_first_pass,Archive index page first; individual PDFs can be downloaded selectively. MT-003 archived in source_log/source_archive first pass.
S048,Veterans for Peace Okinawa / Ryukyu chapter,2024,inferred_url:vfp_okinawa,candidate_url,https://www.veteransforpeace.org/who-we-are/2025-online-business-meeting/resolution-2025-1-us-military-expansion-and-environmental-destruction-okinawa,VFP site names Veterans For Peace Ryukyu/Okinawa Chapter Kokusai as endorser,find_chapter_page_or_second_source,Good existence evidence but 2025 resolution is later than current source year.
