candidate_id,canonical_name,aliases,function_observed,public_status,official_observed_at,registry_crosswalk,recommendation,recommendation_reason,primary_source_url,secondary_source_url,evidence_boundary,package_scope,frontend_eligibility
H2U001,American Welfare & Works Association,AWWA;American Women's Welfare Association,umbrella grantmaking and welfare coordination,ACTIVE IRS,2026-07-07,X004,background,"Already in registry; official PO listing refreshes current authorization only.",https://www.okinawa.usmc-mccs.org/more/private-organizations,https://nosco.wildapricot.org/awwa,"Authorization is not MCCS affiliation and does not prove any recipient or amount.",research_only,excluded_research_only
H2U002,Marine Officers' Spouses' Club Okinawa,MOSCO;MOSC Okinawa,spouse community and philanthropy,ACTIVE IRS,2026-07-07,X016,background,"Already in registry; current official listing and self-site agree on continuing identity.",https://www.okinawa.usmc-mccs.org/more/private-organizations,https://www.moscoki.com/,"Service and philanthropy do not imply a base-policy stance.",research_only,excluded_research_only
H2U003,North Island Okinawa Spouses' Club,NIOSC,all-rank and all-branch spouse community plus philanthropy,ACTIVE School,2026-07-07,not_in_registry,add,"Current official authorization plus self-described nonprofit mission and current 2025/26 activity make this a high-value missing service-side actor.",https://www.okinawa.usmc-mccs.org/more/private-organizations,https://www.niosc.org/about-us,"Add requires human identity review; no political stance or relation to other spouse clubs is inferred.",research_only,excluded_research_only
H2U004,Marine Thrift Shop Okinawa,Marine Thrift Shop;MTS,resale-based welfare grants scholarships and free uniform support,ACTIVE Calendar,2026-07-07,not_in_registry,add,"Independent board and grantmaking function; self-site reports grants and a current AWWA contribution/member interface, making it analytically central to the service ecology.",https://www.okinawa.usmc-mccs.org/more/private-organizations,https://marinethriftshopokinawa.org/grants/,"The AWWA statement is a candidate affiliation/contribution claim requiring human review; listed recipients and aggregate amounts are not central edges.",research_only,excluded_research_only
H2U005,Neighborhood Pantry - Camp Butler,Neighborhood Pantry Camp Butler;NPCB,no-cost food and household-resource support for military families,ACTIVE Calendar,2026-07-07,not_in_registry,add,"Official current listing and MCIPAC/MCCS operational records establish an independent multi-site welfare function formed in 2023.",https://www.okinawa.usmc-mccs.org/more/private-organizations,https://www.mcipac.marines.mil/Media-Room/News/Article/3871746/camp-kinser-opens-a-new-neighborhood-pantry/,"Donations and co-location do not create alliance or political stance; exact donor relations remain event-specific.",research_only,excluded_research_only
H2U006,Okinawa Global Military Lactation Community,DBA Mom2Mom;Mom2Mom Okinawa;Global MilCom Okinawa Chapter,peer lactation support and advocacy for military families,ACTIVE Calendar,2026-07-07,not_in_registry,add,"Official listing and Global MilCom chapter roster jointly support a current specialized family-service node that broadens the ecology beyond spouse clubs and general charity.",https://www.okinawa.usmc-mccs.org/more/private-organizations,https://globalmilcom.org/find-a-chapter,"Human review must decide whether the local PO and Global MilCom chapter are one actor or an affiliation; advocacy here is lactation policy, not base politics.",research_only,excluded_research_only
H2U007,Marine Gift Shop,Island Treasures Marine Gift Shop,fundraising shop associated with MOSCO and AWWA philanthropy,ACTIVE School,2026-07-07,not_in_registry,defer,"Official list treats it as a current PO, while historical governing documents describe it as a MOSCO entity; actor-versus-subunit status is unresolved.",https://www.okinawa.usmc-mccs.org/more/private-organizations,https://www.moscoki.com/,"Do not double-count MOSCO; current constitution/bylaws are needed before actorization.",research_only,excluded_research_only
H2U008,Helping Japan International,HJI,unresolved charitable or international-service function,ACTIVE IRS,2026-07-07,not_in_registry,defer,"Official active identity exists but a current first-party mission and activity record was not located in this pass.",https://www.okinawa.usmc-mccs.org/more/private-organizations,,"Name and IRS reporting class alone do not establish function, Japanese recipients, continuity, or political stance.",research_only,excluded_research_only
H2U009,Okinawa Area Office Civilian Welfare Council,OAO CWC,civilian welfare council,ACTIVE Fiscal,2026-07-07,not_in_registry,background,"Potentially useful as an institutional welfare comparator, but appears tied to an office constituency rather than an NGO-facing grant or public-service role.",https://www.okinawa.usmc-mccs.org/more/private-organizations,,"Official listing proves authorization only; function and independence need bylaws or activity records.",research_only,excluded_research_only
H2U010,Okinawa Leadership Seminar,OLS,leadership education and military-spouse professional development,ACTIVE Fiscal,2026-07-07,not_in_registry,background,"Relevant to social-capital infrastructure and person overlap, but not yet shown to provide welfare or charity as a primary function.",https://www.okinawa.usmc-mccs.org/more/private-organizations,,"Do not infer a service relation from shared event participation or shared volunteers.",research_only,excluded_research_only
H2U011,Scouting Organizations,Far East Council BSA;USA Girl Scouts Overseas West Pacific,youth development and continuity support for overseas families,ACTIVE per USFJ 36-3101,2026-07-07,not_in_registry,background,"A bounded youth-service node and known historical AWWA recipient interface, but the combined directory label is not one legal actor.",https://www.okinawa.usmc-mccs.org/more/private-organizations,,"Split identities before any actor or recipient relation; the combined label cannot become one registry actor.",research_only,excluded_research_only
H2U012,Okinawa Young Marines,,youth development program,ACTIVE Fiscal,2026-07-07,not_in_registry,exclude,"Current authorization is clear, but no direct welfare/charity interface or Phase-1 analytical value was established in this pass.",https://www.okinawa.usmc-mccs.org/more/private-organizations,,"Exclusion is from this H2 shortlist only and is not a judgment on the organization.",research_only,excluded_research_only
