field_name,current_value,proposed_controlled_value,affected_actor_count,affected_actor_ids,mapping_disposition,human_assignment_count,human_assignment_actor_ids,interpretation_limit
actor_class,base_community_service_actor,base_community_service_actor,3,X001;X008;X009,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
actor_class,base_spouse_charity_network,base_spouse_charity_network,1,X004,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
actor_class,base_spouse_club,base_spouse_club,5,X005;X006;X007;X016;X017,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
actor_class,citizen_group,citizen_group,19,A011;A012;A016;A018;A026;A048;A049;A051;A052;A053;A060;A063;A068;A069;A095;A100;A110;A112;A113,freeze_as_is;human_assignment_review,2,A095;A100,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
actor_class,citizen_network,citizen_network,24,A008;A010;A013;A017;A019;A024;A027;A029;A047;A055;A056;A057;A058;A059;A065;A067;A071;A072;A096;A099;A101;A103;A106;A108,freeze_as_is;human_assignment_review,3,A096;A099;A101,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
actor_class,corporate_sponsor,corporate_sponsor,1,X003,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
actor_class,domestic_japan_ngo,domestic_japan_ngo,11,A004;A005;A006;A007;A021;A022;A030;A031;A061;A062;A066,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
actor_class,executive_committee,executive_committee,3,A014;A015;A025,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
actor_class,funder_or_intermediary,funder_or_intermediary,1,X014,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
actor_class,international_advocacy_actor,international_advocacy_actor,7,A001;A002;A009;A028;A032;A064;A070,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
actor_class,international_ngo,international_ngo,16,A033;A034;A035;A036;A037;A038;A039;A040;A041;A042;A043;A044;A045;A046;A086;X015,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
actor_class,labor_union,labor_union,6,A089;A090;A091;A092;A093;A114,freeze_as_is;human_assignment_review,5,A089;A090;A091;A092;A093,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
actor_class,lawyers_network,lawyers_network,5,A020;A050;A102;A104;A109,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
actor_class,local_business_sponsor,local_business_sponsor,1,X002,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
actor_class,local_civic_actor,local_civic_actor,5,A003;A023;A054;A076;A097,freeze_as_is;human_assignment_review,1,A097,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
actor_class,local_international_cooperation_ngo,local_international_cooperation_ngo,2,A073;X010,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
actor_class,local_npo,local_npo,3,A087;A088;A098,human_assignment_review,3,A087;A088;A098,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
actor_class,public_diplomacy_grant_program,public_diplomacy_grant_program,1,X013,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
actor_class,public_diplomacy_or_exchange_actor,public_diplomacy_or_exchange_actor,1,X012,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
actor_class,public_institution_partner,public_institution_partner,3,A074;A075;X011,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
actor_class,womens_organization,womens_organization,4,A105;A107;A111;A115,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,501c3/registered_nonprofit（EIN 46-0598583）,us_501c3_nonprofit,1,X016,mechanical_normalize,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,501c3（EIN 98-0346507）,us_501c3_nonprofit,1,X007,mechanical_normalize,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,NPO法人,specified_nonprofit_corporation,3,A087;A088;A098,mechanical_normalize,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,association_or_regional_ywca,regional_association_or_chapter,1,A107,freeze_as_unresolved,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
