"search_id","actor_id","canonical_name","anchor_basis","query_family","service_side_terms","query_scope","direct_org_interface_result","person_overlap_status","recipient_overlap_status","result_urls","interpretation_boundary","review_status","package_scope","frontend_eligibility"
"H2RI001","A002","ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）","human_reviewed_anchor_issue_edge","exact_name_x_service_names_and_functions","USO;AWWA;American Women's Welfare Association;米国婦人福祉協会;spouse club;charity;donation;board;staff;recipient","public_web_index;Japanese_and_English_name_variants","searched_corpus_not_found_direct_organization_interface","not_measured_by_this_query","not_measured_by_this_query","","No direct service-side organization interface was located in this exact-name query family. This is a bounded search result, not proof that no contact exists.","ai_research_search_log","research_only","excluded_research_only"
"H2RI002","A008","NGO非戦ネット","human_reviewed_anchor_issue_edge","exact_name_x_service_names_and_functions","USO;AWWA;American Women's Welfare Association;米国婦人福祉協会;spouse club;charity;donation;board;staff;recipient","public_web_index;Japanese_name","searched_corpus_not_found_direct_organization_interface","not_measured_by_this_query","not_measured_by_this_query","","Shared-event, private-member and offline contact remain outside this search design.","ai_research_search_log","research_only","excluded_research_only"
"H2RI003","A016","与那国島の明るい未来を願うイソバの会","human_reviewed_anchor_issue_edge","exact_name_x_service_names_and_functions","USO;AWWA;American Women's Welfare Association;米国婦人福祉協会;spouse club;charity;donation;board;staff;recipient","public_web_index;Japanese_name","searched_corpus_not_found_direct_organization_interface","not_measured_by_this_query","not_measured_by_this_query","","The search returned movement and Yonaguni materials but no attributable service-side interface; local records may differ.","ai_research_search_log","research_only","excluded_research_only"
"H2RI004","A019","ヘリ基地反対協議会（海上ヘリ基地建設反対・平和と名護市政民主化を求める協議会）","human_reviewed_anchor_issue_edge","exact_name_x_service_names_and_functions","USO;AWWA;American Women's Welfare Association;米国婦人福祉協会;spouse club;charity;donation;board;staff;recipient","public_web_index;canonical_and_short_name_variants","searched_corpus_not_found_direct_organization_interface","not_measured_by_this_query","not_measured_by_this_query","","No direct organization edge can be inferred from absence of indexed co-mentions.","ai_research_search_log","research_only","excluded_research_only"
"H2RI005","A052","嘉手納基地爆音差止訴訟原告団","human_reviewed_anchor_issue_edge","exact_name_x_service_names_and_functions","USO;AWWA;American Women's Welfare Association;米国婦人福祉協会;KOSC;spouse club;charity;donation;board;staff;recipient","public_web_index;canonical_and_common_name_variants","searched_corpus_not_found_direct_organization_interface","not_measured_by_this_query","not_measured_by_this_query","","Kadena co-occurrence is especially prone to location false positives; only attributable organization relations would qualify.","ai_research_search_log","research_only","excluded_research_only"
"H2RI006","A053","普天間基地爆音訴訟団","human_reviewed_anchor_issue_edge","exact_name_x_service_names_and_functions","USO;AWWA;American Women's Welfare Association;米国婦人福祉協会;spouse club;charity;donation;board;staff;recipient","public_web_index;canonical_and_common_name_variants","searched_corpus_not_found_direct_organization_interface","not_measured_by_this_query","not_measured_by_this_query","","Futenma location hits and USO Futenma service pages do not establish contact with the plaintiff group.","ai_research_search_log","research_only","excluded_research_only"
"H2RI007","A076","ジュゴン保護基金委員会（Save the Dugong Foundation）","human_reviewed_anchor_issue_edge","exact_name_x_service_names_and_functions","USO;AWWA;American Women's Welfare Association;米国婦人福祉協会;spouse club;charity;donation;board;staff;recipient","public_web_index;Japanese_and_English_name_variants","searched_corpus_not_found_direct_organization_interface","not_measured_by_this_query","not_measured_by_this_query","","The result does not test individual plaintiff or supporter affiliations.","ai_research_search_log","research_only","excluded_research_only"
"H2RI008","A086","Turtle Island Restoration Network","human_reviewed_anchor_issue_edge","exact_name_x_service_names_and_functions","USO Okinawa;AWWA Okinawa;American Women's Welfare Association Okinawa;spouse club Okinawa;charity;donation;board;staff;recipient","public_web_index;English_name_with_Okinawa_disambiguation","searched_corpus_not_found_direct_organization_interface","not_measured_by_this_query","not_measured_by_this_query","","Global TIRN pages and unrelated USO abbreviations were excluded; no Okinawa service-side organization interface was located.","ai_research_search_log","research_only","excluded_research_only"
"H2RI009","A102","全国公害弁護団連絡会議","human_reviewed_anchor_issue_edge","exact_name_x_service_names_and_functions","USO;AWWA;American Women's Welfare Association;米国婦人福祉協会;spouse club;charity;donation;board;staff;recipient","public_web_index;Japanese_name","searched_corpus_not_found_direct_organization_interface","not_measured_by_this_query","not_measured_by_this_query","","Located formation and legal-network materials do not identify a service-side organization relation.","ai_research_search_log","research_only","excluded_research_only"
"H2RI010","A103","全国基地爆音訴訟原告団連絡会議","human_reviewed_anchor_issue_edge","exact_name_x_service_names_and_functions","USO;AWWA;American Women's Welfare Association;米国婦人福祉協会;spouse club;charity;donation;board;staff;recipient","public_web_index;Japanese_name","searched_corpus_not_found_direct_organization_interface","not_measured_by_this_query","not_measured_by_this_query","","The query tests public indexed co-mention only, not membership rosters or private contact.","ai_research_search_log","research_only","excluded_research_only"
