boundary_id,function_family,uso_status,uso_evidence,arc_status,arc_evidence,nmcrs_status,nmcrs_evidence,geographic_scope,relation_or_boundary,claim_status,source_receipt_ids,exact_locator,allowed_claim,prohibited_inference,review_status,package_scope,frontend_status,central_writeback,notes
W2B2-FB001,morale_connection_center_hospitality,direct,"Six centers, outreach, snacks, connectivity and morale programming.",partial_overlap,"Overseas care packages and wellness support are described, but not a USO-style center network.",not_observed_in_selected_official_scope,No comparable center-hospitality function listed on the Okinawa location page.,Okinawa and overseas military settings,overlap_with_distinct_delivery_models,observation_ai_seeded,W2B2-SR002;W2B2-SR010;W2B2-SR020;W2B2-SR022,USO program/location pages; Red Cross care packages; NMCRS available services,USO's distinctive observed infrastructure is a center/outreach network; Red Cross has narrower overlapping morale/wellness services.,Do not interpret unobserved functions as proof an organization never performs them.,ai_seeded,research_only,not_frontend_ready,no,
W2B2-FB002,transition_and_career_support,direct,Current USO menu includes Transitions and sponsor stories mention transition assistance.,direct_adjacent,Overseas career-enhancement health-profession training is described.,adjacent,"Education assistance and financial education are described, not the same transition program.",overseas military communities,adjacent_not_identical,observation_ai_seeded,W2B2-SR002;W2B2-SR020;W2B2-SR023,Program menus,All three can address transition-related needs through different instruments.,Do not collapse distinct programs into a shared organization or stable partnership.,ai_seeded,research_only,not_frontend_ready,no,
W2B2-FB003,emergency_communications_and_after_hours_access,not_observed_in_selected_official_scope,No emergency-family-communication role located in the selected USO materials.,direct,Emergency communications are a core Service to the Armed Forces function.,handoff_to_arc,The Okinawa office directs after-hours users to the Red Cross.,global and Okinawa,formal_after_hours_handoff,observation_ai_seeded,W2B2-SR020;W2B2-SR021;W2B2-SR022;W2B2-SR023,Emergency Communications and after-hours callouts,The Red Cross is the after-hours communication/access interface for NMCRS assistance.,Do not code USO as part of this handoff from co-location or common beneficiaries.,ai_seeded,research_only,not_frontend_ready,no,
W2B2-FB004,emergency_financial_assistance,not_observed_in_selected_official_scope,No direct emergency-loan/grant function located in selected USO sources.,direct_event,"The Okinawa Red Cross response reports more than USD 82,000 in Typhoon Khanun financial assistance.",direct,"Okinawa lists interest-free loans/grants, emergency travel and disaster relief.",Okinawa,overlap_with_different_funding_mechanisms,observation_ai_seeded,W2B2-SR020;W2B2-SR022;W2B2-SR023;W2B2-SR024,Typhoon example and NMCRS assistance menu,"Both Red Cross and NMCRS provide financial assistance, with different programs and funding provenance.",Do not treat the Red Cross aggregate as a grant to an Okinawan NGO or NMCRS money unless the liaison condition applies.,ai_seeded,research_only,not_frontend_ready,no,
W2B2-FB005,after_hours_nmcrs_financial_liaison,not_observed_in_selected_official_scope,No role observed.,delegated_after_hours_intake_and_disbursement,ARC acts as the non-business-hours intake/disbursement interface delegated by NMCRS.,delegating_program_and_fund_source,NMCRS delegates the after-hours intake/disbursement function to ARC; ARC acts on NMCRS's behalf using NMCRS funds.,Okinawa and global after-hours access,directed_nmcrs_to_arc_after_hours_intake_disbursement_delegation,official_source_supported_candidate_pending_principal,W2B2-SR022;W2B2-SR023;W2B2-SR024,NMCRS Okinawa after-hours callout and Get Help after-hours FAQ; corporate funding paragraph,NMCRS delegates after-hours intake/disbursement to ARC; ARC acts on NMCRS's behalf using NMCRS funds. Official sources support this candidate; principal review remains pending.,"Do not code the delegation as an interorganizational grant, joint grant, merger, affiliation or political alliance.",ai_seeded,research_only,not_frontend_ready,no,Status is official_source_supported_candidate_pending_principal; NMCRS also states it receives no Department of Defense funds.
W2B2-FB006,hospital_and_health_setting_support,episode,USO Foster delivered coffee/pastries to 104 military and Okinawa Nurses Association nurses.,direct_local_program,The Naval Hospital page says Red Cross manages the hospital volunteer program; overseas page describes hospital visitation.,not_observed_in_selected_official_scope,No Okinawa hospital program identified on the selected location page.,U.S. Naval Hospital Okinawa / Camp Foster,shared_setting_different_functions,observation_ai_seeded,W2B2-SR010;W2B2-SR020;W2B2-SR021;W2B2-SR031,USO Foster episode; Hospital Visitation; TRICARE page (archive blocked 403),USO and Red Cross appear in the same hospital setting through different bounded activities.,Shared setting is not an organizational relationship; the USO event is not the Red Cross volunteer program.,ai_seeded,research_only,not_frontend_ready,no,
W2B2-FB007,disaster_and_critical_event_support,not_observed_in_selected_official_scope,No disaster-relief function identified in selected USO materials.,direct,The Okinawa response distributed kits and financial assistance after Typhoon Khanun.,direct,Okinawa lists Disaster & Critical Event Relief.,Okinawa,parallel_functions_with_possible_after_hours_handoff,observation_ai_seeded,W2B2-SR020;W2B2-SR022;W2B2-SR023,Disaster Support and available services,Red Cross and NMCRS both have observed disaster-support functions.,Do not infer that they co-managed the Typhoon Khanun response without a source-specific relation.,ai_seeded,research_only,not_frontend_ready,no,
W2B2-FB008,financial_education_and_household_budgeting,not_observed_in_selected_official_scope,No household financial-education program identified in selected local menu.,not_observed_in_selected_official_scope,No matching financial-education program identified in selected overseas page.,direct,Budget for Baby and Money Ops are listed.,Okinawa / eligible Navy-Marine community,distinct_nmcrs_function,observation_ai_seeded,W2B2-SR022;W2B2-SR023,Available services and financial education section,Financial education is a distinct observed NMCRS function in this comparison.,Do not infer absence from organizations whose selected pages do not list the function.,ai_seeded,research_only,not_frontend_ready,no,
W2B2-FB009,care_packages_and_field_outreach,direct,"USO describes remote morale drops, care packages and unit support beyond centers.",direct,Red Cross describes care packages in the field and during exercises.,not_observed_in_selected_official_scope,No matching care-package function identified in selected Okinawa page.,Okinawa and overseas deployments,functional_overlap_no_relation,observation_ai_seeded,W2B2-SR010;W2B2-SR011;W2B2-SR020,USO outreach paragraphs; Red Cross Care Packages,USO and Red Cross overlap in field-care delivery functions.,"Functional overlap does not establish co-delivery, funding, shared personnel or alliance.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-FB010,okinawa_physical_presence,typed_network,"Six centers, AMC terminal presence and area office; outreach is separate.",official_subunit_prior_decision,Camp Foster main office and Naval Hospital satellite were principal-accepted from the official health page; direct archive remained blocked.,typed_offices,Camp Foster office with Camp Hansen nearby location.,Okinawa,co_location_and_separate_service_presence,observation_ai_seeded,W2B2-SR002;W2B2-SR022;W2B2-SR031,Current directories,The three organizations maintain distinguishable Okinawa service presences.,"Co-location on bases is background infrastructure, not a cross-organization bridge by itself.",ai_seeded,research_only,not_frontend_ready,no,
