source_id,source_type,title,year,url,what_it_supports,evidence_level,bias_note,review_status,notes,locator,support_scope,human_decision,review_task_id,human_reviewer,review_date,reviewed_fields,archive_resolution,decision_source_report,relation_or_claim_approved
S001,official_portal,沖縄県NPOプラザ,2026,https://www.pref.okinawa.jp/kurashikankyo/katsudo/1004889/1004890.html,official NPO information entry point,E4,NPO/legal-status bias; movement groups undercovered,ai_seeded,Use for legal-status layer.,,,,,,,,,,
S002,official_data,令和６年度 NPO等との協働実績調査,2026,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/004/917/2r6hp.pdf,administrative collaboration/resource-channel module,E4,Administrative collaboration bias; may miss contentious groups,ai_seeded,Good for R8 background.,,,,,,,,,,
S003,ngo_statement,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,2010,https://www.wwf.or.jp/activities/statement/3436.html,alliance network; environment-base linkage,E4,Signatory list does not prove stable alliance,ai_seeded,Use for coalition seed.,,,,,,,,,,
S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,2015,https://www.nacsj.or.jp/statement/50827/,Henoko environmental coalition; signatory actor seed,E4,Signatory list does not prove stable alliance,ai_seeded,Used to expand actor registry to 61.,,,,,,,,,,
S005,ngo_statement,Peace Boat statement on Henoko emergency NGO declaration,2015,https://peaceboat.org/3620.html,peace/environment/base issue bridge,E4,Organization framing source; not full network,human_revised,HR-002: source does not mention NGO非戦ネット and must not be used to support A008.,,,,,,,,,,
S006,international_advocacy,OEJP 71 organizations MMC request,2020,https://okinawaejp.blogspot.com/2020/07/,transnational advocacy; dugong; MMC,E4,Blog/project page but primary for OEJP action,ai_seeded,Core R11 source.,,,,,,,,,,
S007,academic_article,The Plight of the Okinawa Dugong,2020,https://apjjf.org/2020/16/yoshikawaoejp,OEJP; 71 groups; civil society report,E3,Interpretive article; verify actor details where possible,ai_seeded,Useful narrative source.,,,,,,,,,,
S008,local_news,ジュゴン保護 県内外71団体が米海洋哺乳類委員会に要請,2020,https://ryukyushimpo.jp/news/entry-1154960.html,local-news confirmation of 71-group MMC request,E3,News summary; may omit full list,ai_seeded,Confirms local visibility.,,,,,,,,,,
S009,legal_international,Earthjustice dugong litigation explainer,2014,https://earthjustice.org/article/fighting-to-protect-the-dugongs-of-japan-s-henoko-bay,legal/international route,E4,Advocacy organization source; verify legal details with case docs if central,human_revised,HR-001: do not use as A002 plaintiff evidence; supports litigation route and Save the Dugong Foundation distinction.,,,,,,,,,,
S010,local_news,与那国町住民投票 自衛隊配備 結果は「賛成」多数,2015,https://www.qab.co.jp/news/2015022363334.html,本次投票、187票差、报道对象人数、A014事件期名称和委员长身份；不支持成立/法人/持续性。,E2,News source; not full referendum archive,human_revised,"Use for event baseline. HR source-metadata review: 证据级别统一E2；事件期身份已确认。 Source inclusion does not approve actors, edges, alliances, funding, amounts, causality or policy effects.",发布日期；结果段；第35行委员会/上地国生；町长发言；无拘束力说明,本次投票、187票差、报道对象人数、A014事件期名称和委员长身份；不支持成立/法人/持续性。,revise,HR-022,project_principal_user,2026-07-20,title;source_type;year_or_period;locator;support_scope;evidence_level;archive_resolution,archived_verified,docs/human_review_return_HR022_metadata_batch33_v1.md,no
S011,local_news,与那国住民投票 陸自配備を容認　賛成632票、反対445票,2015,https://ryukyushimpo.jp/news/prentry-239307.html,新闻报道的投票结果、部署背景和具名争议内容；健康担忧不是已证实健康损害。,E3,News source; group details need follow-up,human_revised,"Includes health/electromagnetic concerns. HR source-metadata review: 补全含票数的新闻原题；町选管原始结果出现前不升E4。 Source inclusion does not approve actors, edges, alliances, funding, amounts, causality or policy effects.",2015-02-23页面标题、首段和健康担忧段,新闻报道的投票结果、部署背景和具名争议内容；健康担忧不是已证实健康损害。,revise,HR-022,project_principal_user,2026-07-20,title;source_type;year_or_period;locator;support_scope;evidence_level;archive_resolution,archived_verified,docs/human_review_return_HR022_metadata_batch28_v1.md,no
S012,official_defense,与那国駐屯地,n.d.; accessed 2026,https://www.mod.go.jp/gsdf/station/wa/yonaguni/,访问时页面列明的驻屯地、地址和部队/机构；不支持环境影响或当地反应。,E4,Official defense framing,human_revised,"Use for base facts. HR source-metadata review: 删除environment_deployment连接。 Source inclusion does not approve actors, edges, alliances, funding, amounts, causality or policy effects.",所在地；部隊・機関,访问时页面列明的驻屯地、地址和部队/机构；不支持环境影响或当地反应。,revise,HR-022,project_principal_user,2026-07-20,title;source_type;year_or_period;locator;support_scope;evidence_level;archive_resolution,archived_verified,docs/human_review_return_HR022_metadata_batch31_v1.md,no
S013,official_defense,令和4年版防衛白書 与那国と台湾,2022,https://www.mod.go.jp/j/press/wp/wp2022/html/nc014000.html,Yonaguni strategic location/security framing,E4,Official defense framing,ai_seeded,Use for official security frame.,,,,,,,,,,
S014,local_official,与那国町長期営農計画,2023,https://www.town.yonaguni.okinawa.jp/docs/2023102400019/file_contents/tyoukieinou.pdf,Yonaguni distance facts,E4,Local official planning document,ai_seeded,Distance facts.,,,,,,,,,,
S015,party_news,与那国に自衛隊いらない／配備反対の意見広告呼びかけ,2012,https://www.jcp.or.jp/akahata/aik12/2012-08-31/2012083115_02_1.html,党媒报道的2012意见广告、实行委员会名称、共同代表和直接请求背景；仅作event/organization lead。,E2,Party-media source; must cross-check,human_revised,"Use cautiously. HR source-metadata review: 不闭合A015独立身份或持续性。 Source inclusion does not approve actors, edges, alliances, funding, amounts, causality or policy effects.",2012-08-31；实行委员会成立、三名共同代表、意见广告行动及住民投票背景各段,党媒报道的2012意见广告、实行委员会名称、共同代表和直接请求背景；仅作event/organization lead。,revise,HR-022,project_principal_user,2026-07-20,title;source_type;year_or_period;locator;support_scope;evidence_level;archive_resolution,archived_verified,docs/human_review_return_HR022_metadata_batch31_v1.md,no
S016,local_news,石垣自衛隊配備 初の市民討論会,2016,https://ryukyushimpo.jp/news/entry-385092.html,Ishigaki opposing/supporting groups,E3,News source; actor details need source triangulation,ai_seeded,Names Ishigaki civic network.,,,,,,,,,,
S017,local_news,石垣陸自配備 市民が工事中止要請,2020,https://ryukyushimpo.jp/news/entry-1176922.html,Ishigaki environment/life-safety frame,E3,News source; not full campaign archive,ai_seeded,Groundwater/ecosystem/targetization.,,,,,,,,,,
S018,local_news,石垣市 住民投票条例案 市議会で否決,2019,https://www.qab.co.jp/news/20190202110874.html,Ishigaki referendum movement; A011 actor baseline,E3,News source; exact URL needs verification,ai_seeded,MT-003 resolved: QAB article directly reports Ishigaki city council rejection of the referendum ordinance.,,,,,,,,,,
S019,local_news,有効署名１万４千筆超　２０日に条例制定請求　住民投票、来月の議会で審議　石垣陸自配備,2018,https://www.yaeyama-nippo.co.jp/archives/4232,"报道的选管公告、署名活动、事件期组织名称和会长身份；14,263当时仍待最终确定。",E2,News source; exact URL needs verification,human_revised,"MT-003 resolved: Yaeyama Nippo reports 14263 valid signatures and direct request procedure. HR source-metadata review: 降E2；署名人数不是成员数。 Source inclusion does not approve actors, edges, alliances, funding, amounts, causality or policy effects.","2018-12-14；正文第1–4段；14,263、15,132、纵览/最终确定、直接请求计划和金城发言","报道的选管公告、署名活动、事件期组织名称和会长身份；14,263当时仍待最终确定。",revise,HR-022,project_principal_user,2026-07-20,title;source_type;year_or_period;locator;support_scope;evidence_level;archive_resolution,archived_verified,docs/human_review_return_HR022_metadata_batch33_v1.md,no
