relation_id,fiscal_year,period_start,period_end,public_actor,public_unit,partner_actor_id,partner_name,program_name,function_layer,relation_type,financial_status,amount_jpy,amount_basis,source_refs,evidence_level,review_status,interpretation_limit
R10A001,2019,2019-06,2020-03,JICA Okinawa,,X010,特定非営利活動法人沖縄NGOセンター,JICA教師海外研修（九州・沖縄）,international_cooperation,commission,confirmed_role_amount_not_public,,none_public,R10S03,E4,verified_primary,"Official report names ONC as contractor for the program/report but does not state contract amount."
R10A002,2019,2019-04-01,2020-03-31,Okinawa City,経済文化部文化芸能課,X010,特定非営利活動法人沖縄NGOセンター,コザインターナショナルプラザ運営,international_exchange_service,commission,documented_commission_payment_flow,17157000,municipal_funds_flow_commission_fee,R10S05,E4,verified_primary,"This is a municipal verification-sheet commission fee flow; it is not movement funding."
R10A003,2020,2020-04-01,2021-03-31,Okinawa City,経済文化部文化芸能課,X010,特定非営利活動法人沖縄NGOセンター,コザインターナショナルプラザ運営,international_exchange_service,commission,documented_commission_payment_flow,16970000,municipal_funds_flow_commission_fee,R10S06,E4,verified_primary,"Commission for operation of a public international-exchange facility."
R10A004,2024,2024-04-01,2025-03-31,Okinawa City,経済文化部文化芸能課,X010,特定非営利活動法人沖縄NGOセンター,コザインターナショナルプラザ運営,international_exchange_service,commission,documented_commission_payment_flow,16662000,municipal_funds_flow_commission_fee,R10S07,E4,verified_primary,"Municipal FY2024 sheet shows JPY16.662m as commission fee to ONC plus a separate JPY2.196m outside eligible costs; do not merge without accounting review."
R10A005,2024,2024-04-01,2025-03-31,Okinawa City,,X010,特定非営利活動法人沖縄NGOセンター,コザインターナショナルプラザ管理運営事業,international_exchange_service,commission,reported_project_cost,16040000,ONC_annual_report_project_cost,R10S02,E4,needs_human_review,"Same program as R10A004 but a different reporting basis and amount; project cost is not contract payment. Keep both observations until reconciled."
R10A006,2024,2024-07-04,2025-03-31,Okinawa Prefecture,文化観光スポーツ部交流推進課,X010,特定非営利活動法人沖縄NGOセンター,多文化共生社会の構築に関する万国津梁会議運営等支援業務委託,multicultural_coexistence,commission,whole_project_cost_not_payment,5140000,prefecture_collaboration_table_project_cost,R10S01,E4,needs_human_review,"Prefecture table proves the commission relation and total project-cost field; it does not by itself prove cash paid to ONC."
R10A007,2024,2024-04-01,2025-03-31,Okinawa Prefecture,,X010,特定非営利活動法人沖縄NGOセンター,多文化共生政策会議運営支援受託事業,multicultural_coexistence,commission,reported_project_cost,5530000,ONC_annual_report_project_cost,R10S02,E4,needs_human_review,"Same administrative program family as R10A006 but ONC reports JPY5.53m project cost; difference from JPY5.14m requires period/scope reconciliation."
R10A008,2024,2024-04-01,2025-03-31,Ministry of Foreign Affairs,NGO相談員制度,X010,特定非営利活動法人沖縄NGOセンター,NGO相談員（外務省委託）,NGO_consultation,commission,reported_project_cost,2894000,ONC_annual_report_project_cost,R10S02;R10S04,E4,needs_human_review,"MOFA designation and ONC self-reported project cost are confirmed; no contract award/payment instrument is in this package."
R10A009,2026,2026-04-01,2027-03-31,Ministry of Foreign Affairs,NGO相談員制度,X010,特定非営利活動法人沖縄NGOセンター,令和8年度NGO相談員,NGO_consultation,designated_role,confirmed_designation_no_amount,,none_public,R10S04,E4,verified_primary,"MOFA list confirms designation and service description only; it publishes no amount."
R10A010,2024,2024-05-16,2025-03-31,Okinawa Prefecture,知事公室基地対策課,A066,新外交イニシアティブ,在沖米軍基地問題に関するシンポジウム等開催業務,base_policy_public_information,administrative_collaboration,whole_project_cost_not_payment,12843000,prefecture_collaboration_table_project_cost,R10S01,E4,needs_human_review,"The official table confirms collaboration and whole project cost; it does not establish the amount transferred to A066 or movement funding."
