flow_id,source_actor_id_or_candidate,source_actor_name,target_actor_id_or_candidate,target_actor_name,amount,currency,amount_semantics,transaction_chain_id,flow_step_no,transaction_chain_note,fiscal_or_event_year,purpose,flow_type,recipient_type,official_or_org_record,url,locator,excerpt,source_date,evidence_level,claim_status,endpoint_status,interpretation_limit,observed_at,review_status,package_scope,frontend_eligibility
RF001,X006,KOSC,X004,AWWA,2580,USD,exact_reported,,,Direct one-step reported flow; no intermediary chain identified.,FY ending 2025-05,grant to American Womens Welfare Association,grant,organization,IRS-derived Schedule I,https://projects.propublica.org/nonprofits/full_text/202630129349300153/IRS990ScheduleI,"Schedule I Part II/III, AWWA entry","The schedule reports an AWWA entry of 2,580 dollars.",filed 2026-01-11; FY ending 2025-05,E4,candidate_primary_record,AWWA name crosswalk requires human confirmation,"Confirm the recipient crosswalk and filing-period semantics before adding this as a new dated flow. F025 remains a separate historical bounded relation.",2026-08-19,ai_seeded,research_only,excluded_research_only
RF002,X007,OESC,X004,AWWA,8479,USD,exact_reported,,,Direct one-step reported flow; no intermediary chain identified.,FY ending 2025-06,grants to tax-exempt organizations affiliated with the U.S. military community in Okinawa,grant,organization,IRS-derived Schedule I,https://projects.propublica.org/nonprofits/full_text/202513109349302911/IRS990ScheduleI,"Schedule I, AWWA entry","The schedule reports 8,479 dollars to AWWA.",FY ending 2025-06,E4,candidate_primary_record,named endpoint; human review pending,"The filing supports a candidate grant, not a claim about political influence or how the recipient used every dollar.",2026-08-19,ai_seeded,research_only,excluded_research_only
RF003,X006,KOSC,AGG_KOSC_SCHOLARSHIP,Fall 2024 scholarship recipients,33750,USD,aggregate_reported,,,Aggregate recipient category; individual transaction chain is not identified.,FY ending 2025-05,higher-education scholarships,scholarship_aggregate,individual aggregate,IRS-derived Schedule I,https://projects.propublica.org/nonprofits/full_text/202630129349300153/IRS990ScheduleI,"Schedule I Part III, Fall 2024 Scholarships","The schedule reports a 33,750-dollar scholarship aggregate.",filed 2026-01-11; FY ending 2025-05,E4,candidate_primary_record,"aggregate, no individual actorization",This is an aggregate scholarship line and must not be converted into organization-to-organization edges.,2026-08-19,ai_seeded,research_only,excluded_research_only
RF004,X006,KOSC,AGG_KADENA_MEMBERS,Kadena Air Base Air Force members,6700,USD,aggregate_reported,,,Aggregate assistance category; individual transaction chain is not identified.,FY ending 2025-05,assistance category as reported,grant_or_assistance_aggregate,individual aggregate,IRS-derived Schedule I,https://projects.propublica.org/nonprofits/full_text/202630129349300153/IRS990ScheduleI,"Schedule I Part III, Kadena Airbase Airforce Members","The schedule reports 6,700 dollars for a Kadena-member category.",filed 2026-01-11; FY ending 2025-05,E4,candidate_primary_record,aggregate label; exact program requires clarification,The label is not a named organization and cannot be drawn as a dyadic organization relation.,2026-08-19,ai_seeded,research_only,excluded_research_only
RF005,X005,NOSCO,AGG_NOSCO_SCHOLARSHIP,Ten scholarship pledges,20000,USD,pledge_commitment,,,Ten reported pledges are aggregated; individual recipients and payment completion are not identified.,FY ending 2025-06,scholarship pledges,scholarship_aggregate,individual aggregate,IRS-derived Schedule I,https://projects.propublica.org/nonprofits/full_text/202533199349301708/IRS990ScheduleI,"Schedule I, ten scholarship entries","Ten scholarship pledges total 20,000 dollars in the filing.",FY ending 2025-06,E4,candidate_primary_record,"aggregate, no individual actorization",Scholarship recipients are not organization nodes and the aggregate does not show a political relationship.,2026-08-19,ai_seeded,research_only,excluded_research_only
RF006,CAND_MTS,Marine Thrift Shop Okinawa,CAND_LIONS,Lions Clubs International intermediary,10000,USD,exact_reported,TC_MTS_LIONS_2024,1,"Step 1 Marine Thrift Shop→Lions is reported; Lions→final local institutions is not itemized, so no synthetic second step is created.",2024,medical and special-education needs of local children,donation_via_intermediary,organization intermediary / beneficiary class,MCIPAC/DVIDS public-affairs report,https://www.dvidshub.net/news/printable/465683,Donation ceremony and amount,"The story reports a 10,000-dollar donation routed through Lions Clubs.",2024-02-22,E4,candidate_military_public_affairs_record,intermediary named; final institutions not itemized,"A military public-affairs story is evidence of the reported transfer, not independent evidence of social acceptance or downstream outcomes.",2026-08-19,ai_seeded,research_only,excluded_research_only
RF007,CAND_MTS,Marine Thrift Shop Okinawa,AGG_2023_RECIPIENTS,American and Okinawan recipient aggregate,126000,USD,minimum_reported,,,Annual aggregate spans multiple recipients and may overlap named subtotals; no transaction chain is identified.,2023,combined community donations reported for 2023,annual_donation_aggregate,mixed aggregate,MCIPAC/DVIDS public-affairs report,https://www.dvidshub.net/news/printable/465683,Prior-year giving summary,"The story reports more than 126,000 dollars in 2023 giving.",2024-02-22; describes 2023,E4,candidate_military_public_affairs_record,aggregate only,The aggregate cannot be added to named grants without checking overlap; it is not a dyadic edge.,2026-08-19,ai_seeded,research_only,excluded_research_only
RF008,CAND_MTS,Marine Thrift Shop Okinawa,AGG_JAPANESE_COMMUNITY,Japanese community recipients,32606,USD,aggregate_reported,,,Reported subtotal may contain AWWA-mediated distributions; individual steps are not identified.,2023,Japanese-community donations,annual_donation_aggregate,aggregate,MCIPAC/DVIDS public-affairs report,https://www.dvidshub.net/news/printable/465683,Japanese-community giving subtotal,"The story gives a 32,606-dollar Japanese-community subtotal.",2024-02-22; describes 2023,E4,candidate_military_public_affairs_record,aggregate only,The subtotal may overlap AWWA-mediated distributions and cannot be decomposed without recipient records.,2026-08-19,ai_seeded,research_only,excluded_research_only
RF009,CAND_MTS,Marine Thrift Shop Okinawa,AGG_DODEA_PTO,DoDEA school PTO start-up recipients,13000,USD,aggregate_reported,,,Reported subtotal covers multiple PTO recipients; individual steps are not identified.,2023,PTO start-up funding,grant_aggregate,organization aggregate,MCIPAC/DVIDS public-affairs report,https://www.dvidshub.net/news/printable/465683,PTO start-up subtotal,"The account reports 13,000 dollars for PTO start-ups.",2024-02-22; describes 2023,E4,candidate_military_public_affairs_record,recipient organizations not itemized,Do not generate separate PTO edges until names and amounts are checked against the shop's grant records.,2026-08-19,ai_seeded,research_only,excluded_research_only
RF010,CAND_MTS,Marine Thrift Shop Okinawa,SMP,Single Marine Program tours,3000,USD,aggregate_reported,,,Direct program-support subtotal; no intermediary chain identified.,2023,program tours,program_support,installation program,MCIPAC/DVIDS public-affairs report,https://www.dvidshub.net/news/printable/465683,Program-support subtotal,"The account reports 3,000 dollars for Single Marine Program tours.",2024-02-22; describes 2023,E4,candidate_military_public_affairs_record,"program, not registry organization",This is support to a program and should remain separate from organization-to-organization funding.,2026-08-19,ai_seeded,research_only,excluded_research_only
