receipt_id,upstream_source_ref,title,publisher,source_type,url,publication_date,document_coverage_period,exact_locator,supports,source_relationship,evidence_level,source_review_status,archive_status,local_path,sha256,retrieval_date,source_limit,package_scope,frontend_eligibility,central_writeback
W2E-S001,new_W2E_frozen_source,資料群紹介：国際福祉相談所文書について,沖縄県公文書館,official_archive_journal,https://www.archives.pref.okinawa.jp/wp-content/uploads/744195554fd8a10a10b02ddfe5d4575d.pdf,2021-03,1955-1998 institutional history; 1972-1985 policy sequence,"PDF pp. 8, 10-12 (printed pp. 24, 26-28): 1972 governance shift; 1979 proposal; 1981 petition; 1983 hearing; 1984 Diet testimony; 1985 reform","International Welfare Consultation Office history, care-to-rights sequence, governance shift and closure context",official_primary_or_official_retrospective,E4,ai_seeded,local_frozen,outputs/us_presence_network_wave2_w2_e_v1/raw/okinawa_archives_journal_23_2021.pdf,b9d561632e2fd79f30e6b5072b0facfc688eed1f99861579ec32efe38df1d818,2026-08-22,"An official archive-journal reconstruction using the deposited collection; it supports sequence and holdings, not sole causality for the 1985 law reform.",research_only,not_frontend_ready,no
W2E-S002,new_W2E_frozen_source,沖縄の女性史 資料編（年表・人名資料）,沖縄県／おきなわ女性財団,official_prefectural_reference,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/039/818/17_shiryouhen_t.pdf,2026,postwar-2024 chronology,PDF p. 63 (printed p. 271) and p. 86 (printed p. 294): 1980 rename and 1998 closure/consultation-program handoff,Corroborates the 1980 legal rename and records the 1998 closure plus a functional consultation-program handoff,official_primary_or_official_retrospective,E4,ai_seeded,local_frozen,outputs/us_presence_network_wave2_w2_e_v1/raw/okinawa_womens_history_reference_2026.pdf,39eb8b3afe9d14779fb9108ebd09fd51a2592c34652f6d270e4154e6ddaa733c,2026-08-22,A retrospective chronology; the handoff of a consultation function is not automatic organizational succession.,research_only,not_frontend_ready,no
W2E-S003,new_W2E_frozen_source,国際福祉相談所文書,沖縄県公文書館,official_archive_collection_guide,https://www.archives.pref.okinawa.jp/okinawa_related/10752,2019-05-21; current page observed 2026-08-22,1958-1998,"Document overview; lines/HTML paragraphs describing 1972/1980 renames, 1979 proposal, holdings and closure","Collection scope, organization names, 1979 proposal and surviving primary-record families",official_primary_or_official_retrospective,E4,ai_seeded,local_frozen,outputs/us_presence_network_wave2_w2_e_v1/raw/international_welfare_consultation_archive_guide.html,18667919b69271bed815524e8eecf139fe555fb5de45025d1926279903824eab,2026-08-22,"The guide's wording that the proposal led to the 1985 reform is retrospective institutional attribution, not causal identification.",research_only,not_frontend_ready,no
W2E-S004,new_W2E_frozen_source,第101回国会 衆議院法務委員会 第12号,国立国会図書館 国会会議録検索システム,official_legislative_record,https://kokkai.ndl.go.jp/simple/detail?minId=110105206X01219840420,1984-04-20,1984 nationality-law deliberation,"Statements 54-57 and nearby lines: prior testimony, the 1979 Okinawa proposal and the role of Okinawa stateless-child cases in deliberation",Confirms that legislators explicitly referred to the 1979 proposal and consultation-office witnesses during nationality-law deliberation,official_primary_or_official_retrospective,E4,ai_seeded,local_frozen,outputs/us_presence_network_wave2_w2_e_v1/raw/diet_justice_committee_1984_04_20.html,c49fab2a25ac452e2d8fb8432153bd7e57f315951e2b3fb02dbd7b706ed0f4d2,2026-08-22,The record establishes entry and acknowledged relevance; it does not show that one office alone caused the final statute.,research_only,not_frontend_ready,no
W2E-S005,new_W2E_frozen_source,USCAR写真資料：琉米福祉協議会／婦人クラブ活動（1971）,沖縄県公文書館,official_archive_photo_catalog,https://www2.archives.pref.okinawa.jp/opa/SearchPics.aspx?cont_cd=A000022653,1971,1971 event captions,"Dated catalog captions for the Ryukyuan-American Welfare Council, affiliated clubs and welfare gifts",Pre-reversion umbrella/event structure used only to test AWWA genealogy claims,official_primary_or_official_retrospective,E4,ai_seeded,local_frozen,outputs/us_presence_network_wave2_w2_e_v1/raw/ryukyuan_american_welfare_council_1971_photo_record.html,3cd71b5b64dc05591c7540d211c303b224872ba5aad97222ad42c08243aa98b6,2026-08-22,A dated affiliation snapshot is not proof of predecessor/successor identity or uninterrupted club composition.,research_only,not_frontend_ready,no
W2E-S006,H2P-S16,Clinton Presidential Records: USMC Good Neighbor Efforts on Okinawa,U.S. National Archives / Clinton Presidential Library,official_archival_government_compilation,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2008/2008-0703-F/42-t-7585792-20080703f-003-007-2014.pdf,compiled 2000-07,1972 retrospective; 1992-2000 observations,Prior H2 transcription; current W2-E retrieval returned HTTP 403,"AWWA 1972 six-group retrospective, 1992-1999 aggregate giving and late-1999 Amer-Asian School material-contact lead",official_public_affairs_retrospective,E3,ai_seeded,remote_403_url_only,,,2026-08-22,Public-affairs compilation selected to display good-neighbor activity; the six-group retrospective conflicts with other five/seven-group descriptions.,research_only,not_frontend_ready,no
W2E-S007,H2P-S11,平田正代と戦後沖縄の国際福祉（IMADR public-history essay）,反差別国際運動（IMADR）,scholarly_public_history_essay,https://imadr.net/newsletter/no-217/p2/,2024,1958-1998,Passages on the 1979 proposal and the reported 1997 base-responsibility statement,Biographical reconstruction of care-to-rights translation and a late-stage explicit base-responsibility claim,secondary_reconstruction,E3,ai_seeded,url_only_prior_package,,,2026-07-20,Underlying speech/proposal should be located before quotation or report-level generalization.,research_only,not_frontend_ready,no
W2E-S008,S072,DVIDS American Women's Welfare Association celebrates 40 years,,military_news,https://www.dvidshub.net/news/87854/american-womens-welfare-association-celebrates-40-years,2012,2012,Full article,AWWA 40-year/1972 retrospective and five-club description,central_source_reuse,E3,ai_seeded,archived,source_docs\source_archive\S072\raw.html,51cb6b05cae8bdf8234c8a88e6c3acda85385579d354fb371c7b28f141cc8ade,2026-07-11,Source admission/review does not by itself approve the historical interpretation in this package.,research_only,not_frontend_ready,no
W2E-S009,S039,基地・軍隊を許さない行動する女たちの会 結成（Akibayashi）,,academic_article,https://www2.kobe-u.ac.jp/~alexroni/TR%202013%20readings/2013_3/05_73-85%20Akibayashi.pdf,1995,1995,Article discussion of group formation,A049 post-1995 formation and activity,central_source_reuse,E3,ai_seeded,archived,source_docs\source_archive\S039\raw.pdf,171b9b80804c9abba52d3ca57d782ec5309bbdcf3cd363e337ab99c749c26c62,2026-07-11,Source admission/review does not by itself approve the historical interpretation in this package.,research_only,not_frontend_ready,no
W2E-S010,S155,嘉手納基地爆音差止訴訟原告団 訴訟の歴史,,organization_history,https://kadena-bakuon.jp/trial/history/,2026,2026,Official history page; archive attempt is 403,A052 plaintiff-group history from first 1982 suit onward,central_source_reuse,E4,human_checked,failed,,,2026-07-13,Source admission/review does not by itself approve the historical interpretation in this package.,research_only,not_frontend_ready,no
W2E-S011,S201,琉球新報―女団協、米軍性暴力を巡る県民大会を呼び掛け,,local_news,https://ryukyushimpo.jp/national/entry-3299439.html,2024,2024,Article history section,A111 organizational history and dated base-related women's mobilization,central_source_reuse,E4,human_checked,archived,source_docs\source_archive\S201\raw.html,35d6cb070f73317609c1793b18f1c66c79463636d9d3d2628b2c5a201475fac0,2026-07-13,Source admission/review does not by itself approve the historical interpretation in this package.,research_only,not_frontend_ready,no
W2E-S012,S042,名護市民投票 基地建設反対が多数,,local_official,https://www.city.nago.okinawa.jp/kurashi/2018071900226/,1997,1997,1997 entries,1997 Nago referendum chronology and post-result executive action,central_source_reuse,E4,ai_seeded,archived,source_docs\source_archive\S042\raw.html,f9c44b1d7e98353f0d22d04b7a3ae362e32dc653ade7f873e64e59e0a1335257,2026-07-11,Source admission/review does not by itself approve the historical interpretation in this package.,research_only,not_frontend_ready,no
W2E-S013,S172,名護市における米軍のヘリポート基地建設の是非を問う市民投票結果（1997年12月21日執行）,,local_official,https://www.city.nago.okinawa.jp/kurashi/2018071901216/file_contents/19971221simintouhyou.xls,1997,1997,市民投票 sheet C1:O15,1997 Nago official vote date and totals,central_source_reuse,E4,human_revised,archived,source_docs\source_archive\S172\raw.xls,07ac1d864da150564a46ab9a5f05c130ac9b95c5e9e9b89f47c385a2286c69b4,2026-07-13,Source admission/review does not by itself approve the historical interpretation in this package.,research_only,not_frontend_ready,no
W2E-S014,S192,沖縄の米軍基地（平成15年3月）第13章「基地問題の沿革」,,prefectural_official,https://www.pref.okinawa.jp/kititaisaku/DP-08-13.pdf,2003,2003,PDF pp. 44-47 / printed pp. 671-674,"1997 Nago direct request, signatures, ordinance and vote chronology",central_source_reuse,E4,human_revised,archived,source_docs\source_archive\S192\raw.pdf,c0bec866eeb74bf4f464cde2c841e768474d599677f6b4a315ea255666c40ec2,2026-07-13,Source admission/review does not by itself approve the historical interpretation in this package.,research_only,not_frontend_ready,no
