edge_id,selection_frame_id,mapping_rule_id,source_actor_id,target_actor_id,original_relation_type,original_review_status,original_claim_status,original_graph_eligibility,proposed_usn_table_id,proposed_table_name,proposed_record_family,mapping_review_status,mapping_decision,fact_status_carry_rule,amount_gate,endpoint_gate,network_gate,source_refs,interpretation_limit,approved_record_family
F001,USF-EXISTING43-2026-08-19,USN-RT-R01,X002,X001,donation,ai_seeded,,,USN02,money_flows,direct_resource_transfer,human_checked,accept,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,relation_may_stand;amount_remains_unknown;do_not_impute_from_notes,registry_actor_endpoint_or_existing_label;identity_status_unchanged,money_layer_only_after_direction_and_semantics_review,X002,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding.",direct_resource_transfer
F002,USF-EXISTING43-2026-08-19,USN-RT-R01,X003,X001,sponsorship,human_checked,,,USN02,money_flows,sponsorship_resource_flow,human_checked,accept,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,relation_may_stand;amount_remains_unknown;do_not_impute_from_notes,registry_actor_endpoint_or_existing_label;identity_status_unchanged,money_layer_only_after_direction_and_semantics_review,S097;S098,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding.",sponsorship_resource_flow
F003,USF-EXISTING43-2026-08-19,USN-RT-R04,X001,P006,site_presence,ai_seeded,,,USN06,action_institution,service_site_presence,human_checked,accept,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,typed_non_actor_endpoint;never_promote_for_graph_convenience,retain_case_event_program_or_place_node;no_co_participant_dyad,X001,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding.",service_site_presence
F004,USF-EXISTING43-2026-08-19,USN-RT-R04,X001,P007,site_presence,ai_seeded,,,USN06,action_institution,service_site_presence,human_checked,accept,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,typed_non_actor_endpoint;never_promote_for_graph_convenience,retain_case_event_program_or_place_node;no_co_participant_dyad,X001,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding.",service_site_presence
F005,USF-EXISTING43-2026-08-19,USN-RT-R04,X001,P005,site_presence,ai_seeded,,,USN06,action_institution,service_site_presence,human_checked,accept,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,typed_non_actor_endpoint;never_promote_for_graph_convenience,retain_case_event_program_or_place_node;no_co_participant_dyad,X001,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding.",service_site_presence
F006,USF-EXISTING43-2026-08-19,USN-RT-R03,X004,X005,network_membership,human_checked,supported,dyadic_relation,USN05,affiliation_control,umbrella_membership,human_checked,accept,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,registry_actor_endpoint_or_existing_label;identity_status_unchanged,affiliation_layer;membership_not_control_or_funding,S041;S055;S072,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding.",umbrella_membership
F007,USF-EXISTING43-2026-08-19,USN-RT-R03,X004,X006,network_membership,human_checked,supported,dyadic_relation,USN05,affiliation_control,umbrella_membership,human_checked,accept,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,registry_actor_endpoint_or_existing_label;identity_status_unchanged,affiliation_layer;membership_not_control_or_funding,S041;S055;S072;S075,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding.",umbrella_membership
F008,USF-EXISTING43-2026-08-19,USN-RT-R06,X004,X007,deprecated_nonrelation,rejected,,,EXCLUDE,history_only,rejected_duplicate,human_checked,accept,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,history_only,excluded,S041;S055,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding.",rejected_duplicate
F009,USF-EXISTING43-2026-08-19,USN-RT-R04,X008,P007,service,ai_seeded,,,USN06,action_institution,service_site_presence,human_checked,accept,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,typed_non_actor_endpoint;never_promote_for_graph_convenience,retain_case_event_program_or_place_node;no_co_participant_dyad,X008,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding.",service_site_presence
F010,USF-EXISTING43-2026-08-19,USN-RT-R04,X009,P007,service,ai_seeded,,,USN06,action_institution,service_site_presence,human_checked,accept,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,typed_non_actor_endpoint;never_promote_for_graph_convenience,retain_case_event_program_or_place_node;no_co_participant_dyad,X009,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding.",service_site_presence
