task_id,queue_id,object_type,participant_keys,event_ids,source_names,candidate_actor_id,candidate_match,source_refs,source_locator,review_question,impact_if_accept,impact_if_revise,impact_if_reject,decision,human_reviewer,review_date,decision_note,approved_formulation,scope_boundary,decision_source_report
HR-020,HR020-01,source_name_identity_or_segmentation,EV2020_OEJP_MMC_71:P012,EV2020_OEJP_MMC_71,All Okinawa Council for Human Rights (AOCHR),A054,2020 AOCHR 对应 A054 沖縄人権協会,S006,"MMC letter pp. 5-7, participant 12",英文 AOCHR 是否确为 registry A054，而非另一个全冲绳人权团体？,把该参与行连接到 A054；若 A054 另有跨事件行，重复参与计数随之更新。,按人审给出的其他 actor 或规范名连接，并记录修订依据。,保留为 event-only name，不进入 registry actor 桥梁。,revise,项目负责人,2026-07-20,AOCHR 是 沖縄国際人権法研究会，不是 A054 沖縄人権協会 | 边界：仅决定名单名称同一性、别名、组织层级或切分；source_name 原样保留；event-only 不自动入 registry，跨年同名不证明联盟或逐年连续。,AOCHR 是 沖縄国際人権法研究会，不是 A054 沖縄人権協会,仅决定名单名称同一性、别名、组织层级或切分；source_name 原样保留；event-only 不自动入 registry，跨年同名不证明联盟或逐年连续。,docs/human_review_return_HR020_names_batch34A_v1.md
HR-020,HR020-02,source_name_identity_or_segmentation,EV2020_OEJP_MMC_71:P044,EV2020_OEJP_MMC_71,Anti-war Network,A008,2020 Anti-war Network 对应 A008 NGO非戦ネット,S006;S064;S065;S066;S067,"MMC letter pp. 5-7, participant 44; A008 existing sources",通用英文名 Anti-war Network 是否足以对应 A008 NGO非戦ネット？,把参与行连接到 A008；不得恢复 S005 对 A008 的旧误配。,按核实到的正式英文名或另一个主体修订。,保留为 event-only name；A008 不获得 2020 参与关系。,revise,项目负责人,2026-07-20,Anti-war Network 是爱知／名古屋的 不戦へのネットワーク，不是 A008 NGO非戦ネット | 边界：仅决定名单名称同一性、别名、组织层级或切分；source_name 原样保留；event-only 不自动入 registry，跨年同名不证明联盟或逐年连续。,Anti-war Network 是爱知／名古屋的 不戦へのネットワーク，不是 A008 NGO非戦ネット,仅决定名单名称同一性、别名、组织层级或切分；source_name 原样保留；event-only 不自动入 registry，跨年同名不证明联盟或逐年连续。,docs/human_review_return_HR020_names_batch34A_v1.md
HR-020,HR020-03,source_name_identity_or_segmentation,EV2020_OEJP_MMC_71:P068,EV2020_OEJP_MMC_71,The Association for Military Base Free Peaceful Okinawa,A072,2020 基地撤去和平组织英文名对应 A072,S006;S031,"MMC letter pp. 5-7, participant 68; registry A072 source S031",The Association for Military Base Free Peaceful Okinawa 是否确为 A072？,把参与行连接到 A072，并仅解释为一次请求参与。,连接到人审核定的其他主体或规范名。,保留为 event-only name。,revise,项目负责人,2026-07-20,对应 基地のない平和で豊かな沖縄をめざす会・大阪，不是已判定退役的 A072 | 边界：仅决定名单名称同一性、别名、组织层级或切分；source_name 原样保留；event-only 不自动入 registry，跨年同名不证明联盟或逐年连续。,对应 基地のない平和で豊かな沖縄をめざす会・大阪，不是已判定退役的 A072,仅决定名单名称同一性、别名、组织层级或切分；source_name 原样保留；event-only 不自动入 registry，跨年同名不证明联盟或逐年连续。,docs/human_review_return_HR020_names_batch34A_v1.md
HR-020,HR020-04,source_name_identity_or_segmentation,EV2020_OEJP_MMC_71:P051,EV2020_OEJP_MMC_71,Henoko ni kichi wo Zettai Tsukurasenai Osaka Kodo,A110,2020 大阪行动罗马字名对应 A110,S006;S153;S154,"MMC letter pp. 5-7, participant 51; A110 organization sources",Henoko ni kichi wo Zettai Tsukurasenai Osaka Kodo 是否为 A110 的罗马字署名？,连接 A110；证明2020请求参与，不证明与其他签署者有稳定联盟。,按人审结果修订为其他主体或规范罗马字别名。,保留为 event-only name；A110 不获得该事件关系。,accept,项目负责人,2026-07-20,罗马字逐词对应 A110 辺野古に基地を絶対つくらせない大阪行動 | 边界：仅决定名单名称同一性、别名、组织层级或切分；source_name 原样保留；event-only 不自动入 registry，跨年同名不证明联盟或逐年连续。,罗马字逐词对应 A110 辺野古に基地を絶対つくらせない大阪行動,仅决定名单名称同一性、别名、组织层级或切分；source_name 原样保留；event-only 不自动入 registry，跨年同名不证明联盟或逐年连续。,docs/human_review_return_HR020_names_batch34A_v1.md
HR-020,HR020-05,source_name_identity_or_segmentation,EV2020_OEJP_MMC_71:P065,EV2020_OEJP_MMC_71,Stop! Henoko Reclamation Campaign,A106,2020 Stop! Henoko Reclamation Campaign 对应 A106,S006;S126;S127,"MMC letter pp. 5-7, participant 65; A106 organization sources",Stop! Henoko Reclamation Campaign 是否为 A106 首都圏キャンペーン／連絡会的英文署名？,连接 A106；不解决 A106 当前 canonical variant 的另一个待定问题。,按人审给出的英文名、组织层级或其他 actor 修订。,保留为 event-only name。,revise,项目负责人,2026-07-20,对应 Stop!辺野古埋め立てキャンペーン，不是 A106 首都圏連絡会 | 边界：仅决定名单名称同一性、别名、组织层级或切分；source_name 原样保留；event-only 不自动入 registry，跨年同名不证明联盟或逐年连续。,对应 Stop!辺野古埋め立てキャンペーン，不是 A106 首都圏連絡会,仅决定名单名称同一性、别名、组织层级或切分；source_name 原样保留；event-only 不自动入 registry，跨年同名不证明联盟或逐年连续。,docs/human_review_return_HR020_names_batch34A_v1.md
HR-020,HR020-06,source_name_identity_or_segmentation,EV2010_WWF_67:P060;EV2010_WWF_67:P061,EV2010_WWF_67,憲法ひろば・杉並;福岡地区合同労働組合,,2010 名单缺分隔符的两组织切分,S003;R5S004,S003 raw.html line 438; WBSJ mirror 賛同団体 paragraph,标称67团体但逗号切分仅66项；“憲法ひろば・杉並福岡地区合同労働組合”是否应切成两个组织？,保留两行，2010结构化总数与来源声明67一致。,按人审提供的正确边界或正式名修订两行。,合并为一个 source-literal 名称；结构化可辨名称降为66，并保留来源自称67的差异。,accept,项目负责人,2026-07-20,缺失分隔符，应切为两个独立组织，保持 67 行 | 边界：仅决定名单名称同一性、别名、组织层级或切分；source_name 原样保留；event-only 不自动入 registry，跨年同名不证明联盟或逐年连续。,缺失分隔符，应切为两个独立组织，保持 67 行,仅决定名单名称同一性、别名、组织层级或切分；source_name 原样保留；event-only 不自动入 registry，跨年同名不证明联盟或逐年连续。,docs/human_review_return_HR020_names_batch34A_v1.md
HR-020,HR020-07,source_name_identity_or_segmentation,EV2010_WWF_67:P010;EV2020_OEJP_MMC_71:P019,EV2010_WWF_67;EV2020_OEJP_MMC_71,ヘリ基地いらない二見以北十区の会;No Heliport Base Association of 10 Districts North of Futamai,,二見以北十区组织的日英跨事件对应,S003;S006,S003 signatory paragraph; MMC letter participant 19,2010“ヘリ基地いらない二見以北十区の会”与2020英文名是否为同一组织？,合并为一个 event-only bridge，进入2010/2020重复参与表。,按核实到的正式名、英文别名或组织沿革修订。,两行保持独立 event-only names。,accept,项目负责人,2026-07-20,2010 日文名与 2020 英文名是同一二见以北十区组织 | 边界：仅决定名单名称同一性、别名、组织层级或切分；source_name 原样保留；event-only 不自动入 registry，跨年同名不证明联盟或逐年连续。,2010 日文名与 2020 英文名是同一二见以北十区组织,仅决定名单名称同一性、别名、组织层级或切分；source_name 原样保留；event-only 不自动入 registry，跨年同名不证明联盟或逐年连续。,docs/human_review_return_HR020_names_batch34A_v1.md
HR-020,HR020-08,source_name_identity_or_segmentation,EV2010_WWF_67:P013;EV2020_OEJP_MMC_71:P009,EV2010_WWF_67;EV2020_OEJP_MMC_71,北限のジュゴンを見守る会;Protect Northernmost Dugong Team Zan,,北限儒艮组织的日英跨事件对应,S003;S006,S003 signatory paragraph; MMC letter participant 9,2010“北限のジュゴンを見守る会”与2020 Protect Northernmost Dugong Team Zan 是否同一组织？,合并为一个 event-only bridge，进入2010/2020重复参与表。,按人审给出的组织名或沿革关系修订。,两行保持独立。,revise,项目负责人,2026-07-20,2020 英文名指现场调查队 北限のジュゴン調査チーム・ザン；与 2010 母体有关联但不是严格别名 | 边界：仅决定名单名称同一性、别名、组织层级或切分；source_name 原样保留；event-only 不自动入 registry，跨年同名不证明联盟或逐年连续。,2020 英文名指现场调查队 北限のジュゴン調査チーム・ザン；与 2010 母体有关联但不是严格别名,仅决定名单名称同一性、别名、组织层级或切分；source_name 原样保留；event-only 不自动入 registry，跨年同名不证明联盟或逐年连续。,docs/human_review_return_HR020_names_batch34A_v1.md
HR-020,HR020-09,source_name_identity_or_segmentation,EV2010_WWF_67:P022;EV2020_OEJP_MMC_71:P035,EV2010_WWF_67;EV2020_OEJP_MMC_71,環瀬戸内海会議;Pan-Seto Inland Sea Congress,,環瀬戸内海会議的日英跨事件对应,S003;S006,S003 signatory paragraph; MMC letter participant 35,Pan-Seto Inland Sea Congress 是否为環瀬戸内海会議的英文名？,合并为2010/2020 event-only bridge。,按核实到的正式英文名或继承关系修订。,两行保持独立。,accept,项目负责人,2026-07-20,Pan-Seto Inland Sea Congress 是環瀬戸内海会議自用英文名 | 边界：仅决定名单名称同一性、别名、组织层级或切分；source_name 原样保留；event-only 不自动入 registry，跨年同名不证明联盟或逐年连续。,Pan-Seto Inland Sea Congress 是環瀬戸内海会議自用英文名,仅决定名单名称同一性、别名、组织层级或切分；source_name 原样保留；event-only 不自动入 registry，跨年同名不证明联盟或逐年连续。,docs/human_review_return_HR020_names_batch34B_v1.md
HR-020,HR020-10,source_name_identity_or_segmentation,EV2010_WWF_67:P032;EV2020_OEJP_MMC_71:P029,EV2010_WWF_67;EV2020_OEJP_MMC_71,海の生き物を守る会;Association for Conservation of Marine Communities,,海洋生物保护组织的日英跨事件对应,S003;S006,S003 signatory paragraph; MMC letter participant 29,Association for Conservation of Marine Communities 是否对应2010“海の生き物を守る会”？,合并为2010/2020 event-only bridge。,按人审确认的其他日文名修订。,两行保持独立。,accept,项目负责人,2026-07-20,2020 日英同序号确认同一组织；来源英文误用 Conservation，官方英文为 Protection | 边界：仅决定名单名称同一性、别名、组织层级或切分；source_name 原样保留；event-only 不自动入 registry，跨年同名不证明联盟或逐年连续。,2020 日英同序号确认同一组织；来源英文误用 Conservation，官方英文为 Protection,仅决定名单名称同一性、别名、组织层级或切分；source_name 原样保留；event-only 不自动入 registry，跨年同名不证明联盟或逐年连续。,docs/human_review_return_HR020_names_batch34B_v1.md
