source_id,authority,title,url,accessed_on,supports_request_ids,key_procedural_fact,archive_status
IDR-SR001,Washington Headquarters Services,Submit Request,https://www.esd.whs.mil/FOID/Submit-Request/,2026-08-22,IDR-USN-01,"WHS PAL preferred; FOIA.gov/mail/fax alternatives; full contact details and a dollar fee cap required",official_url_logged
IDR-SR002,Washington Headquarters Services,PAL Application,https://pal.whs.mil/,2026-08-22,IDR-USN-01,Electronic WHS request portal,official_url_logged
IDR-SR003,U.S. Department of Justice,FOIA.gov,https://www.foia.gov/,2026-08-22,IDR-USN-01,Central federal fallback portal and agency locator,official_url_logged
IDR-SR004,USAspending.gov,Award ASST_NON_HQ00342310002_097,https://www.usaspending.gov/award/ASST_NON_HQ00342310002_097,2026-08-22,IDR-USN-01,"Identifies WHS as awarding/funding office and USO as prime recipient",reuses_frozen_project_artifact
IDR-SR005,Headquarters U.S. Marine Corps,USMC FOIA,https://www.foia.marines.mil/,2026-08-22,IDR-USN-02,"FOIA covers Marine Corps records and is available regardless of requester nationality",official_url_logged
IDR-SR006,Marine Corps Installations Pacific,MCIPAC FOIA,https://www.mcipac.marines.mil/Staff-and-Sections/Special-Staff/Office-of-the-Staff-Judge-Advocate/FOIA/,2026-08-22,IDR-USN-02,"SecureRelease routing and required requester/fee fields; formal requests not by email",official_url_logged
IDR-SR007,U.S. Marine Corps,MCCS Policy Manual,https://www.marines.mil/portals/1/MCO%20P1700.27B%20W%20CH%201.pdf,2026-08-22,IDR-USN-02,"Central financial system; standard cost centers; installation balance sheet and profit/loss reports",official_url_logged
IDR-SR008,U.S. Marine Corps,MCCS Financial Management Procedures,https://www.marines.mil/Portals/1/Publications/MCO%207010.19%20W%20CH%201.pdf,2026-08-22,IDR-USN-02,"Annual audit and headquarters consolidated reporting requirements",official_url_logged
IDR-SR009,U.S. Marine Corps,FY2023 Agency Financial Report,https://www.pandr.marines.mil/Portals/136/Docs/Financial%20Reports/2023_USMC%20AFR_FINAL_022324.pdf,2026-08-22,IDR-USN-02,"MCCS NAFIs are separately governed and audited; nationwide APF support is not an Okinawa allocation",official_url_logged
IDR-SR010,沖縄防衛局,情報公開制度,https://www.mod.go.jp/rdb/okinawa/procedure/disclosure/,2026-08-22,IDR-USN-03,"Official form; Okinawa Defense Bureau information desk and contact details",official_url_logged
IDR-SR011,防衛省,情報公開に関するQ&A,https://www.mod.go.jp/j/presiding/joho/q_a.html,2026-08-22,IDR-USN-03,"Postal/counter filing; no phone/fax/email filing; JPY300 per document unit; department-year counting; 30-day decision norm",official_url_logged
IDR-SR012,沖縄防衛局,入札・契約情報,https://www.mod.go.jp/rdb/okinawa/contract/index.html,2026-08-22,IDR-USN-03,"Contract Division and Accounting Division functions and public procurement routes",official_url_logged
IDR-SR013,沖縄防衛局,沖縄防衛局とは・業務内容,https://www.mod.go.jp/rdb/okinawa/about/information/,2026-08-22,IDR-USN-03,"Accounting Division handles budget and final accounts; organization identifies likely custodians",official_url_logged
IDR-SR014,沖縄防衛局,行政文書開示請求書記載例,https://www.mod.go.jp/rdb/okinawa/procedure/disclosure/file/youshiki_kisairei.pdf,2026-08-22,IDR-USN-03,"Official addressee and form fields; one request per document in principle",official_url_logged
