source_key,actor_id,actor_name,source_url,source_title,source_date,source_type,evidence_level,identity_support,direct_issue_support,locator,explanation_limit,accessed_on
EA-S001,A076,ジュゴン保護基金委員会（Save the Dugong Foundation）,https://earthjustice.org/press/2003/us-japanese-conservation-groups-join-in-legal-effort-to-save-okinawa-dugong-from-extinction,US & Japanese Conservation Groups Join in Legal Effort to Save Okinawa Dugong from Extinction,2003-09-25,legal_advocacy_primary,E4,yes_named_party,yes_case_specific,"paras/lines 81–100: lawsuit object, Henoko relocation, plaintiff list and Save the Dugong Foundation quote",Plaintiff role is case-specific; it does not prove continuing organizational activity after the litigation.,2026-07-13
EA-S002,A076,ジュゴン保護基金委員会（Save the Dugong Foundation）,https://www.govinfo.gov/content/pkg/USCOURTS-cand-3_03-cv-04350/pdf/USCOURTS-cand-3_03-cv-04350-16.pdf,Okinawa Dugong v. Rumsfeld federal court record,2003–2018,court_record,E4,yes_caption,yes_case_specific,caption and procedural history for C-03-4350,Use only for named-party/legal-role facts; scanned pagination should be pinpointed before quotation.,2026-07-13
EA-S003,A076,ジュゴン保護基金委員会（Save the Dugong Foundation）,https://ryukyushimpo.jp/okinawa-dic/prentry-41677.html,琉球新報 沖縄用語辞典：ジュゴン保護基金委員会,n.d.,local_newspaper_reference,E3,yes_secondary,yes_background,entry states 1999 formation after Henoko became a relocation candidate and a dugong-protection/ecological-survey purpose,Secondary reference; legal status and continuity still need local or organizational records.,2026-07-13
EA-S004,A086,Turtle Island Restoration Network,https://seaturtles.org/wp-content/uploads/2025/01/TIRN-6.30.2024-Public-Disclosure-Copy-2.pdf,Turtle Island Restoration Network Form 990 public disclosure,FY2023,organization_financial_filing,E4,yes,mission_only,Form 990 Part III: marine-wildlife/ocean mission and advocacy programs,"Establishes organizational identity and general marine mission, not the Okinawa case by itself.",2026-07-13
EA-S005,A086,Turtle Island Restoration Network,https://earthjustice.org/press/2003/us-japanese-conservation-groups-join-in-legal-effort-to-save-okinawa-dugong-from-extinction,US & Japanese Conservation Groups Join in Legal Effort to Save Okinawa Dugong from Extinction,2003-09-25,legal_advocacy_primary,E4,yes_named_party,yes_case_specific,paras/lines 81–100: TIRN listed as a U.S. plaintiff; suit concerns dugong habitat and the Henoko relocation plan,Case participation is not a stable alliance and does not establish a continuing Okinawa program.,2026-07-13
EA-S006,A086,Turtle Island Restoration Network,https://seaturtles.org/wp-content/uploads/2019/01/19-01-02-OPENING-BRIEF.pdf,"Opening Brief, Center for Biological Diversity et al. v. Esper",2019-01-02,party_legal_filing,E4,yes_named_party,yes_case_specific,caption and statement of the case,Use as litigation evidence only; do not infer broader political stance.,2026-07-13
EA-S007,A087,NPO法人世界版「平和の礎」を提案する会,https://www.npo-homepage.go.jp/npoportal/gyosei-print/047006834,NPO法人世界版「平和の礎」を提案する会 行政入力情報,2025-01-29 update,official_npo_portal,E4,yes,yes_statutory_purpose,"registered purpose: world peace, international cooperation/understanding, abolition of war and nuclear weapons","Statutory purpose supports positioning, not proof of every planned activity being implemented.",2026-07-13
EA-S008,A087,NPO法人世界版「平和の礎」を提案する会,https://www.ishiji.org/about,概要｜世界版「平和の礎」を提案する会,2025-02-15 update,organization_site,E4,yes,yes_positioning,"sections 1–3: worldwide memorial proposal, war/nuclear abolition, lasting peace and international joint work",Organization-authored framing; distinguish aspiration from completed international participation.,2026-07-13
EA-S009,A088,特定非営利活動法人沖縄平和協力センター,https://www.npo-homepage.go.jp/npoportal/list?fiscal_year_end_first=&fiscal_year_end_second=&fiscal_year_start_first=&fiscal_year_start_second=&goc%5B0%5D=000&order=desc&page=260&sort=gov_code,NPO法人ポータル：沖縄平和協力センター,2025-07-28 update,official_npo_portal,E4,yes,no,entity row and 2002-10-17 certification,Identity only; use activity sources for actor–issue edges.,2026-07-13
EA-S010,A088,特定非営利活動法人沖縄平和協力センター,https://www.jica.go.jp/domestic/okinawa/activities/kaihatsu/festival/2022/organization_02/08.html,特定非営利活動法人 沖縄平和協力センター（OPAC）,2022,official_jica_partner_page,E4,yes,yes_positioning,"organization profile: peace/security think tank, international peace cooperation, training, overseas technical support",Administrative/international-cooperation node; do not recode as anti-base or movement funding.,2026-07-13
