source_row_uid,source_id,source_title,fiscal_year,source_row_number,pdf_page,department_source_text,department_display_machine,office_source_text,office_display_machine,official_mechanism_code,official_mechanism_label,official_mechanism_definition,mechanism_analytical_family,official_issue_field_code,official_issue_field_label,program_name_source_text,program_name_display_machine,program_description_source_text,partner_kind_code,partner_kind_label,partner_name_source_text,partner_name_display_alias_machine,partner_display_label_id,partner_cell_scope,period_source_text,project_cost_thousand_jpy_source_text,project_cost_thousand_jpy_numeric,project_cost_presence,planning主体_source_text,implementation主体_source_text,r10_purposive_sample_status,r10_purposive_relation_id,r10_purposive_amount_id,identity_crosswalk_status,relation_edge_status,amount_semantics,interpretation_limit
S002-R0001,S002,令和6年度「NPO等との協働実績調査」,2024,1,1,知事公室,知事公室,基地対策課,基地対策課,2,提案型公募による委託,提案型公募による委託,proposal_based_delegated_program,10,人権の擁護又は平和の推進を図る事業,在沖米軍基地問題に 関するシンポジウム等 開催業務,在沖米軍基地問題に関するシンポジウム等開催業務,今一度、沖縄の基地問題に関する正確な 情報を県内外に発信することを目的に、こ れまでの在沖米軍基地問題を改めて共有 し、今後の展望を議論するシンポジウムを 開催する。,1,特定非営利活動法人（NPO法人）,新外交イニシアティブ,新外交イニシアティブ,S002PL001,source_partner_name_cell_unsplit,R6.5.16 ～ R7.3.31,"12,843",12843,positive,行政,行政,selected,R10R008,R10AM010,machine_display_alias_only_not_actor_identity,source_universe_row_not_relation_edge,whole_program_project_cost_not_actor_payment_or_award,"Authoritative mechanical source-row extraction; no registry merge, relation approval, actor payment, alliance, or political stance inference."
S002-R0002,S002,令和6年度「NPO等との協働実績調査」,2024,2,1,知事公室,知事公室,消防学校,消防学校,9,講師等,講演会等の講師をNPO等が担当,lecturer_or_expertise,8,災害救援事業,教育訓練,教育訓練,教育課程（初任教育）に講師を招聘し知識 向上を図る（１日）,1,特定非営利活動法人（NPO法人）,沖縄災害救助犬協会,沖縄災害救助犬協会,S002PL002,source_partner_name_cell_unsplit,R6.8.6,35,35,positive,行政,行政,not_selected,,,machine_display_alias_only_not_actor_identity,source_universe_row_not_relation_edge,whole_program_project_cost_not_actor_payment_or_award,"Authoritative mechanical source-row extraction; no registry merge, relation approval, actor payment, alliance, or political stance inference."
S002-R0003,S002,令和6年度「NPO等との協働実績調査」,2024,3,1,知事公室,知事公室,消防学校,消防学校,9,講師等,講演会等の講師をNPO等が担当,lecturer_or_expertise,8,災害救援事業,教育訓練,教育訓練,教育課程（初任教育・救助科）に講師を招 聘し知識向上を図る（２日）,3,営利を目的としない一般社団又は一般財団法人,沖縄県消防設備協会,沖縄県消防設備協会,S002PL003,source_partner_name_cell_unsplit,R6.5.22 R7.2.14,18,18,positive,行政,行政,not_selected,,,machine_display_alias_only_not_actor_identity,source_universe_row_not_relation_edge,whole_program_project_cost_not_actor_payment_or_award,"Authoritative mechanical source-row extraction; no registry merge, relation approval, actor payment, alliance, or political stance inference."
S002-R0004,S002,令和6年度「NPO等との協働実績調査」,2024,4,1,知事公室,知事公室,消防学校,消防学校,9,講師等,講演会等の講師をNPO等が担当,lecturer_or_expertise,8,災害救援事業,教育訓練,教育訓練,教育課程（救助科）に講師を招聘し知識向 上を図る（１日）,3,営利を目的としない一般社団又は一般財団法人,日本エレベーター協 会,日本エレベーター協会,S002PL004,source_partner_name_cell_unsplit,R7.2.27,24,24,positive,行政,行政,not_selected,,,machine_display_alias_only_not_actor_identity,source_universe_row_not_relation_edge,whole_program_project_cost_not_actor_payment_or_award,"Authoritative mechanical source-row extraction; no registry merge, relation approval, actor payment, alliance, or political stance inference."
S002-R0005,S002,令和6年度「NPO等との協働実績調査」,2024,5,1,知事公室,知事公室,消防学校,消防学校,9,講師等,講演会等の講師をNPO等が担当,lecturer_or_expertise,8,災害救援事業,教育訓練,教育訓練,教育課程（初任教育・消防団初級幹部科） に講師を招聘し知識向上を図る（２日）,2,公益社団又は公益財団法人,沖縄県消防協会,沖縄県消防協会,S002PL005,source_partner_name_cell_unsplit,R6.8.14 R6.12.11,0,0,zero,行政,行政,not_selected,,,machine_display_alias_only_not_actor_identity,source_universe_row_not_relation_edge,whole_program_project_cost_not_actor_payment_or_award,"Authoritative mechanical source-row extraction; no registry merge, relation approval, actor payment, alliance, or political stance inference."
S002-R0006,S002,令和6年度「NPO等との協働実績調査」,2024,6,1,知事公室,知事公室,消防学校,消防学校,9,講師等,講演会等の講師をNPO等が担当,lecturer_or_expertise,8,災害救援事業,教育訓練,教育訓練,教育課程（初任教育・救助科）に講師を招 聘し知識向上を図る（２日）,3,営利を目的としない一般社団又は一般財団法人,沖縄県高圧ガス保安 協会,沖縄県高圧ガス保安協会,S002PL006,source_partner_name_cell_unsplit,R6.6.17 R7.2.14,0,0,zero,行政,行政,not_selected,,,machine_display_alias_only_not_actor_identity,source_universe_row_not_relation_edge,whole_program_project_cost_not_actor_payment_or_award,"Authoritative mechanical source-row extraction; no registry merge, relation approval, actor payment, alliance, or political stance inference."
S002-R0007,S002,令和6年度「NPO等との協働実績調査」,2024,7,1,知事公室,知事公室,消防学校,消防学校,9,講師等,講演会等の講師をNPO等が担当,lecturer_or_expertise,8,災害救援事業,教育訓練,教育訓練,教育課程（予防査察科）に講師を招聘し知 識向上を図る（１日）,2,公益社団又は公益財団法人,日本防炎協会,日本防炎協会,S002PL007,source_partner_name_cell_unsplit,R6.7.4,0,0,zero,行政,行政,not_selected,,,machine_display_alias_only_not_actor_identity,source_universe_row_not_relation_edge,whole_program_project_cost_not_actor_payment_or_award,"Authoritative mechanical source-row extraction; no registry merge, relation approval, actor payment, alliance, or political stance inference."
S002-R0008,S002,令和6年度「NPO等との協働実績調査」,2024,8,1,知事公室,知事公室,消防学校,消防学校,9,講師等,講演会等の講師をNPO等が担当,lecturer_or_expertise,8,災害救援事業,教育訓練,教育訓練,教育課程（初任教育）に講師を招聘し知識 向上を図る（２日）,2,公益社団又は公益財団法人,日本無線協会,日本無線協会,S002PL008,source_partner_name_cell_unsplit,R6.5.30,0,0,zero,行政,行政,not_selected,,,machine_display_alias_only_not_actor_identity,source_universe_row_not_relation_edge,whole_program_project_cost_not_actor_payment_or_award,"Authoritative mechanical source-row extraction; no registry merge, relation approval, actor payment, alliance, or political stance inference."
S002-R0009,S002,令和6年度「NPO等との協働実績調査」,2024,9,2,知事公室,知事公室,平和祈念資 料館,平和祈念資料館,1,委託,NPO等へ業務委託を行った事業,delegated_public_program,10,人権の擁護又は平和の推進を図る事業,沖縄県平和祈念資料 館施設管理・学芸業務,沖縄県平和祈念資料館施設管理・学芸業務,子ども・プロセス展示室及び情報ライブラ リーの施設・図書資料等の管理・整理及び 企画展の開催。沖縄戦に関するレファレン ス業務を行う。,2,公益社団又は公益財団法人,公益財団法人沖縄県 平和祈念財団,公益財団法人沖縄県平和祈念財団,S002PL009,source_partner_name_cell_unsplit,R6.4.1 ～ R7.3.31,"13,499",13499,positive,行政,一緒に,not_selected,,,machine_display_alias_only_not_actor_identity,source_universe_row_not_relation_edge,whole_program_project_cost_not_actor_payment_or_award,"Authoritative mechanical source-row extraction; no registry merge, relation approval, actor payment, alliance, or political stance inference."
S002-R0010,S002,令和6年度「NPO等との協働実績調査」,2024,10,2,知事公室,知事公室,平和祈念資 料館,平和祈念資料館,2,提案型公募による委託,提案型公募による委託,proposal_based_delegated_program,10,人権の擁護又は平和の推進を図る事業,「平和への思い」発信・ 交流・継承事業,「平和への思い」発信・交流・継承事業,戦争体験を有する広島・長崎、アジア諸国 の若者が、オンライン及び対面形式で県 内の若者と共に沖縄の歴史と文化、沖縄 戦の実相と教訓を共に学び、平和構築の ためのネットワーク形成と平和教育活動の 推進を目的に実施する。,1,特定非営利活動法人（NPO法人）,特定非営利活動法人 沖縄平和協力セン ター,特定非営利活動法人沖縄平和協力センター,S002PL010,source_partner_name_cell_unsplit,R6.6.12 ～ R7.3.14,"25,547",25547,positive,行政,一緒に,selected,R10R009,R10AM012,machine_display_alias_only_not_actor_identity,source_universe_row_not_relation_edge,whole_program_project_cost_not_actor_payment_or_award,"Authoritative mechanical source-row extraction; no registry merge, relation approval, actor payment, alliance, or political stance inference."
