source_id,source_title,source_type,source_channel_heuristic,source_year_raw,parsed_year_min,parsed_year_max,url_domain,organization_hosted_trace_candidate,official_or_formal_trace_candidate,external_mention_trace_candidate,legal_procedural_trace,title_language_heuristic,case_number_or_legal_title_marker,high_capacity_list_source,archive_status,archive_content_type,source_evidence_level,source_review_status,classification_method,research_status,display_tier,claim_status,review_status,frontend_eligibility,interpretation_limit
S001,沖縄県NPOプラザ,official_portal,official_administrative,2026,2026,2026,pref.okinawa.jp,no,yes,no,no,likely_japanese_title,no,no,archived,text/html,E4,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S002,令和６年度 NPO等との協働実績調査,official_data,official_administrative,2026,2026,2026,pref.okinawa.lg.jp,no,yes,no,no,likely_japanese_title,no,no,archived,application/pdf,E4,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S003,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,ngo_statement,organization_hosted,2010,2010,2010,wwf.or.jp,yes,yes,no,no,likely_japanese_title,no,yes,archived,text/html;charset=utf-8,E4,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,organization_hosted,2015,2015,2015,nacsj.or.jp,yes,yes,no,no,likely_japanese_title,no,yes,archived,text/html; charset=UTF-8,E4,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S005,Peace Boat statement on Henoko emergency NGO declaration,ngo_statement,organization_hosted,2015,2015,2015,peaceboat.org,yes,yes,no,no,likely_english_title,no,no,archived,text/html; charset=UTF-8,E4,human_revised,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S006,OEJP 71 organizations MMC request,international_advocacy,other,2020,2020,2020,okinawaejp.blogspot.com,no,no,no,no,likely_english_title,no,yes,archived,text/html; charset=UTF-8,E4,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S007,The Plight of the Okinawa Dugong,academic_article,academic_secondary,2020,2020,2020,apjjf.org,no,no,yes,no,likely_english_title,no,no,manual_archived,application/pdf,E3,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S008,ジュゴン保護 県内外71団体が米海洋哺乳類委員会に要請,local_news,media,2020,2020,2020,ryukyushimpo.jp,no,no,yes,no,likely_japanese_title,no,no,archived,text/html; charset=UTF-8,E3,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S009,Earthjustice dugong litigation explainer,legal_international,legal_procedural,2014,2014,2014,earthjustice.org,no,yes,no,yes,likely_english_title,no,no,archived,text/html; charset=UTF-8,E4,human_revised,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S010,与那国町住民投票 自衛隊配備 結果は「賛成」多数,local_news,media,2015,2015,2015,qab.co.jp,no,no,yes,no,likely_japanese_title,no,no,archived,text/html; charset=UTF-8,E2,human_revised,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
