actor_id,canonical_name,actor_class,analysis_family_v1,origin_type,actor_review_status,issue_count_all,issue_ids_all,issue_count_human_reviewed,issue_ids_human_reviewed,issue_count_positioning,issue_ids_positioning,issue_count_event_specific,issue_ids_event_specific,issue_count_case_or_institutional,issue_ids_case_or_institutional,issue_count_mixed_or_unclear,bridge_classification_v1,narrative_status
A001,Okinawa Environmental Justice Project,international_advocacy_actor,跨国 NGO／国际倡议,mixed_or_network,ai_seeded,3,I003;I004;I012,0,,2,I003;I004,1,I012,0,,0,positioning_bridge,candidate_bridge_needs_review
X001,USO Okinawa,base_community_service_actor,基地社区服务／慈善,us_origin,ai_seeded,2,I014;I016,0,,0,,0,,2,I014;I016,0,case_or_institutional_bridge,candidate_bridge_needs_review
A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,international_advocacy_actor,跨国 NGO／国际倡议,japan_domestic,human_revised,2,I004;I012,2,I004;I012,0,,0,,2,I004;I012,0,case_or_institutional_bridge,human_reviewed_bridge
X002,Phoenix Corporation / Phoenix Park Hotel,local_business_sponsor,资助／赞助／公共机构,corporate,ai_seeded,1,I016,0,,0,,0,,1,I016,0,single_issue_in_edge_table,not_a_bridge_in_current_edge_table
A003,ジュゴンネットワーク沖縄,local_civic_actor,冲绳本地公民行动,okinawa_local,needs_second_source,2,I004;I005,0,,0,,2,I004;I005,0,,0,event_only_bridge,candidate_bridge_needs_review
X003,American Engineering Corporation AEC,corporate_sponsor,资助／赞助／公共机构,corporate,ai_seeded,1,I016,0,,0,,0,,1,I016,0,single_issue_in_edge_table,not_a_bridge_in_current_edge_table
A004,日本自然保護協会,domestic_japan_ngo,日本国内 NGO／声援,japan_domestic,ai_seeded,2,I003;I005,0,,0,,2,I003;I005,0,,0,event_only_bridge,candidate_bridge_needs_review
X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),base_spouse_charity_network,基地社区服务／慈善,us_origin,human_revised,2,I014;I016,2,I014;I016,1,I014,0,,0,,1,mixed_candidate_bridge,human_reviewed_bridge
A005,WWFジャパン,domestic_japan_ngo,日本国内 NGO／声援,japan_domestic,ai_seeded,2,I004;I005,0,,0,,2,I004;I005,0,,0,event_only_bridge,candidate_bridge_needs_review
X005,Naval Officers' Spouses' Club of Okinawa NOSCO,base_spouse_club,基地社区服务／慈善,us_origin,human_checked,1,I014,1,I014,0,,0,,0,,1,single_issue_in_edge_table,not_a_bridge_in_current_edge_table
