source_id,central_source_id,date,source_owner,source_type,title,url,authority,full_text_status,archive_status,use_scope,boundary,data_layer,claim_status,review_status,frontend_eligibility,central_writeback
S003,S003,2010,WWF Japan and listed signatories,organization-authored joint statement,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,https://www.wwf.or.jp/activities/statement/3436.html,organization_primary,complete_archived_text,central_archive,matched negative control for an environmental joint statement,"No target term in this document is a genre-bounded negative, not a society-wide absence.",research_only,candidate,ai_seeded,not_frontend_ready,no
S004,S004,2015,Nature Conservation Society of Japan and listed signatories,organization-authored joint statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,organization_primary,complete_archived_text,central_archive,matched negative control for an environmental joint statement,"No target term in this document is a genre-bounded negative, not a society-wide absence.",research_only,candidate,ai_seeded,not_frontend_ready,no
S006,S006,2020,Okinawa Environmental Justice Project / petition participants,organization-authored international request,OEJP 71 organizations Marine Mammal Commission request,https://okinawaejp.blogspot.com/2020/07/,organization_primary,complete_archived_text,central_archive,matched negative control for an international environmental request,English-language term scan is document-bounded and cannot establish a historical trend.,research_only,candidate,ai_seeded,not_frontend_ready,no
S022,S022,2022-12-07,沖縄対話プロジェクト,organization site,沖縄対話プロジェクト 公式ページ,https://okinawataiwa.net/,organization_primary,complete_archived_text,central_archive_metadata_correction_pending,pre-network Okinawa memory / Taiwan-contingency framing,Project framing does not prove participant consensus or diffusion.,research_only,candidate,ai_seeded,not_frontend_ready,no
S023,S023,2022-03-21,QAB reporting A018,local news,ノーモア沖縄戦 命どぅ宝の会 結成,https://www.qab.co.jp/news/20220321148994.html,independent_local_news,complete_archived_text,central_archive,attributed pre-network public position of A018,Media attribution is not an organization-authored full statement.,research_only,candidate,ai_seeded,not_frontend_ready,no
S036,S036,2017-02-28,Ryukyu Shimpo reporting four civic groups,local news,南西諸島四団体政府交渉,https://ryukyushimpo.jp/news/entry-452562.html,independent_local_news,complete_archived_text,central_archive_metadata_correction_pending,older cross-island government-negotiation baseline,The central source title/year mismatch remains gated; event participation is not alliance.,research_only,candidate,ai_seeded,not_frontend_ready,no
S119,S119,2022-11-29,Ryukyu Shimpo reporting A100,local news,うるま市民の会発足報道,https://ryukyushimpo.jp/news/entry-1623776.html,independent_local_news,local_residual_archive,central_archive_reconciliation_pending,attributed pre-network public position of A100,Archive reconciliation and source-log date correction remain required.,research_only,candidate,ai_seeded,not_frontend_ready,no
S146,S146,2023,沖縄を再び戦場にさせない県民の会,organization site,沖縄を再び戦場にさせない県民の会 公式サイト,https://kenminnokai.okinawa/,organization_primary,organization_site,central_archive,prefectural carrier formation and program,A 63-group umbrella does not automatically create dyadic alliance edges.,research_only,candidate,ai_seeded,not_frontend_ready,no
S148,S148,2023-07-26,Ryukyu Shimpo reporting A108 formation,local news,沖縄を再び戦場にさせない県民の会 発足報道,https://ryukyushimpo.jp/news/entry-1754082.html,independent_local_news,complete_archived_text,central_archive,formation carrier and named organizing-center evidence,A named organizer or speaker cannot transfer a position to every participant.,research_only,candidate,ai_seeded,not_frontend_ready,no
S246,S246,2023-11-12,沖縄・琉球弧の声を届ける会,organization event record,第1回連続講座,https://ryukyukohp.jimdofree.com/%E3%83%9B%E3%83%BC%E3%83%A0/%E7%AC%AC1%E5%9B%9E-2023-11-12/,organization_primary,complete_archived_text,central_archive,pre-network event master frame and 13 endorsers,"Endorsement is event participation, not independent adoption or alliance.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3V2S001,,2016-05-22,日本YWCA,organization-authored protest statement,米軍属女性暴行殺害事件への抗議声明,https://www.ywca.or.jp/wp-content/uploads/2016/05/0522.pdf,organization_primary,complete_web_pdf,not_archived_in_project,national women-organization war-memory baseline,Links Okinawa-war memory to bases/sexual violence; does not use the later distributed-system object.,research_only,candidate,ai_seeded,not_frontend_ready,no
H3V2S002,,2021-06,東京YWCA newsletter; named contributor,organization newsletter contribution,平和創造―野尻湖から辺野古へ,https://www.tokyo.ywca.or.jp/docs/2021%E5%B9%B46%E6%9C%88%E5%8F%B7%E3%80%80%E5%B9%B3%E5%92%8C%E5%89%B5%E9%80%A0~%E9%87%8E%E5%B0%BB%E6%B9%96%E3%81%8B%E3%82%89%E8%BE%BA%E9%87%8E%E5%8F%A4%E3%81%B8~.pdf,organization_publication_named_author,complete_web_pdf,not_archived_in_project,"mainland publication connecting war remains, Sakishima buildup and renewed battlefield risk",A named contributor in a newsletter is not the position of all YWCA units.,research_only,candidate,ai_seeded,not_frontend_ready,no
H3V2S003,,2021-07,日本原水協 world-conference materials; named speakers,conference proceedings,原水爆禁止2021年世界大会 国際会議資料,https://www.antiatom.org/Gpress/wp-content/uploads/2021/07/3cc464eaf2a793a6f3abbb2d26a56197.pdf,organization_conference_material,complete_web_pdf,not_archived_in_project,national anti-nuclear venue using Taiwan/Sakishima battlefield language,Speaker text in conference proceedings is not adoption by every participant or affiliate.,research_only,candidate,ai_seeded,not_frontend_ready,no
