candidate_edge_id,place,actor_id_or_provisional,actor_name,actor_status,event_or_document,event_year,frame_code,frame_label,relation_basis,corpus_source_ids,evidence_level,coding_status,semantic_human_review,interpretation_limit
R4E001,Miyako,A012,宮古島いのちの水を守ろう！,existing_actor,陸自配備阻止集会,2016,F_GW,groundwater_life_safety,新闻中的具名/主题关联,R4S003,E3,ai_seeded_candidate,required,需回查正文确认该actor是否具名而非仅主题推定
R4E002,Miyako,A013,ミサイル基地いらない宮古島住民連絡会,existing_actor,陸自ミサイル部隊配備陈情,2017-2019,F_ENV,environment_deployment,陈情与地下水监测行政回应,R4S002,E4,ai_seeded_candidate,required,需取得陈情原文确认组织使用的具体环境措辞
R4E003,Miyako,C015,宮古島・命の水・自衛隊配備について考える会,REG01_candidate,部署反对署名与记者会,2015,F_GW,groundwater_life_safety,组织名称与具名行动,R4S003,E3,ai_seeded_candidate,required,候选未入主registry；需第二来源
R4E004,Miyako,C016,宮古島環境クラブ,REG01_candidate,持续地下水保全活动,current,F_GW,groundwater_life_safety,组织官网使命与活动,R4S004,E4,ai_seeded_candidate,required,只编码环境功能；不编码反部署
R4E005,Miyako,C017,宮古島海の環境ネットワーク,REG01_candidate,海洋调查与环境教育,current,F_ENV,environment_deployment,组织官网事业,R4S005,E4,ai_seeded_candidate,required,作为地方环境生态背景；不推断军事立场
R4E006,Miyako,GOV_MIYAKO_CITY,宮古島市,external_institution,地下水保护条例与市政政策,undated,F_GW,groundwater_life_safety,地方政府政策,R4S001,E4,ai_seeded_candidate,required,一般政策背景不能当作部署争议立场
R4E007,Miyako,GOV_MIYAKO_CITY,宮古島市,external_institution,国民保护/撤离实施要领,2019-2026,F_FTE,frontline_taiwan_evacuation,官方预案与公开问答,R4S006;R4S007;R4S009,E4,ai_seeded_candidate,required,区分法定预案、推演前提和居民意见
R4E008,Miyako,LEG_MIYAKO_COUNCIL,宮古島市議会,external_institution,先岛有事避难质询,2025,F_AUT,local_autonomy_referendum,议会质询居民参与和生活恢复,R4S008,E4,ai_seeded_candidate,required,区分议员问题与行政答复
R4E009,Miyako,LEG_MIYAKO_COUNCIL,宮古島市議会,external_institution,先岛有事避难质询,2025,F_FTE,frontline_taiwan_evacuation,台湾有事情境和全岛撤离,R4S008,E4,ai_seeded_candidate,required,不得写成已发生的疏散
R4E010,Ishigaki,A011,石垣市住民投票を求める会,existing_actor,自卫队部署住民投票条例请求,2018-2022,F_AUT,local_autonomy_referendum,组织自述与法院事实认定,R4S010;R4S012,E4,ai_seeded_candidate,required,法院驳回不否定签名和条例请求事实
R4E011,Ishigaki,A010,石垣島に軍事基地をつくらせない市民連絡会,existing_actor,平得大俣部署反对/施工争议,2017-2020,F_ENV,environment_deployment,县议会环境质询中的居民意见,R4S016,E4,ai_seeded_candidate,required,需取得组织原始请求书确认actor归属
R4E012,Ishigaki,GOV_ISHIGAKI_CITY,石垣市,external_institution,住民投票条例议会审议记录,2019,F_AUT,local_autonomy_referendum,市政府公开记录,R4S011,E4,ai_seeded_candidate,required,记录程序不等于支持或反对投票
R4E013,Ishigaki,GOV_ISHIGAKI_CITY,石垣市,external_institution,年度避难实施要领,2022-2026,F_FTE,frontline_taiwan_evacuation,连续年度官方预案,R4S013,E4,ai_seeded_candidate,required,应逐年比对而非合并为单一固定计划
R4E014,Ishigaki,LEG_ISHIGAKI_COUNCIL,石垣市議会,external_institution,国民保护计划改正要请决议,2024,F_LIFE,life_safety,医疗交通补偿与残留人员问题,R4S014,E4,ai_seeded_candidate,required,决议事项未必已落实
R4E015,Ishigaki,LEG_ISHIGAKI_COUNCIL,石垣市議会,external_institution,国民保护计划改正要请决议,2024,F_AUT,local_autonomy_referendum,要求市民意思确认与说明,R4S014,E4,ai_seeded_candidate,required,自治参与是程序要求而非部署公投
R4E016,Ishigaki,RESIDENTS_ISHIGAKI,石垣市住民意见交换会参加者,public_participants,避难意见交换会,2024,F_FTE,frontline_taiwan_evacuation,官方会议记录的居民发言,R4S015,E4,ai_seeded_candidate,required,参加者23人不能代表全市
R4E017,Ishigaki,RESIDENTS_ISHIGAKI,石垣市住民意见交换会参加者,public_participants,避难意见交换会,2024,F_AUT,local_autonomy_referendum,居民对义务和决策提出疑问,R4S015,E4,ai_seeded_candidate,required,需逐条说话人匿名编码
R4E018,Yonaguni,A014,住民投票を成功させるための実行委員会,existing_actor,自卫队配备住民投票,2015,F_AUT,local_autonomy_referendum,既有actor与投票事件的候选关联,R4S017,E3,ai_seeded_candidate,required,来源确认投票但未在摘录中独立确认委员会身份
R4E019,Yonaguni,A015,与那国自衛隊配備反対意見広告実行委員会,existing_actor,反部署意见广告,2012,F_AUT,local_autonomy_referendum,既有事件型委员会候选关系,,E2,ai_seeded_candidate,required,本包未新增一手来源；保持E2且不作结论
R4E020,Yonaguni,A016,与那国島の明るい未来を願うイソバの会,existing_actor,部署/扩编与岛民生活公开行动,current,F_LIFE,life_safety,组织博客与联合训练停止请求,R4S022;R4S023,E3,ai_seeded_candidate,required,需定位具体博客文章和请求书
R4E021,Yonaguni,A016,与那国島の明るい未来を願うイソバの会,existing_actor,日美联合训练停止请求,2024,F_FTE,frontline_taiwan_evacuation,具名组织公开请求,R4S023,E3,ai_seeded_candidate,required,一次请求不证明所有长期主张
R4E022,Yonaguni,GOV_YONAGUNI_TOWN,与那国町,external_institution,国民保护计划,2017,F_FTE,frontline_taiwan_evacuation,町政府法定计划,R4S020,E4,ai_seeded_candidate,required,法定计划不代表部署立场
R4E023,Yonaguni,MOD_JAPAN,防衛省・陸上自衛隊,external_institution,沿岸监视队与西南防卫叙事,2016-current,F_FTE,frontline_taiwan_evacuation,防卫白书与驻屯地页面,R4S018;R4S019,E4,ai_seeded_candidate,required,这是防卫机构自我框架而非地方社会框架
R4E024,Yonaguni,MOD_JAPAN,防衛省,external_institution,中距离地对空导弹部队说明会,2026,F_PROC,procedural_fairness,官方以增进理解为说明会目的,R4S024,E4,ai_seeded_candidate,required,召开说明会不能编码为居民同意
R4E025,Yonaguni,GOV_OKINAWA_PREF,沖縄県,external_institution,国民保护联合图上训练,2025,F_LIFE,life_safety,要照护者与运输能力重点,R4S021,E4,ai_seeded_candidate,required,先岛共同框架需谨慎归入与那国
R4E026,Yonaguni,GOV_CABINET_SAGA,内閣官房・佐賀県,external_institution,与那国町避难接收联合训练,2025,F_FTE,frontline_taiwan_evacuation,撤离和接收地推演,R4S025,E4,ai_seeded_candidate,required,训练安排不等于实际运输能力已验证
