source_candidate_id,existing_source_id,title,publisher,source_type,url,source_publication_date,source_publication_date_precision,document_coverage_period,source_relationship,exact_locator,supports_anchor_ids,supports_status_candidate_ids,evidence_level_proposed,support_scope,interpretation_limit,archive_or_access_status,retrieval_date,package_scope,claim_status,review_status,frontend_eligibility,central_writeback
NR05S001,,政策科学・国際関係論専攻における社会学的フィールドワークの可能性,琉球大学法文学部,academic_course_fieldwork_article,https://u-ryukyu.repo.nii.ac.jp/record/2002381/files/No1p109.pdf,1998,year,1996 fieldwork; 1998 publication,secondary,"printed pp.132-133 / PDF pp.24-25, section 3「沖縄のNGO」",H98_001,,E2,Contemporaneous interpretive baseline on perceived NGO capacity and intermediary gap.,Instructor-edited student/course fieldwork; not a prefecture-wide census or neutral prevalence estimate.,online_pdf_read,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S002,,NPO法人の累計認証団体数の推移（全体／地域別）,RIETI,policy_research_data_table,https://www.rieti.go.jp/jp/projects/npo/2004/4_1.pdf,2005-12-31,day_as_document_header,1999-2005,secondary,"PDF p.1, Okinawa row: 1999-2004 values 6,20,37,84,127,163",H98_002,,E3,Prefecture-wide cumulative certified-NPO-corporation counts compiled from Cabinet Office.,"All fields/issues; not project registry, base actors, activity, survival or causal effect.",online_pdf_read,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S003,,沖縄県NPOプラザ ばなな通信 第45号,沖縄県NPOプラザ,prefectural_official_newsletter,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/004/891/45gou.pdf,2012-10-31,day,2012-10-31 status,contemporaneous_primary,"PDF p.1 header: 県内のNPO法人数 550; 15 applications pending; p.5 on annual reports, registration/tax burdens, dissolution and return-to-voluntary-group options",H98_002,,E4,Exact official Okinawa-wide legal-NPO count plus contemporaneous maintenance/exit-rule context.,"The count does not indicate issue, political stance, activity or relation to bases; the maintenance/exit discussion gives mechanisms, not their prefecture-wide prevalence.",online_pdf_read,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S004,,NPO法改正関連資料（所轄庁別認証法人数表）,内閣府NPOホームページ,national_official_report,https://www.npo-homepage.go.jp/uploads/20111011-hou.pdf,2012,year,through 2012-09,contemporaneous_primary,table of certified NPO corporations by competent authority; Okinawa=550 through 2012-09,H98_002,,E4,Independent official cross-check for the 2012 Okinawa endpoint.,Aggregate legal count only.,online_pdf_read,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S005,S095,団体概要 / 役員,NPO法人 沖縄NGOセンター,organization_profile,https://www.oki-ngo.org/about/directors,,undated_current_page,1999-06 formation claim; current profile,retrospective,団体概要: 設立年月日 1999年6月; activities items 1 and 6-7,H98_003,NR05OS001,E3,Organization self-description of formation month and intermediary/support functions.,Current self-description; no direct proof of original legal form or uninterrupted activity.,online_html_read,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S006,,特定非営利活動法人沖縄NGOセンター インタビュー,市民国際プラザ（自治体国際化協会/JANIC）,institutional_interview,https://www.plaza-clair.jp/interview/contents/00115921.html,2022,year,1999-2022 retrospective,retrospective,opening profile paragraph: 1999 former name; 2008 NPO status/current-name transition,H98_003,NR05OS001,E3,Later institutional interview on ONC's claimed lineage and legal transition.,Not the 1999 charter or a 2008 internal application/resolution record; the official portal's legal-certification date is 2009-05-14. No causal link to the 1998 fieldwork article.,online_html_read,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S007,,沖縄におけるNGO-JICA連携ワークショップ関連報告,JICA,official_program_report,https://openjicareport.jica.go.jp/pdf/11712098.pdf,2006,year,1999-2006,retrospective,sections describing NGO-JICA joint workshops beginning in 1999,H98_003,NR05OS001,E3,Near-period institutional corroboration of an intermediary/international-cooperation path.,"Program participation does not prove organizational formation, funding or base-related positioning.",online_pdf_locator_read,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S008,S156,普天間基地爆音訴訟について,普天間基地爆音訴訟団,organization_history,https://futenma-bakuon.jp/introduction/,,undated_current_page,2002-present retrospective,retrospective,chronology paragraph listing first 2002 and second 2012 rounds,H98_004;H98_014,NR05OS008,E4 for self-identity; E3 for compressed chronology,Current plaintiff-group self-history.,Round year labels do not resolve separate filings/groups or identical membership.,online_html_read,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S009,S135,令和4年3月10日 普天間飛行場周辺損害賠償請求事件判決,那覇地方裁判所沖縄支部,court_record,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-91354.pdf,2022-03-10,day,2002-2022 case history,retrospective,"printed pp.13-14 / PDF pp.13-14, section 8「普天間飛行場の騒音に関する訴訟の経緯」",H98_004;H98_014,NR05OS008,E4,Formal case chronology distinguishing 2002-2003 and 2012-2013 filings/groups.,Case chronology does not itself establish stable organization identity across rounds.,central_archive_pdf_read,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S010,S060,"U.S., Japanese conservation groups join legal effort to save Okinawa dugong",Earthjustice,same_day_legal_press_release,https://earthjustice.org/press/2003/us-japanese-conservation-groups-join-in-legal-effort-to-save-okinawa-dugong-from-extinction,2003-09-25,day,2003-09-25 filing,contemporaneous_primary,"dated release; paragraphs naming case number, plaintiffs and counsel",H98_005,,E4,Same-day case entry and attributed roles.,Advocacy release; use complaint/caption for formal party identities.,central_archive_html_available,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S011,,"Complaint, Okinawa Dugong v. Rumsfeld","U.S. District Court, Northern District of California (party filing)",filed_complaint,https://www.biologicaldiversity.org/species/mammals/Okinawa_dugong/pdfs/complaint9-25-03.pdf,2003-09-25,day,2003 filing; party background allegations,contemporaneous_primary,caption and complaint p.4 ¶13 (Save the Dugong Foundation formation/self-description),H98_005,NR05OS002,E4 for filing/party caption; E3 for formation allegation,Filed party identities and contemporaneous self-description.,A complaint allegation is not adjudication of formation date/legal status.,online_pdf_read,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S012,,終結事件一覧：米軍代替飛行場施設建設差止等請求事件（調停）,沖縄県公害審査会,prefectural_official_case_record,https://www.pref.okinawa.lg.jp/kensei/shingikai/1014397/1014517/1004600/1004603.html,,undated_current_page,2004-02-03 to 2004-03-30,retrospective,"2004 case row: 913 applicants, acceptance, three sessions and 2004-03-30 dismissal reason",H98_006,,E4,Official procedural intake/nonentry chronology.,"Applicants are an anonymous person collective, not an organization.",online_html_read,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S013,S049,ヘリ基地反対協議会 闘いの主な経緯,ヘリ基地反対協議会,organization_history,https://lovehenoko.org/%E9%97%98%E3%81%84%E3%81%AE%E4%B8%BB%E3%81%AA%E7%B5%8C%E7%B7%AF/,,undated_current_page,1997-present retrospective,retrospective,2004 chronology entry for April obstruction/sit-in,H98_007,,E3,Organization's current account of onsite action.,Current retrospective attribution; not a roster or sole-organizer proof.,online_html_read,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S014,,辺野古沖海上基地建設反対運動の経過と特質,専修大学社会科学研究所『社会科学年報』41号,academic_participant_observation_reconstruction,https://www.senshu-u.ac.jp/~off1009/PDF/n41_103-124.pdf,2007-03-10,day,1997-2006,secondary,printed pp.104-105 / PDF pp.2-3: 2003 group formation and 2004-04-19 action,H98_007,NR05OS005,E3,Near-period academic reconstruction with participant observation.,Secondary chronology; not a charter or official roster.,online_pdf_read,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S015,S132,普天間飛行場代替施設建設事業に係る環境影響評価方法書に対する意見,日本自然保護協会,dated_organization_submission,https://www.nacsj.or.jp/statement/51098/,2004-06-10,day,2004 method-statement stage,contemporaneous_primary,page date and addressees; full opinion text,H98_008,,E4,Formal dated EIA commenter role.,Submission does not prove procedural effect or stable coalition.,central_archive_html_available,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S016,S140,泡瀬干潟埋立公金支出差止等請求事件判決,那覇地方裁判所,court_record,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-37115.pdf,,date_not_printed_in_archived_pdf,2005 filing through first-wave judgment,retrospective,"printed/PDF p.20, subsection（7）本訴提起: 2005-05-20",H98_009,,E4,Formal first-wave filing date and resident-plaintiff case structure.,Does not make A055 a named organizational plaintiff; first/second waves remain separate.,central_archive_pdf_read,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S017,,泡瀬干潟埋め立て公金差止訴訟 第一回口頭弁論報道,しんぶん赤旗,party_news,https://www.jcp.or.jp/akahata/aik4/2005-07-21/2005072104_03_2.html,2005-07-21,day,2005 hearing,lead,article body on first oral argument and A055 co-representatives' public role,H98_009,,E2,Near-period lead for movement/public-hearing role.,Party media and spokesperson presence do not prove plaintiff status.,online_html_locator_read,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S018,S282,沖縄県行政記録 平成20年,沖縄県,prefectural_official_diary,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/014/905/h20gyouseikiroku.pdf,2008,year_document,2008,contemporaneous_primary,"printed p.4 / PDF p.5, 2008-02-14 entry",H98_010,NR05OS011,E4,Dated occurrence of prefectural-branch request.,"No request text, response, result, scale, party affiliation or national-branch transfer.",central_archive_pdf_read,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S019,S003,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,WWFジャパン,same_day_organization_statement,https://www.wwf.or.jp/activities/statement/3436.html,2010-05-14,day,2010-05-14 event,contemporaneous_primary,dated statement body and domestic 67-organization participant list,H98_011,,E4 for event participation,Dated co-signing/submission event.,"No stable alliance, membership, coordination or continuity.",central_archive_html_available,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S020,S155,嘉手納基地爆音差止訴訟原告団 訴訟の歴史,嘉手納基地爆音差止訴訟原告団,organization_history,https://kadena-bakuon.jp/trial/history/,,undated_current_page,1982-present retrospective,retrospective,「第3次訴訟」 section: 2011-04-28 filing,H98_012,NR05OS007,E4 for self-history/date,Current plaintiff-group case chronology.,Does not establish identical membership across rounds.,online_html_read,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S021,S240,下地島への自衛隊配備に反対／平和運動連絡協,宮古毎日新聞,local_news,https://www.miyakomainichi.com/2011/06/20401/,2011-06-25,day,2011-06-23 meeting,secondary,article lead/body: meeting held 2011-06-23 and hosted by A096,H98_013,NR05OS009,E3 event; E2/E3 organization identity,"Near-contemporaneous event date, host attribution and issue.","No formation, roster, continuity or alliance proof.",central_archive_html_available,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S022,S015,与那国に自衛隊いらない／配備反対の意見広告呼びかけ,しんぶん赤旗,party_news,https://www.jcp.or.jp/akahata/aik12/2012-08-31/2012083115_02_1.html,2012-08-31,day,2012-08-25 founding press conference,lead,"article body: 2012-08-25 founding press conference, reported co-representatives and planned ad",H98_015,NR05OS010,E2,Single-source lead for committee formation/opinion-ad plan.,"Not independent; original ad, local coverage, exact identity and survival missing.",central_archive_html_available,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S023,S063,ジュゴン保護基金委員会（用語辞典）,琉球新報,newspaper_dictionary,https://ryukyushimpo.jp/okinawa-dic/prentry-41677.html,,undated_current_entry,1999 formation retrospective,lead,entry background line reporting 1999-10 formation,,NR05OS002,E2/E3,Secondary month-level formation lead.,Needs charter/contemporaneous corroboration; no legal-status or continuity inference.,central_archive_status_available,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S024,,泡瀬干潟を守る連絡会 団体情報,沖縄県地域環境センター,institutional_directory_profile,https://kankyo-center.okinawa/environmental-organization-facility/%E6%B3%A1%E7%80%AC%E5%B9%B2%E6%BD%9F%E3%82%92%E5%AE%88%E3%82%8B%E9%80%A3%E7%B5%A1%E4%BC%9A,,undated_current_page,2001-01 formation retrospective,retrospective,profile fields: organization type and 設立時期 2001年1月,,NR05OS003,E3,Institutional directory formation-month claim.,Not a contemporaneous charter; does not establish litigation party status.,online_html_read,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S025,S104,NPO法人情報検索：沖縄平和協力センター,内閣府NPOホームページ,official_npo_portal,https://www.npo-homepage.go.jp/npoportal/,,current_database,2002-10-17 certification; current record,retrospective,entity record/certification field: 2002-10-17,,NR05OS004,E4,Official legal-certification date.,"Certification is not formation, activity continuity, issue position or influence.",central_source_locator; portal may block automated access,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S026,,法政大学大原社会問題研究所 環境アーカイブズ資料目録（沖縄関連）,法政大学大原社会問題研究所,archive_catalog,https://k-archives.ws.hosei.ac.jp/wp-content/uploads/2024/09/0007_20240828.pdf,2024,year,catalogued 2003 material,lead,catalog p.66 area listing 2003-07-31 preparatory-committee item,,NR05OS005,E2 locator,Locator for contemporaneous A069 preparatory material.,"Catalog metadata is not the underlying document, formation record, roster or alliance evidence.",online_catalog_read_underlying_item_not_retrieved,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S027,,沖縄県サンゴ礁保全推進協議会 設立趣意書／経緯,沖縄県サンゴ礁保全推進協議会,organization_history_and_charter,https://ocrcc.sakura.ne.jp/about/keii.html,,undated_current_page,2007 preparation; 2008 formation,retrospective,history paragraph: preparations from FY2007; 2008-06-28 establishment meeting,,NR05OS006,E4 for organization self-history,Formation-process milestones.,Multi-stakeholder platform; no anti-base stance inferred.,online_html_read,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S028,,平成20年度 民間参加型サンゴ礁生態系保全活動推進事業 報告書,沖縄県,prefectural_official_report,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/004/527/h20houkokusyo_1.pdf,2009,year_inferred_from_fiscal_report,FY2007-FY2008 formation process,retrospective,"chapter 2, section 2-1 establishment meeting; attached charter dates",,NR05OS006,E4,Official report on the platform's preparation/establishment process.,"Charter date, meeting date and first general meeting are distinct milestones.",online_pdf_read,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S029,,Meeting of the dugongs and the cooking pots: Anti-military base citizens' groups on Okinawa,Japanese Studies,academic_article,https://www.tandfonline.com/doi/abs/10.1080/1037139032000129676,2003,year,1995-2003 movement framing,secondary,"abstract/article scope: six anti-base citizens' groups; environmentalism, feminism and anti-militarism",,,literature_context,Prior scholarship establishing that multi-issue framing is not a novel project finding.,"Use for literature positioning, not as a registry, relation or event source without full-text review.",abstract_metadata_only_full_text_not_retrieved,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S030,,沖縄地域における参加型環境保全活動の実態と支援方策上の課題,日本造園学会『ランドスケープ研究』,academic_survey_article,https://www.jstage.jst.go.jp/article/jila1994/64/5/64_5_849/_article/-char/ja,2001-03-30,day,1996 survey; 2001 publication,secondary,abstract and full PDF methods/results; 45 mailed groups/29 valid responses require full-table check,H98_001,,E3 contextual,Competing pre-NPO-law baseline for heterogeneous environmental civic activity/support needs.,Not a base-movement census; administrative-collaboration counts require table-level human verification.,article_metadata_and_abstract_read_full_pdf_locator,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S031,,特定非営利活動法人沖縄NGOセンター 行政入力情報,内閣府NPO法人ポータルサイト（所轄庁：沖縄県）,official_npo_portal_entity_record,https://www.npo-homepage.go.jp/npoportal/detail/047021403,,current_database_updated_2024-12-12,legal certification event 2009-05-14; current entity record,retrospective,"行政入力情報, lines/fields「設立認証年月日 2009年05月14日」「設立年月日 －」",H98_003,NR05OS001,E4,Official competent-authority legal-certification date.,"Certification date is not the 1999 voluntary-body formation date; it does not by itself resolve whether a 2008 internal resolution, application or name-change stage occurred.",online_html_read,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05S032,,沖縄県 NPO法人一覧／解散・取消・移管一覧 公開ハブ,沖縄県,prefectural_official_data_hub,https://www.pref.okinawa.jp/kurashikankyo/katsudo/1004889/1004890.html,2026-04-13,day_current_list_update,current surviving corporations plus historical exit events,retrospective,page links 157/161: current法人 list with certification date/20 fields; dissolution/cancellation/transfer list with exit dates,,,E4 data opportunity,Online material-rich follow-up for surviving cohorts and exit-event lower bounds.,Current survivors plus exit events do not by themselves reconstruct complete annual historical stock; certification dates for exited corporations still need portal/entity recovery.,hub_read_linked_tables_not_extracted_in_NR05,2026-07-20,research_only,candidate,ai_seeded,not_frontend_ready,no
