"crosswalk_id","source_family","recipient_research_key","recipient_label_source","public_recipient_basis","s002_match_class","source_row_uids","s002_partner_label","exactness_decision","relation_semantics","existing_review_overlap","source_keys","review_status","package_scope","frontend_eligibility"
"H2XW001","AWWA_prior_wave","ambitious","認定NPO法人アンビシャス","H2WI001 and H2WI002 are two dated recipient-side observations","direct_name_family_candidate","S002-R0214;S002-R0215;S002-R0233;S002-R0236;S002-R0252;S002-R0253;S002-R0312;S002-R0313","NPO法人アンビシャス;認定NPO法人アンビシャス","Normalized organization-name family agrees; legal-status timing is not resolved in this package.","Recipient visibility and S002 administrative visibility coexist; S002 rows are not AWWA relations or payments.","","H2P-S15;H2P-S17","ai_seeded_crosswalk","research_only","excluded_research_only"
"H2XW002","AWWA_prior_wave","okinawa_darc","沖縄ダルク","H2WI006 donor-list observation","identity_scope_candidate","S002-R0302","一般社団法人沖縄ダルクサントゥアリオ","The S002 legal name adds サントゥアリオ; sameness with the recipient label requires legal-identity review.","Possible name-family overlap only; neither source establishes a relation between AWWA and the FY2024 prefectural program.","","H2P-S15;H2P-S17","needs_identity_review","research_only","excluded_research_only"
"H2XW003","AWWA_prior_wave","uruma_city_social_welfare_council","うるま市社会福祉協議会","H2WI003 retrospective vehicle-donation observation","no_exact_s002_partner_match","","","No exact municipal-council label was found in the FY2024 S002 partner field.","A dated/retrospective recipient observation is not evidence of FY2024 prefectural collaboration.","F029;HR018-24;do_not_create_duplicate_HR","H2P-S15;H2P-S17","ai_seeded_crosswalk","research_only","excluded_research_only"
"H2XW004","AWWA_prior_wave","urasoe_city_social_welfare_council","浦添市社会福祉協議会","H2WI004 equipment and in-kind observation","no_exact_s002_partner_match","","","No exact municipal-council label was found in the FY2024 S002 partner field.","Absence from one FY2024 prefectural source universe is not absence from administration or welfare networks.","","H2P-S15;H2P-S17","ai_seeded_crosswalk","research_only","excluded_research_only"
"H2XW005","AWWA_prior_wave","onna_village_social_welfare_council","恩納村社会福祉協議会","H2WI005 recipient-relationship observation","no_exact_s002_partner_match","","","No exact municipal-council label was found in the FY2024 S002 partner field.","The located AWWA item has no single award date or amount and cannot be upgraded through S002.","","H2P-S15;H2P-S17","ai_seeded_crosswalk","research_only","excluded_research_only"
"H2XW006","OIWC_public_roster","airin_en_childrens_home","児童養護施設 愛隣園","OIWC 2023-2024 named public recipient","direct_name_family_candidate","S002-R0497","（福）基督教児童福祉会愛隣園","Facility and法人 name family are consistent, but this package does not perform a legal-entity merge.","OIWC recipient visibility and S002 contractor visibility are separate observations; no flow between the two programs is inferred.","","H2P-S04;H2P-S15","ai_seeded_crosswalk","research_only","excluded_research_only"
"H2XW007","OIWC_public_roster","okinawa_children_future_network","おきなわ子ども未来ネットワーク","OIWC 2023-2024 named public recipient","direct_name_family_candidate","S002-R0177;S002-R0599","一般社団法人おきなわ子ども未来ネットワーク;おきなわ子ども未来ネットワーク","Normalized name agrees; legal status and award-year identity should be checked before central use.","Shows two independently disclosed roles, not a stable OIWC-administration triad.","","H2P-S04;H2P-S15","ai_seeded_crosswalk","research_only","excluded_research_only"
"H2XW008","OIWC_public_roster","okinawa_spinal_cord_injured_association","Okinawa Association of Spinal Cord Injured","OIWC 2018-2019 named public recipient","direct_name_family_candidate","S002-R0101;S002-R0113","特定非営利活動法人沖縄県脊髄損傷者協会;NPO法人沖縄県脊髄損傷者協会","English roster label and Japanese S002 label are a strong name-family candidate; identity still needs human confirmation.","Recipient and administrative rows are separate dated roles; S002 project cost is not payment to this recipient.","","H2P-S04;H2P-S15","needs_identity_review","research_only","excluded_research_only"
"H2XW009","OIWC_public_roster","okinawa_joto_project","沖縄上等プロジェクト","OIWC 2021-2022 named public recipient","member_of_composite_only","S002-R0155","「要支援家庭寄り添い支援業務」共同体（（一社）カナカナ、（特非）沖縄上等プロジェクト）","The recipient label is a named member inside a composite S002 partner cell; the full composite must not be assigned to the member.","This crosswalk records co-membership in a source cell, not an OIWC-to-JV relation and not the whole project cost.","","H2P-S04;H2P-S15","ai_seeded_crosswalk","research_only","excluded_research_only"
"H2XW010","OIWC_public_roster","kanakana","カナカナ","OIWC 2019-2020 named public recipient","member_of_composite_only","S002-R0155","「要支援家庭寄り添い支援業務」共同体（（一社）カナカナ、（特非）沖縄上等プロジェクト）","The short roster label is a member-name candidate inside a composite source cell; legal identity and spelling require review.","No S002 project cost or composite role is attributed to the OIWC roster label alone.","","H2P-S04;H2P-S15","needs_identity_review","research_only","excluded_research_only"
"H2XW011","MTS_recent_page","aru_halfway_house","NPO/ARU/Halfway House for Teenage Girls","MTS recent-page project label repeated twice","identity_scope_candidate","S002-R0176","一般社団法人ある","ARU/ある and the Halfway House label may refer to the same operator, but NPO versus一般社団法人 and facility/operator scope are unresolved.","A self-page recipient/project label and an S002委託 row cannot be collapsed into a grant/payment or stable relation.","","H2P-S01;H2P-S15","needs_identity_review","research_only","excluded_research_only"
